,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl%_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
34,Leo Augusto Pereira,br  BRA,"FW,MF",Atl Goianiense,21,2000,12.6,24,16,9,12,3,8,29,27.6,21,17,2,15,10,34,5,0
35,Renato Augusto,br  BRA,MF,Corinthians,33,1988,15.6,30,15,10,11,9,10,24,41.7,14,13,1,12,14,44,9,1
36,Auremir,br  BRA,MF,Goiás,30,1991,16.4,46,29,31,15,0,13,26,50.0,13,14,7,7,26,72,27,0
37,Auro,br  BRA,DF,Santos,26,1996,4.3,9,6,5,3,1,5,10,50.0,5,3,1,2,3,12,11,0
38,Danilo Avelar,br  BRA,DF,América (MG),32,1989,9.6,11,8,7,3,1,5,14,35.7,9,11,4,7,16,27,36,1
39,Felipe Azevedo,br  BRA,"MF,FW",América (MG),35,1987,25.3,36,18,14,13,9,12,40,30.0,28,31,2,29,14,50,23,1
40,Matheus Babi,br  BRA,"FW,MF",Atl Paranaense,24,1997,0.9,1,1,0,0,1,0,0,,0,0,0,0,0,1,3,0
41,Pedro Bahia,br  BRA,MF,Goiás,19,2002,0.3,,0,,,,,,,,,,,0,,,
42,Fabrício Baiano,br  BRA,"FW,MF",Fortaleza,29,1992,0.6,5,2,2,3,0,1,2,50.0,1,0,0,0,1,6,4,0
43,Fabián Balbuena,py  PAR,DF,Corinthians,30,1991,12.0,15,11,12,3,0,6,14,42.9,8,12,10,2,12,27,58,0
44,Robson Bambu,br  BRA,DF,Corinthians,24,1997,4.4,10,7,6,4,0,6,11,54.5,5,5,2,3,8,18,27,0
45,Léo Baptistão,br  BRA,"FW,MF",Santos,29,1992,12.6,20,9,5,10,5,8,25,32.0,17,13,3,10,7,27,17,0
46,Gabriel Baralhas,br  BRA,MF,Atl Goianiense,23,1998,24.0,52,37,26,21,5,19,59,32.2,40,30,10,20,35,87,29,0
47,Danilo Barbosa,br  BRA,MF,Botafogo (RJ),25,1996,1.8,4,3,0,3,1,4,5,80.0,1,6,4,2,5,9,8,0
48,Gabriel Barbosa,br  BRA,FW,Flamengo,25,1996,22.7,10,5,2,5,3,5,18,27.8,13,0,0,0,2,12,2,0
49,Lucas Barbosa,br  BRA,"FW,MF",Santos,20,2001,8.6,40,19,14,20,6,15,40,37.5,25,21,3,18,10,50,10,0
50,Danilo Barcelos,br  BRA,"DF,MF",Goiás,30,1991,11.4,20,17,13,5,2,8,20,40.0,12,12,5,7,11,31,28,0
51,Leandro Barcia,uy  URU,FW,Atl Goianiense,29,1992,0.3,2,2,1,1,0,2,3,66.7,1,0,0,0,2,4,1,0
52,Barreto,br  BRA,MF,Botafogo (RJ),26,1995,0.3,3,2,3,0,0,2,2,100.0,0,0,0,0,0,3,0,0
53,Fellipe Bastos,br  BRA,MF,Goiás,31,1990,9.6,23,11,6,14,3,9,28,32.1,19,15,2,13,11,34,24,0
54,Ramiro Benetti,br  BRA,"MF,FW",Corinthians,28,1993,6.1,13,7,5,7,1,4,8,50.0,4,9,1,8,6,19,5,0
55,Martín Benítez,ar  ARG,MF,América (MG),27,1994,8.4,7,6,2,2,3,3,11,27.3,8,12,1,11,5,12,7,0
56,Bento,br  BRA,GK,Atl Paranaense,22,1999,33.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,11,2
57,Lucas Beraldo,br  BRA,DF,São Paulo,18,2003,1.4,4,4,4,0,0,2,4,50.0,2,0,0,0,2,6,6,0
58,Eduardo de Biasi,br  BRA,MF,Avaí,25,1997,20.8,47,19,18,27,2,25,58,43.1,33,12,4,8,12,59,16,0
59,Pedro Bicalho,br  BRA,MF,Palmeiras,20,2001,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
60,Raul Bicalho,br  BRA,DF,Corinthians,22,1999,18.7,28,15,23,5,0,16,25,64.0,9,20,12,8,32,60,63,1
61,Guilherme Bissoli,br  BRA,FW,Avaí,24,1998,27.1,22,14,3,9,10,10,35,28.6,25,21,2,19,13,35,23,0
62,Marcelo Boeck,br  BRA,GK,Fortaleza,37,1984,13.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0
63,Ângelo Borges,br  BRA,"FW,MF",Santos,17,2004,17.0,14,6,3,6,5,3,10,30.0,7,18,0,18,6,20,6,0
64,Daniel Borges,br  BRA,DF,Botafogo (RJ),28,1993,20.8,38,18,27,11,0,20,43,46.5,23,13,3,10,17,55,45,0
65,Douglas Borges,br  BRA,GK,Botafogo (RJ),31,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
66,Marllon Borges,br  BRA,DF,Cuiabá,29,1992,33.4,58,31,42,16,0,25,42,59.5,17,44,29,15,35,93,145,1
67,Lucas Braga,br  BRA,"FW,MF",Santos,25,1996,23.1,23,19,10,7,6,11,24,45.8,13,19,2,17,15,38,21,0
68,David Braz,br  BRA,DF,Fluminense,34,1987,7.9,9,5,7,2,0,5,8,62.5,3,8,5,3,7,16,43,0
69,Breno,br  BRA,FW,Palmeiras,26,1996,3.7,8,2,1,3,4,2,3,66.7,1,1,0,1,1,9,3,0
