,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
20,Luka Jovic,"€ 240,385","€ 12,500,000","€ 12,500,000",F,24,Serbia,Real Madrid
21,Clément Lenglet,"€ 230,769","€ 12,000,000","€ 12,000,000",D,26,France,Barcelona
22,Thibaut Courtois,"€ 227,308","€ 11,820,000","€ 11,820,000",K,29,Belgium,Real Madrid
23,Dani Parejo,"€ 208,269","€ 10,830,000","€ 10,830,000",M,32,Spain,Villarreal
24,Memphis Depay,"€ 200,385","€ 10,420,000","€ 10,420,000",F,27,Netherlands,Barcelona
25,Sergio Agüero,"€ 200,385","€ 10,420,000","€ 10,420,000",F,33,Argentina,Barcelona
26,Gerard Piqué,"€ 200,385","€ 10,420,000","€ 10,420,000",D,35,Spain,Barcelona
27,Casemiro,"€ 189,423","€ 9,850,000","€ 9,850,000",M,29,Brazil,Real Madrid
28,Marco Asensio,"€ 189,038","€ 9,830,000","€ 9,830,000",F,26,Spain,Real Madrid
29,Ferland Mendy,"€ 180,385","€ 9,380,000","€ 9,380,000",D,26,France,Real Madrid
30,Pedri,"€ 180,385","€ 9,380,000","€ 9,380,000",M,19,Spain,Barcelona
31,Éder Militão,"€ 180,385","€ 9,380,000","€ 9,380,000",D,24,Brazil,Real Madrid
32,Daniel Carvajal,"€ 176,731","€ 9,190,000","€ 9,190,000",D,30,Spain,Real Madrid
33,Marc-André ter Stegen,"€ 173,077","€ 9,000,000","€ 9,000,000",K,29,Germany,Barcelona
34,Lucas Vázquez,"€ 162,308","€ 8,440,000","€ 8,440,000",D,30,Spain,Real Madrid
35,Federico Valverde,"€ 160,192","€ 8,330,000","€ 8,330,000",M,23,Uruguay,Real Madrid
36,Eduardo Camavinga,"€ 160,192","€ 8,330,000","€ 8,330,000",M,19,France,Real Madrid
37,Raúl García,"€ 160,000","€ 8,320,000","€ 8,320,000",F,35,Spain,Athletic Club
38,Francis Coquelin,"€ 148,269","€ 7,710,000","€ 7,710,000",M,30,France,Villarreal
39,Nacho Fernández,"€ 147,885","€ 7,690,000","€ 7,690,000",D,32,Spain,Real Madrid
40,Yannick Carrasco,"€ 145,385","€ 7,560,000","€ 7,560,000",F,28,Belgium,Atletico Madrid
41,Felipe,"€ 145,385","€ 7,560,000","€ 7,560,000",D,32,Brazil,Atletico Madrid
42,Gerard Moreno,"€ 144,231","€ 7,500,000","€ 7,500,000",F,29,Spain,Villarreal
43,Mariano Díaz,"€ 144,231","€ 7,500,000","€ 7,500,000",F,28,Dominican Republic,Real Madrid
