,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
403,Portu,es  ESP,"FW,MF",Girona,25,1992,33.1,11,47,25,53.2,1.42,0.75,0.23,0.44,12.4,0,0,0,6.9,6.9,0.15,+4.1,+4.1
404,Sergio Postigo,es  ESP,DF,Levante,28,1988,26.9,1,8,2,25.0,0.30,0.07,0.13,0.50,18.8,0,0,0,0.3,0.3,0.04,+0.7,+0.7
405,Darío Poveda,es  ESP,FW,Villarreal,20,1997,0.0,0,1,0,0.0,30.00,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.04,0.0,0.0
406,Andrés Prieto,es  ESP,GK,Málaga,23,1993,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
407,Xabi Prieto,es  ESP,MF,Real Sociedad,33,1983,21.3,3,15,10,66.7,0.71,0.47,0.13,0.20,10.7,0,1,1,2.7,2.0,0.13,+0.3,0.0
408,Dani Raba,es  ESP,"MF,FW",Villarreal,21,1995,12.3,2,22,7,31.8,1.78,0.57,0.09,0.29,17.6,1,0,0,2.1,2.1,0.10,-0.1,-0.1
409,Nemanja Radoja,rs  SRB,MF,Celta Vigo,24,1993,12.3,0,6,2,33.3,0.49,0.16,0.00,0.00,12.2,0,0,0,0.7,0.7,0.12,-0.7,-0.7
410,Ivan Rakitić,hr  CRO,MF,Barcelona,29,1988,31.5,1,28,10,35.7,0.89,0.32,0.04,0.10,21.2,0,0,0,1.9,1.9,0.07,-0.9,-0.9
411,Jonás Ramalho,es  ESP,DF,Girona,24,1993,25.5,0,11,1,9.1,0.43,0.04,0.00,0.00,8.5,0,0,0,1.6,1.6,0.15,-1.6,-1.6
412,Benito Ramírez,es  ESP,"FW,MF",Las Palmas,22,1995,1.9,0,1,1,100.0,0.54,0.54,0.00,0.00,28.7,0,0,0,0.0,0.0,0.02,0.0,0.0
413,Sandro Ramírez,es  ESP,"FW,MF",Sevilla,22,1995,8.0,0,25,10,40.0,3.12,1.25,0.00,0.00,18.0,0,0,0,2.3,2.3,0.09,-2.3,-2.3
414,Toño Ramírez,es  ESP,GK,Real Sociedad,30,1986,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
415,Iván Ramis,es  ESP,DF,Eibar,32,1984,14.5,3,15,8,53.3,1.04,0.55,0.20,0.38,12.2,0,0,0,0.9,0.9,0.06,+2.1,+2.1
416,Omar Ramos,es  ESP,"FW,MF",Leganés,29,1988,15.8,0,10,2,20.0,0.63,0.13,0.00,0.00,19.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5
417,Sergio Ramos,es  ESP,DF,Real Madrid,31,1986,25.4,4,28,12,42.9,1.10,0.47,0.07,0.17,11.1,2,2,3,6.0,3.7,0.13,-2.0,-1.7
418,Recio,es  ESP,MF,Málaga,26,1991,20.4,1,25,3,12.0,1.23,0.15,0.00,0.00,24.0,5,1,1,1.7,0.9,0.04,-0.7,-0.9
419,Alberto Redondo,es  ESP,DF,Getafe,20,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
420,Federico Ricca,uy  URU,DF,Málaga,22,1994,12.3,0,3,3,100.0,0.24,0.24,0.00,0.00,12.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
421,Diego Rico,es  ESP,DF,Leganés,24,1993,24.8,2,27,9,33.3,1.09,0.36,0.07,0.22,21.8,4,0,0,1.7,1.7,0.06,+0.3,+0.3
422,Mikel Rico,es  ESP,MF,Athletic Club,32,1984,13.0,0,14,2,14.3,1.07,0.15,0.00,0.00,17.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8
423,Sergio Rico,es  ESP,GK,Sevilla,23,1993,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
424,Asier Riesgo,es  ESP,GK,Eibar,33,1983,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
425,Cristian Rivera,es  ESP,MF,Eibar,20,1997,2.7,0,2,0,0.0,0.73,0.00,0.00,,20.5,0,0,0,0.0,0.0,0.02,0.0,0.0
426,Rober,es  ESP,"DF,MF",Levante,22,1995,21.2,0,9,1,11.1,0.42,0.05,0.00,0.00,14.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
427,Roberto,es  ESP,GK,Málaga,31,1986,34.0,0,1,0,0.0,0.03,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
428,Sergi Roberto,es  ESP,DF,Barcelona,25,1992,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,16.4,0,0,0,0.9,0.9,0.12,+0.1,+0.1
429,Álex Robles,es  ESP,DF,Málaga,18,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
430,Marc Roca,es  ESP,MF,Espanyol,20,1996,3.0,0,4,0,0.0,1.34,0.00,0.00,,26.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
431,Rubén Rochina,es  ESP,MF,Levante,26,1991,1.7,1,7,1,14.3,4.09,0.58,0.14,1.00,18.7,0,0,0,1.1,1.1,0.16,-0.1,-0.1
432,Rodri,es  ESP,MF,Villarreal,21,1996,35.9,1,33,9,27.3,0.92,0.25,0.03,0.11,18.9,0,0,0,1.6,1.6,0.05,-0.6,-0.6
433,Rodrigo,es  ESP,FW,Valencia,26,1991,29.7,16,91,38,41.8,3.07,1.28,0.16,0.39,15.5,2,1,1,13.7,13.0,0.14,+2.3,+2.0
434,Kévin Rodrigues,pt  POR,DF,Real Sociedad,23,1994,18.2,1,14,3,21.4,0.77,0.16,0.07,0.33,23.7,0,0,0,0.4,0.4,0.03,+0.6,+0.6
435,Ángel Rodríguez,es  ESP,FW,Getafe,30,1987,25.4,13,70,29,41.4,2.75,1.14,0.19,0.45,15.7,0,0,1,10.0,9.3,0.13,+3.0,+3.7
