,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes
404,Georgios Samaras,gr  GRE,"FW,MF",West Brom,29,1985,5,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
405,Alexis Sánchez,cl  CHI,"FW,MF",Arsenal,25,1988,35,34,2942,32.7,16,8,16,0,1,4,0,0.49,0.24,0.73,0.49,0.73
406,Carlos Sánchez,co  COL,MF,Aston Villa,28,1986,28,20,1988,22.1,1,0,1,0,0,7,1,0.05,0.00,0.05,0.05,0.05
407,Sandro,br  BRA,MF,QPR,25,1989,17,17,1209,13.4,1,0,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07
408,Jeffrey Schlupp,gh  GHA,"DF,FW",Leicester City,21,1992,32,30,2531,28.1,3,2,3,0,0,4,0,0.11,0.07,0.18,0.11,0.18
409,Kasper Schmeichel,dk  DEN,GK,Leicester City,27,1986,24,24,2160,24.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
410,Morgan Schneiderlin,fr  FRA,MF,Southampton,24,1989,26,24,2186,24.3,4,1,4,0,0,6,1,0.16,0.04,0.21,0.16,0.21
411,André Schürrle,de  GER,"FW,MF",Chelsea,23,1990,14,5,436,4.8,3,0,3,0,0,2,0,0.62,0.00,0.62,0.62,0.62
412,Mark Schwarzer,au  AUS,GK,Leicester City,41,1972,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
413,Ryan Seager,eng  ENG,FW,Southampton,18,1996,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
414,Philippe Senderos,ch  SUI,DF,Aston Villa,29,1985,8,7,633,7.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
415,Stéphane Sessègnon,bj  BEN,"FW,MF",West Brom,30,1984,28,20,1761,19.6,1,3,1,0,0,5,0,0.05,0.15,0.20,0.05,0.20
