,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving
207,Moi Gómez,es  ESP,"MF,FW",Villarreal,27,1994,14.3,695,10,113,305,287,25,695,13,22,59.1,12,18,503,65
208,Papu Gómez,ar  ARG,"FW,MF",Sevilla,33,1988,19.8,1157,22,176,558,435,41,1157,28,54,51.9,34,28,920,64
209,Sergi Gómez,es  ESP,DF,Espanyol,29,1992,30.2,1634,265,996,612,31,14,1634,1,1,100.0,5,3,1080,1
210,Maxime Gonalons,fr  FRA,MF,Granada,32,1989,17.2,830,56,241,520,82,7,830,14,21,66.7,14,17,470,4
211,Diego González,es  ESP,DF,Elche,26,1995,19.9,899,147,560,325,18,9,899,1,1,100.0,5,0,511,1
212,Édgar González,es  ESP,DF,Betis,24,1997,16.3,1073,128,563,496,20,6,1073,4,4,100.0,5,1,736,2
213,Giovanni González,uy  URU,DF,Mallorca,26,1994,4.1,245,21,67,109,74,9,245,3,4,75.0,2,3,123,11
214,Nicolás González,es  ESP,MF,Barcelona,19,2002,12.4,831,17,111,470,262,27,831,34,43,79.1,37,19,617,37
215,Peter González,do  DOM,"MF,DF",Real Madrid,19,2002,0.3,25,1,5,8,12,2,25,1,1,100.0,1,1,18,1
216,Roberto González,es  ESP,"FW,MF",Betis,20,2001,1.5,58,1,7,27,24,2,58,2,5,40.0,3,1,38,5
217,Gori,es  ESP,MF,Espanyol,19,2002,0.1,8,0,1,4,3,0,8,0,0,,0,0,5,0
218,Andoni Gorosabel,es  ESP,DF,Real Sociedad,24,1996,25.4,1651,62,423,798,450,31,1651,18,34,52.9,27,14,977,59
219,Jaume Grau,es  ESP,MF,Osasuna,24,1997,0.0,4,0,1,3,0,0,4,0,0,,0,0,3,0
220,Dominik Greif,sk  SVK,GK,Mallorca,24,1997,1.0,33,32,33,0,0,0,33,0,0,,0,0,11,0
221,Clément Grenier,fr  FRA,MF,Mallorca,30,1991,0.7,48,1,12,23,14,4,48,0,1,0.0,0,1,31,3
222,Arnaut Groeneveld,nl  NED,FW,Villarreal,24,1997,16.4,547,7,35,130,387,123,544,33,61,54.1,33,18,438,137
223,Andrés Guardado,mx  MEX,MF,Betis,34,1986,15.5,1102,48,277,708,130,13,1102,6,10,60.0,15,4,742,14
224,Sergi Guardiola,es  ESP,FW,Rayo Vallecano,30,1991,19.0,610,19,51,245,320,83,609,13,20,65.0,58,32,457,100
225,Nemanja Gudelj,rs  SRB,"DF,MF",Sevilla,29,1991,11.6,790,88,394,370,30,3,790,0,0,,7,2,525,5
226,Gonçalo Guedes,pt  POR,"FW,MF",Valencia,24,1996,29.0,1188,5,81,428,707,88,1187,64,124,51.6,99,46,910,169
227,Ander Guevara,es  ESP,MF,Real Sociedad,24,1997,9.6,691,28,176,438,86,9,691,3,4,75.0,10,4,472,12
228,John Guidetti,se  SWE,"FW,MF",Alavés,29,1992,3.1,102,0,4,39,61,16,102,4,6,66.7,6,2,74,19
229,Hugo Guillamón,es  ESP,"MF,DF",Valencia,21,2000,26.2,1330,83,399,766,176,10,1330,10,16,62.5,27,21,735,14
230,Gerard Gumbau,es  ESP,MF,Elche,26,1994,21.0,1253,40,293,711,263,7,1253,7,13,53.8,23,6,787,13
231,Jon Guridi,es  ESP,MF,Real Sociedad,26,1995,2.3,111,6,14,68,29,6,111,5,9,55.6,5,0,72,3
232,Raúl Guti,es  ESP,MF,Elche,24,1996,18.1,931,18,186,579,176,14,931,11,21,52.4,20,15,667,21
233,Marcos Mauro López Gutiérrez,ar  ARG,DF,Cádiz,30,1991,1.5,40,10,20,19,1,1,40,0,0,,0,0,9,0
234,Miguel Gutiérrez,es  ESP,DF,Real Madrid,20,2001,2.9,204,9,69,85,53,3,204,6,9,66.7,1,2,143,4
235,Munir El Haddadi,ma  MAR,"FW,MF",Sevilla,25,1995,5.3,202,3,28,90,86,16,202,2,8,25.0,17,9,134,18
236,Varazdat Haroyan,am  ARM,DF,Cádiz,28,1992,16.0,592,95,352,224,20,7,592,3,4,75.0,6,1,257,3
237,Eden Hazard,be  BEL,"FW,MF",Real Madrid,30,1991,8.0,469,1,42,148,288,63,469,25,31,80.6,21,11,415,80
238,Kike Hermoso,es  ESP,DF,Betis,21,1999,1.0,73,7,52,19,2,2,73,1,1,100.0,1,0,47,0
239,Mario Hermoso,es  ESP,DF,Atlético Madrid,26,1995,20.7,1473,83,540,755,187,27,1473,8,11,72.7,10,5,954,10
240,Aridane Hernández,gq  EQG,DF,Osasuna,32,1989,12.9,670,87,352,307,13,4,670,2,3,66.7,4,2,363,0
241,Luis Hernández,es  ESP,DF,Cádiz,32,1989,15.2,885,70,371,396,121,15,885,0,0,,3,1,528,2
242,Mario Hernández,es  ESP,"DF,FW",Rayo Vallecano,22,1999,4.4,248,6,70,120,61,2,248,2,6,33.3,9,3,129,4
243,Héctor Herrera,mx  MEX,MF,Atlético Madrid,31,1990,9.5,769,30,156,498,123,7,769,16,19,84.2,14,3,518,12
244,Sergio Herrera,es  ESP,GK,Osasuna,28,1993,36.0,1257,929,1244,13,0,0,1257,3,3,100.0,3,0,416,0
245,Yangel Herrera,ve  VEN,MF,Espanyol,23,1998,18.3,1093,51,261,664,178,24,1093,19,30,63.3,27,23,725,33
246,Matthew Hoppe,us  USA,"FW,MF",Mallorca,20,2001,1.5,47,0,5,23,19,3,47,0,3,0.0,3,4,38,9
247,Robert Ibáñez,es  ESP,"MF,FW",Osasuna,28,1993,1.0,58,0,12,14,32,7,58,2,2,100.0,4,3,39,6
248,Vicente Iborra,es  ESP,MF,Villarreal,33,1988,11.5,733,48,210,444,84,10,733,2,4,50.0,6,5,499,7
249,Iglesias,es  ESP,DF,Getafe,23,1998,8.0,437,25,132,208,103,3,437,5,9,55.6,13,7,167,7
250,Borja Iglesias,es  ESP,FW,Betis,28,1993,17.5,506,8,27,216,267,83,503,13,32,40.6,46,30,384,98
251,Asier Illarramendi,es  ESP,MF,Real Sociedad,31,1990,4.2,339,17,103,200,38,0,339,3,7,42.9,4,6,229,4
252,Nikita Iosifov,ru  RUS,MF,Villarreal,20,2001,0.0,4,0,0,0,4,1,4,1,1,100.0,0,0,4,1
253,Alexander Isak,se  SWE,FW,Real Sociedad,21,1999,23.8,695,13,44,239,428,128,693,44,88,50.0,56,36,529,139
254,Isco,es  ESP,"MF,FW",Real Madrid,29,1992,3.7,312,2,36,162,122,20,312,17,25,68.0,10,7,256,12
255,Nicolas Jackson,sn  SEN,"FW,MF",Villarreal,20,2001,1.8,78,1,3,32,47,16,78,4,6,66.7,9,6,64,18
256,Jakub Jankto,cz  CZE,"DF,MF",Getafe,25,1996,6.5,296,8,62,146,93,10,296,4,6,66.7,8,4,165,17
257,Adnan Januzaj,be  BEL,"FW,MF",Real Sociedad,26,1995,18.1,1022,19,98,419,518,53,1020,46,79,58.2,79,45,722,84
258,Luis Javier Suárez,co  COL,FW,Granada,23,1997,31.6,1032,29,85,439,522,107,1031,44,79,55.7,103,42,743,159
259,Álvaro Jiménez,es  ESP,"MF,FW",Cádiz,26,1995,2.6,110,1,13,31,68,7,110,8,15,53.3,9,2,69,6
260,Joaquín,es  ESP,"FW,MF",Betis,40,1981,5.2,341,11,41,131,175,20,341,17,30,56.7,6,7,226,22
261,Jofre,es  ESP,"MF,DF",Espanyol,20,2001,0.2,12,0,0,2,10,2,12,0,1,0.0,1,0,11,7
262,Frenkie de Jong,nl  NED,MF,Barcelona,24,1997,27.5,1871,36,260,1135,498,63,1871,51,60,85.0,37,28,1478,108
263,Luuk de Jong,nl  NED,FW,Barcelona,30,1990,7.3,280,13,29,138,116,46,280,3,4,75.0,28,15,213,56
264,Joan Jordán,es  ESP,MF,Sevilla,27,1994,27.9,2060,53,456,1174,442,24,2060,23,37,62.2,36,21,1516,54
265,Josan,es  ESP,"DF,MF",Elche,31,1989,13.5,673,26,180,261,242,30,673,27,46,58.7,21,17,399,43
266,Willian José,br  BRA,FW,Betis,29,1991,17.8,686,21,64,363,264,52,683,6,16,37.5,36,36,532,81
267,Joselu,es  ESP,FW,Alavés,31,1990,34.7,1473,51,109,731,640,154,1466,18,51,35.3,79,34,1138,122
268,Josema,es  ESP,DF,Elche,25,1996,2.0,85,12,39,37,11,0,85,0,0,,4,0,33,0
269,Luka Jović,rs  SRB,FW,Real Madrid,23,1997,4.1,119,4,15,52,52,24,119,3,6,50.0,9,6,84,17
270,Miguel Juan Llambrich,es  ESP,DF,Espanyol,25,1996,0.8,58,4,26,24,8,0,58,2,3,66.7,2,0,35,3
271,José Juan Macías,mx  MEX,"FW,MF",Getafe,21,1999,2.2,71,0,4,32,36,8,71,5,10,50.0,10,2,57,15
272,Juanmi,es  ESP,FW,Betis,28,1993,23.7,773,20,117,327,345,84,773,29,44,65.9,73,29,485,90
273,Lago Junior,ci  CIV,"FW,MF",Mallorca,30,1990,2.0,72,1,13,17,43,10,72,3,8,37.5,3,6,62,8
274,Vinicius Júnior,br  BRA,FW,Real Madrid,21,2000,29.9,1705,7,149,430,1154,228,1705,95,209,45.5,86,59,1466,269
275,Jutglà,es  ESP,FW,Barcelona,22,1999,3.3,153,1,11,63,79,13,153,2,5,40.0,5,3,127,23
276,Jens Jønsson,dk  DEN,MF,Cádiz,28,1993,14.5,489,52,174,240,79,15,489,8,10,80.0,18,4,201,14
277,Lee Kangin,kr  KOR,"MF,FW",Mallorca,20,2001,15.7,764,8,94,358,328,23,764,38,61,62.3,47,32,527,50
278,Kike,es  ESP,FW,Osasuna,31,1989,20.7,759,13,52,325,387,105,758,13,35,37.1,84,37,602,131
279,Koba Koindredi,fr  FRA,MF,Valencia,19,2001,2.0,76,5,22,37,17,2,76,2,3,66.7,6,3,42,3
280,Koke,es  ESP,MF,Atlético Madrid,29,1992,27.9,1987,47,384,1190,421,27,1987,13,18,72.2,25,32,1498,40
281,Luca Koleosho,ca  CAN,FW,Espanyol,16,2004,0.0,2,1,1,0,1,0,2,0,0,,0,0,1,0
282,Geoffrey Kondogbia,cf  CTA,"MF,DF",Atlético Madrid,28,1993,20.9,1229,53,313,780,149,6,1229,29,33,87.9,29,26,751,5
283,Jules Koundé,fr  FRA,DF,Sevilla,22,1998,30.4,2431,322,1162,1062,225,49,2431,24,39,61.5,27,12,1722,18
284,Toni Kroos,de  GER,MF,Real Madrid,31,1990,23.4,2387,49,475,1372,557,23,2387,9,17,52.9,8,11,1966,30
285,Takefusa Kubo,jp  JPN,"FW,MF",Mallorca,20,2001,17.8,756,8,111,299,361,65,756,40,64,62.5,59,30,506,65
286,Víctor Laguardia,es  ESP,DF,Alavés,31,1989,33.8,1543,233,825,696,33,20,1543,0,0,,9,2,750,3
287,Diego Lainez,mx  MEX,FW,Betis,21,2000,1.6,75,1,7,30,38,5,75,6,9,66.7,3,8,55,6
288,Érik Lamela,ar  ARG,"FW,MF",Sevilla,29,1992,11.3,622,5,68,258,300,50,622,18,34,52.9,29,29,465,70
289,Latasa,es  ESP,FW,Real Madrid,20,2001,0.1,7,0,0,3,4,2,7,0,0,,1,0,6,1
290,Toni Lato,es  ESP,DF,Valencia,23,1997,6.6,374,15,124,153,100,3,374,8,8,100.0,4,7,164,9
291,Robin Le Normand,fr  FRA,DF,Real Sociedad,24,1996,37.0,2478,335,1294,1130,64,38,2478,1,3,33.3,15,3,1635,4
292,Jeremías Ledesma,ar  ARG,GK,Cádiz,28,1993,38.0,1282,1068,1269,13,1,1,1282,2,2,100.0,2,0,399,0
293,Wu Lei,cn  CHN,"FW,MF",Espanyol,29,1991,5.3,137,3,18,71,51,18,137,1,6,16.7,8,1,80,17
294,Florian Lejeune,fr  FRA,DF,Alavés,30,1991,30.0,1491,226,788,662,54,22,1491,3,6,50.0,10,1,729,3
295,Iñigo Lekue,es  ESP,DF,Athletic Club,28,1993,21.4,1413,88,451,632,348,11,1413,13,29,44.8,28,10,710,22
296,Thomas Lemar,fr  FRA,MF,Atlético Madrid,25,1995,16.0,963,19,112,420,435,44,963,33,56,58.9,18,34,686,59
297,Ruben Lendinez,es  ESP,DF,Valencia,18,2003,1.5,68,6,26,36,6,2,68,0,0,,0,0,36,0
298,Clément Lenglet,fr  FRA,DF,Barcelona,26,1995,9.2,891,66,286,573,35,5,891,1,2,50.0,5,2,685,0
299,Javier Llabrés,es  ESP,"FW,MF",Mallorca,18,2002,1.5,81,0,7,34,42,4,81,4,6,66.7,4,1,63,6
300,Marcos Llorente,es  ESP,"MF,DF",Atlético Madrid,26,1995,27.2,1565,58,404,674,504,53,1565,19,30,63.3,40,22,972,113
301,Giovani Lo Celso,ar  ARG,"FW,MF",Villarreal,25,1996,11.0,646,8,79,313,262,38,646,26,40,65.0,25,17,516,68
302,Julen Lobete,es  ESP,"FW,MF",Real Sociedad,20,2000,3.2,108,3,13,37,60,16,108,3,9,33.3,15,5,75,26
303,Renan Lodi,br  BRA,DF,Atlético Madrid,23,1998,13.1,766,28,223,317,237,35,766,17,31,54.8,22,12,476,59
304,David López,es  ESP,"MF,DF",Espanyol,31,1989,8.3,509,42,222,261,29,7,509,2,2,100.0,7,2,304,4
305,Diego López,es  ESP,GK,Espanyol,39,1981,35.3,1251,1076,1239,14,0,0,1251,0,0,,0,0,403,0
306,Javi López,es  ESP,DF,Alavés,19,2002,5.1,269,19,83,143,43,0,269,2,6,33.3,6,6,151,6
307,Unai López,es  ESP,MF,Rayo Vallecano,25,1995,12.9,953,16,133,572,254,16,953,14,27,51.9,18,20,672,29
308,Mamadou Loum,sn  SEN,MF,Alavés,24,1996,25.7,1168,90,327,719,135,29,1168,26,42,61.9,47,25,583,12
309,Anthony Lozano,hn  HON,"FW,MF",Cádiz,28,1993,18.6,521,12,31,242,258,77,521,36,59,61.0,64,44,361,67
310,Florentino Luís,pt  POR,MF,Getafe,21,1999,11.0,567,22,136,369,68,6,567,7,11,63.6,16,10,301,10
311,José Luis Gayà,es  ESP,DF,Valencia,26,1995,20.8,1070,50,327,447,312,21,1070,16,29,55.2,13,5,552,44
312,José Luis Morales,es  ESP,"FW,MF",Levante,34,1987,30.2,1142,9,117,392,661,136,1137,64,156,41.0,90,55,786,169
313,Luismi,es  ESP,"FW,MF",Sevilla,20,2001,0.1,7,0,4,3,1,0,7,1,1,100.0,0,0,4,0
314,Andriy Lunin,ua  UKR,GK,Real Madrid,22,1999,2.0,88,84,88,0,0,0,88,0,0,,0,0,43,0
315,Darwin Machís,ve  VEN,"MF,FW",Granada,28,1993,15.3,646,13,112,244,300,43,646,34,60,56.7,56,22,417,59
316,Pablo Maffeo,es  ESP,DF,Mallorca,24,1997,32.7,1707,103,526,738,468,45,1707,49,79,62.0,50,55,854,57
317,Nemanja Maksimović,rs  SRB,MF,Getafe,26,1995,32.6,1184,59,262,632,300,57,1184,10,16,62.5,25,11,567,31
318,Hugo Mallo,es  ESP,DF,Celta Vigo,30,1991,20.3,1448,66,423,643,390,41,1448,8,16,50.0,19,10,826,58
319,Mickael Malsa,mq  MTQ,MF,Levante,25,1995,12.7,673,32,186,417,78,11,673,7,8,87.5,19,11,410,8
320,Giorgi Mamardashvili,ge  GEO,GK,Valencia,20,2000,18.0,541,443,537,5,0,0,541,0,0,,1,0,137,0
321,Reinildo Mandava,mz  MOZ,DF,Atlético Madrid,27,1994,14.4,835,44,355,399,86,8,835,5,7,71.4,13,5,434,12
322,Aïssa Mandi,dz  ALG,DF,Villarreal,29,1991,15.3,1109,147,575,505,32,11,1109,0,0,,6,1,826,1
323,Maranhão,br  BRA,"FW,MF",Valencia,24,1996,10.8,338,14,48,126,172,42,338,14,33,42.4,26,22,219,53
324,Nikola Maraš,rs  SRB,DF,Rayo Vallecano,25,1995,11.6,568,78,308,255,12,10,568,1,1,100.0,5,0,320,1
325,Marcelo,br  BRA,DF,Real Madrid,33,1988,5.8,504,17,94,200,213,14,504,9,10,90.0,7,1,402,29
326,Iván Marcone,ar  ARG,MF,Elche,31,1990,9.0,510,24,170,310,35,2,510,10,12,83.3,5,3,310,1
327,Óscar de Marcos,es  ESP,DF,Athletic Club,32,1989,18.7,1275,52,344,587,355,20,1275,4,13,30.8,10,7,688,36
328,José Mari,es  ESP,MF,Cádiz,33,1987,4.3,237,7,49,153,35,3,237,1,1,100.0,4,3,142,5
329,José María Giménez,uy  URU,DF,Atlético Madrid,26,1995,22.7,1137,172,617,487,39,26,1137,8,12,66.7,9,1,693,2
330,Mariano,do  DOM,FW,Real Madrid,27,1993,3.8,95,3,10,40,48,19,95,6,10,60.0,4,4,72,17
331,Mika Màrmol,es  ESP,DF,Barcelona,19,2002,0.0,5,0,0,5,0,0,5,0,0,,0,0,3,0
332,Roger Martí,es  ESP,FW,Levante,30,1991,23.5,674,8,33,340,310,90,671,14,28,50.0,57,23,490,114
333,Anthony Martial,fr  FRA,"FW,MF",Sevilla,25,1995,5.4,215,2,17,93,105,24,215,7,16,43.8,19,13,187,33
334,Martín,es  ESP,MF,Cádiz,22,1999,1.3,60,4,11,34,15,0,60,1,1,100.0,1,0,23,0
335,Ander Martin,es  ESP,"FW,MF",Real Sociedad,20,2000,1.0,68,2,8,26,34,4,68,1,4,25.0,6,1,48,4
336,Andrés Martín,es  ESP,"FW,MF",Rayo Vallecano,22,1999,2.1,53,0,3,20,30,5,53,1,3,33.3,4,5,39,7
337,Carlos Martín,es  ESP,DF,Atlético Madrid,19,2002,0.1,3,1,1,1,1,0,3,1,1,100.0,0,0,2,0
338,Iván Martín,es  ESP,"MF,FW",Alavés,22,1999,1.8,81,0,9,44,28,1,81,0,2,0.0,3,6,62,2
339,Iñigo Martínez,es  ESP,DF,Athletic Club,30,1991,26.0,1499,186,740,696,77,34,1499,2,2,100.0,7,3,795,2
340,Javi Martínez,es  ESP,"MF,FW",Osasuna,21,1999,9.8,496,14,88,222,193,26,496,11,16,68.8,24,10,321,24
341,Pablo Martínez,es  ESP,MF,Levante,23,1998,7.3,350,9,82,191,87,11,350,7,16,43.8,16,10,211,13
342,Omar Mascarell,es  ESP,MF,Elche,28,1993,27.7,1505,96,442,914,153,7,1505,12,16,75.0,20,10,921,7
343,Jaime Mata,es  ESP,FW,Getafe,32,1988,7.5,293,6,24,117,154,34,293,4,9,44.4,35,6,231,51
344,Luís Maximiano,pt  POR,GK,Granada,22,1999,34.8,1268,1061,1262,10,0,0,1268,2,2,100.0,0,3,374,0
345,Borja Mayoral,es  ESP,FW,Getafe,24,1997,11.6,369,7,29,184,162,44,368,14,29,48.3,26,16,254,47
346,Jordi Mboula,es  ESP,FW,Mallorca,22,1999,4.8,150,4,21,66,68,10,150,7,15,46.7,11,8,93,15
347,Óscar Melendo,es  ESP,"MF,FW",Espanyol,23,1997,11.0,513,7,68,301,154,10,513,15,18,83.3,13,13,408,25
348,Gonzalo Melero,es  ESP,MF,Levante,27,1994,18.8,947,46,220,561,178,27,945,12,26,46.2,31,25,698,43
349,Memphis,nl  NED,FW,Barcelona,27,1994,20.6,1166,7,51,434,690,125,1161,45,74,60.8,76,34,916,202
350,Tomás Mendes,es  ESP,MF,Alavés,16,2004,0.1,6,1,1,5,0,0,6,0,0,,0,0,3,0
351,Brais Méndez,es  ESP,MF,Celta Vigo,24,1997,33.6,1972,47,266,1064,659,77,1972,34,70,48.6,78,49,1396,123
352,Édgar Méndez,es  ESP,"FW,MF",Alavés,31,1990,17.9,630,18,110,256,276,41,630,14,26,53.8,49,20,393,79
353,Ferland Mendy,fr  FRA,DF,Real Madrid,26,1995,19.3,1513,56,390,632,506,37,1513,35,52,67.3,23,13,1109,46
354,Fran Mérida,es  ESP,MF,Espanyol,31,1990,3.0,202,4,48,122,36,2,202,9,11,81.8,2,2,126,3
355,Mikel Merino,es  ESP,MF,Real Sociedad,25,1996,32.1,2143,102,433,1231,506,82,2143,28,47,59.6,45,56,1510,83
356,Martín Merquelanz,es  ESP,"FW,MF",Rayo Vallecano,26,1995,1.9,90,1,13,35,44,2,90,3,10,30.0,5,3,58,7
357,Matt Miazga,us  USA,DF,Alavés,26,1995,9.3,424,84,254,156,18,11,424,0,0,,5,0,204,2
358,Miguel,es  ESP,"FW,MF",Alavés,21,1999,9.2,271,4,22,106,145,44,271,13,25,52.0,34,12,194,57
359,Éder Militão,br  BRA,DF,Real Madrid,23,1998,33.7,2368,302,1208,1043,136,39,2368,11,20,55.0,16,7,1585,10
360,Luis Milla,es  ESP,MF,Granada,26,1994,30.8,1699,65,326,1015,377,21,1696,28,38,73.7,34,23,982,32
361,Pere Milla,es  ESP,"MF,FW",Elche,28,1992,18.3,738,36,153,348,245,44,738,16,33,48.5,52,33,500,59
362,Santi Mina,es  ESP,FW,Celta Vigo,25,1995,26.3,955,22,97,483,388,94,954,12,21,57.1,62,34,677,130
363,Óscar Mingueza,es  ESP,DF,Barcelona,22,1999,9.9,832,35,227,425,184,7,832,6,7,85.7,8,5,597,17
364,Rafa Mir,es  ESP,FW,Sevilla,24,1997,20.1,547,17,52,277,222,80,547,12,23,52.2,59,16,382,71
365,Jorge Miramón,es  ESP,DF,Levante,32,1989,22.0,1253,96,447,529,293,14,1253,21,31,67.7,31,21,656,44
366,Juan Miranda,es  ESP,DF,Betis,21,2000,8.7,604,30,171,290,144,11,604,4,9,44.4,9,1,341,27
367,Stefan Mitrović,rs  SRB,DF,Getafe,31,1990,29.6,1123,171,659,448,22,13,1123,2,2,100.0,9,4,553,1
368,Luka Modrić,hr  CRO,MF,Real Madrid,35,1985,22.6,1866,16,332,921,627,50,1865,32,48,66.7,30,22,1491,63
369,Johan Mojica,co  COL,DF,Elche,28,1992,31.7,2136,110,744,822,589,27,2136,31,72,43.1,50,21,1259,74
370,Jorge Molina,es  ESP,FW,Granada,39,1982,21.8,712,19,59,304,352,95,711,7,17,41.2,53,25,563,98
371,Jon Moncayola,es  ESP,MF,Osasuna,23,1998,32.4,1670,61,339,948,401,19,1670,13,19,68.4,36,15,1069,63
372,Monchu,es  ESP,MF,Granada,21,1999,7.4,418,14,95,244,81,4,418,6,10,60.0,13,8,279,9
373,Gonzalo Montiel,ar  ARG,DF,Sevilla,24,1997,11.8,770,27,235,341,199,17,770,3,8,37.5,14,5,503,42
374,Ángel Montoro,es  ESP,MF,Granada,33,1988,14.8,796,34,157,486,157,18,796,0,3,0.0,18,13,481,20
375,Martín Montoya,es  ESP,DF,Betis,30,1991,5.8,395,21,100,191,104,15,395,0,1,0.0,7,2,229,14
376,Jon Morcillo,es  ESP,"MF,FW",Athletic Club,22,1998,0.6,45,0,9,15,21,2,45,0,1,0.0,4,1,25,3
377,Alberto Moreno,es  ESP,"MF,DF",Villarreal,29,1992,13.6,756,23,144,313,304,35,756,10,17,58.8,32,13,529,67
378,Álex Moreno,es  ESP,DF,Betis,28,1993,26.7,1733,103,517,727,509,69,1733,23,61,37.7,45,18,935,97
379,Gerard Moreno,es  ESP,FW,Villarreal,29,1992,13.2,606,15,46,301,270,68,604,39,61,63.9,30,29,497,87
380,Tete Morente,es  ESP,MF,Elche,24,1996,18.1,792,14,138,319,351,40,792,30,63,47.6,45,14,526,84
381,Ilaix Moriba,gn  GUI,MF,Valencia,18,2003,9.1,423,17,103,214,112,16,423,7,14,50.0,26,8,241,9
382,Manu Morlanes,es  ESP,MF,Espanyol,22,1999,12.7,770,36,187,474,117,5,770,13,15,86.7,10,6,487,6
383,Cristhian Mosquera,co  COL,DF,Valencia,17,2004,2.4,90,6,32,55,3,1,90,0,0,,2,0,55,0
384,Toni Moya,es  ESP,MF,Alavés,23,1998,15.4,744,35,155,397,202,7,744,20,25,80.0,25,12,347,13
385,Iker Muniain,es  ESP,MF,Athletic Club,28,1992,30.9,1846,15,138,847,886,71,1843,65,104,62.5,62,56,1305,114
386,Aihen Muñoz,es  ESP,DF,Real Sociedad,23,1997,14.9,901,38,297,399,216,10,901,14,28,50.0,24,12,481,28
387,Jeison Murillo,co  COL,DF,Celta Vigo,29,1992,12.4,803,70,346,442,17,8,803,3,3,100.0,2,3,553,3
388,Vedat Muriqi,xk  KVX,FW,Mallorca,27,1994,16.0,656,29,66,295,302,85,654,9,22,40.9,42,14,489,81
389,Yunus Musah,us  USA,"MF,FW",Valencia,18,2002,14.0,547,9,70,237,259,33,547,36,64,56.3,35,14,362,52
390,Shkodran Mustafi,de  GER,DF,Levante,29,1992,7.3,448,69,260,183,9,3,448,2,4,50.0,1,1,264,0
391,Nacho,es  ESP,DF,Real Madrid,31,1990,17.3,1194,146,550,540,108,13,1194,2,4,50.0,7,1,826,8
392,Roberto Navarro,es  ESP,"MF,FW",Real Sociedad,19,2002,2.2,127,3,12,72,47,8,127,7,9,77.8,9,5,90,13
393,Ximo Navarro,es  ESP,DF,Alavés,31,1990,15.0,760,72,286,357,127,9,760,5,12,41.7,20,6,353,12
394,Jesús Navas,es  ESP,DF,Sevilla,35,1985,19.8,1535,50,471,586,483,26,1535,6,15,40.0,14,8,1069,71
395,Álvaro Negredo,es  ESP,FW,Cádiz,35,1985,24.0,756,29,66,383,312,116,753,21,34,61.8,52,17,586,102
396,Neto,br  BRA,GK,Barcelona,32,1989,3.0,137,123,137,0,0,0,137,0,0,,0,0,75,0
397,Carlos Neva,es  ESP,DF,Granada,25,1996,23.4,1179,98,468,459,261,11,1179,9,16,56.3,22,8,549,44
398,Saúl Ñíguez,es  ESP,"FW,MF",Atlético Madrid,26,1994,2.2,138,3,28,73,41,6,138,1,2,50.0,2,1,76,6
399,Fernando Niño,es  ESP,FW,Mallorca,20,2000,9.8,332,17,46,149,141,37,332,9,16,56.3,23,14,228,45
400,Peru Nolaskoain,es  ESP,DF,Athletic Club,22,1998,0.0,2,0,0,2,0,0,2,0,0,,0,0,2,0
401,Nolito,es  ESP,MF,Celta Vigo,34,1986,15.4,706,7,89,349,272,41,706,13,22,59.1,27,21,472,54
402,Randy Ntekja,fr  FRA,"FW,MF",Rayo Vallecano,23,1997,16.2,627,12,56,304,272,64,627,16,30,53.3,65,33,435,73
403,Unai Núñez,es  ESP,DF,Athletic Club,24,1997,6.9,408,41,170,223,21,10,408,3,4,75.0,4,1,260,3
404,Allan Nyom,cm  CMR,DF,Getafe,33,1988,2.7,111,8,47,52,14,0,111,0,1,0.0,1,1,49,1
405,Jan Oblak,si  SVN,GK,Atlético Madrid,28,1993,38.0,1160,1016,1155,5,1,1,1160,2,2,100.0,2,0,443,0
406,Lucas Ocampos,ar  ARG,FW,Sevilla,27,1994,23.6,1213,26,173,464,593,103,1213,37,95,38.9,76,43,880,140
407,Lucas Olaza,uy  URU,DF,Elche,27,1994,3.3,234,9,60,109,65,2,234,2,2,100.0,4,3,136,6
408,Oier Olazábal,es  ESP,GK,Espanyol,31,1989,1.5,48,45,48,0,0,0,48,0,0,,0,0,13,0
409,Brian Oliván,es  ESP,DF,Mallorca,27,1994,24.3,1211,89,442,472,305,30,1210,7,10,70.0,16,7,609,41
410,Mathías Olivera,uy  URU,DF,Getafe,23,1997,31.1,1831,84,471,872,520,63,1831,27,54,50.0,62,38,876,43
411,Javier Ontiveros,es  ESP,"FW,MF",Osasuna,23,1997,0.4,37,0,3,21,14,2,37,1,1,100.0,0,1,29,2
412,Pedro Ortiz,es  ESP,MF,Sevilla,20,2000,0.1,16,1,2,9,5,1,16,0,0,,0,0,14,0
413,Milutin Osmajić,me  MNE,"FW,MF",Cádiz,22,1999,2.9,84,4,9,39,36,11,84,2,5,40.0,14,3,66,6
414,Jesús Owono,gq  EQG,GK,Alavés,20,2001,1.0,25,21,25,0,0,0,25,0,0,,0,0,4,0
415,Mikel Oyarzabal,es  ESP,"FW,MF",Real Sociedad,24,1997,18.6,811,19,98,286,443,78,806,22,43,51.2,37,29,544,104
