,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
261,Silvan Hefti,ch  SUI,DF,ch  Young Boys,23,1997,4.3,267,225,42,2,0,31,5,14,0,0,0,0,151,72,44,28,190,4,40,1,203,0,3,7,15
262,Dean Henderson,eng  ENG,GK,eng  Manchester Utd,24,1997,0.7,30,24,6,0,0,1,1,0,0,0,0,0,17,0,13,4,16,0,0,8,19,0,2,0,0
263,Jordan Henderson,eng  ENG,MF,eng  Liverpool,31,1990,7.4,625,609,16,7,1,55,17,15,0,0,0,0,459,71,95,75,517,22,5,2,536,3,6,22,12
264,Jack Hendry,sct  SCO,DF,be  Club Brugge,26,1995,6.0,186,173,13,13,0,23,4,0,0,0,0,0,129,21,36,8,155,16,0,2,156,1,3,6,2
265,Benjamin Henrichs,de  GER,DF,de  RB Leipzig,24,1997,0.6,23,20,3,0,0,2,0,0,0,0,0,0,15,6,2,6,13,1,3,0,18,0,0,0,0
266,Mario Hermoso,es  ESP,DF,es  Atlético Madrid,26,1995,4.7,196,167,29,6,1,21,9,1,0,0,0,0,109,36,51,126,26,11,23,0,142,2,2,6,6
267,Lucas Hernández,fr  FRA,DF,de  Bayern Munich,25,1996,6.3,587,533,54,14,0,43,17,3,0,0,0,0,457,58,72,511,26,8,40,1,522,1,9,9,9
268,Theo Hernández,fr  FRA,DF,it  Milan,23,1997,5.0,272,215,57,7,0,39,4,6,3,0,2,0,169,52,51,193,22,5,47,0,214,2,3,10,12
269,Ander Herrera,es  ESP,MF,fr  Paris S-G,31,1989,3.6,236,235,1,1,1,34,0,2,0,0,0,0,190,28,18,35,190,6,0,3,205,2,1,7,4
270,Héctor Herrera,mx  MEX,MF,es  Atlético Madrid,31,1990,2.5,127,116,11,5,0,33,7,0,6,2,4,0,81,9,37,18,97,11,0,0,97,1,6,3,2
271,Callum Hudson-Odoi,eng  ENG,"FW,DF",eng  Chelsea,20,2000,3.2,157,150,7,0,0,32,2,8,1,0,0,0,128,15,14,12,136,2,6,1,136,1,0,3,7
272,Mats Hummels,de  GER,"DF,FW",de  Dortmund,32,1988,3.9,307,304,3,3,2,31,5,0,0,0,0,0,240,16,51,107,182,9,0,1,274,1,3,5,3
273,Atiba Hutchinson,ca  CAN,MF,tr  Beşiktaş,38,1983,1.7,93,90,3,3,0,25,2,2,0,0,0,0,70,12,11,14,71,5,0,1,78,0,2,3,2
274,Vicente Iborra,es  ESP,MF,es  Villarreal,33,1988,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,0,0,3,0,0,0,0
275,Zlatan Ibrahimović,se  SWE,FW,it  Milan,39,1981,1.8,52,50,2,0,0,16,0,2,0,0,0,0,33,13,6,7,34,6,0,1,39,0,0,1,3
276,Mauro Icardi,ar  ARG,FW,fr  Paris S-G,28,1993,0.5,8,8,0,0,0,2,0,0,0,0,0,0,7,1,0,0,7,1,0,0,5,0,0,1,0
277,Jonathan Ikone,fr  FRA,MF,fr  Lille,23,1998,3.3,95,92,3,1,0,22,4,1,0,0,0,0,73,13,9,87,3,4,1,0,78,0,2,5,4
278,Josip Iličić,si  SVN,"FW,MF",it  Atalanta,33,1988,2.8,138,122,16,6,2,23,12,4,2,2,0,0,95,14,29,104,26,2,5,1,105,1,1,8,3
279,Gonçalo Inácio,pt  POR,DF,pt  Sporting CP,19,2001,6.2,266,251,15,15,0,29,5,0,0,0,0,0,219,22,25,208,47,8,0,0,235,0,3,7,3
280,Jo Inge Berget,no  NOR,DF,se  Malmö,30,1990,4.9,219,177,42,0,0,34,4,6,0,0,0,0,111,61,47,7,156,7,42,0,148,0,2,14,14
281,Bonke Innocent,ng  NGA,MF,se  Malmö,25,1996,5.5,222,220,2,2,0,40,6,0,0,0,0,0,176,26,20,18,185,11,0,2,195,0,3,8,5
282,Zidane Iqbal,iq  IRQ,MF,eng  Manchester Utd,18,2003,0.0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,0,0,0,3,0,0,0,0
283,Ismaily,br  BRA,DF,ua  Shakhtar,31,1990,3.9,221,189,32,4,0,30,0,3,0,0,0,0,162,40,19,149,32,5,28,1,185,0,4,12,8
284,José Izquierdo,co  COL,DF,be  Club Brugge,29,1992,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,2,0,0,1,0
285,Reece James,eng  ENG,"DF,MF",eng  Chelsea,21,1999,5.6,399,353,46,13,0,60,5,11,6,2,4,0,301,52,46,46,309,8,27,3,353,0,5,8,8
286,Gabriel Jesus,br  BRA,FW,eng  Manchester City,24,1997,3.9,126,123,3,0,0,18,0,2,0,0,0,0,112,6,8,13,109,0,0,3,108,0,0,6,2
287,Curtis Jones,eng  ENG,"MF,FW",eng  Liverpool,20,2001,2.1,137,134,3,3,0,21,4,0,0,0,0,0,115,9,13,20,116,1,0,0,124,0,1,2,3
288,Frenkie de Jong,nl  NED,MF,es  Barcelona,24,1997,5.8,339,333,6,6,0,43,6,1,0,0,0,0,281,32,26,26,298,11,0,2,303,2,3,10,7
289,Luuk de Jong,nl  NED,FW,es  Barcelona,30,1990,2.0,34,31,3,0,0,9,0,0,0,0,0,0,20,11,3,6,20,3,0,2,27,0,0,0,1
290,Joan Jordán,es  ESP,MF,es  Sevilla,27,1994,3.6,235,224,11,6,1,49,12,2,1,0,1,0,167,32,36,33,181,15,3,2,210,1,3,4,3
291,Jorginho,it  ITA,MF,eng  Chelsea,29,1991,6.2,517,504,13,12,3,77,5,2,1,0,0,0,423,46,48,42,456,10,0,4,470,0,3,15,3
292,Diogo Jota,pt  POR,FW,eng  Liverpool,24,1996,6.4,229,229,0,0,0,51,3,3,0,0,0,0,177,29,23,65,152,5,0,4,179,1,4,9,10
293,Luka Jović,rs  SRB,FW,es  Real Madrid,23,1997,1.3,41,40,1,0,0,10,0,0,0,0,0,0,30,9,2,10,26,3,0,0,36,0,0,1,2
294,Keston Julien,tt  TRI,"DF,FW",md  Sheriff Tiraspol,22,1998,0.6,20,19,1,0,0,1,2,2,0,0,0,0,10,6,4,14,1,2,1,1,14,0,0,1,1
295,Vinicius Júnior,br  BRA,FW,es  Real Madrid,21,2000,13.3,450,440,10,0,2,88,10,27,3,0,0,0,375,36,39,58,380,2,7,3,374,1,4,18,22
296,Felix Kalu Nmecha,de  GER,"MF,FW",de  Wolfsburg,20,2000,0.4,20,19,1,1,0,6,1,1,0,0,0,0,12,6,2,3,17,0,0,0,17,0,0,0,2
297,Pierre Kalulu,fr  FRA,DF,it  Milan,21,2000,2.4,103,83,20,4,0,20,2,5,0,0,0,0,56,18,29,5,75,5,16,1,73,1,2,1,5
298,Kevin Kampl,si  SVN,MF,de  RB Leipzig,30,1990,3.0,190,187,3,2,0,27,1,1,0,0,0,0,162,11,17,16,168,5,1,0,169,0,1,9,4
299,Wilfried Kanga,fr  FRA,FW,ch  Young Boys,23,1998,0.9,20,17,3,0,0,4,1,1,0,0,0,0,14,2,4,4,12,1,0,0,13,0,1,0,2
300,N'Golo Kanté,fr  FRA,MF,eng  Chelsea,30,1991,4.7,280,276,4,4,0,48,7,2,0,0,0,0,214,37,29,30,237,8,0,3,246,0,1,7,5
301,Kenan Karaman,tr  TUR,"MF,FW",tr  Beşiktaş,27,1994,3.0,79,74,5,0,1,18,1,0,0,0,0,0,54,18,7,14,58,0,0,2,60,0,1,3,5
302,Oleksandr Karavayev,ua  UKR,"DF,MF",ua  Dynamo Kyiv,29,1992,1.8,77,62,15,2,0,12,0,7,0,0,0,0,40,23,14,9,49,1,13,0,58,0,1,3,1
303,Vyacheslav Karavayev,ru  RUS,DF,ru  Zenit,26,1995,3.3,152,122,30,1,1,15,2,3,0,0,0,0,84,43,25,17,98,5,29,2,130,0,0,4,5
304,Moise Kean,it  ITA,FW,it  Juventus,21,2000,1.9,44,42,2,0,0,17,1,0,0,0,0,0,30,9,5,6,31,2,0,0,30,0,0,3,2
305,Tomasz Kędziora,pl  POL,DF,ua  Dynamo Kyiv,27,1994,4.0,161,128,33,8,0,13,5,3,0,0,0,0,101,34,26,12,117,5,25,1,132,1,0,3,9
