,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
711,Aaron Wan-Bissaka,eng  ENG,"DF,FW",eng  Manchester Utd,23,1997,4.7,256,303,84.5,4035,1263,138,151,91.4,101,118,85.6,13,23,56.5,0,0.0,0.0,1,7,3,1,12
712,Timothy Weah,us  USA,"MF,FW",fr  Lille,21,2000,2.8,53,74,71.6,888,197,30,39,76.9,18,27,66.7,5,6,83.3,0,0.0,0.0,1,4,2,0,9
713,Wout Weghorst,nl  NED,FW,de  Wolfsburg,28,1992,4.4,77,103,74.8,1079,223,53,70,75.7,16,19,84.2,5,6,83.3,0,0.2,-0.2,4,7,1,0,5
714,Julian Weigl,de  GER,MF,pt  Benfica,25,1995,9.0,315,363,86.8,6732,1560,99,115,86.1,137,154,89.0,67,79,84.8,0,0.7,-0.7,5,28,0,0,27
715,Welinton,br  BRA,DF,tr  Beşiktaş,32,1989,3.5,152,186,81.7,3280,1490,44,51,86.3,73,82,89.0,33,49,67.3,0,0.0,0.0,0,12,0,0,14
716,Wendel,br  BRA,MF,ru  Zenit,23,1997,5.3,273,305,89.5,4955,1132,117,127,92.1,117,125,93.6,36,39,92.3,0,0.3,-0.3,4,28,4,0,20
717,Wendell,br  BRA,DF,pt  Porto,28,1993,1.5,54,70,77.1,945,290,23,27,85.2,25,29,86.2,5,11,45.5,0,0.0,0.0,1,1,1,0,6
718,Timo Werner,de  GER,FW,eng  Chelsea,25,1996,2.7,59,77,76.6,769,149,39,46,84.8,16,22,72.7,2,3,66.7,2,1.5,+0.5,4,0,7,0,8
719,Georginio Wijnaldum,nl  NED,MF,fr  Paris S-G,30,1990,2.9,93,103,90.3,1399,253,60,61,98.4,23,27,85.2,7,7,100.0,0,0.4,-0.4,2,4,1,1,3
720,Neco Williams,wls  WAL,"DF,FW",eng  Liverpool,20,2001,2.0,95,129,73.6,1670,848,56,72,77.8,26,35,74.3,12,18,66.7,0,0.1,-0.1,4,10,5,2,8
721,Axel Witsel,be  BEL,MF,de  Dortmund,32,1989,5.2,302,323,93.5,5399,1210,139,148,93.9,126,134,94.0,35,39,89.7,0,0.4,-0.4,2,32,1,0,18
722,Maximilian Wöber,at  AUT,DF,at  RB Salzburg,23,1998,6.3,260,329,79.0,6233,1952,45,55,81.8,146,162,90.1,65,105,61.9,0,0.0,0.0,0,18,2,0,26
723,Marius Wolf,de  GER,"DF,FW",de  Dortmund,26,1995,1.9,66,90,73.3,1072,318,31,42,73.8,26,33,78.8,5,7,71.4,0,0.3,-0.3,3,4,3,1,4
724,Max Woltman,eng  ENG,FW,eng  Liverpool,17,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
