club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season
RCD Espanyol Barcelona,Nano Mesa,26,Spain,Centre-Forward,CF,€500Th.,Real Zaragoza,Spain,loan transfer,out,summer,liga,2021
RCD Espanyol Barcelona,Jorge Pombo,27,Spain,Attacking Midfield,AM,€1.00m,Real Oviedo,Spain,loan transfer,out,summer,liga,2021
RCD Espanyol Barcelona,Filip Malbasic,28,Serbia,Right Winger,RW,€900Th.,Without Club,,-,out,summer,liga,2021
RCD Espanyol Barcelona,Augusto Fernández,35,Argentina,Central Midfield,CM,-,,,-,out,summer,liga,2021
RCD Espanyol Barcelona,Rubén Sobrino,29,Spain,Centre-Forward,CF,€1.50m,Valencia,Spain,"End of loanJun 30, 2021",out,summer,liga,2021
RCD Espanyol Barcelona,Ivan Saponjic,23,Serbia,Centre-Forward,CF,€900Th.,Atlético Madrid,Spain,"End of loanJun 30, 2021",out,summer,liga,2021
RCD Espanyol Barcelona,Jairo Izquierdo,27,Spain,Left Winger,LW,€800Th.,Girona,Spain,"End of loanJun 30, 2021",out,summer,liga,2021
RCD Espanyol Barcelona,Jeremías Ledesma,28,Argentina,Goalkeeper,GK,€6.00m,Rosario Central,Argentina,"End of loanJun 30, 2021",out,summer,liga,2021
RCD Espanyol Barcelona,David Mayoral,24,Spain,Right Winger,RW,€400Th.,CD Lugo,Spain,loan transfer,out,summer,liga,2021
RCD Mallorca,Iván Marcone,31,Argentina,Defensive Midfield,DM,€3.00m,Boca Juniors,Argentina,€4.00m,in,summer,liga,2021
RCD Mallorca,Lucas Boyé,25,Argentina,Centre-Forward,CF,€3.50m,Torino,Italy,€2.00m,in,summer,liga,2021
RCD Mallorca,Johan Mojica,28,Colombia,Left-Back,LB,€3.00m,Girona,Spain,€1.20m,in,summer,liga,2021
RCD Mallorca,Gerard Gumbau,26,Spain,Defensive Midfield,DM,€1.00m,Girona,Spain,free transfer,in,summer,liga,2021
RCD Mallorca,Lucas Pérez,32,Spain,Centre-Forward,CF,€2.50m,Alavés,Spain,free transfer,in,summer,liga,2021
RCD Mallorca,Enzo Roco,28,Chile,Centre-Back,CB,€1.50m,Karagümrük,Turkey,free transfer,in,summer,liga,2021
RCD Mallorca,Omar Mascarell,28,Spain,Defensive Midfield,DM,€3.50m,FC Schalke 04,Germany,free transfer,in,summer,liga,2021
RCD Mallorca,Pedro Bigas,31,Spain,Centre-Back,CB,€1.20m,SD Eibar,Spain,free transfer,in,summer,liga,2021
RCD Mallorca,Darío Benedetto,31,Argentina,Centre-Forward,CF,€5.00m,Marseille,France,loan transfer,in,summer,liga,2021
RCD Mallorca,Kiko Casilla,34,Spain,Goalkeeper,GK,€800Th.,Leeds,England,loan transfer,in,summer,liga,2021
RCD Mallorca,Javier Pastore,32,Argentina,Attacking Midfield,AM,€1.00m,Without Club,,-,in,summer,liga,2021
RCD Mallorca,Axel Werner,25,Argentina,Goalkeeper,GK,€1.00m,Without Club,,-,in,summer,liga,2021
RCD Mallorca,Luismi,29,Spain,Defensive Midfield,DM,€500Th.,Real Oviedo,Spain,free transfer,out,summer,liga,2021
RCD Mallorca,Dani Calvo,27,Spain,Centre-Back,CB,€1.50m,Real Oviedo,Spain,free transfer,out,summer,liga,2021
RCD Mallorca,Ramón Folch,31,Spain,Central Midfield,CM,€200Th.,CE Sabadell,Spain,free transfer,out,summer,liga,2021
RCD Mallorca,Miguel Cifuentes,30,Spain,Right-Back,RB,€600Th.,UD Ibiza,Spain,free transfer,out,summer,liga,2021
RCD Mallorca,Omenuke Mfulu,27,DR Congo,Defensive Midfield,DM,€800Th.,UD Las Palmas,Spain,free transfer,out,summer,liga,2021
RCD Mallorca,Manu Justo,25,Spain,Second Striker,SS,€250Th.,Racing,Spain,loan transfer,out,summer,liga,2021
RCD Mallorca,Víctor Rodríguez,31,Spain,Left Winger,LW,€500Th.,Without Club,,-,out,summer,liga,2021
RCD Mallorca,Nino,41,Spain,Centre-Forward,CF,-,,,-,out,summer,liga,2021
RCD Mallorca,Paulo Gazzaniga,29,Argentina,Goalkeeper,GK,€3.00m,Spurs,England,"End of loanJun 30, 2021",out,summer,liga,2021
RCD Mallorca,Johan Mojica,28,Colombia,Left-Back,LB,€3.00m,Girona,Spain,"End of loanJun 30, 2021",out,summer,liga,2021
RCD Mallorca,Iván Marcone,31,Argentina,Defensive Midfield,DM,€3.00m,Boca Juniors,Argentina,"End of loanJun 30, 2021",out,summer,liga,2021
RCD Mallorca,Lucas Boyé,25,Argentina,Centre-Forward,CF,€3.50m,Torino,Italy,"End of loanJun 30, 2021",out,summer,liga,2021
Rayo Vallecano,Matthew Hoppe,20,United States,Centre-Forward,CF,€4.50m,FC Schalke 04,Germany,€3.50m,in,summer,liga,2021
Rayo Vallecano,Amath Ndiaye,24,Senegal,Left Winger,LW,€4.00m,Getafe,Spain,€3.00m,in,summer,liga,2021
Rayo Vallecano,Dominik Greif,24,Slovakia,Goalkeeper,GK,€2.00m,Slo. Bratislava,Slovakia,€2.50m,in,summer,liga,2021
Rayo Vallecano,Pablo Maffeo,23,Spain,Right-Back,RB,€3.50m,VfB Stuttgart,Germany,Loan fee:€500Th.,in,summer,liga,2021
Rayo Vallecano,Jaume Costa,33,Spain,Left-Back,LB,€2.00m,Villarreal,Spain,free transfer,in,summer,liga,2021
Rayo Vallecano,Kang-in Lee,20,"Korea, South",Attacking Midfield,AM,€10.00m,Valencia,Spain,free transfer,in,summer,liga,2021
Rayo Vallecano,Ángel Rodríguez,34,Spain,Centre-Forward,CF,€2.00m,Getafe,Spain,free transfer,in,summer,liga,2021
Rayo Vallecano,Takefusa Kubo,20,Japan,Right Winger,RW,€10.00m,Real Madrid,Spain,loan transfer,in,summer,liga,2021
Rayo Vallecano,Rodrigo Battaglia,30,Argentina,Central Midfield,CM,€2.50m,Sporting CP,Portugal,loan transfer,in,summer,liga,2021
Rayo Vallecano,Fer Niño,20,Spain,Centre-Forward,CF,€5.00m,Villarreal,Spain,loan transfer,in,summer,liga,2021
Rayo Vallecano,Ante Budimir,29,Croatia,Centre-Forward,CF,€9.00m,CA Osasuna,Spain,€8.00m,out,summer,liga,2021
Rayo Vallecano,Stoichkov,27,Spain,Attacking Midfield,AM,€2.50m,SD Eibar,Spain,€1.00m,out,summer,liga,2021
Rayo Vallecano,Josep Señé,29,Spain,Attacking Midfield,AM,€400Th.,CD Lugo,Spain,free transfer,out,summer,liga,2021
Rayo Vallecano,Pablo Valcarce,28,Spain,Right Winger,RW,€400Th.,Burgos CF,Spain,free transfer,out,summer,liga,2021
Rayo Vallecano,Fran Gámez,29,Spain,Right-Back,RB,€500Th.,Real Zaragoza,Spain,free transfer,out,summer,liga,2021
Rayo Vallecano,Enzo Lombardo,24,France,Left Winger,LW,€400Th.,SD Huesca,Spain,free transfer,out,summer,liga,2021
Rayo Vallecano,Igor Zlatanovic,23,Serbia,Centre-Forward,CF,€500Th.,Maccabi Netanya,Israel,free transfer,out,summer,liga,2021
Rayo Vallecano,Miquel Parera,25,Spain,Goalkeeper,GK,€200Th.,Racing,Spain,free transfer,out,summer,liga,2021
Rayo Vallecano,Álex Alegría,28,Spain,Centre-Forward,CF,€500Th.,Burgos CF,Spain,loan transfer,out,summer,liga,2021
Rayo Vallecano,Braian Cufré,24,Argentina,Left-Back,LB,€2.00m,Málaga CF,Spain,loan transfer,out,summer,liga,2021
Rayo Vallecano,Aleksandar Trajkovski,28,North Macedonia,Left Winger,LW,€400Th.,Aalborg BK,Denmark,loan transfer,out,summer,liga,2021
Rayo Vallecano,Álex López,27,Spain,Centre-Forward,CF,€300Th.,Without Club,,-,out,summer,liga,2021
Rayo Vallecano,Murilo de Souza,26,Brazil,Right Winger,RW,€600Th.,SC Braga,Portugal,"End of loanJun 30, 2021",out,summer,liga,2021
Rayo Vallecano,Koke Vegas,25,Spain,Goalkeeper,GK,€400Th.,Levante,Spain,"End of loanJun 30, 2021",out,summer,liga,2021
Rayo Vallecano,Víctor Mollejo,20,Spain,Right Winger,RW,€3.00m,Atlético Madrid,Spain,"End of loanAug 30, 2021",out,summer,liga,2021
Rayo Vallecano,Álvaro Giménez,30,Spain,Centre-Forward,CF,€1.00m,Cádiz CF,Spain,"End of loanJun 30, 2021",out,summer,liga,2021
Rayo Vallecano,Amath Ndiaye,24,Senegal,Left Winger,LW,€4.00m,Getafe,Spain,"End of loanJun 30, 2021",out,summer,liga,2021
Rayo Vallecano,Marc Cardona,25,Spain,Centre-Forward,CF,€600Th.,CA Osasuna,Spain,"End of loanJun 30, 2021",out,summer,liga,2021
Real Betis Balompié,Arnaut Danjuma,24,Netherlands,Left Winger,LW,€25.00m,Bournemouth,England,€23.50m,in,summer,liga,2021
Real Betis Balompié,Juan Foyth,23,Argentina,Centre-Back,CB,€15.00m,Spurs,England,€15.00m,in,summer,liga,2021
Real Betis Balompié,Boulaye Dia,24,Senegal,Centre-Forward,CF,€14.00m,Stade Reims,France,€12.00m,in,summer,liga,2021
Real Betis Balompié,Manu Morlanes,22,Spain,Central Midfield,CM,€5.00m,UD Almería,Spain,€4.00m,in,summer,liga,2021
Real Betis Balompié,Aïssa Mandi,29,Algeria,Centre-Back,CB,€8.00m,Real Betis,Spain,free transfer,in,summer,liga,2021
Real Betis Balompié,Serge Aurier,28,Cote d'Ivoire,Right-Back,RB,€15.00m,Without Club,,-,in,summer,liga,2021
Real Betis Balompié,Manu Morlanes,22,Spain,Central Midfield,CM,€5.00m,UD Almería,Spain,€3.00m,out,summer,liga,2021
Real Betis Balompié,Ramiro Funes Mori,30,Argentina,Centre-Back,CB,€2.00m,Al-Nassr FC,Saudi Arabia,€2.50m,out,summer,liga,2021
Real Betis Balompié,Mario González,25,Spain,Centre-Forward,CF,€3.00m,SC Braga,Portugal,€1.50m,out,summer,liga,2021
Real Betis Balompié,Enric Franquesa,24,Spain,Left-Back,LB,€800Th.,Levante,Spain,€750Th.,out,summer,liga,2021
Real Betis Balompié,Miguelón,25,Spain,Right-Back,RB,€1.00m,Espanyol,Spain,€500Th.,out,summer,liga,2021
Real Betis Balompié,Soufiane Chakla,27,Morocco,Centre-Back,CB,€800Th.,OH Leuven,Belgium,free transfer,out,summer,liga,2021
Real Betis Balompié,Andrei Ratiu,23,Romania,Right-Back,RB,€600Th.,SD Huesca,Spain,free transfer,out,summer,liga,2021
Real Betis Balompié,Carlos Bacca,34,Colombia,Centre-Forward,CF,€1.50m,Granada CF,Spain,free transfer,out,summer,liga,2021
Real Betis Balompié,Jaume Costa,33,Spain,Left-Back,LB,€2.00m,RCD Mallorca,Spain,free transfer,out,summer,liga,2021
Real Betis Balompié,Iván Martín,22,Spain,Attacking Midfield,AM,€800Th.,Alavés,Spain,loan transfer,out,summer,liga,2021
Real Betis Balompié,Xavi Quintillà,24,Spain,Left-Back,LB,€2.00m,CD Leganés,Spain,loan transfer,out,summer,liga,2021
Real Betis Balompié,Manu Morlanes,22,Spain,Central Midfield,CM,€5.00m,Espanyol,Spain,loan transfer,out,summer,liga,2021
Real Betis Balompié,Fer Niño,20,Spain,Centre-Forward,CF,€5.00m,RCD Mallorca,Spain,loan transfer,out,summer,liga,2021
Real Betis Balompié,Javi Ontiveros,23,Spain,Left Winger,LW,€4.00m,CA Osasuna,Spain,loan transfer,out,summer,liga,2021
Real Betis Balompié,Jorge Cuenca,21,Spain,Centre-Back,CB,€6.00m,Getafe,Spain,loan transfer,out,summer,liga,2021
Real Betis Balompié,Juan Foyth,23,Argentina,Centre-Back,CB,€15.00m,Spurs,England,"End of loanJun 30, 2021",out,summer,liga,2021
Real Madrid,Emerson Royal,22,Brazil,Right-Back,RB,€25.00m,Real Betis,Spain,€14.00m,in,summer,liga,2021
Real Madrid,Yusuf Demir,18,Austria,Right Winger,RW,€12.00m,Rapid Vienna,Austria,Loan fee:€500Th.,in,summer,liga,2021
Real Madrid,Sergio Agüero,33,Argentina,Centre-Forward,CF,-,Man City,England,free transfer,in,summer,liga,2021
Real Madrid,Eric García,20,Spain,Centre-Back,CB,€20.00m,Man City,England,free transfer,in,summer,liga,2021
Real Madrid,Memphis Depay,27,Netherlands,Centre-Forward,CF,€45.00m,Olympique Lyon,France,free transfer,in,summer,liga,2021
Real Madrid,Luuk de Jong,31,Netherlands,Centre-Forward,CF,€7.50m,Sevilla FC,Spain,loan transfer,in,summer,liga,2021
Real Madrid,Emerson Royal,22,Brazil,Right-Back,RB,€25.00m,Spurs,England,€25.00m,out,summer,liga,2021
Real Madrid,Junior Firpo,24,Dominican Republic,Left-Back,LB,€12.00m,Leeds,England,€15.00m,out,summer,liga,2021
Real Madrid,Antoine Griezmann,30,France,Second Striker,SS,€50.00m,Atlético Madrid,Spain,Loan fee:€10.00m,out,summer,liga,2021
Real Madrid,Jean-Clair Todibo,21,France,Centre-Back,CB,€14.00m,OGC Nice,France,€8.50m,out,summer,liga,2021
Real Madrid,Francisco Trincão,21,Portugal,Right Winger,RW,€22.00m,Wolves,England,Loan fee:€6.00m,out,summer,liga,2021
Real Madrid,Carles Aleñá,23,Spain,Central Midfield,CM,€15.00m,Getafe,Spain,€5.00m,out,summer,liga,2021
Real Madrid,Lionel Messi,34,Argentina,Right Winger,RW,€80.00m,Paris SG,France,free transfer,out,summer,liga,2021
Real Madrid,Monchu,21,Spain,Central Midfield,CM,€4.00m,Granada CF,Spain,free transfer,out,summer,liga,2021
Real Madrid,Matheus Fernandes,23,Brazil,Central Midfield,CM,€1.50m,Palmeiras,Brazil,free transfer,out,summer,liga,2021
Real Madrid,Juan Miranda,21,Spain,Left-Back,LB,€7.00m,Real Betis,Spain,free transfer,out,summer,liga,2021
Real Madrid,Miralem Pjanic,31,Bosnia-Herzegovina,Central Midfield,CM,€18.00m,Besiktas,Turkey,loan transfer,out,summer,liga,2021
Real Madrid,Dani Alves,38,Brazil,Right-Back,RB,€1.00m,Without Club,,-,in,winter,liga,2021
Real Sociedad,Rafa Mir,24,Spain,Centre-Forward,CF,€16.00m,Wolves,England,€16.00m,in,summer,liga,2021
Real Sociedad,Gonzalo Montiel,24,Argentina,Right-Back,RB,€17.00m,River Plate,Argentina,€11.00m,in,summer,liga,2021
Real Sociedad,Thomas Delaney,29,Denmark,Defensive Midfield,DM,€9.00m,Bor. Dortmund,Germany,€6.00m,in,summer,liga,2021
Real Sociedad,Ludwig Augustinsson,27,Sweden,Left-Back,LB,€7.50m,Werder Bremen,Germany,€5.50m,in,summer,liga,2021
Real Sociedad,Erik Lamela,29,Argentina,Right Winger,RW,€20.00m,Spurs,England,free transfer,in,summer,liga,2021
Real Sociedad,Marko Dmitrovic,29,Serbia,Goalkeeper,GK,€8.00m,SD Eibar,Spain,free transfer,in,summer,liga,2021
Real Sociedad,Bryan Gil,20,Spain,Left Winger,LW,€30.00m,Spurs,England,€25.00m,out,summer,liga,2021
Real Sociedad,Guilherme Arana,24,Brazil,Left-Back,LB,€8.00m,Atlético-MG,Brazil,€2.50m,out,summer,liga,2021
Real Sociedad,Sergi Gómez,29,Spain,Centre-Back,CB,€2.00m,Espanyol,Spain,€1.00m,out,summer,liga,2021
Real Sociedad,Franco Vázquez,32,Argentina,Attacking Midfield,AM,€4.00m,Parma,Italy,free transfer,out,summer,liga,2021
Real Sociedad,Sergio Escudero,31,Spain,Left-Back,LB,€2.50m,Granada CF,Spain,free transfer,out,summer,liga,2021
Real Sociedad,Aleix Vidal,31,Spain,Right-Back,RB,€2.00m,Espanyol,Spain,free transfer,out,summer,liga,2021
Real Sociedad,José Alonso Lara,21,Spain,Left Winger,LW,€500Th.,Betis Deportivo,Spain,free transfer,out,summer,liga,2021
Real Sociedad,Juan Soriano,23,Spain,Goalkeeper,GK,€1.00m,CD Tenerife,Spain,free transfer,out,summer,liga,2021
Real Sociedad,Tomas Vaclik,32,Czech Republic,Goalkeeper,GK,€4.00m,Olympiacos,Greece,free transfer,out,summer,liga,2021
Real Sociedad,Luuk de Jong,31,Netherlands,Centre-Forward,CF,€7.50m,Barcelona,Spain,loan transfer,out,summer,liga,2021
Real Sociedad,Juan Berrocal,22,Spain,Centre-Back,CB,€1.00m,Sporting Gijón,Spain,loan transfer,out,summer,liga,2021
Real Sociedad,Rony Lopes,25,Portugal,Right Winger,RW,€6.00m,Olympiacos,Greece,loan transfer,out,summer,liga,2021
Real Sociedad,Alejandro Pozo,22,Spain,Right-Back,RB,€4.00m,UD Almería,Spain,loan transfer,out,summer,liga,2021
Real Sociedad,Joris Gnagnon,24,France,Centre-Back,CB,€1.20m,Without Club,,-,out,summer,liga,2021
Sevilla FC,Eduardo Camavinga,18,France,Central Midfield,CM,€55.00m,Stade Rennais,France,€31.00m,in,summer,liga,2021
Sevilla FC,David Alaba,29,Austria,Centre-Back,CB,€55.00m,FC Bayern,Germany,free transfer,in,summer,liga,2021
Sevilla FC,Raphaël Varane,28,France,Centre-Back,CB,€70.00m,Man Utd,England,€40.00m,out,summer,liga,2021
Sevilla FC,Martin Ødegaard,22,Norway,Attacking Midfield,AM,€40.00m,Arsenal,England,€35.00m,out,summer,liga,2021
Sevilla FC,Brahim Díaz,21,Spain,Attacking Midfield,AM,€23.00m,AC Milan,Italy,Loan fee:€3.00m,out,summer,liga,2021
Sevilla FC,Sergio Ramos,35,Spain,Centre-Back,CB,€10.00m,Paris SG,France,free transfer,out,summer,liga,2021
Sevilla FC,Takefusa Kubo,20,Japan,Right Winger,RW,€10.00m,RCD Mallorca,Spain,loan transfer,out,summer,liga,2021
Sevilla FC,Álvaro Odriozola,25,Spain,Right-Back,RB,€10.00m,Fiorentina,Italy,loan transfer,out,summer,liga,2021
Valencia CF,Enric Franquesa,24,Spain,Left-Back,LB,€800Th.,Villarreal,Spain,€750Th.,in,summer,liga,2021
Valencia CF,Roberto Soldado,36,Spain,Centre-Forward,CF,€1.00m,Granada CF,Spain,€500Th.,in,summer,liga,2021
Valencia CF,Roger Brugué,24,Spain,Right Winger,RW,€400Th.,Gimnàstic,Spain,free transfer,in,summer,liga,2021
Valencia CF,Shkodran Mustafi,29,Germany,Centre-Back,CB,€2.50m,Without Club,,-,in,summer,liga,2021
Valencia CF,Rubén Rochina,30,Spain,Right Winger,RW,€2.80m,Granada CF,Spain,free transfer,out,summer,liga,2021
Valencia CF,Toño García,31,Spain,Left-Back,LB,€800Th.,SD Eibar,Spain,free transfer,out,summer,liga,2021
Valencia CF,Cheick Doukouré,28,Cote d'Ivoire,Defensive Midfield,DM,€600Th.,CD Leganés,Spain,free transfer,out,summer,liga,2021
Valencia CF,Arturo Molina,25,Spain,Attacking Midfield,AM,€300Th.,CF Fuenlabrada,Spain,free transfer,out,summer,liga,2021
Valencia CF,Sergio León,32,Spain,Centre-Forward,CF,€1.20m,Real Valladolid,Spain,free transfer,out,summer,liga,2021
Valencia CF,Roger Brugué,24,Spain,Right Winger,RW,€400Th.,CD Mirandés,Spain,loan transfer,out,summer,liga,2021
Valencia CF,Koke Vegas,25,Spain,Goalkeeper,GK,€400Th.,Without Club,,-,out,summer,liga,2021
Valencia CF,Hernâni,30,Portugal,Right Winger,RW,€1.00m,Without Club,,-,out,summer,liga,2021
Villarreal CF,Alexander Sörloth,25,Norway,Centre-Forward,CF,€16.00m,RB Leipzig,Germany,Loan fee:€2.00m,in,summer,liga,2021
Villarreal CF,Diego Rico,28,Spain,Left-Back,LB,€2.00m,Bournemouth,England,€500Th.,in,summer,liga,2021
Villarreal CF,Mathew Ryan,29,Australia,Goalkeeper,GK,€6.00m,Brighton,England,?,in,summer,liga,2021
Villarreal CF,Martín Merquelanz,26,Spain,Left Winger,LW,€2.00m,Rayo Vallecano,Spain,loan transfer,out,summer,liga,2021
Villarreal CF,Kévin Rodrigues,27,Portugal,Left-Back,LB,€2.50m,Rayo Vallecano,Spain,loan transfer,out,summer,liga,2021
Villarreal CF,Willian José,29,Brazil,Centre-Forward,CF,€18.00m,Real Betis,Spain,loan transfer,out,summer,liga,2021
Villarreal CF,Jon Bautista,26,Spain,Centre-Forward,CF,€1.20m,CD Leganés,Spain,loan transfer,out,summer,liga,2021
Villarreal CF,Modibo Sagnan,22,France,Centre-Back,CB,€3.00m,Tondela,Portugal,loan transfer,out,summer,liga,2021
Villarreal CF,Miguel Ángel Moyá,37,Spain,Goalkeeper,GK,-,,,-,out,summer,liga,2021
