,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
ESP-La Liga,2122,Atlético Madrid,Stefan Savić,MNE,DF,30.0,28,28,2440.0,27.1,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.1,1.9,0.07,0.0,0.07,0.07,0.07
ESP-La Liga,2122,Atlético Madrid,Thomas Lemar,FRA,MF,25.0,24,17,1440.0,16.0,4.0,5.0,4.0,0.0,0.0,2.0,0.0,0.25,0.31,0.56,0.25,0.56,3.4,3.4,3.1,6.4,0.21,0.19,0.4,0.21,0.4
ESP-La Liga,2122,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",27.0,34,28,2583.0,28.7,6.0,6.0,4.0,2.0,2.0,5.0,0.0,0.21,0.21,0.42,0.14,0.35,6.1,4.6,6.2,10.8,0.21,0.22,0.43,0.16,0.38
ESP-La Liga,2122,Atlético Madrid,Ángel Correa,ARG,"FW,MF",26.0,36,21,1856.0,20.6,12.0,5.0,12.0,0.0,0.0,3.0,1.0,0.58,0.24,0.82,0.58,0.82,6.8,6.8,3.5,10.2,0.33,0.17,0.5,0.33,0.5
ESP-La Liga,2122,Atlético Madrid,Šime Vrsaljko,CRO,DF,29.0,21,10,914.0,10.2,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.1,0.2,0.3,0.1,0.3,0.8,0.8,0.7,1.5,0.08,0.07,0.15,0.08,0.15
ESP-La Liga,2122,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,DF",19.0,10,6,580.0,6.4,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.16,0.0,0.16,0.16,0.16,1.3,1.3,0.6,1.9,0.2,0.09,0.29,0.2,0.29
ESP-La Liga,2122,Barcelona,Adama Traoré,ESP,"FW,DF",25.0,11,4,382.0,4.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,0.0,0.47,0.6,0.6,0.7,1.3,0.14,0.16,0.3,0.14,0.3
ESP-La Liga,2122,Barcelona,Alejandro Balde,ESP,"DF,FW",17.0,5,2,188.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04
ESP-La Liga,2122,Barcelona,Alvaro Sanz,ESP,MF,20.0,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
ESP-La Liga,2122,Barcelona,Ansu Fati,ESP,FW,18.0,10,3,336.0,3.7,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.07,0.0,1.07,1.07,1.07,1.4,1.4,0.7,2.1,0.37,0.19,0.56,0.37,0.56
ESP-La Liga,2122,Barcelona,Antoine Griezmann,FRA,FW,30.0,3,3,263.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.12,0.0,0.12,0.12,0.12
ESP-La Liga,2122,Barcelona,Arnau Comas,ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Arnau Tenas,ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Clément Lenglet,FRA,DF,26.0,21,7,826.0,9.2,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.11,0.11,0.0,0.11,0.1,0.1,0.6,0.7,0.02,0.06,0.08,0.02,0.08
ESP-La Liga,2122,Barcelona,Dani Alves,BRA,DF,38.0,14,13,1098.0,12.2,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.08,0.25,0.33,0.08,0.33,0.2,0.2,1.9,2.1,0.01,0.16,0.17,0.01,0.17
ESP-La Liga,2122,Barcelona,Emerson,BRA,DF,22.0,3,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Barcelona,Eric García,ESP,DF,20.0,26,23,2039.0,22.7,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.01,0.01,0.01,0.01,0.01
ESP-La Liga,2122,Barcelona,Estanis,ESP,FW,17.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Barcelona,Ferrán Torres,ESP,FW,21.0,18,17,1412.0,15.7,4.0,4.0,3.0,1.0,1.0,1.0,0.0,0.25,0.25,0.51,0.19,0.45,7.2,6.4,3.0,9.4,0.46,0.19,0.65,0.41,0.6
ESP-La Liga,2122,Barcelona,Frenkie de Jong,NED,MF,24.0,32,30,2476.0,27.5,3.0,3.0,3.0,0.0,0.0,7.0,1.0,0.11,0.11,0.22,0.11,0.22,4.5,4.5,3.1,7.6,0.16,0.11,0.28,0.16,0.28
ESP-La Liga,2122,Barcelona,Gavi Paez,ESP,"MF,FW",16.0,34,28,2316.0,25.7,2.0,5.0,2.0,0.0,0.0,11.0,1.0,0.08,0.19,0.27,0.08,0.27,4.0,4.0,3.1,7.1,0.15,0.12,0.27,0.15,0.27
ESP-La Liga,2122,Barcelona,Gerard Piqué,ESP,DF,34.0,27,25,2092.0,23.2,1.0,0.0,1.0,0.0,0.0,10.0,1.0,0.04,0.0,0.04,0.04,0.04,2.1,2.1,0.1,2.1,0.09,0.0,0.09,0.09,0.09
ESP-La Liga,2122,Barcelona,Guillem Jaime,ESP,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Ilias Akhomach,ESP,FW,17.0,2,2,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34
ESP-La Liga,2122,Barcelona,Iñaki Peña,ESP,GK,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Jandro Orellana,ESP,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Jordi Alba,ESP,DF,32.0,30,30,2644.0,29.4,2.0,10.0,2.0,0.0,0.0,11.0,0.0,0.07,0.34,0.41,0.07,0.41,1.3,1.3,5.9,7.1,0.04,0.2,0.24,0.04,0.24
ESP-La Liga,2122,Barcelona,Jutglà,ESP,FW,22.0,6,4,301.0,3.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.0,0.3,0.3,0.3,1.6,1.6,0.4,2.0,0.47,0.13,0.6,0.47,0.6
ESP-La Liga,2122,Barcelona,Lazar Carević,MNE,GK,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Lucas De Vega Lima,BRA,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Luuk de Jong,NED,FW,30.0,21,6,654.0,7.3,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.83,0.0,0.83,0.83,0.83,3.7,3.7,0.2,3.9,0.51,0.03,0.53,0.51,0.53
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Barcelona,Martin Braithwaite,DEN,FW,30.0,4,3,235.0,2.6,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.77,0.38,1.15,0.77,1.15,1.0,1.0,1.3,2.3,0.4,0.48,0.88,0.4,0.88
ESP-La Liga,2122,Barcelona,Memphis Depay,NED,FW,27.0,28,20,1851.0,20.6,12.0,2.0,8.0,4.0,5.0,3.0,0.0,0.58,0.1,0.68,0.39,0.49,11.0,7.2,3.9,11.1,0.53,0.19,0.73,0.35,0.54
ESP-La Liga,2122,Barcelona,Mika Màrmol,ESP,DF,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Barcelona,Miralem Pjanić,BIH,MF,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
ESP-La Liga,2122,Barcelona,Nicolás González,ESP,MF,19.0,27,12,1114.0,12.4,2.0,1.0,2.0,0.0,0.0,6.0,0.0,0.16,0.08,0.24,0.16,0.24,1.4,1.4,1.2,2.6,0.11,0.1,0.21,0.11,0.21
ESP-La Liga,2122,Barcelona,Opponent Total,,,27.7,38,418,3420.0,38.0,38.0,27.0,36.0,2.0,3.0,93.0,5.0,1.0,0.71,1.71,0.95,1.66,36.0,33.7,24.6,58.3,0.95,0.65,1.59,0.89,1.53
ESP-La Liga,2122,Barcelona,Ousmane Dembélé,FRA,FW,24.0,21,15,1409.0,15.7,1.0,13.0,1.0,0.0,0.0,3.0,0.0,0.06,0.83,0.89,0.06,0.89,2.8,2.8,7.8,10.6,0.18,0.5,0.68,0.18,0.68
ESP-La Liga,2122,Barcelona,Pedri,ESP,MF,18.0,12,10,885.0,9.8,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.31,0.1,0.41,0.31,0.41,1.1,1.1,1.1,2.2,0.11,0.11,0.22,0.11,0.22
ESP-La Liga,2122,Barcelona,Philippe Coutinho,BRA,"MF,FW",29.0,12,5,503.0,5.6,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.36,0.0,0.36,0.18,0.18,2.8,2.0,0.3,2.4,0.5,0.06,0.56,0.36,0.42
ESP-La Liga,2122,Barcelona,Pierre-Emerick Aubameyang,GAB,FW,32.0,17,13,1082.0,12.0,11.0,1.0,11.0,0.0,0.0,0.0,0.0,0.91,0.08,1.0,0.91,1.0,7.1,7.1,1.0,8.2,0.59,0.09,0.68,0.59,0.68
ESP-La Liga,2122,Barcelona,Rey Manaj,ALB,FW,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Riqui Puig,ESP,MF,21.0,15,2,487.0,5.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,0.7,0.7,0.3,1.0,0.13,0.05,0.18,0.13,0.18
ESP-La Liga,2122,Barcelona,Ronald Araújo,URU,DF,22.0,30,25,2272.0,25.2,4.0,0.0,4.0,0.0,0.0,6.0,0.0,0.16,0.0,0.16,0.16,0.16,1.4,1.4,0.4,1.9,0.06,0.02,0.07,0.06,0.07
ESP-La Liga,2122,Barcelona,Samuel Umtiti,FRA,DF,27.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Barcelona,Sergi Roberto,ESP,"MF,DF",29.0,9,4,400.0,4.4,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.45,0.23,0.68,0.45,0.68,1.6,1.6,0.3,2.0,0.36,0.08,0.44,0.36,0.44
ESP-La Liga,2122,Barcelona,Sergio Agüero,ARG,FW,33.0,4,2,151.0,1.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,1.1,1.1,0.3,1.3,0.64,0.16,0.8,0.64,0.8
ESP-La Liga,2122,Barcelona,Sergio Busquets,ESP,MF,33.0,36,36,3198.0,35.5,2.0,0.0,2.0,0.0,0.0,12.0,0.0,0.06,0.0,0.06,0.06,0.06,0.7,0.7,1.9,2.6,0.02,0.05,0.07,0.02,0.07
ESP-La Liga,2122,Barcelona,Sergiño Dest,USA,"DF,FW",20.0,21,17,1512.0,16.8,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.18,0.18,0.0,0.18,1.5,1.5,2.8,4.3,0.09,0.16,0.26,0.09,0.26
ESP-La Liga,2122,Barcelona,Squad Total,,,26.2,38,418,3420.0,38.0,68.0,52.0,62.0,6.0,7.0,97.0,5.0,1.79,1.37,3.16,1.63,3.0,62.1,56.8,44.4,101.1,1.63,1.17,2.8,1.49,2.66
ESP-La Liga,2122,Barcelona,Yusuf Demir,AUT,FW,18.0,6,2,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04
ESP-La Liga,2122,Barcelona,Óscar Mingueza,ESP,DF,22.0,19,9,894.0,9.9,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.2,0.9,1.1,0.02,0.09,0.11,0.02,0.11
ESP-La Liga,2122,Betis,Aitor Ruibal,ESP,"FW,DF",25.0,19,9,856.0,9.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.7,2.0,0.13,0.08,0.21,0.13,0.21
ESP-La Liga,2122,Betis,Andrés Guardado,MEX,MF,34.0,28,17,1393.0,15.5,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,0.8,0.8,0.5,1.3,0.05,0.03,0.08,0.05,0.08
ESP-La Liga,2122,Betis,Borja Iglesias,ESP,FW,28.0,33,18,1573.0,17.5,10.0,0.0,7.0,3.0,3.0,4.0,0.0,0.57,0.0,0.57,0.4,0.4,8.5,6.2,3.1,9.3,0.48,0.18,0.66,0.35,0.53
ESP-La Liga,2122,Betis,Calderón,ESP,DF,21.0,1,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.19,0.19,0.0,0.19
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38.0,17,17,1456.0,16.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.01,0.01,0.0,0.01
ESP-La Liga,2122,Betis,Cristian Tello,ESP,"FW,MF",29.0,23,5,819.0,9.1,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.22,0.22,0.44,0.22,0.44,1.7,1.7,2.0,3.7,0.19,0.22,0.4,0.19,0.4
ESP-La Liga,2122,Betis,Diego Lainez,MEX,FW,21.0,7,1,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.03,0.13,0.16,0.03,0.16
ESP-La Liga,2122,Betis,Fran Delgado,ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Betis,Germán Pezzella,ARG,DF,30.0,23,22,1988.0,22.1,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.05,0.0,0.05,0.05,0.05,1.2,1.2,0.0,1.2,0.05,0.0,0.05,0.05,0.05
ESP-La Liga,2122,Betis,Guido Rodríguez,ARG,MF,27.0,32,29,2529.0,28.1,1.0,2.0,1.0,0.0,0.0,9.0,1.0,0.04,0.07,0.11,0.04,0.11,1.0,1.0,0.4,1.4,0.03,0.02,0.05,0.03,0.05
ESP-La Liga,2122,Betis,Héctor Bellerín,ESP,DF,26.0,23,22,1979.0,22.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.09,0.09,0.0,0.09,0.4,0.4,2.4,2.8,0.02,0.11,0.13,0.02,0.13
ESP-La Liga,2122,Betis,Joaquín,ESP,"FW,MF",40.0,21,2,471.0,5.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,1.9,1.9,1.5,3.3,0.36,0.28,0.64,0.36,0.64
ESP-La Liga,2122,Betis,Joel Robles,ESP,GK,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Betis,Juan Miranda,ESP,DF,21.0,13,9,783.0,8.7,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.23,0.23,0.0,0.23,0.1,0.1,1.5,1.6,0.01,0.17,0.19,0.01,0.19
ESP-La Liga,2122,Betis,Juanmi,ESP,FW,28.0,33,26,2131.0,23.7,16.0,4.0,16.0,0.0,0.0,5.0,0.0,0.68,0.17,0.84,0.68,0.84,11.8,11.8,2.5,14.3,0.5,0.11,0.61,0.5,0.61
ESP-La Liga,2122,Betis,Kike Hermoso,ESP,DF,21.0,1,1,90.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.2,0.2,0.0,0.2,0.16,0.0,0.16,0.16,0.16
ESP-La Liga,2122,Betis,Loren Morón,ESP,FW,27.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Betis,Marc Bartra,ESP,DF,30.0,23,23,1993.0,22.1,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.05,0.0,0.05,0.05,0.05,1.4,1.4,0.1,1.6,0.07,0.01,0.07,0.07,0.07
ESP-La Liga,2122,Betis,Marchena,ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Betis,Martín Montoya,ESP,DF,30.0,6,6,518.0,5.8,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.17,0.17,0.0,0.17,0.4,0.4,1.1,1.5,0.06,0.19,0.25,0.06,0.25
ESP-La Liga,2122,Betis,Nabil Fekir,FRA,MF,28.0,34,33,2794.0,31.0,6.0,8.0,6.0,0.0,0.0,7.0,1.0,0.19,0.26,0.45,0.19,0.45,5.0,5.0,6.8,11.8,0.16,0.22,0.38,0.16,0.38
ESP-La Liga,2122,Betis,Opponent Total,,,27.4,38,418,3420.0,38.0,38.0,29.0,35.0,3.0,3.0,74.0,3.0,1.0,0.76,1.76,0.92,1.68,44.3,42.0,28.8,70.8,1.17,0.76,1.92,1.11,1.86
ESP-La Liga,2122,Betis,Paul Akouokou,CIV,MF,23.0,8,6,516.0,5.7,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02
ESP-La Liga,2122,Betis,Raúl,ESP,FW,20.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Betis,Rebollo,ESP,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Betis,Roberto González,ESP,"FW,MF",20.0,4,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.1,0.0,0.1,0.1,0.1
ESP-La Liga,2122,Betis,Rodrigo,ESP,FW,21.0,21,10,881.0,9.8,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.2,0.31,0.1,0.31,1.3,1.3,1.6,2.9,0.13,0.16,0.3,0.13,0.3
ESP-La Liga,2122,Betis,Rui Silva,POR,GK,27.0,22,21,1964.0,21.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Betis,Sergio Canales,ESP,"FW,MF",30.0,34,33,2791.0,31.0,5.0,8.0,5.0,0.0,0.0,6.0,0.0,0.16,0.26,0.42,0.16,0.42,4.7,4.7,5.1,9.8,0.15,0.16,0.32,0.15,0.32
ESP-La Liga,2122,Betis,Sidnei,BRA,DF,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Betis,Squad Total,,,28.9,38,418,3420.0,38.0,61.0,45.0,55.0,6.0,6.0,87.0,6.0,1.61,1.18,2.79,1.45,2.63,55.2,50.7,37.9,88.6,1.45,1.0,2.45,1.33,2.33
ESP-La Liga,2122,Betis,Víctor Camarasa,ESP,"MF,FW",27.0,7,0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
ESP-La Liga,2122,Betis,Víctor Ruiz,ESP,DF,32.0,18,17,1424.0,15.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.1,0.06,0.01,0.07,0.06,0.07
ESP-La Liga,2122,Betis,William Carvalho,POR,MF,29.0,33,20,1805.0,20.1,2.0,3.0,2.0,0.0,0.0,6.0,0.0,0.1,0.15,0.25,0.1,0.25,3.1,3.1,1.5,4.6,0.16,0.07,0.23,0.16,0.23
ESP-La Liga,2122,Betis,Willian José,BRA,FW,29.0,32,19,1604.0,17.8,9.0,4.0,6.0,3.0,3.0,2.0,0.0,0.5,0.22,0.73,0.34,0.56,6.4,4.1,2.8,6.9,0.36,0.16,0.51,0.23,0.38
ESP-La Liga,2122,Betis,Yassin Fekir,FRA,FW,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Betis,Youssouf Sabaly,SEN,DF,28.0,10,9,788.0,8.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11,0.1,0.1,0.6,0.7,0.01,0.07,0.08,0.01,0.08
ESP-La Liga,2122,Betis,Álex Moreno,ESP,DF,28.0,30,28,2404.0,26.7,5.0,3.0,5.0,0.0,0.0,3.0,1.0,0.19,0.11,0.3,0.19,0.3,2.9,2.9,2.4,5.3,0.11,0.09,0.2,0.11,0.2
ESP-La Liga,2122,Betis,Édgar González,ESP,DF,24.0,21,14,1464.0,16.3,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.06,0.06,0.12,0.06,0.12,1.0,1.0,0.6,1.7,0.06,0.04,0.1,0.06,0.1
ESP-La Liga,2122,Celta Vigo,Alfon,ESP,FW,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Augusto Solari,ARG,"MF,DF",29.0,26,4,714.0,7.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,0.05,0.05,0.1,0.05,0.1
ESP-La Liga,2122,Celta Vigo,Brais Méndez,ESP,MF,24.0,37,36,3021.0,33.6,4.0,5.0,4.0,0.0,0.0,8.0,0.0,0.12,0.15,0.27,0.12,0.27,4.3,4.3,3.8,8.2,0.13,0.11,0.24,0.13,0.24
ESP-La Liga,2122,Celta Vigo,Carlos Dominguez,ESP,DF,20.0,8,3,344.0,3.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03
ESP-La Liga,2122,Celta Vigo,Coke Carrillo,ESP,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,César Fernández,ESP,GK,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Damián Rodríguez,ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Denis Suárez,ESP,MF,27.0,38,33,2819.0,31.3,4.0,6.0,4.0,0.0,0.0,4.0,0.0,0.13,0.19,0.32,0.13,0.32,1.9,1.9,4.8,6.7,0.06,0.15,0.21,0.06,0.21
ESP-La Liga,2122,Celta Vigo,Fernando Medrano,ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Fran Beltrán,ESP,MF,22.0,37,31,2597.0,28.9,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.03,0.0,0.03,0.03,0.03,0.4,0.4,0.6,1.0,0.01,0.02,0.03,0.01,0.03
ESP-La Liga,2122,Celta Vigo,Franco Cervi,ARG,MF,27.0,33,21,1801.0,20.0,4.0,3.0,4.0,0.0,0.0,5.0,0.0,0.2,0.15,0.35,0.2,0.35,2.8,2.8,1.3,4.1,0.14,0.06,0.21,0.14,0.21
ESP-La Liga,2122,Celta Vigo,Gabriel Veiga,ESP,MF,19.0,7,0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
ESP-La Liga,2122,Celta Vigo,Gaizka Campos Bahillo,ESP,GK,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Hugo Mallo,ESP,DF,30.0,21,21,1826.0,20.3,1.0,1.0,1.0,0.0,0.0,5.0,2.0,0.05,0.05,0.1,0.05,0.1,1.4,1.4,1.7,3.1,0.07,0.08,0.16,0.07,0.16
ESP-La Liga,2122,Celta Vigo,Hugo Sotelo,ESP,MF,17.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Celta Vigo,Hugo Álvarez,ESP,FW,18.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.91,0.0,1.91,1.91,1.91
ESP-La Liga,2122,Celta Vigo,Iago Aspas,ESP,FW,33.0,37,36,3087.0,34.3,18.0,5.0,15.0,3.0,5.0,9.0,0.0,0.52,0.15,0.67,0.44,0.58,14.9,11.0,6.2,17.2,0.44,0.18,0.62,0.32,0.5
ESP-La Liga,2122,Celta Vigo,Javi Galán,ESP,DF,26.0,37,37,3298.0,36.6,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.08,0.08,0.0,0.08,0.4,0.4,2.3,2.7,0.01,0.06,0.07,0.01,0.07
ESP-La Liga,2122,Celta Vigo,Javier Castro,ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Jeison Murillo,COL,DF,29.0,19,12,1117.0,12.4,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.5,0.04,0.0,0.04,0.04,0.04
ESP-La Liga,2122,Celta Vigo,Joseph Aidoo,GHA,DF,25.0,32,30,2637.0,29.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.01,0.0,0.02,0.01,0.02
