,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
611,Willian,br  BRA,"FW,MF",Arsenal,31,1988,25,1406,56,41.1,15.6,16,76,,9,21,8,1.68,21,17,+4,+0.26,-0.28,22.1,17.1,+4.9,+0.32,+0.13
612,Callum Wilson,eng  ENG,FW,Newcastle Utd,28,1992,26,2084,80,60.9,23.2,23,87,,3,31,1,1.35,31,37,-6,-0.26,+0.41,25.1,33.7,-8.6,-0.37,-0.08
613,Harry Winks,eng  ENG,MF,Tottenham,24,1996,15,861,57,25.2,9.6,9,79,,6,25,15,1.67,22,16,+6,+0.63,+0.03,18.2,10.9,+7.3,+0.76,+0.84
614,Chris Wood,nz  NZL,FW,Burnley,28,1991,33,2741,83,80.1,30.5,32,85,,1,18,0,1.00,27,43,-16,-0.53,+0.27,32.1,46.7,-14.6,-0.48,-0.07
615,Ben Woodburn,wls  WAL,"FW,MF",Liverpool,20,1999,0,,,,,0,,,0,,3,,,,,,,,,,,
616,Sam Woods,eng  ENG,DF,Crystal Palace,21,1998,0,,,,,0,,,0,,1,,,,,,,,,,,
617,Granit Xhaka,ch  SUI,"MF,DF",Arsenal,27,1992,31,2522,81,73.7,28.0,29,86,,2,12,2,1.65,44,26,+18,+0.64,+0.84,44.9,31.5,+13.4,+0.48,+0.91
618,Andriy Yarmolenko,ua  UKR,"FW,MF",West Ham,30,1989,15,375,25,11.0,4.2,1,71,,14,22,10,1.20,8,7,+1,+0.24,-0.17,5.2,7.0,-1.8,-0.44,-0.65
619,DeAndre Yedlin,us  USA,DF,Newcastle Utd,27,1993,6,436,73,12.7,4.8,5,86,,1,5,3,0.83,1,6,-5,-1.03,-0.70,2.6,5.9,-3.3,-0.69,-0.40
620,Okay Yokuşlu,tr  TUR,MF,West Brom,26,1994,16,1317,82,38.5,14.6,15,87,,1,13,0,0.88,17,20,-3,-0.21,+1.42,17.4,24.3,-6.9,-0.47,+0.68
621,Wilfried Zaha,ci  CIV,FW,Crystal Palace,27,1992,30,2612,87,76.4,29.0,29,89,,1,45,0,1.30,37,52,-15,-0.52,+0.60,26.9,42.8,-15.9,-0.55,+0.47
622,Andre-Frank Zambo Anguissa,cm  CMR,MF,Fulham,24,1995,36,2587,72,75.6,28.7,29,84,,7,22,2,0.69,19,39,-20,-0.70,-0.05,28.4,42.6,-14.2,-0.49,-0.76
623,Andi Zeqiri,ch  SUI,"FW,DF",Brighton,21,1999,9,171,19,5.0,1.9,0,,,9,19,17,1.67,6,2,+4,+2.11,+2.38,4.8,2.0,+2.8,+1.47,+1.16
624,Karlo Ziger,hr  CRO,GK,Chelsea,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
625,Oleksandr Zinchenko,ua  UKR,DF,Manchester City,23,1996,20,1478,74,43.2,16.4,15,89,,5,28,8,2.30,41,14,+27,+1.64,+0.53,34.1,13.9,+20.2,+1.23,+0.22
626,Hakim Ziyech,ma  MAR,"FW,MF",Chelsea,27,1993,23,1172,51,34.3,13.0,15,69,,8,17,5,1.65,16,7,+9,+0.69,+0.17,19.6,9.9,+9.8,+0.75,-0.11
627,Kurt Zouma,fr  FRA,DF,Chelsea,25,1994,24,2029,85,59.3,22.5,22,90,,2,25,11,1.71,41,25,+16,+0.71,+0.32,39.2,23.1,+16.1,+0.71,-0.26
628,Martin Ødegaard,no  NOR,MF,Arsenal,21,1998,14,866,62,25.3,9.6,9,82,,5,25,2,1.71,19,12,+7,+0.73,+0.41,14.8,12.2,+2.6,+0.27,+0.04
