,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
46,2019-03-09,Sat,La Liga,Matchweek 27,Home,W 3–1,Barcelona,Rayo Vallecano,Y,GK,90,1,1,0,0.0,0,0.3,0,0,0,0,3,4,75.0,15,4,26.7,28.9,2,0.0,26.5,5,3,60.0,0,10.5,Match Report
47,2019-03-13,Wed,Champions Lg,Round of 16,Home,W 5–1,es  Barcelona,fr  Lyon,Y,GK,90,2,1,1,50.0,0,0.5,0,0,0,0,8,9,88.9,19,4,31.6,31.7,5,60.0,50.0,5,1,20.0,0,11.3,Match Report
48,2019-03-17,Sun,La Liga,Matchweek 28,Away,W 4–1,Barcelona,Betis,Y,GK,90,3,1,2,66.7,0,0.6,0,0,0,0,6,11,54.5,25,4,40.0,40.4,4,25.0,36.5,9,1,11.1,0,9.0,Match Report
49,2019-03-20,Wed,Friendlies (M),Friendlies (M),Home,D 1–1,de  Germany,rs  Serbia,N,,45,,,,,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
50,2019-03-24,Sun,Euro Qualifying,Group stage,Away,W 3–2,de  Germany,nl  Netherlands,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
51,2019-03-30,Sat,La Liga,Matchweek 29,Home,W 2–0,Barcelona,Espanyol,Y,GK,90,2,0,2,100.0,1,0.2,0,0,0,0,1,3,33.3,22,6,9.1,28.2,2,50.0,40.0,4,0,0.0,0,14.4,Match Report
52,2019-04-02,Tue,La Liga,Matchweek 30,Away,D 4–4,Barcelona,Villarreal,Y,GK,90,9,4,5,55.6,0,3.1,0,0,0,0,4,8,50.0,23,3,26.1,33.3,6,33.3,33.8,4,0,0.0,0,13.3,Match Report
53,2019-04-06,Sat,La Liga,Matchweek 31,Home,W 2–0,Barcelona,Atlético Madrid,Y,GK,90,2,0,2,100.0,1,0.2,0,0,0,0,5,6,83.3,13,4,23.1,27.9,6,50.0,37.3,5,0,0.0,0,17.0,Match Report
54,2019-04-10,Wed,Champions Lg,Quarter-finals,Away,W 1–0,es  Barcelona,eng  Manchester Utd,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,8,18,44.4,36,6,30.6,33.8,11,63.6,45.7,14,0,0.0,1,11.0,Match Report
55,2019-04-13,Sat,La Liga,Matchweek 32,Away,D 0–0,Barcelona,Huesca,Y*,GK,90,0,0,0,,1,0.0,0,0,0,0,4,8,50.0,25,10,20.0,29.2,7,42.9,44.4,10,3,30.0,2,16.0,Match Report
56,2019-04-16,Tue,Champions Lg,Quarter-finals,Home,W 3–0,es  Barcelona,eng  Manchester Utd,Y,GK,90,3,0,3,100.0,1,0.2,0,0,0,0,4,5,80.0,24,4,20.8,29.9,6,0.0,28.7,1,0,0.0,0,12.0,Match Report
57,2019-04-20,Sat,La Liga,Matchweek 33,Home,W 2–1,Barcelona,Real Sociedad,Y,GK,90,3,1,2,66.7,0,1.2,0,0,0,0,9,16,56.3,29,4,37.9,35.9,8,62.5,39.6,7,0,0.0,1,17.0,Match Report
58,2019-04-23,Tue,La Liga,Matchweek 34,Away,W 2–0,Barcelona,Alavés,Y,GK,90,1,0,1,100.0,1,0.1,0,0,0,0,4,10,40.0,33,7,18.2,27.6,7,57.1,42.7,9,2,22.2,1,19.0,Match Report
59,2019-04-27,Sat,La Liga,Matchweek 35,Home,W 1–0,Barcelona,Levante,Y,GK,90,2,0,2,100.0,1,0.8,0,0,0,0,8,9,88.9,25,8,24.0,27.9,6,50.0,38.3,9,2,22.2,1,13.5,Match Report
60,2019-05-01,Wed,Champions Lg,Semi-finals,Home,W 3–0,es  Barcelona,eng  Liverpool,Y,GK,90,3,0,3,100.0,1,0.7,0,0,0,0,7,20,35.0,36,9,36.1,33.0,7,100.0,62.0,6,0,0.0,0,14.5,Match Report
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2019-05-07,Tue,Champions Lg,Semi-finals,Away,L 0–4,es  Barcelona,eng  Liverpool,Y,GK,90,7,4,3,42.9,0,2.5,0,0,0,0,1,11,9.1,30,7,30.0,34.5,3,66.7,59.3,14,0,0.0,1,15.6,Match Report
63,2019-05-12,Sun,La Liga,Matchweek 37,Home,W 2–0,Barcelona,Getafe,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
64,,,,,,36-12-3,,,50/51,,4545,162,44,122,74.1,23,44.6,2,1,1,0,216,409,52.8,1163,250,24.2,29.9,272,46.7,40.8,380,41,10.8,30,15.8,
