,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
191,Andrés Guardado,mx  MEX,MF,Betis,36-093,1986,4.4,11,6,5,6,0,4,13,30.8,9,4,2,2,8,19,6,0
192,Sergi Guardiola,es  ESP,FW,Valladolid,31-215,1991,4.2,11,6,6,4,1,2,4,50.0,2,3,0,3,2,13,6,0
193,Nemanja Gudelj,rs  SRB,"DF,MF",Sevilla,31-044,1991,11.5,14,10,10,3,1,6,10,60.0,4,15,13,2,10,24,44,0
194,Ander Guevara,es  ESP,"MF,DF",Real Sociedad,25-176,1997,1.4,1,0,0,1,0,0,1,0.0,1,2,1,1,1,2,2,0
195,Hugo Guillamón,es  ESP,MF,Valencia,22-333,2000,10.2,9,4,4,5,0,2,12,16.7,10,8,1,7,10,19,9,2
196,Gerard Gumbau,es  ESP,MF,Elche,28-012,1994,9.2,12,7,4,7,1,3,10,30.0,7,11,5,6,6,18,14,0
197,Gorka Guruzeta,es  ESP,"FW,MF",Athletic Club,26-109,1996,3.0,2,2,2,0,0,1,3,33.3,2,2,0,2,2,4,1,0
198,Raúl Guti,es  ESP,MF,Elche,26-000,1996,8.1,14,8,6,7,1,7,15,46.7,8,7,2,5,7,21,3,0
199,Miguel Gutiérrez,es  ESP,DF,Girona,21-156,2001,11.1,14,7,9,4,1,5,8,62.5,3,10,1,9,6,20,17,1
200,Munir El Haddadi,ma  MAR,"MF,FW",Getafe,27-120,1995,2.6,2,1,1,0,1,1,2,50.0,1,4,0,4,1,3,0,0
201,Eden Hazard,be  BEL,FW,Real Madrid,31-357,1991,1.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
202,Luiz Henrique,br  BRA,FW,Betis,21-362,2001,9.2,27,19,13,11,3,8,21,38.1,13,10,0,10,7,34,4,0
203,Mario Hermoso,es  ESP,DF,Atlético Madrid,27-195,1995,1.9,0,0,0,0,0,0,1,0.0,1,4,2,2,3,3,7,0
204,Aridane Hernández,gq  EQG,DF,Osasuna,33-282,1989,1.6,1,1,1,0,0,0,1,0.0,1,2,2,0,3,4,7,0
205,Luis Hernández,es  ESP,DF,Cádiz,33-260,1989,12.0,8,5,5,2,1,6,9,66.7,3,13,12,1,11,19,54,0
206,Ander Herrera,es  ESP,MF,Athletic Club,33-138,1989,2.6,3,1,2,1,0,2,3,66.7,1,5,1,4,4,7,5,0
207,Sergio Herrera,es  ESP,GK,Osasuna,29-208,1993,10.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,5,0
208,Yangel Herrera,ve  VEN,MF,Girona,24-357,1998,7.0,19,7,7,10,2,4,8,50.0,4,10,1,9,2,21,6,0
209,Omar El Hilali,ma  MAR,"DF,MF",Espanyol,19-109,2003,1.0,3,2,3,0,0,1,2,50.0,1,1,0,1,1,4,6,0
210,Pablo Ibáñez,es  ESP,MF,Osasuna,24-101,1998,0.4,1,0,1,0,0,0,0,,0,2,0,2,0,1,3,0
211,Iglesias,es  ESP,DF,Getafe,24-180,1998,11.4,34,18,23,8,3,17,31,54.8,14,18,5,13,8,42,36,0
212,Borja Iglesias,es  ESP,FW,Betis,29-347,1993,11.4,8,4,3,3,2,2,6,33.3,4,3,1,2,0,8,7,0
213,Asier Illarramendi,es  ESP,MF,Real Sociedad,32-297,1990,1.7,4,0,2,2,0,3,6,50.0,3,3,1,2,7,11,5,0
214,Alexander Isak,se  SWE,FW,Real Sociedad,23-100,1999,1.7,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0
215,Isco,es  ESP,"MF,FW",Sevilla,30-253,1992,8.9,15,9,6,5,4,8,14,57.1,6,3,0,3,10,25,3,0
216,Nicolas Jackson,sn  SEN,FW,Villarreal,21-193,2001,8.6,7,6,2,5,0,1,4,25.0,3,10,2,8,1,8,3,0
217,Adnan Januzaj,be  BEL,FW,Sevilla,27-328,1995,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
218,Javi,es  ESP,DF,Girona,24-242,1998,4.1,5,3,4,0,1,3,4,75.0,1,1,0,1,2,7,9,0
219,Joaquín,es  ESP,"MF,FW",Betis,41-162,1981,1.8,1,1,0,1,0,0,2,0.0,2,0,0,0,1,2,2,0
220,Frenkie de Jong,nl  NED,MF,Barcelona,25-232,1997,10.0,20,10,5,10,5,10,14,71.4,4,5,0,5,16,36,5,1
221,Joan Jordán,es  ESP,"MF,DF",Sevilla,28-177,1994,7.6,11,7,3,6,2,5,13,38.5,8,8,3,5,5,16,5,0
222,Josan,es  ESP,"DF,MF",Elche,33-027,1989,4.4,5,5,5,0,0,3,5,60.0,2,2,0,2,0,5,6,0
223,Willian José,br  BRA,FW,Betis,31-037,1991,3.3,5,3,4,1,0,2,5,40.0,3,2,0,2,0,5,5,0
224,Joselu,es  ESP,FW,Espanyol,32-278,1990,14.0,3,1,1,0,2,1,3,33.3,2,10,3,7,3,6,24,0
225,Juanmi,es  ESP,FW,Betis,29-224,1993,3.6,2,1,1,0,1,2,7,28.6,5,2,0,2,2,4,2,0
226,Juanpe,es  ESP,DF,Girona,31-244,1991,6.8,7,4,2,5,0,4,7,57.1,3,1,1,0,5,12,24,0
227,Lago Junior,ci  CIV,"FW,MF",Mallorca,31-364,1990,0.6,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
228,Vinicius Júnior,br  BRA,FW,Real Madrid,22-171,2000,13.6,17,11,7,6,4,8,19,42.1,11,9,0,9,5,22,1,0
229,Kaiky,br  BRA,DF,Almería,18-352,2004,5.4,5,5,5,0,0,3,6,50.0,3,17,10,7,11,16,20,0
230,Lee Kangin,kr  KOR,"MF,FW",Mallorca,21-314,2001,12.1,14,8,3,9,2,5,22,22.7,17,8,1,7,2,16,2,0
231,Jon Karrikaburu,es  ESP,FW,Real Sociedad,20-102,2002,1.0,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0
232,Kenedy,br  BRA,MF,Valladolid,26-325,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
233,Franck Kessié,ci  CIV,MF,Barcelona,26-011,1996,2.4,3,2,1,2,0,1,3,33.3,2,5,1,4,1,4,1,0
234,Kike,es  ESP,FW,Osasuna,33-035,1989,4.8,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,6,0
235,Justin Kluivert,nl  NED,"FW,MF",Valencia,23-239,1999,5.8,5,5,2,0,3,2,3,66.7,1,1,0,1,3,8,4,0
236,Koke,es  ESP,MF,Atlético Madrid,30-356,1992,8.4,20,14,9,9,2,8,18,44.4,10,8,4,4,1,21,9,0
237,Luca Koleosho,ca  CAN,"FW,DF",Espanyol,18-106,2004,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
238,Geoffrey Kondogbia,cf  CTA,MF,Atlético Madrid,29-318,1993,9.0,28,13,15,12,1,12,19,63.2,7,7,1,6,20,48,10,1
239,Jules Koundé,fr  FRA,DF,Barcelona,24-048,1998,6.4,7,5,3,3,1,3,3,100.0,0,4,2,2,4,11,5,0
240,Toni Kroos,de  GER,MF,Real Madrid,32-360,1990,9.5,20,12,4,16,0,9,22,40.9,13,14,2,12,8,28,5,0
241,Takefusa Kubo,jp  JPN,"FW,MF",Real Sociedad,21-209,2001,9.4,16,7,6,5,5,4,11,36.4,7,7,0,7,2,18,1,0
242,César de la Hoz,es  ESP,MF,Almería,30-275,1992,6.5,12,7,5,6,1,5,11,45.5,6,10,4,6,5,17,12,0
243,Luca de la Torre,us  USA,MF,Celta Vigo,24-221,1998,0.6,3,2,2,0,1,0,1,0.0,1,1,1,0,0,3,0,0
244,Érik Lamela,ar  ARG,"FW,MF",Sevilla,30-301,1992,10.6,19,12,5,6,8,5,15,33.3,10,11,1,10,2,21,0,0
245,Latasa,es  ESP,"FW,DF",Getafe,21-282,2001,0.7,1,1,0,0,1,0,0,,0,2,1,1,1,2,1,0
246,Toni Lato,es  ESP,"DF,MF",Valencia,25-039,1997,3.1,5,1,2,3,0,1,3,33.3,2,2,0,2,2,7,8,0
247,Lázaro,br  BRA,"MF,FW",Almería,20-293,2002,2.3,0,0,0,0,0,0,3,0.0,3,6,0,6,1,1,1,0
248,Robin Le Normand,fr  FRA,DF,Real Sociedad,26-049,1996,9.1,8,5,7,1,0,2,2,100.0,0,11,8,3,9,17,29,0
249,Benjamin Lecomte,fr  FRA,GK,Espanyol,31-248,1991,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2
250,Jeremías Ledesma,ar  ARG,GK,Cádiz,29-320,1993,14.0,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,9,1
251,Florian Lejeune,fr  FRA,DF,Rayo Vallecano,31-224,1991,11.5,9,5,6,2,1,6,11,54.5,5,9,7,2,6,15,48,0
252,Iñigo Lekue,es  ESP,DF,Athletic Club,29-240,1993,10.5,15,9,11,4,0,5,10,50.0,5,10,1,9,12,27,22,1
253,Thomas Lemar,fr  FRA,MF,Atlético Madrid,27-048,1995,4.6,9,4,3,4,2,2,7,28.6,5,3,2,1,3,12,3,0
254,Sergio León,es  ESP,FW,Valladolid,33-358,1989,6.9,2,2,0,1,1,1,1,100.0,0,4,0,4,0,2,3,0
255,Robert Lewandowski,pl  POL,FW,Barcelona,34-131,1988,11.8,7,4,0,2,5,4,8,50.0,4,7,0,7,0,7,2,0
256,Pol Lirola,es  ESP,DF,Elche,25-139,1997,6.1,12,6,8,3,1,7,10,70.0,3,1,0,1,6,18,12,0
257,Javier Llabrés,es  ESP,FW,Mallorca,20-110,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
258,Marcos Llorente,es  ESP,"DF,MF",Atlético Madrid,27-334,1995,8.4,19,10,12,5,2,13,16,81.3,3,9,0,9,8,27,10,0
259,Giovani Lo Celso,ar  ARG,"MF,FW",Villarreal,26-265,1996,5.8,21,17,3,13,5,8,12,66.7,4,6,0,6,5,26,3,0
260,David López,es  ESP,"DF,MF",Girona,33-082,1989,8.7,12,9,5,7,0,7,8,87.5,1,11,7,4,4,16,34,1
261,Diego López,es  ESP,GK,Rayo Vallecano,41-057,1981,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
262,Unai López,es  ESP,MF,Rayo Vallecano,27-061,1995,6.5,9,4,3,4,2,5,13,38.5,8,4,1,3,8,17,3,1
263,Anthony Lozano,hn  HON,FW,Cádiz,29-249,1993,8.4,1,1,0,1,0,0,2,0.0,2,4,1,3,2,3,11,0
264,Pol Lozano,es  ESP,MF,Espanyol,23-085,1999,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
265,José Luis Gayà,es  ESP,DF,Valencia,27-219,1995,9.6,24,13,19,3,2,14,22,63.6,8,12,5,7,11,35,19,0
266,José Luis Morales,es  ESP,FW,Villarreal,35-160,1987,4.7,3,2,1,0,2,3,5,60.0,2,6,1,5,0,3,0,0
267,Andriy Lunin,ua  UKR,GK,Real Madrid,23-322,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
268,Awer Mabil,au  AUS,"MF,FW",Cádiz,27-106,1995,1.8,2,0,0,1,1,1,3,33.3,2,1,1,0,0,2,1,0
269,Pablo Maffeo,es  ESP,DF,Mallorca,25-171,1997,11.3,17,15,12,4,1,10,20,50.0,10,13,7,6,10,27,24,0
270,Jon Magunacelaya,es  ESP,"MF,FW",Real Sociedad,22-170,2000,0.7,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0
271,Nemanja Maksimović,rs  SRB,MF,Getafe,27-338,1995,7.9,13,4,5,6,2,5,9,55.6,4,17,9,8,10,23,8,0
272,Hugo Mallo,es  ESP,DF,Celta Vigo,31-191,1991,9.7,19,8,12,5,2,13,19,68.4,6,10,1,9,6,25,24,0
273,Mickael Malsa,mq  MTQ,MF,Valladolid,27-079,1995,0.4,1,1,1,0,0,0,3,0.0,3,1,1,0,1,2,2,0
274,Giorgi Mamardashvili,ge  GEO,GK,Valencia,22-092,2000,14.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1
275,Reinildo Mandava,mz  MOZ,DF,Atlético Madrid,28-343,1994,13.8,45,32,32,13,0,25,31,80.6,6,21,10,11,20,65,41,0
276,Aïssa Mandi,dz  ALG,DF,Villarreal,31-069,1991,2.9,4,3,3,1,0,1,1,100.0,0,3,3,0,7,11,8,0
277,Maranhão,br  BRA,"FW,MF",Valencia,26-071,1996,4.1,4,1,1,1,2,1,2,50.0,1,2,0,2,0,4,0,0
278,Marcão,br  BRA,DF,Sevilla,26-208,1996,4.0,2,2,1,1,0,1,1,100.0,0,3,3,0,5,7,13,0
279,Agustín Marchesín,ar  ARG,GK,Celta Vigo,34-289,1988,14.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,0
280,Óscar de Marcos,es  ESP,DF,Athletic Club,33-260,1989,13.0,21,11,8,10,3,11,22,50.0,11,16,4,12,7,28,18,0
281,José Mari,es  ESP,MF,Cádiz,35-024,1987,3.2,10,5,7,2,1,6,10,60.0,4,2,1,1,5,15,4,0
282,José María Giménez,uy  URU,DF,Atlético Madrid,27-344,1995,9.2,14,8,11,3,0,8,11,72.7,3,13,8,5,12,26,46,0
283,Mariano,do  DOM,FW,Real Madrid,29-151,1993,0.3,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
284,Pablo Marín,es  ESP,"MF,FW",Real Sociedad,19-180,2003,1.2,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0
285,Roger Martí,es  ESP,"FW,MF",Elche,31-361,1991,5.5,5,2,3,2,0,1,4,25.0,3,4,0,4,1,6,6,0
286,Iván Martín,es  ESP,MF,Girona,23-319,1999,1.9,2,2,0,2,0,2,2,100.0,0,1,0,1,0,2,0,0
287,Arnau Martinez,es  ESP,"DF,MF",Girona,19-249,2003,10.0,17,10,13,2,2,11,21,52.4,10,11,2,9,8,25,12,0
288,Iñigo Martínez,es  ESP,DF,Athletic Club,31-227,1991,9.0,8,3,6,2,0,2,4,50.0,2,9,5,4,14,22,31,0
289,Omar Mascarell,es  ESP,MF,Elche,29-331,1993,12.3,19,10,9,8,2,9,24,37.5,15,16,5,11,15,34,19,1
290,Jordi Masip,es  ESP,GK,Valladolid,33-361,1989,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
291,Jaime Mata,es  ESP,FW,Getafe,34-067,1988,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
292,Borja Mayoral,es  ESP,FW,Getafe,25-269,1997,12.3,4,1,3,1,0,3,5,60.0,2,4,0,4,0,4,3,0
293,Mamadou Mbaye,sn  SEN,DF,Cádiz,24-185,1998,2.3,1,0,0,1,0,1,1,100.0,0,2,1,1,1,2,14,0
294,Gonzalo Melero,es  ESP,MF,Almería,28-362,1994,6.0,13,5,2,8,3,3,7,42.9,4,4,0,4,2,15,8,0
295,Memphis,nl  NED,FW,Barcelona,28-320,1994,1.3,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0
296,Houboulang Mendes,fr  FRA,DF,Almería,24-240,1998,5.5,9,6,8,1,0,4,12,33.3,8,7,1,6,3,12,16,0
297,Brais Méndez,es  ESP,MF,Real Sociedad,25-357,1997,12.5,31,18,9,16,6,15,27,55.6,12,13,1,12,5,36,6,0
298,Diego Méndez,es  ESP,MF,Rayo Vallecano,19-123,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
299,Ferland Mendy,fr  FRA,DF,Real Madrid,27-205,1995,9.8,12,6,9,3,0,7,13,53.8,6,5,2,3,10,22,9,0
300,Mikel Merino,es  ESP,MF,Real Sociedad,26-191,1996,12.5,33,19,12,17,4,15,25,60.0,10,15,5,10,13,46,32,0
301,Roque Mesa,es  ESP,MF,Valladolid,33-206,1989,9.6,18,7,13,5,0,8,23,34.8,15,9,0,9,7,25,13,0
302,Éder Militão,br  BRA,DF,Real Madrid,24-346,1998,10.1,18,10,11,6,1,11,12,91.7,1,22,13,9,12,30,33,1
303,Luis Milla,es  ESP,MF,Getafe,28-084,1994,7.2,19,12,11,6,2,11,18,61.1,7,3,0,3,9,28,8,1
304,Pere Milla,es  ESP,"FW,MF",Elche,30-098,1992,9.6,17,9,11,4,2,8,19,42.1,11,8,1,7,6,23,6,1
305,Marko Milovanović,rs  SRB,FW,Almería,19-148,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
306,Óscar Mingueza,es  ESP,DF,Celta Vigo,23-231,1999,5.3,19,9,15,3,1,13,14,92.9,1,5,3,2,4,23,11,0
307,Rafa Mir,es  ESP,FW,Sevilla,25-195,1997,6.2,5,1,2,2,1,1,2,50.0,1,1,0,1,2,7,7,0
308,Juan Miranda,es  ESP,DF,Betis,22-345,2000,1.0,4,3,3,1,0,2,2,100.0,0,0,0,0,1,5,2,0
309,Stefan Mitrović,rs  SRB,DF,Getafe,32-222,1990,11.5,5,3,4,1,0,2,5,40.0,3,6,6,0,10,15,64,2
310,Luka Modrić,hr  CRO,MF,Real Madrid,37-112,1985,10.3,12,4,4,5,3,6,12,50.0,6,8,4,4,4,16,2,0
311,Nahuel Molina,ar  ARG,DF,Atlético Madrid,24-268,1998,10.3,20,13,9,9,2,11,19,57.9,8,12,1,11,5,25,17,1
312,Jon Moncayola,es  ESP,MF,Osasuna,24-231,1998,9.7,15,7,8,6,1,7,16,43.8,9,10,1,9,1,16,9,0
313,Monchu,es  ESP,MF,Valladolid,23-108,1999,7.3,23,13,8,11,4,9,16,56.3,7,12,7,5,7,30,7,1
314,Gonzalo Montiel,ar  ARG,DF,Sevilla,25-363,1997,6.5,8,3,4,4,0,6,9,66.7,3,9,4,5,7,15,8,0
315,Martín Montoya,es  ESP,DF,Betis,31-260,1991,2.0,7,5,5,2,0,6,6,100.0,0,2,0,2,2,9,5,0
316,Álvaro Morata,es  ESP,FW,Atlético Madrid,30-068,1992,10.4,10,7,4,4,2,2,5,40.0,3,5,3,2,0,10,12,0
317,Jon Morcillo,es  ESP,"FW,MF",Athletic Club,24-106,1998,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
318,Alberto Moreno,es  ESP,"DF,FW",Villarreal,30-178,1992,4.1,7,2,1,5,1,4,12,33.3,8,5,1,4,7,14,7,0
319,Álex Moreno,es  ESP,DF,Betis,29-205,1993,14.0,24,17,18,6,0,16,33,48.5,17,17,4,13,16,40,36,0
320,Gerard Moreno,es  ESP,FW,Villarreal,30-267,1992,4.2,4,3,0,3,1,1,2,50.0,1,3,1,2,1,5,2,0
321,Tete Morente,es  ESP,"MF,DF",Elche,26-026,1996,8.1,9,4,5,3,1,4,9,44.4,5,9,1,8,4,13,9,0
322,Ilaix Moriba,gn  GUI,MF,Valencia,19-345,2003,3.7,8,5,2,3,3,4,5,80.0,1,3,0,3,2,10,6,0
323,Manu Morlanes,es  ESP,MF,Villarreal,23-352,1999,1.6,3,2,2,1,0,3,3,100.0,0,2,1,1,1,4,2,0
324,Loren Morón,es  ESP,FW,Betis,29-000,1993,0.2,2,2,0,1,1,0,0,,0,0,0,0,0,2,1,0
325,Cristhian Mosquera,co  COL,DF,Valencia,18-186,2004,0.6,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,3,0
326,Abdul Mumin,gh  GHA,DF,Rayo Vallecano,24-207,1998,2.1,0,0,0,0,0,0,0,,0,2,2,0,1,1,4,0
327,Iker Muniain,es  ESP,"MF,FW",Athletic Club,30-011,1992,9.0,7,5,1,5,1,2,4,50.0,2,2,0,2,3,10,1,0
328,Aihen Muñoz,es  ESP,DF,Real Sociedad,25-136,1997,7.4,17,9,10,5,2,10,17,58.8,7,12,3,9,3,20,10,0
329,Pablo Muñoz,es  ESP,MF,Rayo Vallecano,19-117,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
330,Vedat Muriqi,xk  KVX,FW,Mallorca,28-250,1994,11.5,6,4,3,3,0,2,4,50.0,2,5,2,3,3,9,19,0
331,Yunus Musah,us  USA,MF,Valencia,20-031,2002,9.4,21,14,7,12,2,5,8,62.5,3,4,0,4,5,26,9,2
332,Nacho,es  ESP,DF,Real Madrid,32-346,1990,1.6,1,1,0,1,0,0,0,,0,2,2,0,3,4,1,0
333,Juanjo Narváez,co  COL,"MF,FW",Valladolid,27-321,1995,1.6,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,0,0
334,Matija Nastasić,rs  SRB,DF,Mallorca,29-277,1993,3.2,4,3,2,1,1,0,2,0.0,2,1,0,1,8,12,19,0
335,Roberto Navarro,es  ESP,"MF,DF",Real Sociedad,20-262,2002,1.7,3,2,3,0,0,0,1,0.0,1,4,0,4,0,3,1,0
336,Jesús Navas,es  ESP,"DF,FW",Sevilla,37-039,1985,7.0,7,4,2,1,4,3,10,30.0,7,6,3,3,3,10,12,0
337,Álvaro Negredo,es  ESP,FW,Cádiz,37-132,1985,4.6,4,4,1,1,2,1,1,100.0,0,4,1,3,0,4,5,0
338,Tanguy Nianzou,fr  FRA,DF,Sevilla,20-206,2002,7.1,10,9,6,4,0,6,6,100.0,0,6,4,2,8,18,18,0
339,Saúl Ñíguez,es  ESP,"MF,DF",Atlético Madrid,28-039,1994,5.3,25,15,9,12,4,12,20,60.0,8,12,1,11,8,33,12,0
340,Diego Noguerol,es  ESP,"FW,DF",Valencia,20-231,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
341,Randy Ntekja,fr  FRA,"FW,MF",Rayo Vallecano,25-024,1997,0.7,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,3,0
342,Unai Núñez,es  ESP,DF,Celta Vigo,25-334,1997,13.0,10,7,4,5,1,2,9,22.2,7,7,5,2,23,33,49,1
343,Jan Oblak,si  SVN,GK,Atlético Madrid,29-357,1993,12.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
344,Brian Ocampo,uy  URU,"MF,FW",Cádiz,23-188,1999,6.2,8,7,4,3,1,6,10,60.0,4,5,0,5,1,9,3,0
345,Lucas Ocampos,ar  ARG,"FW,MF",Sevilla,28-172,1994,1.5,3,1,0,2,1,1,3,33.3,2,1,0,1,1,4,1,0
346,Lucas Olaza,uy  URU,DF,Valladolid,28-162,1994,7.1,13,9,8,4,1,9,11,81.8,2,10,2,8,7,20,14,0
347,Brian Oliván,es  ESP,DF,Espanyol,28-273,1994,13.4,31,18,20,7,4,10,13,76.9,3,8,2,6,14,45,33,0
348,Lucas Oliveira Rosa,br  BRA,DF,Valladolid,22-271,2000,3.6,16,6,11,3,2,6,9,66.7,3,6,1,5,7,23,7,0
349,Aimar Oroz,es  ESP,"MF,FW",Osasuna,21-033,2001,8.6,9,5,2,2,5,0,3,0.0,3,9,0,9,11,20,5,0
350,Cenk Özkacar,tr  TUR,DF,Valencia,22-085,2000,2.7,4,3,2,2,0,1,1,100.0,0,2,0,2,1,5,6,0
351,Fernando Pacheco,es  ESP,GK,Almería,30-226,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
352,Jon Pacheco,es  ESP,DF,Real Sociedad,21-356,2001,7.5,9,7,6,3,0,2,4,50.0,2,3,3,0,6,15,20,0
353,Gonçalo Paciência,pt  POR,"FW,MF",Celta Vigo,28-151,1994,3.7,5,3,0,4,1,1,3,33.3,2,4,1,3,0,5,2,0
354,Helibelton Palacios,co  COL,DF,Elche,29-202,1993,8.7,13,8,8,4,1,6,9,66.7,3,8,3,5,9,22,23,0
355,Isaac Palazón Camacho,es  ESP,"FW,MF",Rayo Vallecano,28-003,1994,12.0,22,17,6,12,4,11,22,50.0,11,8,0,8,4,26,8,0
356,Aitor Paredes,es  ESP,DF,Athletic Club,22-245,2000,0.3,2,1,2,0,0,2,3,66.7,1,0,0,0,2,4,0,0
357,Daniel Parejo,es  ESP,MF,Villarreal,33-258,1989,13.6,24,13,10,8,6,8,26,30.8,18,15,6,9,10,34,13,1
358,Moises Parra Gutierrez,es  ESP,FW,Getafe,20-189,2002,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
359,Javier Pastore,ar  ARG,MF,Elche,33-193,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
360,Gabriel Paulista,br  BRA,DF,Valencia,32-034,1990,6.4,9,5,7,2,0,7,11,63.6,4,8,5,3,8,17,28,0
361,Alfonso Pedraza,es  ESP,DF,Villarreal,26-265,1996,8.9,17,16,8,7,2,11,14,78.6,3,7,1,6,5,22,14,0
362,Pedri,es  ESP,MF,Barcelona,20-035,2002,11.4,20,11,7,11,2,9,29,31.0,20,17,0,17,9,29,7,0
363,Rubén Peña,es  ESP,"DF,MF",Osasuna,31-165,1991,6.3,11,5,2,9,0,8,15,53.3,7,6,3,3,8,19,14,0
364,Alberto Perea,es  ESP,MF,Cádiz,32-011,1990,0.5,2,0,2,0,0,0,0,,0,2,0,2,0,2,0,0
365,Carles Pérez,es  ESP,"FW,MF",Celta Vigo,24-317,1998,6.7,13,8,4,6,3,6,12,50.0,6,10,2,8,1,14,4,0
366,Francisco Perez,es  ESP,"FW,DF",Valencia,20-112,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
367,Kike Pérez,es  ESP,MF,Valladolid,25-319,1997,10.7,23,7,12,9,2,7,24,29.2,17,9,2,7,8,31,10,0
368,Lucas Pérez,es  ESP,FW,Cádiz,34-111,1988,6.6,3,2,2,1,0,1,3,33.3,2,2,0,2,1,4,3,0
369,Luis Pérez,es  ESP,DF,Valladolid,27-329,1995,4.3,15,8,8,4,3,8,11,72.7,3,5,3,2,5,20,7,0
370,Germán Pezzella,ar  ARG,DF,Betis,31-186,1991,10.1,17,11,13,4,0,10,12,83.3,2,12,5,7,22,39,40,1
371,Yeremi Pino,es  ESP,"MF,FW",Villarreal,20-071,2002,7.7,19,13,11,6,2,8,19,42.1,11,8,1,7,6,25,15,0
372,Gerard Piqué,es  ESP,DF,Barcelona,35-331,1987,4.3,5,4,1,4,0,4,4,100.0,0,2,1,1,2,7,19,0
373,Óscar Plano,es  ESP,"FW,MF",Valladolid,31-322,1991,9.2,16,10,4,5,7,4,8,50.0,4,9,1,8,12,28,9,0
374,Gonzalo Plata,ec  ECU,"FW,MF",Valladolid,22-059,2000,6.6,12,8,6,4,2,4,10,40.0,6,5,0,5,4,16,2,0
375,Ezequiel Ponce,ar  ARG,FW,Elche,25-276,1997,5.9,5,4,0,3,2,0,2,0.0,2,4,1,3,0,5,9,0
376,Francisco Portillo,es  ESP,"MF,FW",Almería,32-200,1990,2.2,3,2,1,1,1,0,3,0.0,3,1,1,0,2,5,2,0
377,Portu,es  ESP,"MF,DF",Getafe,30-223,1992,4.3,7,4,2,5,0,5,9,55.6,4,6,0,6,2,9,3,0
378,José Pozo,es  ESP,MF,Rayo Vallecano,26-290,1996,0.8,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0
379,Alejandro Pozo Pozo,es  ESP,DF,Almería,23-311,1999,6.4,9,5,4,4,1,7,12,58.3,5,9,4,5,11,20,13,1
380,Abdón Prats,es  ESP,"FW,MF",Mallorca,30-023,1992,1.5,1,0,1,0,0,0,0,,0,1,0,1,0,1,2,0
381,Javi Puado,es  ESP,"FW,MF",Espanyol,24-219,1998,8.3,6,2,3,2,1,3,9,33.3,6,2,0,2,3,9,4,0
382,Arnau Puigmal,es  ESP,"MF,DF",Almería,21-354,2001,2.7,2,1,0,1,1,1,2,50.0,1,3,0,3,3,5,1,0
383,Domingos Quina,pt  POR,MF,Elche,23-042,1999,3.1,3,2,2,1,0,1,3,33.3,2,5,0,5,3,6,1,0
