,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
208,Yangel Herrera,ve  VEN,MF,Girona,24-357,1998,7.0,1,0,0,21,15,1,15,2,7,0,0,0,30,9,20,31.0
209,Omar El Hilali,ma  MAR,"DF,MF",Espanyol,19-109,2003,1.0,1,0,0,0,2,0,2,1,2,0,0,0,10,2,1,66.7
210,Pablo Ibáñez,es  ESP,MF,Osasuna,24-101,1998,0.4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
211,Iglesias,es  ESP,DF,Getafe,24-180,1998,11.4,3,0,0,20,11,0,46,8,18,0,0,0,64,5,5,50.0
212,Borja Iglesias,es  ESP,FW,Betis,29-347,1993,11.4,0,1,0,24,30,10,0,0,4,0,0,0,20,10,18,35.7
213,Asier Illarramendi,es  ESP,MF,Real Sociedad,32-297,1990,1.7,2,0,0,6,3,0,0,7,0,0,0,0,14,2,0,100.0
214,Alexander Isak,se  SWE,FW,Real Sociedad,23-100,1999,1.7,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,
215,Isco,es  ESP,"MF,FW",Sevilla,30-253,1992,8.9,5,0,0,11,34,6,18,10,9,0,0,0,48,5,14,26.3
216,Nicolas Jackson,sn  SEN,FW,Villarreal,21-193,2001,8.6,1,0,0,20,11,5,4,1,6,0,0,0,27,4,16,20.0
217,Adnan Januzaj,be  BEL,FW,Sevilla,27-328,1995,0.5,0,0,0,1,2,0,1,1,0,0,0,0,5,0,0,
218,Javi,es  ESP,DF,Girona,24-242,1998,4.1,1,0,0,2,8,0,7,2,3,0,0,0,22,4,1,80.0
219,Joaquín,es  ESP,"MF,FW",Betis,41-162,1981,1.8,1,0,0,0,5,0,13,1,1,0,0,0,8,0,2,0.0
220,Frenkie de Jong,nl  NED,MF,Barcelona,25-232,1997,10.0,0,0,0,12,12,1,7,16,10,0,0,0,71,6,4,60.0
221,Joan Jordán,es  ESP,"MF,DF",Sevilla,28-177,1994,7.6,2,0,0,15,4,0,1,5,7,0,0,0,47,5,5,50.0
222,Josan,es  ESP,"DF,MF",Elche,33-027,1989,4.4,3,0,0,6,6,3,17,0,5,0,1,0,16,3,3,50.0
223,Willian José,br  BRA,FW,Betis,31-037,1991,3.3,0,0,0,1,1,0,3,0,3,0,0,0,13,6,6,50.0
