,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types
174,Thorgan Hazard,be  BEL,"FW,DF",Dortmund,27-357,1993,4.5,8,2.29,7,0,0,0,1,0,1,0.29,1,0,0,0,0,0,0
175,Jonas Hector,de  GER,MF,Köln,30-298,1990,7.5,10,1.51,8,1,0,0,1,0,1,0.15,0,0,0,0,1,0,0
176,Hwang Hee-chan,kr  KOR,"FW,MF",RB Leipzig,25-054,1996,2.9,8,2.73,5,0,1,1,1,0,1,0.34,0,0,0,1,0,0,0
177,Dominique Heintz,de  GER,DF,Freiburg,27-218,1993,12.7,5,0.39,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
178,Benjamin Henrichs,de  GER,"MF,DF",RB Leipzig,24-026,1997,4.1,4,0.98,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
179,Lucas Hernández,fr  FRA,DF,Bayern Munich,25-035,1996,12.1,19,1.57,17,0,0,0,1,1,4,0.33,3,0,0,0,1,0,0
180,Patrick Herrmann,de  GER,FW,M'Gladbach,30-037,1991,9.1,34,3.72,21,7,3,2,1,0,2,0.22,2,0,0,0,0,0,0
181,Martin Hinteregger,at  AUT,DF,Eint Frankfurt,28-195,1992,23.6,23,0.98,13,1,0,4,4,1,4,0.17,1,0,0,1,2,0,0
182,Marwin Hitz,ch  SUI,GK,Dortmund,33-184,1987,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
183,Nicolas Höfler,de  GER,MF,Freiburg,31-012,1990,23.3,37,1.59,27,1,1,2,4,2,7,0.30,4,0,1,0,1,1,0
184,Jonas Hofmann,de  GER,"FW,MF",M'Gladbach,28-250,1992,16.6,66,4.19,30,30,1,1,3,1,10,0.64,6,4,0,0,0,0,0
185,Marco Höger,de  GER,DF,Köln,31-186,1989,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
186,Lucas Höler,de  GER,"FW,MF",Freiburg,26-254,1994,17.3,42,2.42,27,0,1,5,9,0,7,0.40,4,0,0,2,1,0,0
187,Matthew Hoppe,us  USA,FW,Schalke 04,20-008,2001,11.8,14,1.27,11,1,0,1,0,1,0,0.00,0,0,0,0,0,0,0
188,Jannes Horn,de  GER,DF,Köln,24-043,1997,15.3,21,1.37,17,2,0,0,2,0,1,0.07,1,0,0,0,0,0,0
189,Timo Horn,de  GER,GK,Köln,27-313,1993,25.4,4,0.16,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
190,Lukáš Hrádecký,fi  FIN,GK,Leverkusen,31-117,1989,20.5,3,0.15,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
191,Ajdin Hrustic,au  AUS,"MF,FW",Eint Frankfurt,24-259,1996,1.2,3,2.50,2,0,1,0,0,0,1,0.83,1,0,0,0,0,0,0
192,Florian Hübner,de  GER,DF,Union Berlin,30-020,1991,5.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
193,Mats Hummels,de  GER,DF,Dortmund,32-095,1988,25.4,20,0.82,18,0,0,1,1,0,2,0.08,2,0,0,0,0,0,0
194,Klaas-Jan Huntelaar,nl  NED,FW,Schalke 04,37-221,1983,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
195,Iago,br  BRA,DF,Augsburg,23-363,1997,13.4,23,1.71,19,0,1,1,0,2,3,0.22,2,0,0,1,0,0,0
196,Vedad Ibišević,ba  BIH,FW,Schalke 04,36-227,1984,1.7,5,2.88,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0
197,Stefan Ilsanker,at  AUT,"MF,DF",Eint Frankfurt,31-307,1989,12.5,9,0.78,7,0,0,1,0,1,1,0.09,0,0,0,0,0,1,0
198,Marcus Ingvartsen,dk  DEN,"MF,FW",Union Berlin,25-076,1996,17.4,40,2.39,23,6,3,4,3,1,8,0.48,4,2,1,0,0,1,0
199,Ismail Jakobs,de  GER,"DF,MF",Köln,21-216,1999,16.2,16,1.05,14,1,1,0,0,0,1,0.07,1,0,0,0,0,0,0
200,Tony Jantschke,de  GER,DF,M'Gladbach,30-348,1990,2.8,3,1.05,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
201,Rune Jarstein,no  NOR,GK,Hertha BSC,36-173,1984,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
202,Tin Jedvaj,hr  CRO,DF,Leverkusen,25-113,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
203,Fredrik Jensen,fi  FIN,"FW,MF",Augsburg,23-193,1997,2.9,3,1.04,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
204,Marco John,de  GER,DF,Hoffenheim,18-353,2002,9.3,15,1.61,13,1,1,0,0,0,1,0.11,1,0,0,0,0,0,0
205,Luka Jović,rs  SRB,"FW,MF",Eint Frankfurt,23-088,1997,4.7,7,1.81,5,0,1,1,0,0,2,0.52,0,0,1,1,0,0,0
206,Ozan Kabak,tr  TUR,DF,Schalke 04,20-361,2000,13.8,10,0.72,7,0,0,2,0,1,0,0.00,0,0,0,0,0,0,0
207,Pavel Kadeřábek,cz  CZE,DF,Hoffenheim,28-330,1992,8.6,14,1.62,14,0,0,0,0,0,3,0.35,3,0,0,0,0,0,0
208,Sasa Kalajdzic,at  AUT,FW,Stuttgart,23-257,1997,16.1,40,2.64,26,0,2,4,7,1,6,0.40,3,0,1,0,2,0,0
209,Daichi Kamada,jp  JPN,"MF,FW",Eint Frankfurt,24-228,1996,19.6,76,4.09,44,21,2,2,5,2,16,0.86,11,2,0,1,2,0,0
210,Marcin Kamiński,pl  POL,DF,Stuttgart,29-065,1992,1.4,3,2.20,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
211,Kevin Kampl,si  SVN,MF,RB Leipzig,30-163,1990,16.2,37,2.29,36,0,1,0,0,0,6,0.37,6,0,0,0,0,0,0
212,Atakan Karazor,de  GER,DF,Stuttgart,24-159,1996,5.8,2,0.36,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0
213,Loris Karius,de  GER,GK,Union Berlin,27-272,1993,3.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
214,Noah Katterbach,de  GER,DF,Köln,19-342,2001,9.5,14,1.65,9,0,1,1,3,0,2,0.24,1,0,0,0,1,0,0
215,Yannik Keitel,de  GER,MF,Freiburg,21-034,2000,0.8,1,1.27,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0
216,Marc-Oliver Kempf,de  GER,DF,Stuttgart,26-052,1995,23.5,24,1.07,21,2,0,1,0,0,2,0.09,2,0,0,0,0,0,0
217,Rani Khedira,de  GER,MF,Augsburg,27-053,1994,15.3,9,0.59,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0
218,Sami Khedira,de  GER,MF,Hertha BSC,33-351,1987,1.8,2,1.10,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0
219,Luca Kilian,de  GER,DF,Mainz 05,21-201,1999,4.2,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
220,Joshua Kimmich,de  GER,MF,Bayern Munich,26-041,1995,16.4,83,5.07,52,26,1,2,1,1,16,0.98,10,6,0,0,0,0,0
221,Davy Klaassen,nl  NED,MF,Werder Bremen,28-028,1993,2.5,3,1.22,2,0,0,1,0,0,1,0.41,1,0,0,0,0,0,0
222,Felix Klaus,de  GER,"DF,MF",Wolfsburg,28-189,1992,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
223,Klauss,br  BRA,FW,Hoffenheim,24-020,1997,0.6,3,5.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
224,Philipp Klement,de  GER,"MF,FW",Stuttgart,28-193,1992,3.0,23,7.55,9,12,0,1,1,0,4,1.31,2,2,0,0,0,0,0
225,Mateo Klimowicz,de  GER,"FW,MF",Stuttgart,20-258,2000,10.6,29,2.91,18,0,5,2,3,1,8,0.80,3,0,2,0,2,1,0
226,Fabian Klos,de  GER,FW,Arminia,33-109,1987,23.8,44,1.85,36,0,0,2,5,1,5,0.21,5,0,0,0,0,0,0
227,Lukas Klostermann,de  GER,DF,RB Leipzig,24-292,1996,10.3,14,1.35,12,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0
228,Justin Kluivert,nl  NED,FW,RB Leipzig,21-320,1999,5.6,14,2.50,11,0,1,1,1,0,1,0.18,0,0,0,1,0,0,0
229,Lukas Klünter,de  GER,DF,Hertha BSC,24-299,1996,5.0,5,1.00,4,0,0,0,0,1,2,0.40,2,0,0,0,0,0,0
230,Ansgar Knauff,de  GER,FW,Dortmund,19-070,2002,0.1,,,,,,,,,,,,,,,,,
231,Robin Knoche,de  GER,DF,Union Berlin,28-303,1992,26.0,8,0.32,5,1,0,1,0,1,1,0.04,1,0,0,0,0,0,0
232,Gregor Kobel,ch  SUI,GK,Stuttgart,23-105,1997,26.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
233,Sead Kolašinac,ba  BIH,"DF,MF",Schalke 04,27-274,1993,10.7,9,0.93,7,0,2,0,0,0,1,0.10,1,0,0,0,0,0,0
234,Ibrahima Konaté,fr  FRA,DF,RB Leipzig,21-300,1999,4.6,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
235,Filip Kostić,rs  SRB,DF,Eint Frankfurt,28-140,1992,20.2,81,4.23,54,21,0,4,2,0,16,0.83,10,4,0,1,1,0,0
236,Nianzou Kouassi,fr  FRA,DF,Bayern Munich,18-287,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
237,Andrej Kramarić,hr  CRO,"FW,MF",Hoffenheim,29-275,1991,18.9,66,3.50,47,1,7,4,6,1,9,0.48,6,0,1,0,1,1,0
238,Christoph Kramer,de  GER,MF,M'Gladbach,30-030,1991,18.7,24,1.36,17,1,1,0,3,2,1,0.06,0,0,0,0,0,1,0
239,Max Kruse,de  GER,"FW,MF",Union Berlin,33-002,1988,11.8,39,3.63,30,7,0,2,0,0,10,0.93,9,0,0,1,0,0,0
240,Lukas Kübler,de  GER,DF,Freiburg,28-203,1992,6.7,8,1.19,6,2,0,0,0,0,1,0.15,1,0,0,0,0,0,0
241,Pierre Kunde,cm  CMR,MF,Mainz 05,25-238,1995,5.7,8,1.40,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
242,Fabian Kunze,de  GER,MF,Arminia,22-280,1998,12.0,14,1.17,11,0,2,1,0,0,0,0.00,0,0,0,0,0,0,0
243,Ahmed Kutucu,tr  TUR,"FW,MF",Schalke 04,21-020,2000,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
244,Maxence Lacroix,fr  FRA,DF,Wolfsburg,20-349,2000,22.1,12,0.57,8,0,0,3,0,1,3,0.14,2,0,0,1,0,0,0
245,Stefan Lainer,at  AUT,DF,M'Gladbach,28-206,1992,22.9,38,1.74,27,2,2,1,4,2,3,0.14,1,0,0,0,2,0,0
246,Michael Langer,at  AUT,GK,Schalke 04,36-074,1985,2.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
247,Danny Latza,de  GER,MF,Mainz 05,31-104,1989,16.8,30,1.79,19,8,1,1,1,0,2,0.12,2,0,0,0,0,0,0
248,Valentino Lazaro,at  AUT,"DF,FW",M'Gladbach,24-362,1996,8.9,17,1.94,13,2,0,0,1,1,1,0.11,1,0,0,0,0,0,0
249,Mathew Leckie,au  AUS,"FW,DF",Hertha BSC,30-045,1991,3.3,7,2.09,6,0,0,0,1,0,1,0.30,1,0,0,0,0,0,0
250,Christopher Lenz,de  GER,DF,Union Berlin,26-180,1994,18.9,33,1.75,29,1,1,1,0,1,5,0.26,4,0,0,0,0,1,0
251,Robert Lewandowski,pl  POL,FW,Bayern Munich,32-212,1988,23.3,62,2.75,45,1,3,8,4,1,13,0.58,9,0,1,1,2,0,0
252,Philipp Lienhart,at  AUT,DF,Freiburg,24-253,1996,24.5,10,0.41,8,1,0,0,1,0,0,0.00,0,0,0,0,0,0,0
253,Dimitris Limnios,gr  GRE,"MF,FW",Köln,22-298,1998,4.1,5,1.21,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
254,Niklas Lomb,de  GER,GK,Leverkusen,27-236,1993,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
255,Eduard Löwen,de  GER,"MF,DF",Hertha BSC,24-052,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
256,Jan Luca Schuler,de  GER,FW,Schalke 04,21-364,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
257,Anderson Lucoqui,ao  ANG,DF,Arminia,23-258,1997,10.9,7,0.64,6,0,0,1,0,0,2,0.18,2,0,0,0,0,0,0
258,Kilian Ludewig,de  GER,DF,Schalke 04,21-016,2000,5.8,9,1.56,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
259,Dodi Lukebakio,be  BEL,"FW,MF",Hertha BSC,23-178,1997,17.8,37,2.08,30,1,4,1,0,1,4,0.22,4,0,0,0,0,0,0
260,Andreas Luthe,de  GER,GK,Union Berlin,34-011,1987,22.8,2,0.09,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
261,Tim Maciejewski,de  GER,MF,Union Berlin,20-016,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
262,Mikail Maden,no  NOR,FW,Schalke 04,19-063,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
263,Yunus Mallı,tr  TUR,MF,Wolfsburg,29-025,1992,0.6,2,3.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
264,Orel Mangala,be  BEL,MF,Stuttgart,23-003,1998,23.4,53,2.26,41,0,3,1,6,2,5,0.21,3,0,0,0,1,1,0
265,Omar Marmoush,eg  EGY,FW,Wolfsburg,22-042,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
266,Aarón Martín,es  ESP,DF,Mainz 05,23-333,1997,2.9,5,1.72,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0
267,Javi Martínez,es  ESP,"MF,DF",Bayern Munich,32-200,1988,3.5,2,0.59,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
268,Omar Mascarell,es  ESP,MF,Schalke 04,28-047,1993,15.6,10,0.69,8,2,0,0,0,0,1,0.07,0,1,0,0,0,0,0
269,Roberto Massimo,de  GER,"DF,FW",Stuttgart,20-160,2000,3.9,12,3.09,5,0,3,2,2,0,2,0.52,0,0,0,1,1,0,0
270,Jean-Philippe Mateta,fr  FRA,FW,Mainz 05,23-266,1997,11.1,25,2.26,18,1,5,0,1,0,4,0.36,3,0,0,0,1,0,0
271,Rabbi Matondo,wal  WAL,"FW,MF",Schalke 04,20-193,2000,2.4,4,1.64,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0
272,Konstantinos Mavropanos,gr  GRE,DF,Stuttgart,23-100,1997,11.7,7,0.65,5,0,0,2,0,0,2,0.19,1,0,0,1,0,0,0
273,Eric Maxim Choupo-Moting,cm  CMR,"MF,FW",Bayern Munich,31-363,1989,4.8,6,1.32,5,0,0,0,1,0,1,0.22,0,0,0,0,1,0,0
274,Kevin Mbabu,ch  SUI,DF,Wolfsburg,25-336,1995,12.1,18,1.62,15,1,0,1,1,0,3,0.27,3,0,0,0,0,0,0
275,Jean-Manuel Mbom,de  GER,"MF,DF",Werder Bremen,21-025,2000,11.8,15,1.28,7,2,1,0,4,1,2,0.17,1,0,0,0,1,0,0
276,Nathan de Medina,be  BEL,DF,Arminia,23-164,1997,5.2,4,0.77,4,0,0,0,0,0,1,0.19,1,0,0,0,0,0,0
277,Joshua Mees,de  GER,FW,Union Berlin,24-340,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
278,Admir Mehmedi,ch  SUI,"MF,FW",Wolfsburg,30-005,1991,8.7,38,4.89,31,1,1,2,2,1,3,0.39,3,0,0,0,0,0,0
279,Hamza Mendyl,ma  MAR,FW,Schalke 04,23-151,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
280,Jorge Meré,es  ESP,DF,Köln,23-338,1997,12.6,4,0.35,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
281,Thomas Meunier,be  BEL,DF,Dortmund,29-190,1991,15.2,20,1.39,15,1,0,2,1,1,1,0.07,0,0,0,1,0,0,0
282,Max Meyer,de  GER,MF,Köln,25-184,1995,2.5,5,2.02,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
283,Maximilian Mittelstädt,de  GER,"DF,MF",Hertha BSC,24-003,1997,16.2,33,2.03,29,2,1,0,0,1,2,0.12,2,0,0,0,0,0,0
284,Anthony Modeste,fr  FRA,"FW,MF",Köln,32-341,1988,2.5,4,1.63,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0
285,Kevin Möhwald,de  GER,MF,Werder Bremen,27-261,1993,13.3,16,1.29,12,3,0,1,0,0,1,0.08,1,0,0,0,0,0,0
286,Niklas Moisander,fi  FIN,DF,Werder Bremen,35-173,1985,6.6,2,0.30,2,0,0,0,0,0,1,0.15,1,0,0,0,0,0,0
287,Alkhaly Momo Cissé,gn  GUI,"DF,FW",Stuttgart,18-155,2002,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
288,Jan Morávek,cz  CZE,MF,Augsburg,31-140,1989,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
289,Mateu Morey,es  ESP,DF,Dortmund,21-019,2000,7.8,17,2.18,15,0,0,0,2,0,1,0.13,1,0,0,0,0,0,0
290,Youssoufa Moukoko,de  GER,"FW,MF",Dortmund,16-121,2004,4.7,16,3.82,6,0,2,4,2,2,2,0.48,1,0,1,0,0,0,0
291,Nordi Mukiele,fr  FRA,DF,RB Leipzig,23-140,1997,15.6,22,1.41,19,1,0,0,2,0,3,0.19,2,0,0,0,1,0,0
292,Florian Müller,de  GER,GK,Freiburg,23-128,1997,25.0,6,0.24,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,0
293,Sebastian Müller,de  GER,"MF,DF",Arminia,20-057,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
294,Thomas Müller,de  GER,MF,Bayern Munich,31-189,1989,22.6,101,4.66,93,1,2,1,2,2,19,0.88,18,0,0,1,0,0,0
295,Petar Musa,hr  CRO,FW,Union Berlin,23-017,1998,2.2,4,1.82,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0
296,Jamal Musiala,eng  ENG,"MF,FW",Bayern Munich,18-023,2003,5.6,19,3.46,13,0,2,1,2,1,2,0.36,2,0,0,0,0,0,0
297,Shkodran Mustafi,de  GER,DF,Schalke 04,28-338,1992,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
298,Phillipp Mwene,at  AUT,DF,Mainz 05,27-051,1994,11.5,21,1.83,14,2,1,0,3,1,0,0.00,0,0,0,0,0,0,0
299,Obite N'Dicka,fr  FRA,DF,Eint Frankfurt,21-213,1999,16.0,10,0.67,8,1,0,1,0,0,2,0.13,1,1,0,0,0,0,0
300,Matija Nastasić,rs  SRB,DF,Schalke 04,27-358,1993,13.6,3,0.22,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
301,Paul Nebel,de  GER,MF,Mainz 05,18-162,2002,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
302,Luca Netz,de  GER,DF,Hertha BSC,17-310,2003,3.3,6,1.80,4,0,0,1,0,1,1,0.30,0,0,0,1,0,0,0
303,Manuel Neuer,de  GER,GK,Bayern Munich,34-359,1986,26.0,2,0.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
304,Florian Neuhaus,de  GER,MF,M'Gladbach,24-005,1997,21.5,44,2.15,35,1,2,3,2,1,7,0.34,6,1,0,0,0,0,0
305,Jessic Ngankam,de  GER,FW,Hertha BSC,20-244,2000,1.4,1,0.69,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0
306,Moussa Niakhate,fr  FRA,DF,Mainz 05,25-013,1996,22.8,23,1.01,15,2,2,1,1,2,1,0.04,1,0,0,0,0,0,0
307,Florian Niederlechner,de  GER,FW,Augsburg,30-148,1990,15.6,20,1.28,15,0,3,0,1,1,5,0.32,5,0,0,0,0,0,0
308,Joakim Nilsson,se  SWE,DF,Arminia,27-043,1994,16.0,4,0.25,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
309,Christopher Nkunku,fr  FRA,"FW,MF",RB Leipzig,23-127,1997,14.9,94,6.31,44,26,7,5,10,2,12,0.81,6,2,2,1,1,0,0
310,Håvard Nordtveit,no  NOR,DF,Hoffenheim,30-273,1990,6.8,6,0.88,4,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0
311,Kasim Nuhu,gh  GHA,DF,Hoffenheim,25-272,1995,11.0,6,0.55,6,0,0,0,0,0,1,0.09,1,0,0,0,0,0,0
312,Bastian Oczipka,de  GER,DF,Schalke 04,32-068,1989,16.5,38,2.41,25,11,0,0,2,0,1,0.06,1,0,0,0,0,0,0
313,Masaya Okugawa,jp  JPN,"MF,FW",Arminia,24-341,1996,3.3,3,0.90,1,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0
314,Dani Olmo,es  ESP,"MF,FW",RB Leipzig,22-318,1998,19.9,94,4.72,73,0,4,11,3,3,17,0.85,12,0,1,2,1,1,0
315,Karim Onisiwo,at  AUT,FW,Mainz 05,29-004,1992,13.7,28,2.05,19,0,3,2,3,1,2,0.15,0,0,1,0,1,0,0
316,Willi Orban,hu  HUN,DF,RB Leipzig,28-138,1992,19.3,14,0.73,11,0,0,2,1,0,1,0.05,0,0,0,0,1,0,0
317,Stefan Ortega,de  GER,GK,Arminia,28-135,1992,26.0,14,0.54,12,2,0,0,0,0,3,0.12,3,0,0,0,0,0,0
318,Yuya Osako,jp  JPN,"FW,MF",Werder Bremen,30-307,1990,6.6,17,2.61,14,0,1,0,1,1,3,0.46,2,0,0,0,0,1,0
319,Paulo Otávio,br  BRA,DF,Wolfsburg,26-118,1994,14.4,22,1.53,17,1,3,0,1,0,0,0.00,0,0,0,0,0,0,0
320,Reece Oxford,eng  ENG,DF,Augsburg,22-095,1998,9.3,4,0.43,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0
321,Salih Özcan,de  GER,"MF,FW",Köln,23-069,1998,13.8,22,1.59,15,1,2,0,4,0,3,0.22,3,0,0,0,0,0,0
322,Levin Öztunalı,de  GER,"DF,FW",Mainz 05,25-006,1996,7.7,19,2.48,15,2,1,0,1,0,2,0.26,2,0,0,0,0,0,0
323,Gonçalo Paciência,pt  POR,FW,Schalke 04,26-232,1994,6.2,12,1.94,6,0,2,3,1,0,3,0.48,1,0,1,0,1,0,0
324,Exequiel Palacios,ar  ARG,MF,Leverkusen,22-167,1998,1.0,1,1.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
325,Matondo-Merveille Papela,de  GER,DF,Mainz 05,20-062,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
326,Felix Passlack,de  GER,DF,Dortmund,22-296,1998,3.8,6,1.56,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
327,Benjamin Pavard,fr  FRA,DF,Bayern Munich,24-358,1996,15.4,16,1.11,14,1,0,0,1,0,1,0.07,1,0,0,0,0,0,0
328,Jiří Pavlenka,cz  CZE,GK,Werder Bremen,28-341,1992,26.0,1,0.04,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
329,Mads Pedersen,dk  DEN,DF,Augsburg,24-201,1996,7.4,16,2.15,8,5,0,0,3,0,1,0.13,0,0,0,0,1,0,0
330,Peter Pekarík,sk  SVK,DF,Hertha BSC,34-142,1986,15.8,18,1.14,16,1,0,0,1,0,1,0.06,1,0,0,0,0,0,0
331,Philipp Pentke,de  GER,GK,Hoffenheim,35-324,1985,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
332,Pavao Pervan,at  AUT,GK,Wolfsburg,33-128,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
333,Nils Petersen,de  GER,FW,Freiburg,32-105,1988,11.5,20,1.74,15,0,0,4,0,1,1,0.09,0,0,0,1,0,0,0
334,Maximilian Philipp,de  GER,MF,Wolfsburg,27-020,1994,6.8,13,1.93,9,0,2,1,1,0,2,0.30,2,0,0,0,0,0,0
335,Krzysztof Piątek,pl  POL,FW,Hertha BSC,25-263,1995,15.3,16,1.05,15,0,0,0,0,1,3,0.20,3,0,0,0,0,0,0
336,Amos Pieper,de  GER,DF,Arminia,23-063,1998,22.8,11,0.48,11,0,0,0,0,0,1,0.04,1,0,0,0,0,0,0
337,Łukasz Piszczek,pl  POL,DF,Dortmund,35-291,1985,0.7,1,1.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
338,Marvin Plattenhardt,de  GER,DF,Hertha BSC,29-054,1992,8.9,20,2.25,14,4,1,0,1,0,1,0.11,1,0,0,0,0,0,0
339,Alassane Pléa,fr  FRA,FW,M'Gladbach,28-011,1993,14.8,42,3.05,30,0,5,3,4,0,5,0.36,4,0,0,1,0,0,0
340,Marin Pongračić,hr  CRO,DF,Wolfsburg,23-191,1997,5.1,2,0.39,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
341,Stefan Posch,at  AUT,DF,Hoffenheim,23-311,1997,15.9,17,1.07,16,0,0,1,0,0,1,0.06,1,0,0,0,0,0,0
342,Yussuf Poulsen,dk  DEN,FW,RB Leipzig,26-279,1994,13.3,32,2.41,25,0,1,2,3,1,7,0.53,5,0,1,0,1,0,0
343,Manuel Prietl,at  AUT,MF,Arminia,29-230,1991,20.0,22,1.10,17,0,0,0,0,5,5,0.25,4,0,0,0,0,1,0
344,Grischa Prömel,de  GER,MF,Union Berlin,26-071,1995,16.4,34,2.18,22,0,1,3,5,3,3,0.19,1,0,0,1,1,0,0
345,Robin Quaison,se  SWE,"FW,MF",Mainz 05,27-163,1993,13.3,28,2.11,18,0,4,2,2,2,4,0.30,2,0,0,2,0,0,0
346,Nemanja Radonjić,rs  SRB,"FW,MF",Hertha BSC,25-034,1996,1.5,4,2.63,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
347,Benito Raman,be  BEL,"FW,MF",Schalke 04,26-134,1994,13.5,25,1.96,20,0,2,2,1,0,0,0.00,0,0,0,0,0,0,0
348,Milot Rashica,xk  KVX,"FW,MF",Werder Bremen,24-266,1996,10.7,23,2.34,16,0,5,2,0,0,4,0.41,3,0,0,1,0,0,0
349,Daishawn Redan,nl  NED,"MF,FW",Hertha BSC,20-047,2001,0.8,1,1.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
350,Reinier,br  BRA,"MF,FW",Dortmund,19-061,2002,1.7,2,1.36,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0
351,Rocco Reitz,de  GER,MF,M'Gladbach,18-296,2002,0.7,3,4.58,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
