,Player,Weekly Gross,Annual Gross,Expiration,Length,Total Gross,Status,Pos. group,Pos.,Age,Country,Club
217,Nacho Vidal,"€ 19,423","€ 1,010,000","Jun 30, 2025",3-yrs,"€ 3,030,000",,D,RB,27,Spain,Osasuna
218,Lucas Olaza,"€ 19,231","€ 1,000,000","Jun 30, 2025",3-yrs,"€ 3,000,000",,D,LB,27,Uruguay,Valladolid
219,Jon Guridi,"€ 19,231","€ 1,000,000","Jun 30, 2024",2-yrs,"€ 2,000,000",,M,CM,27,Spain,Real Sociedad
220,Takefusa Kubo,"€ 19,231","€ 1,000,000","Jun 30, 2024",2-yrs,"€ 2,000,000",,F,RW,21,Japan,Real Madrid
221,Sergio León,"€ 19,231","€ 1,000,000","Jun 30, 2024",2-yrs,"€ 2,000,000",,F,CF,33,Spain,Valladolid
222,Iván Villar,"€ 19,038","€ 990,000","Jun 30, 2023",1-yr,"€ 990,000",,K,GK,24,Spain,Celta Vigo
223,Aihen Muñoz,"€ 19,038","€ 990,000","Jun 30, 2024",2-yrs,"€ 1,980,000",,D,LB,24,Spain,Real Sociedad
224,Fernando Calero,"€ 19,038","€ 990,000","Jun 30, 2024",2-yrs,"€ 1,980,000",,D,CB,26,Spain,Espanyol
225,Pablo Maffeo,"€ 18,846","€ 980,000","Jun 30, 2026",4-yrs,"€ 3,920,000",,D,RB,24,Spain,Mallorca
226,Chumi,"€ 18,654","€ 970,000","Jun 30, 2025",3-yrs,"€ 2,910,000",,D,CB,23,Spain,Almeria
227,Kevin Vázquez,"€ 18,462","€ 960,000","Jun 30, 2023",1-yr,"€ 960,000",,D,RB,29,Spain,Celta Vigo
228,Adrià Pedrosa,"€ 18,462","€ 960,000","Jun 30, 2023",1-yr,"€ 960,000",,D,LB,24,Spain,Espanyol
229,Lucas Robertone,"€ 18,269","€ 950,000","Jun 30, 2025",3-yrs,"€ 2,850,000",,M,CM,25,Argentina,Almeria
230,Marko Dmitrovic,"€ 18,269","€ 950,000","Jun 30, 2025",3-yrs,"€ 2,850,000",,K,GK,30,Serbia,Sevilla
231,Sergio Herrera,"€ 18,269","€ 950,000","Jun 30, 2026",4-yrs,"€ 3,800,000",,K,GK,29,Spain,Osasuna
232,Víctor Ruiz,"€ 17,885","€ 930,000","Jun 30, 2023",1-yr,"€ 930,000",,D,CB,33,Spain,Real Betis
233,Santiago Arias,"€ 17,692","€ 920,000","Jun 30, 2023",1-yr,"€ 920,000",,D,RB,30,Colombia,Atletico Madrid
234,Juanmi,"€ 17,500","€ 910,000","Jun 30, 2024",2-yrs,"€ 1,820,000",,F,LW,29,Spain,Real Betis
235,Javi Ontiveros,"€ 17,308","€ 900,000","Jun 30, 2024",2-yrs,"€ 1,800,000",,F,LW,24,Spain,Villarreal
236,Fran Beltrán,"€ 17,308","€ 900,000","Jun 30, 2026",4-yrs,"€ 3,600,000",,M,CM,23,Spain,Celta Vigo
237,Víctor Camarasa,"€ 17,115","€ 890,000","Jun 30, 2023",1-yr,"€ 890,000",,M,CM,28,Spain,Real Betis
238,Uros Racic,"€ 16,923","€ 880,000","Jun 30, 2024",2-yrs,"€ 1,760,000",,M,DM,24,Serbia,Valencia
239,Ander Guevara,"€ 16,731","€ 870,000","Jun 30, 2024",2-yrs,"€ 1,740,000",,M,CM,24,Spain,Real Sociedad
240,Enes Ünal,"€ 16,538","€ 860,000","Jun 30, 2025",3-yrs,"€ 2,580,000",,F,CF,25,Turkey,Getafe
