,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
12,Nadiem Amiri,de  GER,"MF,FW",Genoa,24,1996,7.6,0,16,6,37.5,2.11,0.79,0.00,0.00,22.3,1,0,0,1.1,1.1,0.07,-1.1,-1.1
13,Ethan Ampadu,wls  WAL,"MF,DF",Venezia,20,2000,25.4,0,7,1,14.3,0.28,0.04,0.00,0.00,18.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3
14,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24,1996,10.5,1,4,3,75.0,0.38,0.29,0.25,0.33,24.4,0,0,0,0.2,0.2,0.05,+0.8,+0.8
15,Felipe Anderson,br  BRA,FW,Lazio,28,1993,32.1,6,44,16,36.4,1.37,0.50,0.14,0.38,15.8,0,0,0,5.5,5.5,0.13,+0.5,+0.5
16,Ebenezer Annan,gh  GHA,DF,Bologna,18,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
17,Cristian Ansaldi,ar  ARG,DF,Torino,34,1986,7.7,0,7,1,14.3,0.91,0.13,0.00,0.00,18.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
18,Janis Antiste,fr  FRA,FW,Spezia,18,2002,8.8,1,11,2,18.2,1.24,0.23,0.09,0.50,10.2,0,0,0,1.4,1.4,0.13,-0.4,-0.4
19,Mattia Aramu,it  ITA,"MF,FW",Venezia,26,1995,23.3,7,57,16,28.1,2.44,0.69,0.07,0.25,23.9,17,3,4,6.9,3.9,0.07,+0.1,+0.1
20,Marko Arnautović,at  AUT,FW,Bologna,32,1989,29.9,14,91,32,35.2,3.04,1.07,0.13,0.38,14.4,3,2,3,14.7,12.5,0.14,-0.7,-0.5
21,Tolgay Arslan,de  GER,MF,Udinese,30,1990,18.4,1,23,9,39.1,1.25,0.49,0.04,0.11,21.6,1,0,0,1.2,1.2,0.05,-0.2,-0.2
22,Arthur,br  BRA,FW,Fiorentina,23,1998,8.3,2,23,8,34.8,2.76,0.96,0.09,0.25,9.3,0,0,0,3.7,3.7,0.16,-1.7,-1.7
23,Kristoffer Askildsen,no  NOR,MF,Sampdoria,20,2001,8.4,0,7,0,0.0,0.84,0.00,0.00,,17.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
24,Kristjan Asllani,al  ALB,MF,Empoli,19,2002,15.0,1,16,6,37.5,1.06,0.40,0.06,0.17,24.5,2,0,0,0.8,0.8,0.05,+0.2,+0.2
25,Emil Audero,it  ITA,GK,Sampdoria,24,1997,28.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
26,Tommaso Augello,it  ITA,DF,Sampdoria,26,1994,26.6,1,7,2,28.6,0.26,0.08,0.14,0.50,17.9,0,0,0,0.4,0.4,0.06,+0.6,+0.6
27,Ramzi Aya,it  ITA,DF,Salernitana,30,1990,1.5,0,1,0,0.0,0.67,0.00,0.00,,25.9,0,0,0,0.0,0.0,0.04,0.0,0.0
28,Kaan Ayhan,tr  TUR,DF,Sassuolo,26,1994,15.0,1,5,1,20.0,0.33,0.07,0.20,1.00,15.7,2,0,0,0.3,0.3,0.06,+0.7,+0.7
29,Milan Badelj,hr  CRO,MF,Genoa,32,1989,31.6,1,22,5,22.7,0.70,0.16,0.05,0.20,20.9,0,0,0,1.2,1.2,0.05,-0.2,-0.2
30,Nicola Bagnolini,it  ITA,GK,Bologna,17,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
31,Issa Bah,lu  LUX,FW,Venezia,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
32,Nedim Bajrami,al  ALB,"MF,FW",Empoli,22,1999,22.8,6,51,18,35.3,2.23,0.79,0.06,0.17,20.2,8,3,3,6.2,3.9,0.08,-0.2,-0.9
