,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
70,Ander Capa,es  ESP,MF,Athletic Club,30-265,1992,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
71,Étienne Capoue,fr  FRA,MF,Villarreal,34-112,1988,8,8,678,7.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.3,1.6,0.17,0.04,0.21,0.17,0.21
72,Isaac Carcelen,es  ESP,DF,Cádiz,29-191,1993,5,4,297,3.3,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02
73,Juan Carlos,es  ESP,GK,Girona,34-284,1988,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
74,Carmona,es  ESP,DF,Sevilla,20-275,2002,9,4,442,4.9,2,1,2,0,0,4,0,0.41,0.20,0.61,0.41,0.61,0.8,0.8,0.4,1.2,0.17,0.07,0.24,0.17,0.24
75,Yannick Carrasco,be  BEL,"DF,FW",Atlético Madrid,29-057,1993,11,6,616,6.8,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,1.7,1.7,1.1,2.8,0.25,0.16,0.41,0.25,0.41
76,Dani Carvajal,es  ESP,DF,Real Madrid,30-293,1992,11,9,788,8.8,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,1.1,1.2,0.02,0.12,0.14,0.02,0.14
77,William Carvalho,pt  POR,MF,Betis,30-207,1992,11,10,812,9.0,2,1,2,0,0,2,0,0.22,0.11,0.33,0.22,0.33,2.0,2.0,0.3,2.2,0.22,0.03,0.25,0.22,0.25
78,Casals,es  ESP,MF,Girona,17-146,2005,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
79,Casemiro,br  BRA,MF,Real Madrid,30-250,1992,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
80,Valentín Castellanos,ar  ARG,FW,Girona,24-028,1998,12,12,983,10.9,2,0,2,0,0,4,0,0.18,0.00,0.18,0.18,0.18,1.8,1.8,0.5,2.4,0.17,0.05,0.22,0.17,0.22
81,Samu Castillejo,es  ESP,"FW,MF",Valencia,27-286,1995,8,7,528,5.9,2,0,2,0,0,3,0,0.34,0.00,0.34,0.34,0.34,0.9,0.9,0.4,1.3,0.16,0.07,0.23,0.16,0.23
82,Catena,es  ESP,DF,Rayo Vallecano,28-003,1994,12,12,1080,12.0,1,1,1,0,0,3,0,0.08,0.08,0.17,0.08,0.17,0.2,0.2,0.7,0.8,0.01,0.06,0.07,0.01,0.07
83,Edinson Cavani,uy  URU,FW,Valencia,35-259,1987,7,7,430,4.8,4,1,2,2,3,0,0,0.84,0.21,1.05,0.42,0.63,3.8,1.5,0.5,1.9,0.80,0.10,0.90,0.31,0.41
84,Dani Ceballos,es  ESP,MF,Real Madrid,26-085,1996,7,2,169,1.9,0,1,0,0,0,1,0,0.00,0.53,0.53,0.00,0.53,0.1,0.1,0.3,0.4,0.06,0.17,0.23,0.06,0.23
