,,,,Nation,Pos,Age,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
ESP-La Liga,2122,Espanyol,Wu Lei,CHN,"FW,MF",29.0,5.3,1,7,5,71.4,1.33,0.95,0.14,0.2,14.6,0,0,0,0.7,0.7,0.11,0.3,0.3
ESP-La Liga,2122,Espanyol,Yangel Herrera,VEN,MF,23.0,18.3,1,15,3,20.0,0.82,0.16,0.07,0.33,18.7,0,0,0,1.0,1.0,0.07,0.0,0.0
ESP-La Liga,2122,Espanyol,Álvaro Vadillo,ESP,"MF,DF",26.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Espanyol,Óscar Gil,ESP,DF,23.0,18.8,0,6,1,16.7,0.32,0.05,0.0,0.0,23.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ESP-La Liga,2122,Espanyol,Óscar Melendo,ESP,"MF,FW",23.0,11.0,0,8,0,0.0,0.73,0.0,0.0,,16.6,0,0,0,0.7,0.7,0.08,-0.7,-0.7
ESP-La Liga,2122,Getafe,Allan Nyom,CMR,DF,33.0,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Getafe,Borja Mayoral,ESP,FW,24.0,11.6,6,16,6,37.5,1.38,0.52,0.31,0.83,15.8,0,1,1,2.7,2.0,0.12,3.3,3.0
ESP-La Liga,2122,Getafe,Carles Aleñá,ESP,MF,23.0,25.8,1,47,14,29.8,1.82,0.54,0.02,0.07,23.2,0,0,0,2.0,2.0,0.04,-1.0,-1.0
ESP-La Liga,2122,Getafe,Chema,ESP,MF,29.0,0.5,0,1,0,0.0,2.0,0.0,0.0,,26.0,0,0,0,0.0,0.0,0.03,0.0,0.0
ESP-La Liga,2122,Getafe,Damián Suárez,URU,DF,33.0,30.1,0,14,4,28.6,0.46,0.13,0.0,0.0,30.3,2,0,0,0.5,0.5,0.04,-0.5,-0.5
ESP-La Liga,2122,Getafe,Darío Poveda,ESP,"FW,MF",24.0,4.2,1,4,4,100.0,0.95,0.95,0.25,0.25,29.8,0,0,0,0.2,0.2,0.04,0.8,0.8
ESP-La Liga,2122,Getafe,David Soria,ESP,GK,28.0,37.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Getafe,David Timor,ESP,MF,31.0,3.8,0,8,0,0.0,2.11,0.0,0.0,,29.7,2,0,0,0.2,0.2,0.03,-0.2,-0.2
ESP-La Liga,2122,Getafe,Diego Conde,ESP,GK,22.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Getafe,Djené,TOG,DF,29.0,34.6,0,4,1,25.0,0.12,0.03,0.0,0.0,17.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ESP-La Liga,2122,Getafe,Emmanuel Amankwaa Akurugu,GHA,DF,19.0,0.9,0,1,0,0.0,1.14,0.0,0.0,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0
ESP-La Liga,2122,Getafe,Enes Ünal,TUR,FW,24.0,31.1,16,82,24,29.3,2.64,0.77,0.17,0.58,15.8,7,2,4,10.2,7.1,0.09,5.8,6.9
ESP-La Liga,2122,Getafe,Erick Cabaco,URU,DF,26.0,4.5,0,2,0,0.0,0.45,0.0,0.0,,8.5,0,0,0,0.4,0.4,0.2,-0.4,-0.4
ESP-La Liga,2122,Getafe,Florentino Luís,POR,MF,21.0,11.0,0,3,1,33.3,0.27,0.09,0.0,0.0,25.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ESP-La Liga,2122,Getafe,Gonzalo Villar,ESP,MF,23.0,3.3,0,2,2,100.0,0.6,0.6,0.0,0.0,19.7,0,0,0,0.3,0.3,0.14,-0.3,-0.3
ESP-La Liga,2122,Getafe,Hugo Duro,ESP,"DF,MF",21.0,0.1,0,2,1,50.0,15.0,7.5,0.0,0.0,16.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ESP-La Liga,2122,Getafe,Iglesias,ESP,DF,23.0,8.0,0,5,0,0.0,0.63,0.0,0.0,,34.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ESP-La Liga,2122,Getafe,Jaime Mata,ESP,FW,32.0,7.5,1,9,3,33.3,1.21,0.4,0.11,0.33,13.6,0,0,0,1.5,1.5,0.16,-0.5,-0.5
ESP-La Liga,2122,Getafe,Jakub Jankto,CZE,"DF,MF",25.0,6.5,0,6,0,0.0,0.92,0.0,0.0,,21.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ESP-La Liga,2122,Getafe,Jonathan Silva,ARG,"DF,MF",27.0,2.5,0,1,1,100.0,0.4,0.4,0.0,0.0,20.9,0,0,0,0.0,0.0,0.03,0.0,0.0
ESP-La Liga,2122,Getafe,Jorge Cuenca,ESP,DF,21.0,29.8,1,16,6,37.5,0.54,0.2,0.06,0.17,11.0,0,0,0,0.7,0.7,0.04,0.3,0.3
ESP-La Liga,2122,Getafe,José Juan Macías,MEX,"FW,MF",21.0,2.2,0,4,0,0.0,1.79,0.0,0.0,,18.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
ESP-La Liga,2122,Getafe,Marc Cucurella,ESP,"FW,DF",23.0,0.3,0,1,0,0.0,3.91,0.0,0.0,,18.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ESP-La Liga,2122,Getafe,Mathías Olivera,URU,DF,23.0,31.1,1,24,7,29.2,0.77,0.22,0.04,0.14,11.4,0,0,0,2.8,2.3,0.1,-1.8,-1.3
ESP-La Liga,2122,Getafe,Mauro Arambarri,URU,MF,25.0,29.6,0,37,8,21.6,1.25,0.27,0.0,0.0,26.6,2,0,0,1.1,1.1,0.03,-1.1,-1.1
ESP-La Liga,2122,Getafe,Nemanja Maksimović,SRB,MF,26.0,32.6,1,30,5,16.7,0.92,0.15,0.03,0.2,15.1,0,0,0,2.5,2.5,0.08,-1.5,-1.5
ESP-La Liga,2122,Getafe,Okay Yokuşlu,TUR,"DF,MF",27.0,5.2,0,4,1,25.0,0.77,0.19,0.0,0.0,13.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ESP-La Liga,2122,Getafe,Opponent Total,,,27.8,38.0,40,409,130,31.8,10.76,3.42,0.09,0.29,18.5,21,2,4,39.1,36.1,0.09,0.9,1.9
ESP-La Liga,2122,Getafe,Sandro Ramírez,ESP,FW,26.0,16.2,3,50,14,28.0,3.08,0.86,0.06,0.21,22.5,7,0,0,2.8,2.8,0.06,0.2,0.2
ESP-La Liga,2122,Getafe,Squad Total,,,26.6,38.0,32,404,111,27.5,10.63,2.92,0.07,0.26,19.9,29,3,5,29.5,25.7,0.06,2.5,3.3
ESP-La Liga,2122,Getafe,Stefan Mitrović,SRB,DF,31.0,29.6,1,5,1,20.0,0.17,0.03,0.2,1.0,11.4,0,0,0,0.2,0.2,0.03,0.8,0.8
ESP-La Liga,2122,Getafe,Vitolo,ESP,"MF,FW",31.0,2.5,0,1,0,0.0,0.41,0.0,0.0,,22.5,0,0,0,0.0,0.0,0.04,0.0,0.0
ESP-La Liga,2122,Getafe,Óscar Rodríguez Arnaiz,ESP,"MF,FW",23.0,10.5,0,25,8,32.0,2.39,0.76,0.0,0.0,25.5,9,0,0,1.1,1.1,0.04,-1.1,-1.1
ESP-La Liga,2122,Granada,Aarón Escandell,ESP,GK,25.0,3.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Granada,Adrián Butzke,ESP,FW,22.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Granada,Alberto Soro,ESP,"MF,FW",22.0,6.4,0,7,4,57.1,1.09,0.62,0.0,0.0,11.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6
ESP-La Liga,2122,Granada,Antonio Puertas,ESP,"MF,FW",29.0,25.1,6,33,14,42.4,1.31,0.56,0.18,0.43,13.6,0,0,0,3.6,3.6,0.11,2.4,2.4
ESP-La Liga,2122,Granada,Barcia,ESP,DF,20.0,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Granada,Carlos Bacca,COL,FW,34.0,5.7,0,9,2,22.2,1.58,0.35,0.0,0.0,14.4,0,0,0,0.8,0.8,0.08,-0.8,-0.8
ESP-La Liga,2122,Granada,Carlos Neva,ESP,DF,25.0,23.4,0,6,1,16.7,0.26,0.04,0.0,0.0,18.7,0,0,0,0.9,0.9,0.16,-0.9,-0.9
ESP-La Liga,2122,Granada,Dani Raba,ESP,"MF,FW",25.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Granada,Darwin Machís,VEN,"MF,FW",28.0,15.3,4,38,17,44.7,2.49,1.11,0.11,0.24,21.4,1,0,0,1.7,1.7,0.05,2.3,2.3
ESP-La Liga,2122,Granada,Dimitri Foulquier,FRA,DF,28.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Granada,Domingos Duarte,POR,DF,26.0,18.7,1,6,1,16.7,0.32,0.05,0.17,1.0,8.7,0,0,0,0.7,0.7,0.11,0.3,0.3
ESP-La Liga,2122,Granada,Germán Sánchez,ESP,DF,34.0,25.5,2,13,4,30.8,0.51,0.16,0.15,0.5,8.2,0,0,0,1.3,1.3,0.1,0.7,0.7
ESP-La Liga,2122,Granada,Isma Ruiz,ESP,MF,20.0,3.1,0,4,1,25.0,1.27,0.32,0.0,0.0,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ESP-La Liga,2122,Granada,Jorge Molina,ESP,FW,39.0,21.8,10,45,22,48.9,2.06,1.01,0.22,0.45,13.1,0,0,1,6.1,5.3,0.12,3.9,4.7
ESP-La Liga,2122,Granada,Luis Abram,PER,DF,25.0,6.2,0,2,0,0.0,0.32,0.0,0.0,,7.0,0,0,0,0.5,0.5,0.24,-0.5,-0.5
ESP-La Liga,2122,Granada,Luis Javier Suárez,COL,FW,23.0,31.6,8,86,27,31.4,2.72,0.85,0.09,0.3,16.7,1,0,1,10.8,10.1,0.12,-2.8,-2.1
ESP-La Liga,2122,Granada,Luis Milla,ESP,MF,26.0,30.8,3,19,3,15.8,0.62,0.1,0.0,0.0,24.0,3,3,3,3.6,1.3,0.07,-0.6,-1.3
ESP-La Liga,2122,Granada,Luís Maximiano,POR,GK,22.0,34.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Granada,Matias Arezo,URU,FW,18.0,1.8,0,5,3,60.0,2.78,1.67,0.0,0.0,16.5,0,0,0,1.0,1.0,0.19,-1.0,-1.0
ESP-La Liga,2122,Granada,Maxime Gonalons,FRA,MF,32.0,17.2,0,11,2,18.2,0.64,0.12,0.0,0.0,24.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ESP-La Liga,2122,Granada,Monchu,ESP,MF,21.0,7.4,0,8,1,12.5,1.08,0.13,0.0,0.0,21.5,1,0,0,0.4,0.4,0.05,-0.4,-0.4
ESP-La Liga,2122,Granada,Myrto Uzuni,ALB,"MF,FW",26.0,9.5,1,11,2,18.2,1.16,0.21,0.09,0.5,20.4,0,0,0,1.5,1.5,0.14,-0.5,-0.5
ESP-La Liga,2122,Granada,Njegoš Petrović,SRB,MF,22.0,10.2,0,8,2,25.0,0.78,0.2,0.0,0.0,18.7,0,0,0,1.1,1.1,0.14,-1.1,-1.1
ESP-La Liga,2122,Granada,Opponent Total,,,27.6,38.0,59,562,184,32.7,14.79,4.84,0.09,0.28,17.2,15,7,9,61.4,55.0,0.1,-2.4,-3.0
ESP-La Liga,2122,Granada,Quini,ESP,DF,31.0,25.6,0,17,2,11.8,0.66,0.08,0.0,0.0,22.0,0,0,0,0.5,0.5,0.03,-0.5,-0.5
ESP-La Liga,2122,Granada,Raúl Torrente,ESP,DF,19.0,14.2,0,4,0,0.0,0.28,0.0,0.0,,13.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3
ESP-La Liga,2122,Granada,Rubén Rochina,ESP,"MF,FW",30.0,8.3,1,15,5,33.3,1.82,0.61,0.07,0.2,25.5,1,0,0,0.6,0.6,0.04,0.4,0.4
ESP-La Liga,2122,Granada,Santiago Arias,COL,DF,29.0,4.9,1,3,1,33.3,0.61,0.2,0.33,1.0,14.1,0,0,0,0.6,0.6,0.21,0.4,0.4
ESP-La Liga,2122,Granada,Sergio Escudero,ESP,"DF,MF",31.0,15.9,2,21,3,14.3,1.32,0.19,0.1,0.67,26.5,4,0,0,1.5,1.5,0.07,0.5,0.5
ESP-La Liga,2122,Granada,Squad Total,,,28.1,38.0,43,425,131,30.8,11.18,3.45,0.09,0.31,18.6,12,3,5,41.3,37.5,0.09,1.7,2.5
ESP-La Liga,2122,Granada,Víctor Díaz,ESP,DF,33.0,16.7,1,13,2,15.4,0.78,0.12,0.08,0.5,22.0,0,0,0,1.1,1.1,0.08,-0.1,-0.1
ESP-La Liga,2122,Granada,Yan Brice Eteki,CMR,MF,23.0,3.8,0,2,0,0.0,0.52,0.0,0.0,,15.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ESP-La Liga,2122,Granada,Álex Collado,ESP,"MF,FW",22.0,11.3,2,17,8,47.1,1.5,0.71,0.12,0.25,23.8,1,0,0,0.8,0.8,0.05,1.2,1.2
ESP-La Liga,2122,Granada,Ángel Montoro,ESP,MF,33.0,14.8,1,22,4,18.2,1.49,0.27,0.05,0.25,23.5,0,0,0,1.2,1.2,0.05,-0.2,-0.2
ESP-La Liga,2122,Levante,Aitor Fernández,ESP,GK,30.0,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Levante,Alejandro Primo,ESP,GK,17.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Levante,Carlos Clerc,ESP,DF,29.0,16.8,0,2,0,0.0,0.12,0.0,0.0,,14.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2
ESP-La Liga,2122,Levante,Coke,ESP,DF,34.0,1.3,1,1,1,100.0,0.76,0.76,1.0,1.0,2.0,0,0,0,0.4,0.4,0.36,0.6,0.6
ESP-La Liga,2122,Levante,Cárdenas,ESP,GK,24.0,24.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Levante,Dani Gómez,ESP,FW,23.0,11.8,4,31,14,45.2,2.62,1.19,0.13,0.29,14.9,0,0,0,5.0,5.0,0.16,-1.0,-1.0
ESP-La Liga,2122,Levante,Enis Bardhi,MKD,"MF,FW",26.0,18.9,3,41,7,17.1,2.17,0.37,0.02,0.14,23.6,9,2,2,3.8,2.3,0.06,-0.8,-1.3
ESP-La Liga,2122,Levante,Enric Franquesa,ESP,DF,24.0,6.9,0,1,0,0.0,0.14,0.0,0.0,,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0
ESP-La Liga,2122,Levante,Gonzalo Melero,ESP,MF,27.0,18.8,7,20,9,45.0,1.06,0.48,0.25,0.56,16.2,0,2,2,4.1,2.6,0.13,2.9,2.4
ESP-La Liga,2122,Levante,Jorge Miramón,ESP,DF,32.0,22.0,1,7,2,28.6,0.32,0.09,0.14,0.5,18.1,0,0,0,0.7,0.7,0.1,0.3,0.3
ESP-La Liga,2122,Levante,Jorge de Frutos,ESP,"MF,FW",24.0,19.6,4,46,20,43.5,2.35,1.02,0.09,0.2,15.3,0,0,0,5.8,5.8,0.13,-1.8,-1.8
ESP-La Liga,2122,Levante,José Campaña,ESP,MF,28.0,15.8,2,12,5,41.7,0.76,0.32,0.17,0.4,20.8,1,0,1,1.6,0.8,0.06,0.4,1.2
ESP-La Liga,2122,Levante,José Luis García Vayá,ESP,MF,22.0,22.4,0,14,2,14.3,0.63,0.09,0.0,0.0,22.9,2,0,0,0.6,0.6,0.04,-0.6,-0.6
ESP-La Liga,2122,Levante,José Luis Morales,ESP,"FW,MF",34.0,30.2,13,76,32,42.1,2.52,1.06,0.13,0.31,19.1,2,3,5,14.4,10.6,0.14,-1.4,-0.6
ESP-La Liga,2122,Levante,Marcelo Saracchi,URU,DF,23.0,2.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Levante,Martín Cáceres,URU,DF,34.0,7.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Levante,Mickael Malsa,MTQ,MF,25.0,12.7,1,13,2,15.4,1.02,0.16,0.08,0.5,22.7,0,0,0,1.0,1.0,0.08,0.0,0.0
ESP-La Liga,2122,Levante,Nemanja Radoja,SRB,MF,28.0,13.5,0,5,0,0.0,0.37,0.0,0.0,,18.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ESP-La Liga,2122,Levante,Nikola Vukčević,MNE,MF,29.0,1.3,0,1,0,0.0,0.76,0.0,0.0,,27.0,0,0,0,0.0,0.0,0.01,0.0,0.0
ESP-La Liga,2122,Levante,Omar Faraj,SWE,FW,19.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Levante,Opponent Total,,,27.4,38.0,76,511,196,38.4,13.45,5.16,0.14,0.36,17.2,16,5,6,56.1,51.6,0.1,19.9,19.4
ESP-La Liga,2122,Levante,Pablo Martínez,ESP,MF,23.0,7.3,0,11,1,9.1,1.51,0.14,0.0,0.0,22.9,0,0,0,0.4,0.4,0.03,-0.4,-0.4
ESP-La Liga,2122,Levante,Pubill,ESP,DF,18.0,5.7,0,6,1,16.7,1.05,0.18,0.0,0.0,11.6,0,0,0,1.0,1.0,0.17,-1.0,-1.0
ESP-La Liga,2122,Levante,Rober,ESP,DF,26.0,22.3,1,8,1,12.5,0.36,0.04,0.13,1.0,7.0,0,0,0,1.4,1.4,0.18,-0.4,-0.4
ESP-La Liga,2122,Levante,Roberto Soldado,ESP,FW,36.0,7.4,3,17,8,47.1,2.3,1.08,0.18,0.38,11.8,0,0,0,3.5,3.5,0.21,-0.5,-0.5
ESP-La Liga,2122,Levante,Roger Martí,ESP,FW,30.0,23.5,7,46,16,34.8,1.96,0.68,0.13,0.38,17.0,0,1,3,8.1,5.9,0.13,-1.1,0.1
ESP-La Liga,2122,Levante,Rúben Vezo,POR,DF,27.0,26.9,0,17,4,23.5,0.63,0.15,0.0,0.0,12.4,0,0,0,0.8,0.8,0.05,-0.8,-0.8
ESP-La Liga,2122,Levante,Sergio Postigo,ESP,DF,32.0,9.4,0,2,0,0.0,0.21,0.0,0.0,,15.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ESP-La Liga,2122,Levante,Shkodran Mustafi,GER,DF,29.0,7.3,1,4,2,50.0,0.55,0.27,0.25,0.5,16.0,0,0,0,0.1,0.1,0.02,0.9,0.9
ESP-La Liga,2122,Levante,Son,ESP,DF,27.0,21.9,1,14,7,50.0,0.64,0.32,0.07,0.14,19.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2
ESP-La Liga,2122,Levante,Squad Total,,,28.0,38.0,51,431,144,33.4,11.34,3.79,0.1,0.3,17.3,14,8,13,56.5,46.9,0.11,-5.5,-3.9
ESP-La Liga,2122,Levante,Álex Cantero,ESP,"FW,MF",21.0,6.8,0,16,5,31.3,2.36,0.74,0.0,0.0,15.4,0,0,0,2.7,2.7,0.17,-2.7,-2.7
ESP-La Liga,2122,Levante,Óscar Duarte,CRC,DF,32.0,19.7,2,20,5,25.0,1.02,0.25,0.1,0.4,11.3,0,0,0,1.1,1.1,0.05,0.9,0.9
ESP-La Liga,2122,Mallorca,Abdón Prats,ESP,FW,28.0,7.1,3,19,7,36.8,2.67,0.98,0.16,0.43,14.8,2,0,0,2.0,2.0,0.1,1.0,1.0
ESP-La Liga,2122,Mallorca,Aleix Febas,ESP,MF,25.0,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Mallorca,Aleksandar Sedlar,SRB,"DF,MF",29.0,4.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Mallorca,Amath,SEN,"FW,MF",25.0,9.8,0,11,4,36.4,1.12,0.41,0.0,0.0,17.0,0,0,0,1.3,1.3,0.12,-1.3,-1.3
ESP-La Liga,2122,Mallorca,Antonio Raillo,ESP,DF,29.0,17.0,2,9,3,33.3,0.53,0.18,0.22,0.67,10.0,0,0,0,1.1,1.1,0.12,0.9,0.9
ESP-La Liga,2122,Mallorca,Antonio Sánchez,ESP,"MF,FW",24.0,18.0,1,18,4,22.2,1.0,0.22,0.06,0.25,21.8,0,0,0,1.3,1.3,0.07,-0.3,-0.3
ESP-La Liga,2122,Mallorca,Brian Oliván,ESP,DF,27.0,24.3,1,20,7,35.0,0.82,0.29,0.05,0.14,21.5,1,0,1,2.2,1.5,0.07,-1.2,-0.5
ESP-La Liga,2122,Mallorca,Clément Grenier,FRA,MF,30.0,0.7,1,1,1,100.0,1.5,1.5,1.0,1.0,6.4,0,0,0,0.4,0.4,0.38,0.6,0.6
ESP-La Liga,2122,Mallorca,Dani Rodríguez,ESP,"MF,FW",33.0,31.5,3,43,10,23.3,1.37,0.32,0.07,0.3,19.3,3,0,0,2.8,2.8,0.07,0.2,0.2
ESP-La Liga,2122,Mallorca,Dominik Greif,SVK,GK,24.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Mallorca,Fernando Niño,ESP,FW,20.0,9.8,2,23,13,56.5,2.34,1.32,0.09,0.15,12.2,0,0,0,4.1,4.1,0.18,-2.1,-2.1
ESP-La Liga,2122,Mallorca,Franco Russo,ARG,DF,26.0,16.3,1,6,2,33.3,0.37,0.12,0.17,0.5,12.4,0,0,0,0.2,0.2,0.03,0.8,0.8
ESP-La Liga,2122,Mallorca,Giovanni González,URU,DF,26.0,4.1,1,3,1,33.3,0.74,0.25,0.33,1.0,13.8,0,0,0,0.5,0.5,0.18,0.5,0.5
ESP-La Liga,2122,Mallorca,Iddrisu Baba,GHA,MF,25.0,21.5,2,22,8,36.4,1.02,0.37,0.09,0.25,24.3,0,0,0,1.5,1.5,0.07,0.5,0.5
ESP-La Liga,2122,Mallorca,Iñigo Ruiz de Galarreta,ESP,MF,27.0,15.3,0,8,3,37.5,0.52,0.2,0.0,0.0,21.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4
ESP-La Liga,2122,Mallorca,Jaume Costa,ESP,DF,33.0,20.3,0,10,2,20.0,0.49,0.1,0.0,0.0,18.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7
ESP-La Liga,2122,Mallorca,Javier Llabrés,,"FW,MF",,1.5,0,5,2,40.0,3.41,1.36,0.0,0.0,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ESP-La Liga,2122,Mallorca,Joan Sastre Vanrell,ESP,DF,24.0,2.9,0,2,0,0.0,0.7,0.0,0.0,,26.8,0,0,0,0.0,0.0,0.02,0.0,0.0
ESP-La Liga,2122,Mallorca,Jordi Mboula,ESP,FW,22.0,4.8,0,5,0,0.0,1.04,0.0,0.0,,13.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ESP-La Liga,2122,Mallorca,Josep Antoni Gayá,ESP,DF,21.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Mallorca,Lago Junior,CIV,"FW,MF",30.0,2.0,0,6,1,16.7,3.05,0.51,0.0,0.0,16.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ESP-La Liga,2122,Mallorca,Lee Kangin,KOR,"MF,FW",20.0,15.7,1,35,13,37.1,2.23,0.83,0.03,0.08,24.7,7,0,0,1.4,1.4,0.04,-0.4,-0.4
ESP-La Liga,2122,Mallorca,Leonardo Román,ESP,GK,21.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Mallorca,Manolo Reina,ESP,GK,36.0,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Mallorca,Martin Valjent,SVK,DF,25.0,35.3,0,10,1,10.0,0.28,0.03,0.0,0.0,27.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2
ESP-La Liga,2122,Mallorca,Matthew Hoppe,USA,FW,20.0,1.5,0,2,0,0.0,1.37,0.0,0.0,,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ESP-La Liga,2122,Mallorca,Opponent Total,,,27.7,38.0,59,463,143,30.9,12.18,3.76,0.11,0.37,17.0,13,6,8,48.2,42.1,0.09,10.8,10.9
ESP-La Liga,2122,Mallorca,Pablo Maffeo,ESP,DF,24.0,32.7,1,29,7,24.1,0.89,0.21,0.03,0.14,20.5,0,0,0,1.7,1.7,0.06,-0.7,-0.7
ESP-La Liga,2122,Mallorca,Rodrigo Battaglia,ARG,MF,30.0,13.1,0,5,1,20.0,0.38,0.08,0.0,0.0,20.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ESP-La Liga,2122,Mallorca,Salva Sevilla,ESP,MF,37.0,16.7,5,22,4,18.2,1.31,0.24,0.05,0.25,25.9,7,4,4,4.6,1.5,0.07,0.4,-0.5
ESP-La Liga,2122,Mallorca,Sergio Rico,ESP,GK,27.0,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Mallorca,Squad Total,,,27.9,38.0,33,441,129,29.3,11.61,3.39,0.06,0.21,18.9,23,6,7,40.1,34.8,0.08,-7.1,-7.8
ESP-La Liga,2122,Mallorca,Takefusa Kubo,JPN,"FW,MF",20.0,17.8,1,49,9,18.4,2.75,0.5,0.02,0.11,19.8,3,0,0,3.1,3.1,0.06,-2.1,-2.1
ESP-La Liga,2122,Mallorca,Vedat Muriqi,KVX,FW,27.0,16.0,5,49,15,30.6,3.07,0.94,0.06,0.2,14.9,0,2,2,5.2,3.7,0.08,-0.2,-0.7
ESP-La Liga,2122,Mallorca,Ángel Rodríguez,ESP,FW,34.0,17.2,3,29,11,37.9,1.69,0.64,0.1,0.27,12.1,0,0,0,4.8,4.8,0.17,-1.8,-1.8
ESP-La Liga,2122,Osasuna,Ante Budimir,CRO,FW,30.0,19.3,8,44,18,40.9,2.28,0.93,0.14,0.33,11.5,0,2,2,8.4,7.1,0.16,-0.4,-1.1
ESP-La Liga,2122,Osasuna,Aridane Hernández,EQG,DF,32.0,12.9,0,2,0,0.0,0.16,0.0,0.0,,13.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ESP-La Liga,2122,Osasuna,Barbero,ESP,"MF,FW",22.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Osasuna,Darko Brašanac,SRB,MF,29.0,26.7,1,18,5,27.8,0.67,0.19,0.06,0.2,13.7,0,0,0,1.6,1.6,0.09,-0.6,-0.6
ESP-La Liga,2122,Osasuna,David García,ESP,DF,27.0,34.5,4,31,4,12.9,0.9,0.12,0.13,1.0,11.5,0,0,0,1.3,1.3,0.04,2.7,2.7
ESP-La Liga,2122,Osasuna,Ezequiel Ávila,ARG,"FW,MF",27.0,20.8,6,60,15,25.0,2.89,0.72,0.08,0.33,24.5,4,1,1,4.2,3.4,0.06,1.8,1.6
