,,,,Nation,Pos,Age,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
ESP-La Liga,2122,Betis,Héctor Bellerín,ESP,DF,26.0,22.0,1296,81,372,603,389,48,1104,25,46,54.3,28,3,734,3383,1956,73,26,7,20,10,825,743,90.1,52
ESP-La Liga,2122,Betis,Joaquín,ESP,"FW,MF",40.0,5.2,340,9,43,136,186,24,305,19,31,61.3,21,2,244,1405,936,51,15,7,6,11,287,232,80.8,26
ESP-La Liga,2122,Betis,Juan Miranda,ESP,DF,21.0,8.7,611,30,171,308,156,10,507,2,7,28.6,2,0,330,1025,516,28,10,1,5,2,387,349,90.2,25
ESP-La Liga,2122,Betis,Juanmi,ESP,FW,28.0,23.7,798,24,121,349,377,108,778,26,43,60.5,27,5,532,2616,1309,72,18,11,48,37,827,528,63.8,124
ESP-La Liga,2122,Betis,Kike Hermoso,ESP,DF,21.0,1.0,72,7,51,19,2,2,72,1,1,100.0,1,0,43,122,41,1,0,0,1,0,46,46,100.0,0
ESP-La Liga,2122,Betis,Loren Morón,ESP,FW,27.0,0.0,1,0,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,1,0,4,1,25.0,0
ESP-La Liga,2122,Betis,Marc Bartra,ESP,DF,30.0,22.1,1378,238,792,603,49,25,1344,7,8,87.5,7,0,795,4174,2151,55,6,0,4,5,872,857,98.3,3
ESP-La Liga,2122,Betis,Martín Montoya,ESP,DF,30.0,5.8,393,23,95,187,119,16,350,0,3,0.0,1,0,204,791,498,23,5,3,6,1,260,235,90.4,20
ESP-La Liga,2122,Betis,Nabil Fekir,FRA,MF,28.0,31.0,1964,7,126,959,1026,154,1759,57,103,55.3,61,3,1497,8072,4310,237,84,52,86,84,1788,1467,82.0,228
ESP-La Liga,2122,Betis,Opponent Total,,,27.4,38.0,21146,2465,7052,9877,5523,827,19268,343,664,51.7,377,31,12524,67534,37619,1396,452,141,450,398,15723,13157,83.7,1109
ESP-La Liga,2122,Betis,Paul Akouokou,CIV,MF,23.0,5.7,380,12,84,255,52,2,377,6,9,66.7,6,0,258,950,433,17,2,0,4,6,279,271,97.1,5
ESP-La Liga,2122,Betis,Raúl,ESP,FW,20.0,0.0,1,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,2,1,50.0,0
ESP-La Liga,2122,Betis,Roberto González,ESP,"FW,MF",20.0,1.5,62,1,8,33,24,4,61,3,6,50.0,3,0,47,209,91,3,0,0,4,2,57,43,75.4,7
ESP-La Liga,2122,Betis,Rodrigo,ESP,FW,21.0,9.8,523,10,72,239,253,36,518,14,24,58.3,15,0,426,2409,1166,70,24,7,20,10,493,408,82.8,52
ESP-La Liga,2122,Betis,Rui Silva,POR,GK,27.0,21.8,779,679,774,5,1,0,523,0,0,,0,0,335,1592,732,0,0,0,0,1,298,297,99.7,1
ESP-La Liga,2122,Betis,Sergio Canales,ESP,"FW,MF",30.0,31.0,2128,29,300,1203,823,92,2070,28,52,53.8,29,5,1639,9976,5460,233,82,13,51,41,1957,1724,88.1,152
ESP-La Liga,2122,Betis,Squad Total,,,28.9,38.0,23865,2539,7663,11496,6083,953,22077,347,632,54.9,383,35,15413,75508,39757,1607,459,175,467,407,18137,15791,87.1,1242
ESP-La Liga,2122,Betis,Víctor Camarasa,ESP,"MF,FW",27.0,1.2,74,3,18,44,17,3,73,0,1,0.0,0,0,52,345,155,6,2,0,4,2,57,49,86.0,3
ESP-La Liga,2122,Betis,Víctor Ruiz,ESP,DF,32.0,15.8,1056,146,556,535,31,12,1024,2,2,100.0,2,0,596,3347,1610,32,4,0,3,3,681,669,98.2,2
ESP-La Liga,2122,Betis,William Carvalho,POR,MF,29.0,20.1,1555,39,276,1053,321,47,1541,38,53,71.7,39,3,1182,5087,2531,95,17,4,17,27,1300,1202,92.5,47
ESP-La Liga,2122,Betis,Willian José,BRA,FW,29.0,17.8,706,20,69,373,296,54,664,8,18,44.4,9,1,470,2025,819,43,11,11,26,29,782,530,67.8,108
ESP-La Liga,2122,Betis,Youssouf Sabaly,SEN,DF,28.0,8.8,605,37,200,285,162,11,530,6,16,37.5,7,0,383,1881,1144,47,17,3,16,11,410,384,93.7,24
ESP-La Liga,2122,Betis,Álex Moreno,ESP,DF,28.0,26.7,1805,114,553,798,578,76,1539,27,60,45.0,34,6,1008,6046,3791,174,58,23,36,28,1082,973,89.9,93
ESP-La Liga,2122,Betis,Édgar González,ESP,DF,24.0,16.3,1069,171,579,519,20,6,1057,6,6,100.0,6,0,683,3007,1723,30,2,0,2,2,738,723,98.0,1
ESP-La Liga,2122,Celta Vigo,Augusto Solari,ARG,"MF,DF",29.0,7.9,556,14,100,277,211,21,526,10,18,55.6,10,1,341,1445,790,39,17,1,22,13,409,338,82.6,31
ESP-La Liga,2122,Celta Vigo,Brais Méndez,ESP,MF,24.0,33.6,2002,55,283,1124,719,92,1975,39,83,47.0,44,11,1352,5527,2797,147,65,10,70,53,1783,1440,80.8,145
ESP-La Liga,2122,Celta Vigo,Carlos Dominguez,ESP,DF,20.0,3.8,212,32,132,84,3,2,208,1,2,50.0,1,0,111,692,383,8,0,0,0,2,127,124,97.6,0
ESP-La Liga,2122,Celta Vigo,Denis Suárez,ESP,MF,27.0,31.3,2315,31,328,1491,667,40,2115,35,68,51.5,40,1,1530,9247,5409,267,81,8,30,36,1775,1658,93.4,63
ESP-La Liga,2122,Celta Vigo,Fran Beltrán,ESP,MF,22.0,28.9,2190,72,667,1363,292,5,2115,13,19,68.4,13,0,1486,8027,3520,119,24,0,17,24,1596,1527,95.7,22
ESP-La Liga,2122,Celta Vigo,Franco Cervi,ARG,MF,27.0,20.0,1044,22,190,490,421,56,1000,13,33,39.4,14,4,665,3309,1586,87,29,8,31,23,754,615,81.6,72
ESP-La Liga,2122,Celta Vigo,Gabriel Veiga,ESP,MF,19.0,1.2,90,1,13,55,26,2,90,5,6,83.3,5,0,61,323,173,6,1,1,1,1,60,52,86.7,2
ESP-La Liga,2122,Celta Vigo,Hugo Mallo,ESP,DF,30.0,20.3,1494,72,434,696,428,45,1269,7,15,46.7,7,1,776,3575,1917,99,26,8,16,10,954,855,89.6,62
ESP-La Liga,2122,Celta Vigo,Hugo Sotelo,ESP,MF,17.0,0.0,2,0,1,1,0,0,1,0,0,,0,0,1,12,8,0,0,0,0,0,2,1,50.0,0
ESP-La Liga,2122,Celta Vigo,Hugo Álvarez,ESP,FW,18.0,0.1,8,1,1,5,3,1,8,0,0,,0,0,2,13,3,0,0,0,0,1,5,4,80.0,1
ESP-La Liga,2122,Celta Vigo,Iago Aspas,ESP,FW,33.0,34.3,1711,23,121,732,970,225,1621,36,61,59.0,38,2,1199,6529,3605,192,63,55,76,46,1814,1315,72.5,326
ESP-La Liga,2122,Celta Vigo,Javi Galán,ESP,DF,26.0,36.6,2673,74,775,1304,834,43,2275,62,95,65.3,66,4,1725,10265,6464,274,89,18,44,63,1800,1631,90.6,87
ESP-La Liga,2122,Celta Vigo,Jeison Murillo,COL,DF,29.0,12.4,816,87,389,460,19,12,796,1,2,50.0,1,0,511,2746,1609,35,1,0,0,5,567,559,98.6,3
ESP-La Liga,2122,Celta Vigo,Joseph Aidoo,GHA,DF,25.0,29.3,1818,231,980,917,48,11,1784,8,10,80.0,8,1,1188,7054,3956,105,8,1,8,10,1182,1169,98.9,5
ESP-La Liga,2122,Celta Vigo,José Fontán,ESP,DF,21.0,3.1,233,21,95,137,13,2,222,0,1,0.0,0,0,156,716,419,16,1,0,0,0,167,165,98.8,1
ESP-La Liga,2122,Celta Vigo,Kevin Vázquez,ESP,DF,28.0,14.8,1062,46,274,528,309,17,876,6,13,46.2,7,0,544,1815,1026,48,21,2,16,14,596,555,93.1,30
ESP-La Liga,2122,Celta Vigo,Matías Dituro,ARG,GK,34.0,38.0,1546,1361,1533,13,2,1,1153,0,0,,0,0,806,3671,2152,0,0,0,1,0,749,746,99.6,0
ESP-La Liga,2122,Celta Vigo,Miguel Baeza,ESP,DF,21.0,0.0,5,0,1,4,3,0,5,0,0,,0,0,5,71,49,2,1,0,0,0,5,5,100.0,0
ESP-La Liga,2122,Celta Vigo,Nolito,ESP,MF,34.0,15.4,730,11,104,375,289,45,711,8,21,38.1,11,1,494,1863,904,54,23,5,19,18,638,499,78.2,61
ESP-La Liga,2122,Celta Vigo,Néstor Araujo,MEX,DF,29.0,29.1,1779,222,1055,840,64,10,1746,6,7,85.7,6,0,1103,8214,4725,93,32,0,4,5,1188,1169,98.4,2
ESP-La Liga,2122,Celta Vigo,Okay Yokuşlu,TUR,"DF,MF",27.0,1.6,98,12,38,50,13,3,97,0,0,,0,0,55,320,105,1,0,0,1,2,61,55,90.2,0
ESP-La Liga,2122,Celta Vigo,Opponent Total,,,27.4,38.0,21362,2440,7117,10156,5237,759,19431,411,702,58.5,446,32,12374,59448,29939,1241,404,117,529,540,15316,12600,82.3,1065
ESP-La Liga,2122,Celta Vigo,Orbelín Pineda,MEX,"MF,FW",25.0,1.1,89,2,19,38,39,7,88,0,1,0.0,0,1,64,249,124,6,3,0,4,3,73,60,82.2,4
ESP-La Liga,2122,Celta Vigo,Renato Tapia,PER,MF,26.0,15.7,1056,62,325,697,101,9,1021,4,8,50.0,5,1,603,2887,1547,57,19,0,4,13,653,622,95.3,6
ESP-La Liga,2122,Celta Vigo,Santi Mina,ESP,FW,25.0,26.3,1019,24,107,567,388,112,999,10,23,43.5,12,3,519,2063,1046,57,20,12,96,38,1368,726,53.1,155
ESP-La Liga,2122,Celta Vigo,Squad Total,,,28.4,38.0,24972,2489,8015,12444,6061,813,23118,274,509,53.8,300,35,15513,81603,44873,1737,535,129,480,395,18874,16190,85.8,1160
ESP-La Liga,2122,Celta Vigo,Thiago Galhardo,BRA,"FW,MF",32.0,12.8,424,13,50,196,199,52,417,10,23,43.5,12,4,216,970,556,25,11,0,20,15,548,300,54.7,82
ESP-La Liga,2122,Cádiz,Alberto Perea,ESP,MF,30.0,8.6,504,11,58,245,240,17,478,30,52,57.7,33,9,406,2005,1110,65,14,6,19,25,404,344,85.1,29
ESP-La Liga,2122,Cádiz,Alfonso Espino,URU,DF,29.0,37.0,2233,156,802,1004,553,51,1857,23,40,57.5,25,1,1152,6164,3370,129,47,7,33,28,1141,1019,89.3,86
ESP-La Liga,2122,Cádiz,Anthony Lozano,HON,"FW,MF",28.0,18.6,565,14,49,297,270,86,548,25,49,51.0,27,1,384,2265,1452,71,28,18,66,42,750,406,54.1,99
ESP-La Liga,2122,Cádiz,Cala,ESP,DF,31.0,10.5,409,73,246,172,10,7,394,1,1,100.0,1,0,189,982,468,6,0,0,0,1,190,187,98.4,1
ESP-La Liga,2122,Cádiz,Carlos Akapo,EQG,DF,28.0,20.5,1091,91,410,495,253,10,933,12,21,57.1,14,3,540,3211,1787,71,32,3,14,12,540,474,87.8,32
ESP-La Liga,2122,Cádiz,Chapela,ESP,"MF,FW",22.0,4.4,134,7,40,62,43,4,133,2,5,40.0,2,0,84,547,341,11,4,0,8,4,99,70,70.7,8
ESP-La Liga,2122,Cádiz,Fali,ESP,"DF,MF",27.0,20.0,883,135,467,409,60,16,846,1,3,33.3,3,0,454,2621,1375,26,3,0,3,6,485,464,95.7,5
ESP-La Liga,2122,Cádiz,Fede San Emeterio,ESP,MF,24.0,9.2,405,17,114,244,59,2,400,1,2,50.0,1,0,232,737,197,8,1,0,6,5,267,251,94.0,5
ESP-La Liga,2122,Cádiz,Florin Andone,ROU,FW,28.0,2.0,56,1,4,28,28,6,52,2,4,50.0,2,1,34,102,14,0,0,0,6,2,105,40,38.1,10
ESP-La Liga,2122,Cádiz,Isaac Carcelen,ESP,"DF,MF",28.0,17.2,977,69,334,459,230,16,828,11,23,47.8,13,1,530,2722,1569,56,22,2,14,23,505,460,91.1,21
ESP-La Liga,2122,Cádiz,Iván Alejo,ESP,"MF,FW",26.0,11.8,540,24,128,229,252,24,529,17,42,40.5,20,1,392,3248,2020,94,30,6,32,35,468,350,74.8,43
ESP-La Liga,2122,Cádiz,Jens Jønsson,DEN,MF,28.0,14.5,480,50,175,250,79,17,476,6,8,75.0,6,0,230,1103,346,11,5,0,13,6,255,208,81.6,15
ESP-La Liga,2122,Cádiz,Jeremías Ledesma,ARG,GK,28.0,38.0,1284,1127,1276,9,2,1,850,1,1,100.0,1,0,534,3397,2154,1,1,0,1,0,417,415,99.5,0
ESP-La Liga,2122,Cádiz,José Mari,ESP,MF,33.0,4.3,230,7,57,151,35,5,219,2,4,50.0,3,2,147,710,349,15,3,0,3,3,152,140,92.1,2
ESP-La Liga,2122,Cádiz,Lucas Pérez,ESP,"FW,MF",32.0,11.8,454,4,29,195,257,39,382,3,9,33.3,3,1,294,1441,597,32,15,3,15,20,451,306,67.8,63
ESP-La Liga,2122,Cádiz,Luis Hernández,ESP,DF,32.0,15.2,858,79,392,408,105,16,750,1,1,100.0,1,0,480,2272,1145,15,1,0,3,1,542,535,98.7,1
ESP-La Liga,2122,Cádiz,Marcos Mauro López Gutiérrez,ARG,DF,30.0,1.5,42,13,24,17,1,1,40,0,0,,0,0,8,14,1,0,0,0,0,0,9,8,88.9,0
ESP-La Liga,2122,Cádiz,Martín,ESP,MF,22.0,1.3,61,4,15,34,13,0,58,1,1,100.0,1,0,26,127,64,4,0,0,0,1,31,25,80.6,0
ESP-La Liga,2122,Cádiz,Milutin Osmajić,MNE,"FW,MF",22.0,2.9,89,6,11,40,41,10,84,1,6,16.7,3,0,44,146,58,3,1,1,10,6,151,60,39.7,6
ESP-La Liga,2122,Cádiz,Opponent Total,,,27.6,38.0,25118,2384,7245,12760,6720,902,23289,362,655,55.3,398,45,16291,82334,46471,1947,533,124,522,449,19053,16839,88.4,1523
ESP-La Liga,2122,Cádiz,Oussama Idrissi,MAR,MF,25.0,10.0,488,6,58,224,259,47,445,20,39,51.3,24,1,374,2573,1721,104,30,17,8,14,407,336,82.6,41
ESP-La Liga,2122,Cádiz,Pedro Benito,ESP,FW,21.0,0.3,8,0,0,6,3,0,8,0,1,0.0,1,0,4,29,18,1,0,0,1,0,18,7,38.9,0
ESP-La Liga,2122,Cádiz,Raúl Parra,ESP,DF,21.0,1.0,38,5,21,15,4,0,32,1,1,100.0,1,0,22,115,69,1,1,0,1,0,15,14,93.3,1
ESP-La Liga,2122,Cádiz,Rubén Alcaraz,ESP,MF,30.0,12.3,813,23,167,537,165,19,779,6,11,54.5,7,3,547,3058,1619,64,16,2,17,15,564,528,93.6,15
ESP-La Liga,2122,Cádiz,Rubén Sobrino,ESP,"FW,MF",29.0,20.7,801,37,178,379,318,76,781,22,47,46.8,24,2,520,3096,1786,71,35,15,57,45,722,503,69.7,96
ESP-La Liga,2122,Cádiz,Salvi,ESP,"MF,FW",30.0,15.5,507,19,108,210,224,38,483,7,15,46.7,8,1,298,1982,1199,46,18,6,28,11,493,312,63.3,56
ESP-La Liga,2122,Cádiz,Santiago Arzamendia,PAR,"MF,DF",23.0,5.2,238,15,79,98,77,3,217,2,10,20.0,3,3,131,615,356,12,6,0,8,8,170,123,72.4,12
ESP-La Liga,2122,Cádiz,Squad Total,,,28.5,38.0,18756,2371,6798,8588,4497,712,16921,239,479,49.9,277,33,10640,59283,31775,1132,385,102,464,388,12622,10322,81.8,855
ESP-La Liga,2122,Cádiz,Tomás Alarcón,CHI,MF,22.0,15.8,764,53,230,409,156,12,697,4,9,44.4,5,0,406,1538,616,14,8,0,10,13,416,379,91.1,22
ESP-La Liga,2122,Cádiz,Varazdat Haroyan,ARM,DF,28.0,16.0,595,94,365,234,20,8,571,0,1,0.0,0,0,267,1300,551,13,4,0,2,2,273,263,96.3,4
ESP-La Liga,2122,Cádiz,Víctor Chust,ESP,DF,21.0,20.3,990,149,577,460,41,18,954,6,7,85.7,6,1,584,4681,2223,36,7,0,1,3,586,577,98.5,3
ESP-La Liga,2122,Cádiz,Álex Fernández,ESP,MF,28.0,22.8,1256,50,294,757,284,29,1177,10,22,45.5,14,0,818,4272,2179,92,32,3,18,26,879,795,90.4,39
ESP-La Liga,2122,Cádiz,Álvaro Bastida,ESP,MF,17.0,2.2,63,2,9,46,10,0,62,0,1,0.0,1,1,37,112,41,3,0,0,0,0,45,39,86.7,0
ESP-La Liga,2122,Cádiz,Álvaro Jiménez,ESP,"MF,FW",26.0,2.6,113,1,16,40,65,8,108,6,13,46.2,6,0,75,504,321,20,3,6,6,3,97,70,72.2,9
ESP-La Liga,2122,Cádiz,Álvaro Negredo,ESP,FW,35.0,24.0,787,29,65,425,340,126,750,15,30,50.0,18,1,397,1594,659,37,18,7,61,28,975,614,63.0,131
ESP-La Liga,2122,Elche,Antonio Barragán,ESP,DF,34.0,11.3,644,62,267,281,115,2,535,1,1,100.0,1,0,315,1008,557,21,5,0,5,3,379,356,93.9,11
ESP-La Liga,2122,Elche,Darío Benedetto,ARG,FW,31.0,6.6,184,1,11,112,73,24,176,10,16,62.5,11,2,119,512,200,12,4,0,15,10,223,139,62.3,31
ESP-La Liga,2122,Elche,Diego González,ESP,DF,26.0,19.9,900,175,583,340,19,8,864,3,4,75.0,3,0,487,2641,1030,13,0,0,3,4,512,509,99.4,2
ESP-La Liga,2122,Elche,Enzo Roco,CHI,DF,28.0,28.4,1427,257,854,600,36,15,1365,3,8,37.5,4,0,758,3914,1865,43,3,0,5,6,827,806,97.5,6
ESP-La Liga,2122,Elche,Ezequiel Ponce,ARG,FW,24.0,7.4,264,6,22,147,111,32,256,11,22,50.0,11,1,176,697,254,13,4,2,23,13,282,193,68.4,58
ESP-La Liga,2122,Elche,Fidel,ESP,"MF,FW",31.0,25.1,1362,40,250,689,519,59,1277,23,55,41.8,24,3,980,4793,2932,141,46,15,46,51,1191,1000,84.0,102
ESP-La Liga,2122,Elche,Gerard Gumbau,ESP,MF,26.0,21.0,1259,42,302,741,275,9,1130,5,13,38.5,6,2,759,3247,1461,56,11,1,11,13,865,814,94.1,16
ESP-La Liga,2122,Elche,Gonzalo Verdú,ESP,DF,32.0,15.5,851,142,532,350,12,5,828,1,1,100.0,1,0,490,2268,935,9,0,0,2,1,576,567,98.4,0
ESP-La Liga,2122,Elche,Guido Carrillo,ARG,FW,30.0,13.0,468,23,57,265,173,39,450,10,15,66.7,10,0,251,1146,402,20,12,2,30,16,565,321,56.8,62
ESP-La Liga,2122,Elche,Helibelton Palacios,COL,DF,28.0,21.5,1169,90,447,573,207,8,980,21,27,77.8,22,0,643,3181,1880,70,20,3,8,15,678,615,90.7,19
ESP-La Liga,2122,Elche,Iván Marcone,ARG,MF,31.0,9.0,520,29,176,329,45,1,503,9,10,90.0,9,0,334,1363,546,15,4,1,6,2,328,307,93.6,2
ESP-La Liga,2122,Elche,Javier Pastore,ARG,"MF,FW",32.0,5.8,342,5,55,191,128,20,333,7,17,41.2,7,2,242,1309,646,39,13,3,6,10,318,272,85.5,39
ESP-La Liga,2122,Elche,Johan Mojica,COL,DF,28.0,31.7,2214,119,748,981,643,28,1883,26,77,33.8,33,6,1434,7139,3892,184,77,8,47,27,1459,1316,90.2,76
ESP-La Liga,2122,Elche,John Donald,ESP,DF,20.0,2.0,113,9,50,64,8,2,108,0,0,,0,0,67,333,221,14,2,0,1,1,68,65,95.6,1
ESP-La Liga,2122,Elche,Josan,ESP,"DF,MF",31.0,13.5,705,27,185,304,267,31,619,23,41,56.1,23,3,452,2871,1625,81,20,8,16,20,488,413,84.6,49
ESP-La Liga,2122,Elche,Josema,ESP,DF,25.0,2.0,82,13,40,33,11,0,63,0,0,,0,0,35,191,119,1,1,0,2,0,32,31,96.9,0
ESP-La Liga,2122,Elche,Kike Pérez,ESP,"FW,MF",24.0,5.8,322,7,45,187,116,10,311,5,11,45.5,7,0,211,1269,647,35,14,0,9,15,270,225,83.3,16
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34.0,14.0,523,452,522,2,1,1,339,0,0,,0,0,233,1060,499,0,0,0,0,0,182,182,100.0,0
ESP-La Liga,2122,Elche,Lucas Boyé,ARG,FW,25.0,19.0,845,23,63,485,353,86,815,45,77,58.4,47,0,644,2602,1269,65,23,10,123,75,1017,621,61.1,141
ESP-La Liga,2122,Elche,Lucas Olaza,URU,DF,27.0,3.3,245,8,58,128,77,2,204,3,3,100.0,3,1,156,570,249,11,7,0,3,4,144,140,97.2,8
ESP-La Liga,2122,Elche,Lucas Pérez,ESP,FW,32.0,14.1,497,6,31,249,250,31,439,12,18,66.7,12,2,342,1569,746,54,17,2,33,15,565,348,61.6,58
ESP-La Liga,2122,Elche,Omar Mascarell,ESP,MF,28.0,27.7,1462,98,419,949,180,6,1423,11,15,73.3,13,1,887,4546,1638,67,15,2,18,9,976,925,94.8,14
ESP-La Liga,2122,Elche,Opponent Total,,,27.4,38.0,22414,1997,6687,11192,5971,920,20611,298,552,54.0,325,26,14035,73796,41177,1592,456,159,457,388,16806,14481,86.2,1293
ESP-La Liga,2122,Elche,Pablo Piatti,ARG,"MF,FW",32.0,3.5,139,5,27,60,60,5,138,4,9,44.4,5,1,94,435,264,13,4,0,6,5,135,95,70.4,18
ESP-La Liga,2122,Elche,Pedro Bigas,ESP,DF,30.0,17.2,1107,144,600,524,53,12,1063,4,7,57.1,4,0,680,3901,2066,53,10,0,6,0,756,745,98.5,5
ESP-La Liga,2122,Elche,Pere Milla,ESP,"FW,MF",28.0,18.3,800,43,160,412,276,53,779,18,39,46.2,20,2,543,2347,1168,43,15,5,42,47,783,534,68.2,81
ESP-La Liga,2122,Elche,Raúl Guti,ESP,MF,24.0,18.1,944,21,199,621,190,19,929,9,20,45.0,10,1,668,3036,1405,57,18,0,13,19,735,681,92.7,30
ESP-La Liga,2122,Elche,Squad Total,,,29.1,38.0,21124,2686,7743,10021,4567,561,19232,291,567,51.3,316,30,12973,63083,31030,1216,367,72,515,406,15438,13104,84.9,936
ESP-La Liga,2122,Elche,Tete Morente,ESP,"MF,FW",24.0,18.1,828,17,135,400,368,53,801,27,61,44.3,30,3,581,3322,1706,86,22,10,36,25,757,557,73.6,91
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29.0,24.0,908,822,905,4,1,0,621,0,0,,0,0,392,1813,808,0,0,0,0,0,327,327,100.0,0
ESP-La Liga,2122,Espanyol,Adri Embarba,ESP,"FW,MF",29.0,22.1,1133,42,188,436,606,52,973,32,70,45.7,37,5,683,4091,2410,131,42,18,51,47,839,660,78.7,96
ESP-La Liga,2122,Espanyol,Aleix Vidal,ESP,"DF,MF",31.0,21.1,1291,68,404,544,440,19,1131,13,33,39.4,14,2,781,3909,2127,88,39,5,22,23,858,770,89.7,52
ESP-La Liga,2122,Espanyol,Daniel Villahermosa,ESP,MF,20.0,0.3,12,1,6,9,0,0,11,1,2,50.0,1,0,10,65,51,1,0,0,0,1,10,10,100.0,0
ESP-La Liga,2122,Espanyol,David López,ESP,"MF,DF",31.0,8.3,515,53,225,282,33,7,501,4,4,100.0,4,0,313,1377,612,15,4,0,2,4,336,314,93.5,6
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39.0,35.3,1246,1108,1239,8,0,0,835,0,0,,0,0,515,2715,1689,0,0,0,0,1,421,416,98.8,0
ESP-La Liga,2122,Espanyol,Dídac Vilà,ESP,"DF,MF",32.0,2.3,119,14,40,52,33,1,101,1,1,100.0,1,0,68,361,183,3,1,0,6,2,72,63,87.5,1
ESP-La Liga,2122,Espanyol,Fernando Calero,ESP,DF,25.0,12.1,752,98,402,379,21,2,712,2,3,66.7,2,0,451,2300,1219,28,4,0,6,2,473,469,99.2,0
ESP-La Liga,2122,Espanyol,Fran Mérida,ESP,MF,31.0,3.0,204,5,45,137,28,2,191,5,7,71.4,5,0,136,625,364,16,3,0,1,1,136,127,93.4,5
ESP-La Liga,2122,Espanyol,Gori,ESP,MF,19.0,0.1,6,0,2,3,2,0,6,0,0,,0,0,5,56,49,0,1,0,0,0,5,5,100.0,0
ESP-La Liga,2122,Espanyol,Javi Puado,ESP,"FW,MF",23.0,24.9,906,34,169,448,381,73,891,23,52,44.2,25,0,666,4445,2262,112,44,15,44,34,869,646,74.3,104
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20.0,1.2,34,26,33,1,0,0,29,0,0,,0,0,19,78,40,0,0,0,0,0,16,15,93.8,0
ESP-La Liga,2122,Espanyol,Jofre,ESP,"MF,DF",20.0,0.2,13,0,0,4,11,3,13,0,0,,0,0,10,117,82,6,2,1,1,0,14,11,78.6,5
ESP-La Liga,2122,Espanyol,Keidi Bare,ALB,MF,23.0,16.5,1032,54,298,646,158,16,1004,9,20,45.0,11,3,688,3612,1572,51,19,2,3,14,741,705,95.1,14
ESP-La Liga,2122,Espanyol,Landry Dimata,BEL,"FW,MF",23.0,6.0,181,8,17,97,81,20,176,4,8,50.0,4,0,115,554,297,14,6,2,22,10,276,136,49.3,42
ESP-La Liga,2122,Espanyol,Leandro Cabrera,URU,DF,30.0,37.0,2268,465,1280,979,99,25,2081,5,7,71.4,5,0,1241,5114,2233,32,11,0,6,6,1385,1367,98.7,7
ESP-La Liga,2122,Espanyol,Lluís Recasens,ESP,DF,19.0,0.5,17,5,10,7,0,0,17,0,0,,0,0,7,28,14,0,0,0,0,0,8,8,100.0,1
ESP-La Liga,2122,Espanyol,Loren Morón,ESP,"FW,MF",27.0,6.3,186,8,28,91,73,25,181,2,6,33.3,3,0,83,269,146,7,2,1,20,10,226,113,50.0,21
ESP-La Liga,2122,Espanyol,Luca Koleosho,USA,FW,16.0,0.0,2,1,1,0,1,1,2,0,0,,0,0,1,17,16,1,0,1,0,0,2,1,50.0,0
ESP-La Liga,2122,Espanyol,Manu Morlanes,ESP,MF,22.0,12.7,765,33,188,507,123,5,734,11,13,84.6,11,2,491,2636,1392,65,17,2,6,10,496,476,96.0,7
ESP-La Liga,2122,Espanyol,Miguel Juan Llambrich,ESP,DF,25.0,0.8,60,4,27,25,12,0,52,2,3,66.7,2,0,35,155,69,5,4,0,1,0,38,35,92.1,2
ESP-La Liga,2122,Espanyol,Nico Ribaudo,ESP,"MF,FW",20.0,12.4,587,8,87,339,229,35,572,24,42,57.1,26,5,463,2836,1557,83,29,14,18,24,561,444,79.1,54
ESP-La Liga,2122,Espanyol,Oier Olazábal,ESP,GK,31.0,1.5,46,44,46,0,0,0,31,0,0,,0,0,20,104,65,0,0,0,0,0,13,13,100.0,0
ESP-La Liga,2122,Espanyol,Opponent Total,,,27.5,38.0,23295,2139,6598,11305,6903,1097,21603,310,542,57.2,333,28,15217,81174,45558,1834,546,205,467,395,17753,15640,88.1,1439
ESP-La Liga,2122,Espanyol,Pedrosa,ESP,DF,23.0,30.2,1685,140,583,737,509,57,1448,43,79,54.4,48,6,1024,6139,3738,149,58,17,54,40,1049,940,89.6,70
ESP-La Liga,2122,Espanyol,Raúl de Tomás,ESP,FW,26.0,32.4,1147,48,129,562,545,153,1100,45,73,61.6,47,1,847,4097,1873,118,38,25,71,67,1399,891,63.7,186
ESP-La Liga,2122,Espanyol,Rubén,ESP,DF,20.0,1.7,90,5,35,44,19,0,76,3,3,100.0,3,0,54,385,256,9,5,0,4,0,54,52,96.3,4
ESP-La Liga,2122,Espanyol,Sergi Darder,ESP,MF,27.0,34.7,2045,64,446,1308,491,43,1946,42,64,65.6,44,3,1525,9412,5188,200,73,13,26,43,1678,1564,93.2,64
ESP-La Liga,2122,Espanyol,Sergi Gómez,ESP,DF,29.0,30.2,1629,313,1031,634,27,14,1579,1,1,100.0,1,0,973,4129,1731,18,2,0,3,3,1098,1087,99.0,1
