,,,,Nation,Pos,Age,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Betis,Calderón,ESP,DF,21.0,0.7,1,1.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38.0,16.2,3,0.19,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Cristian Tello,ESP,"FW,MF",29.0,9.1,33,3.63,24,0,4,4,0,1,2,0.22,2,0,0,0,0,0
ESP-La Liga,2122,Betis,Diego Lainez,MEX,FW,21.0,1.6,4,2.57,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Germán Pezzella,ARG,DF,30.0,22.1,4,0.18,3,0,0,1,0,0,1,0.05,0,0,0,1,0,0
ESP-La Liga,2122,Betis,Guido Rodríguez,ARG,MF,27.0,28.1,47,1.67,40,0,1,2,3,1,4,0.14,4,0,0,0,0,0
ESP-La Liga,2122,Betis,Héctor Bellerín,ESP,DF,26.0,22.0,44,2.0,39,4,1,0,0,0,6,0.27,6,0,0,0,0,0
ESP-La Liga,2122,Betis,Joaquín,ESP,"FW,MF",40.0,5.2,31,5.92,16,11,3,0,1,0,2,0.38,2,0,0,0,0,0
ESP-La Liga,2122,Betis,Juan Miranda,ESP,DF,21.0,8.7,15,1.72,13,0,0,0,1,1,3,0.34,3,0,0,0,0,0
ESP-La Liga,2122,Betis,Juanmi,ESP,FW,28.0,23.7,46,1.94,31,0,6,1,5,3,6,0.25,4,0,1,0,1,0
ESP-La Liga,2122,Betis,Kike Hermoso,ESP,DF,21.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Loren Morón,ESP,FW,27.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Marc Bartra,ESP,DF,30.0,22.1,11,0.5,8,2,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Martín Montoya,ESP,DF,30.0,5.8,4,0.69,4,0,0,0,0,0,1,0.17,1,0,0,0,0,0
ESP-La Liga,2122,Betis,Nabil Fekir,FRA,MF,28.0,31.0,161,5.19,78,49,9,4,15,6,19,0.61,11,5,2,0,1,0
ESP-La Liga,2122,Betis,Opponent Total,,,27.4,38.0,625,16.45,445,57,46,36,30,11,59,1.55,46,3,6,1,3,0
ESP-La Liga,2122,Betis,Paul Akouokou,CIV,MF,23.0,5.7,6,1.05,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Raúl,ESP,FW,20.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Roberto González,ESP,"FW,MF",20.0,1.5,1,0.67,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Rodrigo,ESP,FW,21.0,9.8,33,3.37,26,0,1,1,5,0,5,0.51,3,0,0,0,2,0
ESP-La Liga,2122,Betis,Rui Silva,POR,GK,27.0,21.8,2,0.09,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Sergio Canales,ESP,"FW,MF",30.0,31.0,117,3.77,100,3,4,4,3,3,13,0.42,11,0,1,0,1,0
ESP-La Liga,2122,Betis,Squad Total,,,28.9,38.0,835,21.97,607,75,44,34,47,28,95,2.5,65,5,7,5,11,2
ESP-La Liga,2122,Betis,Víctor Camarasa,ESP,"MF,FW",27.0,1.2,1,0.83,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Víctor Ruiz,ESP,DF,32.0,15.8,9,0.57,7,0,0,1,0,1,1,0.06,1,0,0,0,0,0
ESP-La Liga,2122,Betis,William Carvalho,POR,MF,29.0,20.1,50,2.49,42,0,4,1,1,2,7,0.35,3,0,1,1,1,1
ESP-La Liga,2122,Betis,Willian José,BRA,FW,29.0,17.8,43,2.41,34,0,1,4,1,3,6,0.34,5,0,0,1,0,0
ESP-La Liga,2122,Betis,Youssouf Sabaly,SEN,DF,28.0,8.8,14,1.6,13,0,0,0,1,0,1,0.11,1,0,0,0,0,0
ESP-La Liga,2122,Betis,Álex Moreno,ESP,DF,28.0,26.7,55,2.06,35,2,5,4,5,4,10,0.37,5,0,2,1,2,0
ESP-La Liga,2122,Betis,Édgar González,ESP,DF,24.0,16.3,9,0.55,7,0,0,1,0,1,1,0.06,0,0,0,1,0,0
ESP-La Liga,2122,Celta Vigo,Augusto Solari,ARG,"MF,DF",29.0,7.9,19,2.39,14,0,2,1,2,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Brais Méndez,ESP,MF,24.0,33.6,73,2.17,62,0,1,5,3,2,11,0.33,9,0,1,0,0,1
ESP-La Liga,2122,Celta Vigo,Carlos Dominguez,ESP,DF,20.0,3.8,1,0.26,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Denis Suárez,ESP,MF,27.0,31.3,89,2.84,56,21,4,4,2,2,12,0.38,8,2,0,1,0,1
