,,,,Nation,Pos,Age,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Real Sociedad,Aihen Muñoz,ESP,DF,23.0,14.9,17,1.14,10,4,1,1,1,0,1,0.07,0,0,0,1,0,0
ESP-La Liga,2122,Real Sociedad,Alex Sola,ESP,"DF,FW",22.0,0.5,1,2.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Alexander Isak,SWE,FW,21.0,23.8,60,2.52,35,0,9,7,8,1,5,0.21,2,0,1,2,0,0
ESP-La Liga,2122,Real Sociedad,Alexander Sørloth,NOR,FW,25.0,19.6,41,2.09,31,0,5,3,2,0,4,0.2,1,0,2,0,1,0
ESP-La Liga,2122,Real Sociedad,Ander Barrenetxea,ESP,"FW,MF",19.0,6.1,16,2.63,12,0,3,0,1,0,3,0.49,2,0,1,0,0,0
ESP-La Liga,2122,Real Sociedad,Ander Guevara,ESP,MF,24.0,9.6,9,0.93,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Ander Martin,ESP,"FW,MF",20.0,1.0,5,5.11,2,1,1,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Andoni Gorosabel,ESP,DF,24.0,25.4,46,1.81,39,3,1,2,1,0,4,0.16,4,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Aritz Elustondo,ESP,DF,27.0,23.4,10,0.43,7,0,0,1,1,1,1,0.04,1,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Asier Illarramendi,ESP,MF,31.0,4.2,7,1.68,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Beñat Turrientes,ESP,MF,19.0,2.3,6,2.61,3,1,1,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Cristo,ESP,DF,21.0,0.2,1,5.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,David Silva,ESP,MF,35.0,19.1,91,4.76,69,9,5,1,5,2,11,0.58,7,1,0,0,3,0
ESP-La Liga,2122,Real Sociedad,Diego Rico,ESP,DF,28.0,18.3,29,1.59,26,1,0,1,1,0,2,0.11,2,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Germán Valera,ESP,"FW,MF",19.0,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Igor Zubeldia,ESP,DF,24.0,18.3,8,0.44,6,0,0,1,0,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Jon Bautista,ESP,"FW,MF",26.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Jon Guridi,ESP,MF,26.0,2.3,4,1.75,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Jon Pacheco,ESP,DF,20.0,4.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Joseba Zaldúa,ESP,DF,29.0,13.0,12,0.92,9,0,0,0,0,3,1,0.08,1,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Julen Lobete,ESP,"FW,MF",20.0,3.2,3,0.95,1,0,0,0,2,0,1,0.32,0,0,0,0,1,0
ESP-La Liga,2122,Real Sociedad,Martín Zubimendi,ESP,MF,22.0,28.8,34,1.18,26,1,0,0,4,3,1,0.03,1,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Mathew Ryan,AUS,GK,29.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Mikel Merino,ESP,MF,25.0,32.1,69,2.15,52,0,3,4,7,3,10,0.31,5,0,0,3,2,0
ESP-La Liga,2122,Real Sociedad,Mikel Oyarzabal,ESP,"FW,MF",24.0,18.6,63,3.39,33,17,4,7,2,0,6,0.32,2,2,0,2,0,0
ESP-La Liga,2122,Real Sociedad,Naïs Djouahra,FRA,"FW,MF",21.0,2.4,8,3.29,6,0,1,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Opponent Total,,,27.7,38.0,649,17.08,472,71,17,35,35,19,66,1.74,46,7,1,3,7,2
ESP-La Liga,2122,Real Sociedad,Portu,ESP,"FW,MF",29.0,17.7,34,1.92,27,3,0,2,1,1,4,0.23,3,0,0,0,1,0
ESP-La Liga,2122,Real Sociedad,Rafinha,BRA,"MF,FW",28.0,11.7,30,2.57,22,1,0,1,3,3,1,0.09,0,0,0,0,1,0
ESP-La Liga,2122,Real Sociedad,Roberto Navarro,ESP,"MF,FW",19.0,2.2,7,3.17,3,0,1,2,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Robin Le Normand,FRA,DF,24.0,37.0,6,0.16,3,1,0,2,0,0,2,0.05,2,0,0,0,0,0
ESP-La Liga,2122,Real Sociedad,Squad Total,,,25.7,38.0,685,18.03,478,61,40,45,43,18,63,1.66,34,3,5,11,10,0
ESP-La Liga,2122,Real Sociedad,Álex Remiro,ESP,GK,26.0,35.0,2,0.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Anthony Martial,FRA,"FW,MF",25.0,5.4,3,0.55,2,0,0,1,0,0,1,0.18,1,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Carmona,ESP,DF,19.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Diego Carlos,BRA,DF,28.0,32.9,15,0.46,12,0,0,2,0,1,2,0.06,2,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Fernando,BRA,"MF,DF",34.0,20.6,23,1.12,21,1,1,0,0,0,3,0.15,2,1,0,0,0,0
ESP-La Liga,2122,Sevilla,Gonzalo Montiel,ARG,DF,24.0,11.8,21,1.77,19,0,0,1,1,0,3,0.25,3,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Ivan Rakitić,CRO,MF,33.0,24.2,75,3.09,42,25,0,5,2,1,10,0.41,5,4,0,1,0,0
ESP-La Liga,2122,Sevilla,Iván Romero,ESP,FW,20.0,2.0,3,1.52,1,0,0,0,1,1,1,0.51,1,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Javier Díaz,ESP,GK,24.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Jesús Corona,MEX,"FW,DF",28.0,12.9,38,2.96,30,3,4,0,1,0,6,0.47,5,0,1,0,0,0
ESP-La Liga,2122,Sevilla,Jesús Navas,ESP,DF,35.0,19.8,58,2.92,53,2,2,0,1,0,5,0.25,4,0,1,0,0,0
ESP-La Liga,2122,Sevilla,Joan Jordán,ESP,MF,27.0,27.9,52,1.86,43,4,1,1,2,1,4,0.14,3,0,0,0,1,0
ESP-La Liga,2122,Sevilla,Juan Sánchez,ESP,MF,17.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Jules Koundé,FRA,DF,22.0,30.4,34,1.12,30,0,1,1,2,0,2,0.07,2,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Karim Rekik,NED,DF,26.0,12.2,16,1.31,13,0,0,0,0,3,2,0.16,2,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Lucas Ocampos,ARG,FW,27.0,23.6,46,1.95,28,2,8,2,3,3,7,0.3,4,0,3,0,0,0
ESP-La Liga,2122,Sevilla,Ludwig Augustinsson,SWE,DF,27.0,8.8,14,1.59,8,5,0,0,0,1,1,0.11,0,1,0,0,0,0
ESP-La Liga,2122,Sevilla,Luismi,ESP,FW,20.0,0.1,1,6.92,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Marcos Acuña,ARG,DF,29.0,25.1,66,2.63,42,16,1,3,4,0,3,0.12,1,2,0,0,0,0
ESP-La Liga,2122,Sevilla,Marko Dmitrović,SRB,GK,29.0,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Munir El Haddadi,MAR,"FW,MF",25.0,5.3,11,2.09,9,0,0,2,0,0,1,0.19,1,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Nemanja Gudelj,SRB,"MF,DF",29.0,11.6,8,0.69,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Opponent Total,,,27.8,38.0,611,16.08,443,55,26,30,33,24,43,1.13,24,5,2,7,3,2
ESP-La Liga,2122,Sevilla,Oussama Idrissi,MAR,"FW,MF",25.0,1.4,4,2.83,1,1,1,0,1,0,1,0.71,0,0,0,0,1,0
ESP-La Liga,2122,Sevilla,Papu Gómez,ARG,"MF,FW",33.0,19.8,55,2.77,35,8,5,1,5,1,7,0.35,4,0,1,1,1,0
ESP-La Liga,2122,Sevilla,Pedro Ortiz,ESP,MF,20.0,0.1,2,25.71,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Rafa Mir,ESP,FW,24.0,20.1,31,1.54,18,0,4,5,4,0,5,0.25,3,0,0,2,0,0
ESP-La Liga,2122,Sevilla,Squad Total,,,28.6,38.0,690,18.16,509,73,31,28,31,18,85,2.24,58,9,7,6,5,0
ESP-La Liga,2122,Sevilla,Suso,ESP,FW,27.0,4.3,10,2.34,8,0,1,1,0,0,3,0.7,2,0,0,1,0,0
ESP-La Liga,2122,Sevilla,Thomas Delaney,DEN,MF,29.0,17.2,15,0.87,11,0,0,2,1,1,2,0.12,1,0,0,1,0,0
ESP-La Liga,2122,Sevilla,Valentino Scotta,ESP,DF,19.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Yassine Bounou,MAR,GK,30.0,31.0,4,0.13,3,1,0,0,0,0,2,0.06,1,1,0,0,0,0
ESP-La Liga,2122,Sevilla,Youssef En-Nesyri,MAR,FW,24.0,14.2,12,0.85,9,0,1,1,1,0,4,0.28,2,0,1,0,1,0
ESP-La Liga,2122,Sevilla,Érik Lamela,ARG,FW,29.0,11.3,35,3.1,31,1,1,0,1,1,4,0.35,4,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Óliver Torres,ESP,"MF,FW",26.0,11.2,22,1.96,20,1,0,0,0,1,5,0.45,5,0,0,0,0,0
ESP-La Liga,2122,Sevilla,Óscar Rodríguez Arnaiz,ESP,"FW,MF",23.0,4.6,16,3.45,10,3,0,0,1,2,1,0.22,0,0,0,0,1,0
ESP-La Liga,2122,Valencia,Bryan,ESP,"MF,FW",20.0,8.4,19,2.27,13,4,1,0,1,0,1,0.12,1,0,0,0,0,0
ESP-La Liga,2122,Valencia,Carlos Soler,ESP,MF,24.0,27.5,79,2.87,40,36,0,2,1,0,8,0.29,4,4,0,0,0,0
ESP-La Liga,2122,Valencia,Cristhian Mosquera,COL,DF,17.0,2.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,Cristiano Piccini,ITA,DF,28.0,3.6,6,1.68,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,Daniel Wass,DEN,MF,32.0,17.6,24,1.37,14,7,1,1,1,0,1,0.06,1,0,0,0,0,0
ESP-La Liga,2122,Valencia,Denis Cheryshev,RUS,MF,30.0,6.3,15,2.4,10,2,0,0,1,2,3,0.48,1,0,0,0,1,1
ESP-La Liga,2122,Valencia,Dimitri Foulquier,FRA,DF,28.0,26.0,23,0.88,15,2,1,1,4,0,4,0.15,1,1,0,0,2,0
ESP-La Liga,2122,Valencia,Eray Cömert,SUI,DF,23.0,4.5,3,0.66,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,Gabriel Paulista,BRA,DF,30.0,17.7,3,0.17,3,0,0,0,0,0,1,0.06,1,0,0,0,0,0
ESP-La Liga,2122,Valencia,Giorgi Mamardashvili,GEO,GK,20.0,18.0,1,0.06,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,Gonçalo Guedes,POR,"FW,MF",24.0,29.0,93,3.21,55,14,9,4,11,0,14,0.48,8,1,2,1,2,0
ESP-La Liga,2122,Valencia,Hugo Duro,ESP,"FW,MF",21.0,20.4,32,1.57,21,0,3,1,6,1,7,0.34,2,0,1,1,2,1
ESP-La Liga,2122,Valencia,Hugo Guillamón,ESP,"MF,DF",21.0,26.2,27,1.03,23,0,0,1,2,1,3,0.11,3,0,0,0,0,0
ESP-La Liga,2122,Valencia,Hélder Costa,ANG,"MF,FW",27.0,12.4,33,2.66,27,2,3,0,0,1,2,0.16,2,0,0,0,0,0
ESP-La Liga,2122,Valencia,Ilaix Moriba,GUI,MF,18.0,9.1,10,1.1,7,0,0,0,2,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,Jason,ESP,"MF,DF",27.0,0.8,5,6.0,2,2,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,Jasper Cillessen,NED,GK,32.0,16.2,3,0.19,3,0,0,0,0,0,2,0.12,2,0,0,0,0,0
ESP-La Liga,2122,Valencia,Jaume Doménech,ESP,GK,30.0,3.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,Jesus Vazquez,ESP,DF,18.0,9.0,15,1.66,11,1,2,1,0,0,1,0.11,1,0,0,0,0,0
ESP-La Liga,2122,Valencia,Jesús Santiago,ESP,MF,17.0,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,José Luis Gayà,ESP,DF,26.0,20.8,39,1.88,33,3,0,0,1,2,8,0.38,7,0,0,0,1,0
ESP-La Liga,2122,Valencia,Koba Koindredi,FRA,MF,19.0,2.0,4,1.99,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,Manu Vallejo,ESP,"FW,MF",24.0,1.1,3,2.76,2,1,0,0,0,0,1,0.92,1,0,0,0,0,0
ESP-La Liga,2122,Valencia,Maranhão,BRA,"FW,MF",24.0,10.8,27,2.5,16,0,2,2,5,2,3,0.28,2,0,0,1,0,0
ESP-La Liga,2122,Valencia,Mario Dominguez,ESP,FW,17.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,Maxi Gómez,URU,FW,24.0,21.7,51,2.35,32,0,2,2,15,0,4,0.18,1,0,1,0,2,0
ESP-La Liga,2122,Valencia,Mouctar Diakhaby,GUI,DF,24.0,21.6,9,0.42,6,0,1,0,1,1,1,0.05,1,0,0,0,0,0
ESP-La Liga,2122,Valencia,Omar Alderete,PAR,DF,24.0,26.7,11,0.41,10,0,1,0,0,0,2,0.07,2,0,0,0,0,0
ESP-La Liga,2122,Valencia,Opponent Total,,,27.8,38.0,680,17.89,470,74,34,38,50,14,82,2.16,55,8,2,7,7,3
ESP-La Liga,2122,Valencia,Ruben Lendinez,ESP,DF,18.0,1.5,2,1.31,1,0,0,1,0,0,1,0.66,1,0,0,0,0,0
ESP-La Liga,2122,Valencia,Rubén Sobrino,ESP,MF,29.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,Squad Total,,,24.8,38.0,614,16.16,415,78,31,17,57,16,71,1.87,46,6,4,3,10,2
ESP-La Liga,2122,Valencia,Thierry Correia,POR,DF,22.0,15.7,22,1.4,17,0,1,0,1,3,1,0.06,1,0,0,0,0,0
ESP-La Liga,2122,Valencia,Toni Lato,ESP,"DF,MF",23.0,6.6,10,1.53,9,0,0,0,1,0,1,0.15,1,0,0,0,0,0
ESP-La Liga,2122,Valencia,Uroš Račić,SRB,MF,23.0,13.4,21,1.57,15,2,1,1,1,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Valencia,Yunus Musah,USA,"MF,FW",18.0,14.0,24,1.72,18,1,3,0,1,1,2,0.14,2,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Alberto Moreno,ESP,"MF,DF",29.0,13.6,38,2.8,28,5,0,3,2,0,3,0.22,0,2,0,1,0,0
ESP-La Liga,2122,Villarreal,Alfonso Pedraza,ESP,DF,25.0,18.9,40,2.12,33,0,4,2,1,0,8,0.42,7,0,1,0,0,0
ESP-La Liga,2122,Villarreal,Arnaut Groeneveld,NED,FW,24.0,16.4,36,2.2,21,0,9,4,1,1,8,0.49,4,0,3,1,0,0
ESP-La Liga,2122,Villarreal,Aïssa Mandi,ALG,DF,29.0,15.3,4,0.26,2,0,0,1,1,0,1,0.07,0,0,0,1,0,0
ESP-La Liga,2122,Villarreal,Boulaye Dia,SEN,FW,24.0,14.1,32,2.27,24,0,3,2,0,3,7,0.5,5,0,1,1,0,0
ESP-La Liga,2122,Villarreal,Carlo,ESP,MF,20.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Dani Raba,ESP,"MF,FW",25.0,1.0,6,6.07,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Daniel Parejo,ESP,MF,32.0,30.0,112,3.73,62,45,2,0,2,1,15,0.5,9,6,0,0,0,0
ESP-La Liga,2122,Villarreal,Francis Coquelin,FRA,MF,30.0,9.2,17,1.84,12,0,0,1,3,1,1,0.11,1,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Gerard Moreno,ESP,FW,29.0,13.2,49,3.7,39,0,5,1,2,2,6,0.45,4,0,0,0,1,1
ESP-La Liga,2122,Villarreal,Gerónimo Rulli,ARG,GK,29.0,32.0,5,0.16,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Giovani Lo Celso,ARG,"MF,FW",25.0,11.0,35,3.17,24,4,2,3,2,0,2,0.18,0,1,0,0,1,0
ESP-La Liga,2122,Villarreal,Juan Foyth,ARG,DF,23.0,21.4,27,1.26,26,0,1,0,0,0,1,0.05,1,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Manu Trigueros,ESP,"MF,FW",29.0,24.2,60,2.48,49,3,1,3,3,1,12,0.5,9,1,0,0,2,0
ESP-La Liga,2122,Villarreal,Mario Gaspar,ESP,DF,30.0,6.9,7,1.01,5,0,0,1,0,1,1,0.14,0,0,0,1,0,0
ESP-La Liga,2122,Villarreal,Moi Gómez,ESP,"MF,FW",27.0,14.3,37,2.59,29,6,2,0,0,0,6,0.42,4,1,1,0,0,0
ESP-La Liga,2122,Villarreal,Nicolas Jackson,SEN,FW,20.0,1.8,5,2.73,4,0,0,0,1,0,1,0.55,0,0,0,0,1,0
ESP-La Liga,2122,Villarreal,Nikita Iosifov,RUS,MF,20.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Opponent Total,,,27.6,38.0,632,16.63,445,64,26,29,39,29,53,1.39,34,3,4,4,5,3
ESP-La Liga,2122,Villarreal,Paco Alcácer,ESP,FW,27.0,8.7,13,1.49,11,0,1,1,0,0,6,0.69,5,0,1,0,0,0
ESP-La Liga,2122,Villarreal,Pau Torres,ESP,DF,24.0,31.7,24,0.76,20,2,0,1,1,0,3,0.09,3,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Pervis Estupiñán,ECU,DF,23.0,17.5,25,1.43,20,3,0,2,0,0,3,0.17,3,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Raúl Albiol,ESP,DF,35.0,27.4,9,0.33,7,0,0,2,0,0,2,0.07,1,0,0,1,0,0
ESP-La Liga,2122,Villarreal,Rubén Peña,ESP,"MF,FW",30.0,1.5,8,5.45,5,0,1,1,1,0,1,0.68,0,0,0,1,0,0
ESP-La Liga,2122,Villarreal,Samuel Chukwueze,NGA,"MF,FW",22.0,14.8,50,3.38,36,0,9,2,2,1,7,0.47,3,0,2,2,0,0
ESP-La Liga,2122,Villarreal,Serge Aurier,CIV,DF,28.0,11.2,13,1.16,12,1,0,0,0,0,1,0.09,1,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Sergio Asenjo,ESP,GK,32.0,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Squad Total,,,28.0,38.0,734,19.32,538,71,49,33,30,13,110,2.89,69,11,13,11,5,1
ESP-La Liga,2122,Villarreal,Vicente Iborra,ESP,MF,33.0,11.5,10,0.87,10,0,0,0,0,0,2,0.17,2,0,0,0,0,0
ESP-La Liga,2122,Villarreal,Yeremi Pino,ESP,"MF,FW",18.0,18.6,46,2.47,33,0,7,1,5,0,10,0.54,5,0,4,1,0,0
ESP-La Liga,2122,Villarreal,Étienne Capoue,FRA,MF,33.0,25.4,25,0.98,16,0,2,2,3,2,3,0.12,2,0,0,1,0,0
