,,,,Nation,Pos,Age,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
ESP-La Liga,2122,Betis,Kike Hermoso,ESP,DF,21.0,1.0,51,50,1,1,0,3,0,0,0,0,0,0,44,2,5,2,47,1,0,0,47,0,1,0,0
ESP-La Liga,2122,Betis,Loren Morón,ESP,FW,27.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Marc Bartra,ESP,DF,30.0,22.1,1108,1073,35,32,1,109,54,0,0,0,0,0,760,73,275,46,961,58,2,4,919,8,27,22,9
ESP-La Liga,2122,Betis,Martín Montoya,ESP,DF,30.0,5.8,313,267,46,5,0,27,8,11,0,0,0,0,211,53,49,44,211,12,41,0,256,0,7,3,3
ESP-La Liga,2122,Betis,Nabil Fekir,FRA,MF,28.0,31.0,1507,1285,222,76,5,265,85,63,130,40,56,6,1104,112,291,1317,139,19,7,4,1216,6,25,39,36
ESP-La Liga,2122,Betis,Opponent Total,,,27.4,38.0,16906,14966,1940,542,21,2308,590,503,215,94,78,10,10862,2211,3833,4651,9915,747,803,260,13157,116,312,488,451
ESP-La Liga,2122,Betis,Paul Akouokou,CIV,MF,23.0,5.7,328,325,3,3,0,39,10,0,0,0,0,0,259,27,42,27,280,14,0,1,287,1,9,6,4
ESP-La Liga,2122,Betis,Raúl,ESP,FW,20.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Betis,Roberto González,ESP,"FW,MF",20.0,1.5,39,37,2,1,0,9,0,2,0,0,0,0,32,3,4,35,1,2,1,0,30,0,1,0,0
ESP-La Liga,2122,Betis,Rodrigo,ESP,FW,21.0,9.8,414,408,6,2,2,59,4,16,1,0,0,0,339,33,42,372,32,5,3,0,340,0,7,19,10
ESP-La Liga,2122,Betis,Rui Silva,POR,GK,27.0,21.8,724,464,260,84,0,35,11,0,0,0,0,0,370,17,337,403,192,1,0,92,515,2,23,13,4
ESP-La Liga,2122,Betis,Sergio Canales,ESP,"FW,MF",30.0,31.0,1867,1802,65,39,10,341,65,43,10,4,5,0,1393,160,314,1621,174,32,14,10,1551,7,27,55,51
ESP-La Liga,2122,Betis,Squad Total,,,28.9,38.0,19369,17505,1864,591,30,2581,579,371,173,50,77,7,13423,2289,3657,7782,9452,732,749,238,15791,63,339,524,421
ESP-La Liga,2122,Betis,Víctor Camarasa,ESP,"MF,FW",27.0,1.2,55,54,1,1,0,7,0,0,0,0,0,0,44,7,4,3,48,2,0,0,47,0,0,1,2
ESP-La Liga,2122,Betis,Víctor Ruiz,ESP,DF,32.0,15.8,898,865,33,29,0,115,28,0,0,0,0,0,690,56,152,634,169,54,4,5,783,2,11,13,8
ESP-La Liga,2122,Betis,William Carvalho,POR,MF,29.0,20.1,1319,1299,20,19,3,184,32,7,0,0,0,0,1025,124,170,204,1044,36,1,11,1164,4,15,37,24
ESP-La Liga,2122,Betis,Willian José,BRA,FW,29.0,17.8,531,495,36,0,2,157,23,6,0,0,0,0,379,83,69,38,444,19,2,13,413,2,15,24,16
ESP-La Liga,2122,Betis,Youssouf Sabaly,SEN,DF,28.0,8.8,499,423,76,6,0,51,3,10,0,0,0,0,342,94,63,57,341,19,70,3,419,0,7,13,16
ESP-La Liga,2122,Betis,Álex Moreno,ESP,DF,28.0,26.7,1404,1129,275,20,1,152,17,74,1,0,0,0,756,355,293,954,90,80,254,4,1040,5,28,56,54
ESP-La Liga,2122,Betis,Édgar González,ESP,DF,24.0,16.3,883,870,13,10,2,54,19,0,0,0,0,0,724,57,102,195,621,47,3,2,797,3,10,6,9
ESP-La Liga,2122,Celta Vigo,Augusto Solari,ARG,"MF,DF",29.0,7.9,430,398,32,2,1,67,11,34,4,1,2,0,268,62,100,21,358,21,25,1,296,4,11,12,19
ESP-La Liga,2122,Celta Vigo,Brais Méndez,ESP,MF,24.0,33.6,1519,1490,29,11,5,265,39,40,1,0,1,0,1089,210,220,1219,168,63,16,10,1204,7,35,62,51
ESP-La Liga,2122,Celta Vigo,Carlos Dominguez,ESP,DF,20.0,3.8,166,162,4,4,2,25,4,0,0,0,0,0,111,15,40,118,29,12,0,0,130,1,3,2,2
ESP-La Liga,2122,Celta Vigo,Denis Suárez,ESP,MF,27.0,31.3,2040,1830,210,73,10,258,72,46,86,31,36,8,1520,194,326,279,1683,46,10,8,1630,5,25,77,48
ESP-La Liga,2122,Celta Vigo,Fran Beltrán,ESP,MF,22.0,28.9,1904,1824,80,60,0,222,77,9,5,0,3,0,1533,151,220,162,1642,65,3,13,1728,3,19,29,21
ESP-La Liga,2122,Celta Vigo,Franco Cervi,ARG,MF,27.0,20.0,763,715,48,10,0,142,27,38,32,16,12,1,525,100,138,599,116,26,6,2,576,4,10,19,37
ESP-La Liga,2122,Celta Vigo,Gabriel Veiga,ESP,MF,19.0,1.2,68,68,0,0,0,13,2,3,0,0,0,0,58,4,6,8,59,0,0,0,55,0,0,1,3
ESP-La Liga,2122,Celta Vigo,Hugo Mallo,ESP,DF,30.0,20.3,1241,1013,228,17,0,127,9,64,0,0,0,0,703,269,269,124,814,56,211,3,953,5,19,35,39
ESP-La Liga,2122,Celta Vigo,Hugo Sotelo,ESP,MF,17.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Hugo Álvarez,ESP,FW,18.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,0,2,0
ESP-La Liga,2122,Celta Vigo,Iago Aspas,ESP,FW,33.0,34.3,1357,1259,98,38,2,292,56,86,30,16,5,2,982,191,184,959,295,52,17,11,976,6,32,86,60
ESP-La Liga,2122,Celta Vigo,Javi Galán,ESP,DF,26.0,36.6,2191,1776,415,32,1,222,62,122,4,2,2,0,1298,439,454,1657,76,54,379,4,1718,6,30,64,74
ESP-La Liga,2122,Celta Vigo,Jeison Murillo,COL,DF,29.0,12.4,704,681,23,22,0,43,30,0,0,0,0,0,556,52,96,167,484,31,1,4,630,2,10,8,3
ESP-La Liga,2122,Celta Vigo,Joseph Aidoo,GHA,DF,25.0,29.3,1523,1487,36,16,2,162,36,2,0,0,0,0,1115,115,293,251,1115,92,20,10,1263,4,31,40,15
ESP-La Liga,2122,Celta Vigo,José Fontán,ESP,DF,21.0,3.1,204,193,11,5,0,17,7,4,0,0,0,0,162,12,30,162,29,5,6,0,172,1,2,3,0
ESP-La Liga,2122,Celta Vigo,Kevin Vázquez,ESP,DF,28.0,14.8,875,683,192,14,0,100,9,36,0,0,0,0,476,223,176,58,577,46,178,4,689,1,17,34,29
ESP-La Liga,2122,Celta Vigo,Matías Dituro,ARG,GK,34.0,38.0,1460,1065,395,112,1,105,44,0,0,0,0,0,552,67,841,46,1160,2,0,129,926,6,51,17,5
ESP-La Liga,2122,Celta Vigo,Miguel Baeza,ESP,DF,21.0,0.0,5,5,0,0,0,1,0,1,0,0,0,0,4,0,1,5,0,0,0,0,4,0,0,0,0
ESP-La Liga,2122,Celta Vigo,Nolito,ESP,MF,34.0,15.4,569,548,21,10,3,98,16,11,5,4,0,0,384,80,105,41,493,18,6,2,441,2,10,28,15
ESP-La Liga,2122,Celta Vigo,Néstor Araujo,MEX,DF,29.0,29.1,1520,1487,33,30,0,122,38,3,0,0,0,0,1203,96,221,230,1145,100,3,2,1330,6,26,24,10
ESP-La Liga,2122,Celta Vigo,Okay Yokuşlu,TUR,"DF,MF",27.0,1.6,75,74,1,1,0,12,2,0,0,0,0,0,59,5,11,3,60,6,0,1,70,0,2,0,0
ESP-La Liga,2122,Celta Vigo,Opponent Total,,,27.4,38.0,16619,14628,1991,565,23,2981,583,383,145,53,55,4,10038,2472,4109,4590,9365,866,919,246,12600,32,352,537,542
ESP-La Liga,2122,Celta Vigo,Orbelín Pineda,MEX,"MF,FW",25.0,1.1,68,66,2,2,1,9,2,0,0,0,0,0,58,3,7,10,55,2,0,0,58,0,0,1,2
ESP-La Liga,2122,Celta Vigo,Renato Tapia,PER,MF,26.0,15.7,863,820,43,40,1,118,38,2,0,0,0,0,567,109,187,98,663,63,2,6,693,5,21,20,21
ESP-La Liga,2122,Celta Vigo,Santi Mina,ESP,FW,25.0,26.3,673,654,19,0,0,244,19,12,0,0,0,0,346,160,167,41,425,63,10,20,455,6,11,23,23
ESP-La Liga,2122,Celta Vigo,Squad Total,,,28.4,38.0,20502,18573,1929,500,31,2759,602,523,167,70,61,11,13735,2614,4153,6300,11610,847,898,237,16190,75,367,600,495
ESP-La Liga,2122,Celta Vigo,Thiago Galhardo,BRA,"FW,MF",32.0,12.8,279,271,8,1,2,95,2,10,0,0,0,0,163,55,61,42,159,24,5,7,190,1,2,13,18
ESP-La Liga,2122,Cádiz,Alberto Perea,ESP,MF,30.0,8.6,359,331,28,6,0,52,11,35,9,8,0,1,231,54,74,56,281,8,13,0,266,0,7,13,10
ESP-La Liga,2122,Cádiz,Alfonso Espino,URU,DF,29.0,37.0,1778,1392,386,54,4,228,89,105,7,2,4,0,828,358,592,1068,266,81,325,7,1124,12,62,79,96
ESP-La Liga,2122,Cádiz,Anthony Lozano,HON,"FW,MF",28.0,18.6,303,286,17,0,2,109,8,23,0,0,0,0,171,62,70,29,210,21,2,2,186,0,2,18,22
ESP-La Liga,2122,Cádiz,Cala,ESP,DF,31.0,10.5,298,281,17,16,0,24,18,0,0,0,0,0,169,26,103,26,228,30,1,2,218,3,11,10,1
ESP-La Liga,2122,Cádiz,Carlos Akapo,EQG,DF,28.0,20.5,849,685,164,18,1,117,20,32,0,0,0,0,448,181,220,34,574,62,146,3,630,2,30,25,30
ESP-La Liga,2122,Cádiz,Chapela,ESP,"MF,FW",22.0,4.4,90,89,1,0,0,19,8,9,1,1,0,0,57,13,20,9,72,6,0,1,56,0,6,1,5
ESP-La Liga,2122,Cádiz,Fali,ESP,"DF,MF",27.0,20.0,674,638,36,22,2,72,22,8,0,0,0,0,411,66,197,132,466,41,13,1,523,2,24,12,6
ESP-La Liga,2122,Cádiz,Fede San Emeterio,ESP,MF,24.0,9.2,342,337,5,3,1,55,7,0,0,0,0,0,254,34,54,26,276,25,2,1,288,1,3,9,4
ESP-La Liga,2122,Cádiz,Florin Andone,ROU,FW,28.0,2.0,40,36,4,0,0,14,0,0,0,0,0,0,19,11,10,9,17,7,0,2,28,0,4,0,3
ESP-La Liga,2122,Cádiz,Isaac Carcelen,ESP,"DF,MF",28.0,17.2,740,589,151,21,1,78,16,29,5,1,4,0,402,171,167,79,488,35,125,3,557,1,12,26,29
ESP-La Liga,2122,Cádiz,Iván Alejo,ESP,"MF,FW",26.0,11.8,343,330,13,3,0,62,22,77,0,0,0,0,173,65,105,22,275,24,10,1,202,1,16,8,22
ESP-La Liga,2122,Cádiz,Jens Jønsson,DEN,MF,28.0,14.5,337,332,5,4,1,61,5,6,0,0,0,0,214,43,80,42,235,36,1,3,267,0,6,9,2
ESP-La Liga,2122,Cádiz,Jeremías Ledesma,ARG,GK,28.0,38.0,1156,716,440,130,0,45,53,0,0,0,0,0,289,36,831,50,820,0,0,116,605,7,60,18,5
ESP-La Liga,2122,Cádiz,José Mari,ESP,MF,33.0,4.3,192,180,12,9,0,29,16,0,0,0,0,0,140,21,31,15,164,4,3,1,156,2,6,5,3
ESP-La Liga,2122,Cádiz,Lucas Pérez,ESP,"FW,MF",32.0,11.8,378,307,71,12,4,74,26,26,50,25,13,0,235,48,95,315,43,13,2,2,276,3,11,13,6
ESP-La Liga,2122,Cádiz,Luis Hernández,ESP,DF,32.0,15.2,781,672,109,34,0,81,41,17,0,0,0,0,491,71,219,30,612,50,75,1,622,4,14,20,10
ESP-La Liga,2122,Cádiz,Marcos Mauro López Gutiérrez,ARG,DF,30.0,1.5,21,19,2,2,0,5,0,0,0,0,0,0,7,3,11,1,15,3,0,0,10,0,1,0,2
ESP-La Liga,2122,Cádiz,Martín,ESP,MF,22.0,1.3,49,47,2,1,0,9,5,2,1,1,0,0,20,6,23,3,37,3,0,1,37,0,1,0,1
ESP-La Liga,2122,Cádiz,Milutin Osmajić,MNE,"FW,MF",22.0,2.9,50,45,5,0,0,24,0,0,0,0,0,0,24,17,9,3,25,8,0,2,27,0,1,3,2
ESP-La Liga,2122,Cádiz,Opponent Total,,,27.6,38.0,20612,18729,1883,520,23,2981,655,488,174,58,72,10,14226,2472,3914,5794,12337,785,807,294,16839,55,322,577,429
ESP-La Liga,2122,Cádiz,Oussama Idrissi,MAR,MF,25.0,10.0,388,345,43,7,0,65,16,30,23,11,5,1,280,41,67,35,330,6,13,4,291,3,7,24,14
ESP-La Liga,2122,Cádiz,Pedro Benito,ESP,FW,21.0,0.3,6,6,0,0,0,4,0,0,0,0,0,0,1,2,3,1,1,1,0,0,4,0,0,1,0
ESP-La Liga,2122,Cádiz,Raúl Parra,ESP,DF,21.0,1.0,31,25,6,0,0,5,0,1,0,0,0,0,18,5,8,4,18,3,6,0,22,1,0,3,2
ESP-La Liga,2122,Cádiz,Rubén Alcaraz,ESP,MF,30.0,12.3,654,611,43,35,2,110,39,12,6,1,2,0,457,67,130,91,505,30,2,6,551,1,7,14,10
ESP-La Liga,2122,Cádiz,Rubén Sobrino,ESP,"FW,MF",29.0,20.7,504,483,21,3,0,124,7,15,1,1,0,0,349,82,73,58,370,30,6,10,373,3,8,24,23
ESP-La Liga,2122,Cádiz,Salvi,ESP,"MF,FW",30.0,15.5,356,328,28,6,0,55,9,42,6,0,4,0,182,77,97,40,283,9,16,1,222,1,10,18,22
ESP-La Liga,2122,Cádiz,Santiago Arzamendia,PAR,"MF,DF",23.0,5.2,170,147,23,4,0,38,8,13,5,2,2,1,80,35,55,104,19,17,14,3,109,4,6,6,5
ESP-La Liga,2122,Cádiz,Squad Total,,,28.5,38.0,14378,12496,1882,511,22,2167,644,577,181,76,64,6,8134,2049,4195,3008,8974,764,794,202,10322,61,391,458,424
ESP-La Liga,2122,Cádiz,Tomás Alarcón,CHI,MF,22.0,15.8,580,513,67,33,1,112,46,23,32,14,13,0,300,79,201,39,488,36,1,1,414,5,18,9,16
ESP-La Liga,2122,Cádiz,Varazdat Haroyan,ARM,DF,28.0,16.0,414,390,24,22,0,59,16,0,0,0,0,0,277,38,99,27,327,35,2,2,338,0,10,8,4
ESP-La Liga,2122,Cádiz,Víctor Chust,ESP,DF,21.0,20.3,806,769,37,32,0,85,49,2,0,0,0,0,600,68,138,144,600,40,5,4,699,1,13,13,5
ESP-La Liga,2122,Cádiz,Álex Fernández,ESP,MF,28.0,22.8,1023,942,81,34,3,151,54,34,32,9,14,3,707,103,213,197,765,37,5,5,816,3,14,34,26
ESP-La Liga,2122,Cádiz,Álvaro Bastida,ESP,MF,17.0,2.2,53,52,1,0,0,10,2,0,0,0,0,0,33,7,13,4,46,2,0,0,42,0,0,1,2
ESP-La Liga,2122,Cádiz,Álvaro Jiménez,ESP,"MF,FW",26.0,2.6,72,67,5,0,0,14,7,17,3,0,3,0,31,16,25,11,53,4,2,1,40,0,4,1,4
ESP-La Liga,2122,Cádiz,Álvaro Negredo,ESP,FW,35.0,24.0,541,506,35,0,0,177,24,19,0,0,0,0,236,143,162,304,65,57,4,16,323,1,17,33,32
ESP-La Liga,2122,Elche,Antonio Barragán,ESP,DF,34.0,11.3,537,422,115,33,0,44,18,17,3,0,2,0,313,100,124,52,382,19,79,0,426,0,7,12,10
ESP-La Liga,2122,Elche,Darío Benedetto,ARG,FW,31.0,6.6,114,106,8,0,1,28,7,6,0,0,0,0,61,26,27,14,80,7,1,3,77,1,5,8,4
ESP-La Liga,2122,Elche,Diego González,ESP,DF,26.0,19.9,704,668,36,35,0,78,11,0,0,0,0,0,511,49,144,308,336,39,1,3,591,3,11,7,8
ESP-La Liga,2122,Elche,Enzo Roco,CHI,DF,28.0,28.4,1135,1068,67,66,0,134,49,0,0,0,0,0,752,119,264,131,879,75,1,6,950,5,26,15,10
ESP-La Liga,2122,Elche,Ezequiel Ponce,ARG,FW,24.0,7.4,166,158,8,0,0,44,7,4,0,0,0,0,108,26,32,26,110,11,0,2,122,0,2,8,12
ESP-La Liga,2122,Elche,Fidel,ESP,"MF,FW",31.0,25.1,1095,1010,85,24,4,184,38,52,45,19,22,1,745,150,200,964,81,25,16,3,813,7,21,67,44
ESP-La Liga,2122,Elche,Gerard Gumbau,ESP,MF,26.0,21.0,1073,941,132,72,2,140,71,27,59,24,26,1,715,92,266,922,96,34,1,4,852,8,28,25,18
ESP-La Liga,2122,Elche,Gonzalo Verdú,ESP,DF,32.0,15.5,700,673,27,26,0,46,28,2,0,0,0,0,536,32,132,42,617,25,1,1,591,3,14,14,5
ESP-La Liga,2122,Elche,Guido Carrillo,ARG,FW,30.0,13.0,319,301,18,0,0,111,5,3,0,0,0,0,184,78,57,18,207,28,2,17,224,4,9,13,11
ESP-La Liga,2122,Elche,Helibelton Palacios,COL,DF,28.0,21.5,939,743,196,17,0,83,11,29,0,0,0,0,568,160,211,79,632,35,179,1,721,1,10,35,44
ESP-La Liga,2122,Elche,Iván Marcone,ARG,MF,31.0,9.0,435,417,18,18,0,83,17,1,0,0,0,0,310,54,71,31,374,21,0,3,369,0,9,12,14
ESP-La Liga,2122,Elche,Javier Pastore,ARG,"MF,FW",32.0,5.8,285,276,9,3,0,72,5,7,1,0,0,1,202,39,44,15,248,11,5,2,224,1,1,12,7
ESP-La Liga,2122,Elche,Johan Mojica,COL,DF,28.0,31.7,1857,1518,339,23,2,228,71,124,2,0,2,0,966,477,414,1371,85,60,314,5,1419,6,32,60,79
ESP-La Liga,2122,Elche,John Donald,ESP,DF,20.0,2.0,89,84,5,2,0,10,0,0,0,0,0,0,71,2,16,12,66,6,3,0,78,1,1,0,0
ESP-La Liga,2122,Elche,Josan,ESP,"DF,MF",31.0,13.5,539,450,89,7,0,78,14,59,3,0,1,0,294,123,122,74,357,21,79,3,380,3,12,23,31
ESP-La Liga,2122,Elche,Josema,ESP,DF,25.0,2.0,61,41,20,4,0,10,0,2,0,0,0,0,22,14,25,39,3,1,16,1,36,0,4,8,1
ESP-La Liga,2122,Elche,Kike Pérez,ESP,"FW,MF",24.0,5.8,249,237,12,5,1,61,5,0,3,1,2,0,177,25,47,183,34,14,3,3,184,4,5,10,10
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34.0,14.0,481,295,186,51,0,33,14,0,0,0,0,0,202,25,254,20,369,1,0,73,320,2,18,8,4
ESP-La Liga,2122,Elche,Lucas Boyé,ARG,FW,25.0,19.0,445,416,29,1,0,137,14,11,0,0,0,0,332,61,52,84,312,15,1,16,326,4,13,23,21
ESP-La Liga,2122,Elche,Lucas Olaza,URU,DF,27.0,3.3,210,169,41,2,0,31,1,10,4,4,0,0,116,51,43,158,7,7,35,0,162,1,3,7,10
ESP-La Liga,2122,Elche,Lucas Pérez,ESP,FW,32.0,14.1,387,326,61,22,2,64,22,20,24,12,9,0,270,45,72,330,44,5,2,4,276,4,11,16,10
ESP-La Liga,2122,Elche,Omar Mascarell,ESP,MF,28.0,27.7,1205,1166,39,36,1,169,35,5,0,0,0,0,886,137,182,204,906,57,0,4,1044,2,14,25,15
ESP-La Liga,2122,Elche,Opponent Total,,,27.4,38.0,18195,16344,1851,556,39,2436,606,537,195,68,73,8,12272,2216,3707,5442,10591,677,777,220,14481,100,298,490,413
ESP-La Liga,2122,Elche,Pablo Piatti,ARG,"MF,FW",32.0,3.5,99,97,2,2,0,28,1,2,0,0,0,0,69,14,16,71,17,5,0,0,77,0,1,2,4
ESP-La Liga,2122,Elche,Pedro Bigas,ESP,DF,30.0,17.2,937,890,47,46,0,75,22,3,0,0,0,0,732,44,161,500,363,48,1,4,812,2,12,14,5
ESP-La Liga,2122,Elche,Pere Milla,ESP,"FW,MF",28.0,18.3,534,513,21,0,2,124,8,10,2,1,0,0,355,86,93,340,113,31,10,19,391,4,16,16,17
ESP-La Liga,2122,Elche,Raúl Guti,ESP,MF,24.0,18.1,788,767,21,16,0,102,37,6,1,0,0,0,615,71,102,25,740,9,3,2,661,1,15,29,15
ESP-La Liga,2122,Elche,Squad Total,,,29.1,38.0,16808,14862,1946,592,15,2343,549,443,155,63,69,3,10817,2233,3758,6156,8498,645,765,286,13104,69,344,503,457
ESP-La Liga,2122,Elche,Tete Morente,ESP,"MF,FW",24.0,18.1,596,569,27,5,0,91,18,43,8,2,5,0,382,111,103,67,460,34,11,7,418,0,13,25,41
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29.0,24.0,829,541,288,76,0,55,20,0,0,0,0,0,323,22,484,76,580,1,1,100,560,2,31,9,7
ESP-La Liga,2122,Espanyol,Adri Embarba,ESP,"FW,MF",29.0,22.1,794,641,153,40,0,148,38,77,107,36,42,2,422,128,244,116,615,30,6,9,491,6,27,26,47
ESP-La Liga,2122,Espanyol,Aleix Vidal,ESP,"DF,MF",31.0,21.1,1085,912,173,36,1,137,28,35,3,2,0,0,707,216,162,79,816,44,134,4,878,2,17,35,39
ESP-La Liga,2122,Espanyol,Daniel Villahermosa,ESP,MF,20.0,0.3,8,7,1,1,0,0,1,0,0,0,0,0,4,1,3,2,5,1,0,0,6,0,0,0,1
ESP-La Liga,2122,Espanyol,David López,ESP,"MF,DF",31.0,8.3,422,407,15,15,1,60,4,0,0,0,0,0,316,39,67,54,322,33,0,0,362,0,5,5,6
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39.0,35.3,1143,729,414,120,0,47,27,0,0,0,0,0,595,73,475,164,711,0,0,203,837,3,25,7,3
ESP-La Liga,2122,Espanyol,Dídac Vilà,ESP,"DF,MF",32.0,2.3,89,71,18,4,0,13,1,3,0,0,0,0,57,19,13,61,10,2,14,0,71,1,2,2,4
ESP-La Liga,2122,Espanyol,Fernando Calero,ESP,DF,25.0,12.1,627,585,42,29,0,92,14,0,0,0,0,0,450,55,122,95,471,29,13,3,529,1,10,14,6
ESP-La Liga,2122,Espanyol,Fran Mérida,ESP,MF,31.0,3.0,177,163,14,10,0,21,10,1,4,1,3,0,96,26,55,137,25,13,0,1,120,1,5,15,4
ESP-La Liga,2122,Espanyol,Gori,ESP,MF,19.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1,0,5,0,0,0,4,0,0,0,0
ESP-La Liga,2122,Espanyol,Javi Puado,ESP,"FW,MF",23.0,24.9,654,639,15,0,0,161,7,14,0,0,0,0,515,93,46,67,521,34,8,11,548,2,12,15,29
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20.0,1.2,33,28,5,3,0,2,3,0,0,0,0,0,19,2,12,2,22,0,0,9,25,0,3,0,0
ESP-La Liga,2122,Espanyol,Jofre,ESP,"MF,DF",20.0,0.2,8,8,0,0,0,1,2,3,0,0,0,0,4,1,3,0,7,0,0,0,6,0,1,0,0
ESP-La Liga,2122,Espanyol,Keidi Bare,ALB,MF,23.0,16.5,872,840,32,29,2,142,26,7,0,0,0,0,662,91,119,62,745,39,2,4,750,4,5,29,13
ESP-La Liga,2122,Espanyol,Landry Dimata,BEL,"FW,MF",23.0,6.0,99,94,5,0,0,37,1,1,0,0,0,0,68,17,14,36,43,5,0,0,71,0,0,2,6
ESP-La Liga,2122,Espanyol,Leandro Cabrera,URU,DF,30.0,37.0,1850,1657,193,94,0,169,60,8,0,0,0,0,1118,174,558,1417,221,93,75,2,1405,13,45,45,30
ESP-La Liga,2122,Espanyol,Lluís Recasens,ESP,DF,19.0,0.5,12,12,0,0,0,1,0,0,0,0,0,0,7,2,3,2,8,1,0,0,8,0,0,0,0
ESP-La Liga,2122,Espanyol,Loren Morón,ESP,"FW,MF",27.0,6.3,95,90,5,0,0,36,1,5,0,0,0,0,45,35,15,3,62,6,0,4,57,0,1,5,12
ESP-La Liga,2122,Espanyol,Luca Koleosho,USA,FW,16.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
ESP-La Liga,2122,Espanyol,Manu Morlanes,ESP,MF,22.0,12.7,644,608,36,34,0,109,19,5,0,0,0,0,505,47,92,87,515,22,2,1,562,3,6,13,9
ESP-La Liga,2122,Espanyol,Miguel Juan Llambrich,ESP,DF,25.0,0.8,49,40,9,1,0,7,1,0,0,0,0,0,33,9,7,10,31,0,8,0,36,0,0,5,4
ESP-La Liga,2122,Espanyol,Nico Ribaudo,ESP,"MF,FW",20.0,12.4,434,418,16,3,1,92,15,6,10,8,0,0,332,35,67,40,361,14,2,6,367,1,4,11,11
ESP-La Liga,2122,Espanyol,Oier Olazábal,ESP,GK,31.0,1.5,43,27,16,6,0,3,1,0,0,0,0,0,12,1,30,28,3,0,0,5,24,0,0,0,0
ESP-La Liga,2122,Espanyol,Opponent Total,,,27.5,38.0,19219,17451,1768,490,34,2256,619,609,223,76,79,14,13163,2447,3609,5223,11792,716,713,241,15640,73,314,505,418
ESP-La Liga,2122,Espanyol,Pedrosa,ESP,DF,23.0,30.2,1280,1033,247,27,1,161,25,76,5,2,1,0,721,289,270,882,125,46,215,2,967,1,26,40,52
ESP-La Liga,2122,Espanyol,Raúl de Tomás,ESP,FW,26.0,32.4,741,700,41,4,1,197,58,29,0,0,0,0,543,92,106,156,533,18,4,14,612,4,11,25,21
ESP-La Liga,2122,Espanyol,Rubén,ESP,DF,20.0,1.7,70,56,14,0,1,13,2,4,0,0,0,0,33,21,16,6,43,5,14,0,46,0,3,3,3
ESP-La Liga,2122,Espanyol,Sergi Darder,ESP,MF,27.0,34.7,1746,1639,107,54,7,344,95,38,29,10,15,0,1271,158,317,142,1557,27,4,8,1442,9,24,56,33
ESP-La Liga,2122,Espanyol,Sergi Gómez,ESP,DF,29.0,30.2,1327,1275,52,44,0,121,29,1,0,0,0,0,1039,77,211,84,1166,58,2,1,1148,2,21,16,17
ESP-La Liga,2122,Espanyol,Squad Total,,,27.6,38.0,16808,14961,1847,597,22,2609,520,369,172,65,66,2,11277,2100,3431,4602,10209,636,654,305,13438,63,278,444,412
ESP-La Liga,2122,Espanyol,Tonny Vilhena,NED,"MF,FW",26.0,10.3,341,317,24,7,1,76,16,18,12,6,5,0,223,44,74,260,44,22,2,6,245,1,5,21,12
ESP-La Liga,2122,Espanyol,Victor Perea,ESP,DF,21.0,0.0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,2,0,0,0,0
ESP-La Liga,2122,Espanyol,Wu Lei,CHN,"FW,MF",29.0,5.3,101,97,4,0,1,31,3,4,0,0,0,0,49,28,24,12,62,14,1,4,72,1,2,5,3
ESP-La Liga,2122,Espanyol,Yangel Herrera,VEN,MF,23.0,18.3,858,838,20,17,1,218,10,8,0,0,0,0,628,98,132,180,571,52,0,4,717,4,6,26,21
ESP-La Liga,2122,Espanyol,Álvaro Vadillo,ESP,"MF,DF",26.0,0.1,11,9,2,1,0,2,1,0,0,0,0,0,6,1,4,0,9,1,1,0,7,0,0,1,1
ESP-La Liga,2122,Espanyol,Óscar Gil,ESP,DF,23.0,18.8,740,580,160,16,1,89,18,24,0,0,0,0,446,180,114,42,529,17,144,3,626,1,8,16,15
ESP-La Liga,2122,Espanyol,Óscar Melendo,ESP,"MF,FW",23.0,11.0,446,434,12,2,3,79,4,2,2,0,0,0,345,48,53,375,50,10,1,1,396,3,4,6,10
ESP-La Liga,2122,Getafe,Allan Nyom,CMR,DF,33.0,2.7,90,67,23,1,0,9,4,3,0,0,0,0,40,12,38,6,49,10,22,0,63,0,3,3,0
