,,,,Nation,Pos,Age,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Emerson,BRA,DF,22.0,1.0,58,69,84.1,1007,181,28,29,96.6,25,28,89.3,4,7,57.1,0,0.0,0.0,0,0,3,1,5
ESP-La Liga,2122,Barcelona,Eric García,ESP,DF,20.0,22.7,1550,1666,93.0,33391,10391,446,470,94.9,829,870,95.3,272,312,87.2,0,0.2,-0.2,5,158,2,0,122
ESP-La Liga,2122,Barcelona,Estanis,ESP,FW,17.0,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Ferrán Torres,ESP,FW,21.0,15.7,495,587,84.3,7698,1563,285,321,88.8,163,189,86.2,35,48,72.9,4,3.0,1.0,12,33,10,1,43
ESP-La Liga,2122,Barcelona,Frenkie de Jong,NED,MF,24.0,27.5,1511,1680,89.9,27059,6209,705,759,92.9,584,640,91.3,193,227,85.0,3,3.1,-0.1,40,154,36,2,150
ESP-La Liga,2122,Barcelona,Gavi Paez,ESP,"MF,FW",16.0,25.7,1115,1270,87.8,17381,3422,643,683,94.1,358,407,88.0,89,123,72.4,5,3.1,1.9,18,116,28,4,75
ESP-La Liga,2122,Barcelona,Gerard Piqué,ESP,DF,34.0,23.2,1508,1664,90.6,34180,9208,342,377,90.7,862,897,96.1,290,369,78.6,0,0.1,-0.1,2,129,3,0,109
ESP-La Liga,2122,Barcelona,Ilias Akhomach,ESP,FW,17.0,1.4,45,53,84.9,625,193,35,36,97.2,8,10,80.0,2,5,40.0,0,0.4,-0.4,3,3,5,1,6
ESP-La Liga,2122,Barcelona,Jordi Alba,ESP,DF,32.0,29.4,2336,2770,84.3,40855,15180,1085,1178,92.1,1002,1152,87.0,222,351,63.2,10,5.9,4.1,58,231,64,18,254
ESP-La Liga,2122,Barcelona,Jutglà,ESP,FW,22.0,3.3,98,121,81.0,1472,191,61,67,91.0,24,31,77.4,10,12,83.3,0,0.4,-0.4,3,4,5,2,5
ESP-La Liga,2122,Barcelona,Luuk de Jong,NED,FW,30.0,7.3,141,190,74.2,1830,181,92,117,78.6,34,50,68.0,5,6,83.3,0,0.2,-0.2,3,7,2,0,7
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29.0,35.0,1112,1280,86.9,29784,16946,200,202,99.0,560,570,98.2,344,499,68.9,0,0.1,-0.1,1,9,0,0,2
ESP-La Liga,2122,Barcelona,Martin Braithwaite,DEN,FW,30.0,2.6,46,57,80.7,673,104,29,32,90.6,15,20,75.0,1,2,50.0,1,1.3,-0.3,2,1,2,0,3
ESP-La Liga,2122,Barcelona,Memphis Depay,NED,FW,27.0,20.6,725,965,75.1,10974,2829,460,519,88.6,173,239,72.4,65,146,44.5,2,3.9,-1.9,45,32,30,10,70
ESP-La Liga,2122,Barcelona,Mika Màrmol,ESP,DF,19.0,0.0,4,5,80.0,55,12,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32.0,3.0,106,130,81.5,3139,1832,22,22,100.0,36,38,94.7,48,70,68.6,0,0.0,0.0,1,0,0,0,0
ESP-La Liga,2122,Barcelona,Nicolás González,ESP,MF,19.0,12.4,620,687,90.2,9973,1812,304,332,91.6,257,269,95.5,43,61,70.5,1,1.2,-0.2,13,57,6,0,31
ESP-La Liga,2122,Barcelona,Opponent Total,,,27.7,38.0,10575,13876,76.2,215396,82855,4269,4917,86.8,4226,5017,84.2,1836,3267,56.2,27,24.6,2.4,264,692,214,66,803
ESP-La Liga,2122,Barcelona,Ousmane Dembélé,FRA,FW,24.0,15.7,609,822,74.1,10521,2965,318,366,86.9,212,280,75.7,64,130,49.2,13,7.8,5.2,46,26,42,13,66
ESP-La Liga,2122,Barcelona,Pedri,ESP,MF,18.0,9.8,521,613,85.0,10053,2259,212,240,88.3,212,238,89.1,81,101,80.2,1,1.1,-0.1,16,54,18,0,55
ESP-La Liga,2122,Barcelona,Philippe Coutinho,BRA,"MF,FW",29.0,5.6,275,328,83.8,4269,1033,166,175,94.9,73,93,78.5,26,44,59.1,0,0.3,-0.3,2,23,13,2,26
ESP-La Liga,2122,Barcelona,Pierre-Emerick Aubameyang,GAB,FW,32.0,12.0,184,244,75.4,2668,265,103,136,75.7,63,79,79.7,6,9,66.7,1,1.0,0.0,7,6,8,0,12
ESP-La Liga,2122,Barcelona,Riqui Puig,ESP,MF,21.0,5.4,420,454,92.5,7088,968,213,220,96.8,149,162,92.0,45,52,86.5,0,0.3,-0.3,5,32,6,0,23
ESP-La Liga,2122,Barcelona,Ronald Araújo,URU,DF,22.0,25.2,1485,1643,90.4,31687,8608,405,426,95.1,827,875,94.5,240,323,74.3,0,0.4,-0.4,6,85,5,2,77
ESP-La Liga,2122,Barcelona,Samuel Umtiti,FRA,DF,27.0,1.0,42,50,84.0,898,324,14,15,93.3,22,25,88.0,6,9,66.7,0,0.0,0.0,0,5,0,0,5
ESP-La Liga,2122,Barcelona,Sergi Roberto,ESP,"MF,DF",29.0,4.4,241,268,89.9,3887,908,124,132,93.9,93,100,93.0,20,29,69.0,1,0.3,0.7,5,16,2,0,15
ESP-La Liga,2122,Barcelona,Sergio Agüero,ARG,FW,33.0,1.7,31,43,72.1,469,43,18,25,72.0,10,15,66.7,2,2,100.0,0,0.3,-0.3,1,2,0,0,2
ESP-La Liga,2122,Barcelona,Sergio Busquets,ESP,MF,33.0,35.5,2462,2799,88.0,48573,11342,961,1045,92.0,1043,1148,90.9,407,519,78.4,0,1.9,-1.9,33,260,34,1,223
ESP-La Liga,2122,Barcelona,Sergiño Dest,USA,"DF,FW",20.0,16.8,880,1000,88.0,13944,4131,470,497,94.6,358,403,88.8,44,72,61.1,3,2.8,0.2,19,59,17,4,69
ESP-La Liga,2122,Barcelona,Squad Total,,,26.2,38.0,21651,24990,86.6,409263,119379,9129,9928,92.0,9205,10174,90.5,2939,4088,71.9,52,44.4,7.6,398,1729,409,91,1669
