,,,,Nation,Pos,Age,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
ESP-La Liga,2122,Celta Vigo,Matías Dituro,ARG,GK,34.0,38.0,1,0,0,1,3,0,0,0,0,0,0,0,197,0,0,
ESP-La Liga,2122,Celta Vigo,Miguel Baeza,ESP,DF,21.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
ESP-La Liga,2122,Celta Vigo,Nolito,ESP,MF,34.0,15.4,2,0,0,23,16,6,11,12,18,0,1,0,111,10,17,37.0
ESP-La Liga,2122,Celta Vigo,Néstor Araujo,MEX,DF,29.0,29.1,4,0,0,20,10,0,3,53,17,0,0,1,283,70,54,56.5
ESP-La Liga,2122,Celta Vigo,Okay Yokuşlu,TUR,"DF,MF",27.0,1.6,0,0,0,2,2,0,0,5,2,0,0,0,21,7,2,77.8
ESP-La Liga,2122,Celta Vigo,Opponent Total,,,27.4,38.0,103,5,0,568,550,35,383,621,359,6,6,0,3371,810,712,53.2
ESP-La Liga,2122,Celta Vigo,Orbelín Pineda,MEX,"MF,FW",25.0,1.1,0,0,0,3,4,0,0,0,3,0,0,0,19,1,2,33.3
ESP-La Liga,2122,Celta Vigo,Renato Tapia,PER,MF,26.0,15.7,10,0,0,35,35,0,2,36,42,0,0,0,196,38,25,60.3
ESP-La Liga,2122,Celta Vigo,Santi Mina,ESP,FW,25.0,26.3,4,0,0,56,49,10,12,15,21,2,0,0,136,141,178,44.2
ESP-La Liga,2122,Celta Vigo,Squad Total,,,28.4,38.0,87,3,1,576,545,83,523,569,495,3,7,2,3419,712,810,46.8
ESP-La Liga,2122,Celta Vigo,Thiago Galhardo,BRA,"FW,MF",32.0,12.8,5,0,0,26,14,16,10,11,6,0,0,0,52,49,82,37.4
ESP-La Liga,2122,Cádiz,Alberto Perea,ESP,MF,30.0,8.6,2,0,0,10,21,0,35,18,11,0,0,0,71,1,10,9.1
ESP-La Liga,2122,Cádiz,Alfonso Espino,URU,DF,29.0,37.0,6,0,0,58,48,6,105,91,78,0,1,0,403,55,67,45.1
ESP-La Liga,2122,Cádiz,Anthony Lozano,HON,"FW,MF",28.0,18.6,8,0,0,49,42,9,23,8,9,4,0,0,77,51,78,39.5
ESP-La Liga,2122,Cádiz,Cala,ESP,DF,31.0,10.5,8,1,1,10,8,1,0,23,8,0,1,0,87,28,16,63.6
ESP-La Liga,2122,Cádiz,Carlos Akapo,EQG,DF,28.0,20.5,4,0,0,26,28,2,32,65,34,0,1,0,200,43,36,54.4
ESP-La Liga,2122,Cádiz,Chapela,ESP,"MF,FW",22.0,4.4,0,0,0,5,8,1,9,6,3,0,0,0,33,5,6,45.5
ESP-La Liga,2122,Cádiz,Fali,ESP,"DF,MF",27.0,20.0,6,0,0,20,11,0,8,35,27,0,0,0,165,40,29,58.0
ESP-La Liga,2122,Cádiz,Fede San Emeterio,ESP,MF,24.0,9.2,3,0,0,33,12,0,0,8,12,0,0,0,92,15,5,75.0
ESP-La Liga,2122,Cádiz,Florin Andone,ROU,FW,28.0,2.0,1,0,0,5,1,3,0,1,0,0,0,0,8,7,14,33.3
ESP-La Liga,2122,Cádiz,Isaac Carcelen,ESP,"DF,MF",28.0,17.2,2,0,0,27,26,1,29,41,23,0,0,0,162,19,24,44.2
ESP-La Liga,2122,Cádiz,Iván Alejo,ESP,"MF,FW",26.0,11.8,7,0,0,38,39,5,77,16,20,0,1,0,89,14,14,50.0
ESP-La Liga,2122,Cádiz,Jens Jønsson,DEN,MF,28.0,14.5,3,0,0,17,10,1,6,30,36,0,0,0,124,25,14,64.1
ESP-La Liga,2122,Cádiz,Jeremías Ledesma,ARG,GK,28.0,38.0,4,0,0,2,9,0,0,0,0,0,2,0,204,1,0,100.0
ESP-La Liga,2122,Cádiz,José Mari,ESP,MF,33.0,4.3,3,1,1,8,6,0,0,6,5,0,0,0,49,6,8,42.9
ESP-La Liga,2122,Cádiz,Lucas Pérez,ESP,"FW,MF",32.0,11.8,1,0,0,7,11,10,26,2,5,0,0,0,55,3,31,8.8
ESP-La Liga,2122,Cádiz,Luis Hernández,ESP,DF,32.0,15.2,5,0,0,12,7,1,17,22,6,0,0,0,132,20,14,58.8
ESP-La Liga,2122,Cádiz,Marcos Mauro López Gutiérrez,ARG,DF,30.0,1.5,1,0,0,1,1,0,0,4,1,0,0,0,8,6,1,85.7
ESP-La Liga,2122,Cádiz,Martín,ESP,MF,22.0,1.3,1,0,0,4,1,0,2,3,1,0,0,0,24,6,3,66.7
ESP-La Liga,2122,Cádiz,Milutin Osmajić,MNE,"FW,MF",22.0,2.9,0,0,0,3,6,5,0,2,2,0,0,0,12,15,23,39.5
ESP-La Liga,2122,Cádiz,Opponent Total,,,27.6,38.0,98,6,3,522,551,63,488,490,366,10,6,0,3242,786,714,52.4
ESP-La Liga,2122,Cádiz,Oussama Idrissi,MAR,MF,25.0,10.0,2,0,0,12,4,2,30,13,12,0,0,0,54,0,10,0.0
ESP-La Liga,2122,Cádiz,Pedro Benito,ESP,FW,21.0,0.3,0,0,0,3,0,0,0,0,0,0,0,0,1,3,3,50.0
ESP-La Liga,2122,Cádiz,Raúl Parra,ESP,DF,21.0,1.0,0,0,0,0,1,0,1,2,4,0,0,0,5,0,0,
ESP-La Liga,2122,Cádiz,Rubén Alcaraz,ESP,MF,30.0,12.3,7,0,0,36,40,1,12,15,30,0,1,0,148,29,22,56.9
ESP-La Liga,2122,Cádiz,Rubén Sobrino,ESP,"FW,MF",29.0,20.7,4,0,0,57,39,4,15,28,18,0,0,0,142,40,63,38.8
ESP-La Liga,2122,Cádiz,Salvi,ESP,"MF,FW",30.0,15.5,3,1,1,9,19,1,42,8,10,0,0,0,77,16,20,44.4
ESP-La Liga,2122,Cádiz,Santiago Arzamendia,PAR,"MF,DF",23.0,5.2,2,0,0,8,8,1,13,8,12,0,0,0,44,19,15,55.9
ESP-La Liga,2122,Cádiz,Squad Total,,,28.5,38.0,105,3,3,576,506,69,577,596,456,5,12,0,3221,714,786,47.6
ESP-La Liga,2122,Cádiz,Tomás Alarcón,CHI,MF,22.0,15.8,5,0,0,26,10,1,23,27,15,0,2,0,161,22,22,50.0
ESP-La Liga,2122,Cádiz,Varazdat Haroyan,ARM,DF,28.0,16.0,9,0,0,27,6,1,0,31,21,0,0,0,117,35,18,66.0
ESP-La Liga,2122,Cádiz,Víctor Chust,ESP,DF,21.0,20.3,2,0,0,16,11,0,2,30,14,0,2,0,176,33,52,38.8
ESP-La Liga,2122,Cádiz,Álex Fernández,ESP,MF,28.0,22.8,2,0,0,19,27,2,34,38,32,0,0,0,198,23,47,32.9
ESP-La Liga,2122,Cádiz,Álvaro Bastida,ESP,MF,17.0,2.2,1,0,0,1,0,0,0,4,2,0,0,0,13,1,7,12.5
ESP-La Liga,2122,Cádiz,Álvaro Jiménez,ESP,"MF,FW",26.0,2.6,0,0,0,4,9,0,17,2,3,0,0,0,18,3,3,50.0
ESP-La Liga,2122,Cádiz,Álvaro Negredo,ESP,FW,35.0,24.0,3,0,0,23,37,11,19,9,2,1,1,0,72,130,111,53.9
ESP-La Liga,2122,Elche,Antonio Barragán,ESP,DF,34.0,11.3,5,0,0,21,18,0,17,22,10,0,2,0,65,9,2,81.8
ESP-La Liga,2122,Elche,Darío Benedetto,ARG,FW,31.0,6.6,1,0,0,5,8,3,6,2,0,0,0,0,18,11,12,47.8
ESP-La Liga,2122,Elche,Diego González,ESP,DF,26.0,19.9,3,1,0,29,3,0,0,37,15,0,1,0,135,34,34,50.0
ESP-La Liga,2122,Elche,Enzo Roco,CHI,DF,28.0,28.4,10,0,0,40,11,1,0,51,23,0,2,0,231,80,36,69.0
ESP-La Liga,2122,Elche,Ezequiel Ponce,ARG,FW,24.0,7.4,1,1,0,16,13,6,4,4,7,0,0,0,33,22,31,41.5
ESP-La Liga,2122,Elche,Fidel,ESP,"MF,FW",31.0,25.1,9,0,0,30,34,7,52,18,20,0,1,0,154,7,25,21.9
ESP-La Liga,2122,Elche,Gerard Gumbau,ESP,MF,26.0,21.0,8,1,0,55,24,0,27,27,22,0,0,0,164,24,29,45.3
ESP-La Liga,2122,Elche,Gonzalo Verdú,ESP,DF,32.0,15.5,11,0,0,27,13,0,2,23,17,0,1,0,97,33,20,62.3
ESP-La Liga,2122,Elche,Guido Carrillo,ARG,FW,30.0,13.0,3,0,0,32,30,6,3,5,7,0,0,0,64,71,73,49.3
ESP-La Liga,2122,Elche,Helibelton Palacios,COL,DF,28.0,21.5,6,0,0,31,34,0,29,38,34,0,1,0,127,27,24,52.9
ESP-La Liga,2122,Elche,Iván Marcone,ARG,MF,31.0,9.0,5,0,0,18,6,0,1,21,15,0,0,0,99,9,3,75.0
ESP-La Liga,2122,Elche,Javier Pastore,ARG,"MF,FW",32.0,5.8,2,1,0,8,7,1,7,5,3,0,0,0,37,5,7,41.7
ESP-La Liga,2122,Elche,Johan Mojica,COL,DF,28.0,31.7,4,1,0,36,51,4,124,65,29,0,0,0,293,36,20,64.3
ESP-La Liga,2122,Elche,John Donald,ESP,DF,20.0,2.0,0,0,0,1,0,0,0,3,6,0,0,0,19,2,5,28.6
ESP-La Liga,2122,Elche,Josan,ESP,"DF,MF",31.0,13.5,2,0,0,13,30,4,59,20,18,0,0,0,99,7,20,25.9
ESP-La Liga,2122,Elche,Josema,ESP,DF,25.0,2.0,0,0,0,3,4,0,2,3,2,0,1,0,14,4,7,36.4
ESP-La Liga,2122,Elche,Kike Pérez,ESP,"FW,MF",24.0,5.8,1,0,0,21,6,1,0,5,7,0,0,0,48,15,19,44.1
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34.0,14.0,3,0,0,0,1,0,0,0,0,0,0,0,79,0,0,
ESP-La Liga,2122,Elche,Lucas Boyé,ARG,FW,25.0,19.0,3,0,0,44,53,13,11,10,17,0,0,0,88,24,76,24.0
ESP-La Liga,2122,Elche,Lucas Olaza,URU,DF,27.0,3.3,1,0,0,2,5,0,10,4,3,0,0,0,39,3,1,75.0
ESP-La Liga,2122,Elche,Lucas Pérez,ESP,FW,32.0,14.1,0,0,0,8,17,10,20,5,0,1,0,0,53,2,15,11.8
ESP-La Liga,2122,Elche,Omar Mascarell,ESP,MF,28.0,27.7,6,0,0,46,29,0,5,41,22,0,0,0,250,44,44,50.0
ESP-La Liga,2122,Elche,Opponent Total,,,27.4,38.0,80,2,0,560,574,104,537,524,414,8,1,1,3156,624,571,52.2
ESP-La Liga,2122,Elche,Pablo Piatti,ARG,"MF,FW",32.0,3.5,0,0,0,11,8,1,2,4,2,0,0,0,22,6,7,46.2
ESP-La Liga,2122,Elche,Pedro Bigas,ESP,DF,30.0,17.2,6,0,0,17,12,0,3,32,21,0,0,0,136,35,13,72.9
ESP-La Liga,2122,Elche,Pere Milla,ESP,"FW,MF",28.0,18.3,4,0,0,26,53,9,10,21,18,0,1,0,130,29,56,34.1
ESP-La Liga,2122,Elche,Raúl Guti,ESP,MF,24.0,18.1,4,1,1,19,31,0,6,35,15,0,0,0,143,13,21,38.2
ESP-La Liga,2122,Elche,Squad Total,,,29.1,38.0,104,6,1,593,530,74,443,519,347,1,10,0,2905,571,624,47.8
ESP-La Liga,2122,Elche,Tete Morente,ESP,"MF,FW",24.0,18.1,4,0,0,34,28,8,43,17,14,0,0,0,130,19,24,44.2
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29.0,24.0,2,0,0,0,1,0,0,1,0,0,0,0,138,0,0,
ESP-La Liga,2122,Espanyol,Adri Embarba,ESP,"FW,MF",29.0,22.1,4,0,0,39,54,6,77,29,25,0,0,0,156,20,33,37.7
ESP-La Liga,2122,Espanyol,Aleix Vidal,ESP,"DF,MF",31.0,21.1,10,0,0,27,33,1,35,51,27,0,1,0,185,11,12,47.8
ESP-La Liga,2122,Espanyol,Daniel Villahermosa,ESP,MF,20.0,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
ESP-La Liga,2122,Espanyol,David López,ESP,"MF,DF",31.0,8.3,1,0,0,12,7,0,0,11,17,0,0,0,89,26,26,50.0
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39.0,35.3,4,0,0,0,6,0,0,0,0,0,0,0,189,0,0,
ESP-La Liga,2122,Espanyol,Dídac Vilà,ESP,"DF,MF",32.0,2.3,3,0,0,8,1,0,3,5,2,0,0,0,16,4,6,40.0
ESP-La Liga,2122,Espanyol,Fernando Calero,ESP,DF,25.0,12.1,3,0,0,14,8,0,0,28,14,0,1,0,103,29,32,47.5
ESP-La Liga,2122,Espanyol,Fran Mérida,ESP,MF,31.0,3.0,2,1,0,8,6,0,1,3,5,0,0,0,39,1,5,16.7
ESP-La Liga,2122,Espanyol,Gori,ESP,MF,19.0,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
ESP-La Liga,2122,Espanyol,Javi Puado,ESP,"FW,MF",23.0,24.9,5,0,0,27,31,6,14,25,19,0,0,0,134,17,46,27.0
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
ESP-La Liga,2122,Espanyol,Jofre,ESP,"MF,DF",20.0,0.2,0,0,0,0,4,0,3,0,1,1,0,0,0,1,0,100.0
ESP-La Liga,2122,Espanyol,Keidi Bare,ALB,MF,23.0,16.5,9,0,0,28,32,0,7,30,20,1,0,0,164,21,31,40.4
ESP-La Liga,2122,Espanyol,Landry Dimata,BEL,"FW,MF",23.0,6.0,0,0,0,14,25,3,1,3,2,0,0,0,17,18,31,36.7
ESP-La Liga,2122,Espanyol,Leandro Cabrera,URU,DF,30.0,37.0,7,0,0,37,24,2,8,65,27,0,2,1,275,95,50,65.5
ESP-La Liga,2122,Espanyol,Lluís Recasens,ESP,DF,19.0,0.5,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,100.0
ESP-La Liga,2122,Espanyol,Loren Morón,ESP,"FW,MF",27.0,6.3,0,0,0,11,15,7,5,1,7,0,0,0,24,30,32,48.4
ESP-La Liga,2122,Espanyol,Luca Koleosho,USA,FW,16.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,100.0
ESP-La Liga,2122,Espanyol,Manu Morlanes,ESP,MF,22.0,12.7,6,1,0,16,15,0,5,22,20,0,0,0,140,22,24,47.8
ESP-La Liga,2122,Espanyol,Miguel Juan Llambrich,ESP,DF,25.0,0.8,0,0,0,0,1,0,0,2,2,0,0,0,7,0,3,0.0
ESP-La Liga,2122,Espanyol,Nico Ribaudo,ESP,"MF,FW",20.0,12.4,5,1,1,29,36,3,6,9,15,0,0,0,70,13,42,23.6
ESP-La Liga,2122,Espanyol,Oier Olazábal,ESP,GK,31.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
ESP-La Liga,2122,Espanyol,Opponent Total,,,27.5,38.0,120,7,4,618,495,85,609,472,415,2,4,1,3053,669,540,55.3
ESP-La Liga,2122,Espanyol,Pedrosa,ESP,DF,23.0,30.2,8,0,0,20,53,0,76,54,35,0,0,0,220,19,30,38.8
ESP-La Liga,2122,Espanyol,Raúl de Tomás,ESP,FW,26.0,32.4,7,2,1,41,64,31,29,9,6,1,1,0,100,34,55,38.2
ESP-La Liga,2122,Espanyol,Rubén,ESP,DF,20.0,1.7,0,0,0,5,1,0,4,2,1,0,0,0,9,6,2,75.0
ESP-La Liga,2122,Espanyol,Sergi Darder,ESP,MF,27.0,34.7,4,0,0,35,46,0,38,44,26,0,0,0,207,15,24,38.5
ESP-La Liga,2122,Espanyol,Sergi Gómez,ESP,DF,29.0,30.2,1,1,0,15,4,0,1,48,15,0,0,0,169,47,52,47.5
ESP-La Liga,2122,Espanyol,Squad Total,,,27.6,38.0,99,7,3,516,600,69,369,524,380,3,5,1,2769,540,669,44.7
ESP-La Liga,2122,Espanyol,Tonny Vilhena,NED,"MF,FW",26.0,10.3,4,0,0,20,11,2,18,12,7,0,0,0,53,11,13,45.8
ESP-La Liga,2122,Espanyol,Victor Perea,ESP,DF,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESP-La Liga,2122,Espanyol,Wu Lei,CHN,"FW,MF",29.0,5.3,0,0,0,7,6,5,4,5,4,0,0,0,34,12,17,41.4
ESP-La Liga,2122,Espanyol,Yangel Herrera,VEN,MF,23.0,18.3,7,1,1,52,46,1,8,30,45,0,0,0,169,67,60,52.8
ESP-La Liga,2122,Espanyol,Álvaro Vadillo,ESP,"MF,DF",26.0,0.1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0
ESP-La Liga,2122,Espanyol,Óscar Gil,ESP,DF,23.0,18.8,7,0,0,36,28,2,24,32,30,0,0,0,104,7,25,21.9
ESP-La Liga,2122,Espanyol,Óscar Melendo,ESP,"MF,FW",23.0,11.0,0,0,0,11,41,0,2,3,7,0,0,0,75,11,18,37.9
ESP-La Liga,2122,Getafe,Allan Nyom,CMR,DF,33.0,2.7,1,0,0,1,3,0,3,4,3,0,0,0,13,3,2,60.0
ESP-La Liga,2122,Getafe,Borja Mayoral,ESP,FW,24.0,11.6,3,0,0,13,22,4,7,9,5,0,0,0,57,23,42,35.4
ESP-La Liga,2122,Getafe,Carles Aleñá,ESP,MF,23.0,25.8,6,1,0,57,43,1,22,19,22,0,0,0,159,14,30,31.8
ESP-La Liga,2122,Getafe,Chema,ESP,MF,29.0,0.5,1,1,0,2,0,0,0,0,0,0,0,0,6,1,0,100.0
ESP-La Liga,2122,Getafe,Damián Suárez,URU,DF,33.0,30.1,13,0,0,57,34,1,80,67,50,0,0,0,241,29,35,45.3
ESP-La Liga,2122,Getafe,Darío Poveda,ESP,"FW,MF",24.0,4.2,0,0,0,4,3,2,6,3,1,0,0,0,15,15,15,50.0
ESP-La Liga,2122,Getafe,David Soria,ESP,GK,28.0,37.9,4,0,0,1,5,0,0,0,0,0,1,0,199,0,0,
ESP-La Liga,2122,Getafe,David Timor,ESP,MF,31.0,3.8,2,0,0,4,2,0,1,4,0,0,0,0,40,8,9,47.1
ESP-La Liga,2122,Getafe,Diego Conde,ESP,GK,22.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESP-La Liga,2122,Getafe,Djené,TOG,DF,29.0,34.6,11,1,0,48,40,1,11,93,36,0,2,0,360,69,39,63.9
ESP-La Liga,2122,Getafe,Emmanuel Amankwaa Akurugu,GHA,DF,19.0,0.9,0,0,0,2,1,0,1,0,0,0,0,0,9,2,1,66.7
ESP-La Liga,2122,Getafe,Enes Ünal,TUR,FW,24.0,31.1,8,0,0,86,81,14,13,7,18,0,0,0,104,171,225,43.2
ESP-La Liga,2122,Getafe,Erick Cabaco,URU,DF,26.0,4.5,4,1,1,6,5,0,0,7,1,0,0,1,33,10,4,71.4
ESP-La Liga,2122,Getafe,Florentino Luís,POR,MF,21.0,11.0,2,0,0,28,4,0,3,31,27,0,0,0,124,26,22,54.2
ESP-La Liga,2122,Getafe,Gonzalo Villar,ESP,MF,23.0,3.3,0,0,0,12,13,0,0,3,5,0,0,0,35,6,5,54.5
ESP-La Liga,2122,Getafe,Hugo Duro,ESP,"DF,MF",21.0,0.1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,50.0
ESP-La Liga,2122,Getafe,Iglesias,ESP,DF,23.0,8.0,1,0,0,20,19,1,27,18,15,0,0,0,77,11,20,35.5
ESP-La Liga,2122,Getafe,Jaime Mata,ESP,FW,32.0,7.5,7,0,0,23,17,9,6,5,4,0,0,0,27,26,61,29.9
ESP-La Liga,2122,Getafe,Jakub Jankto,CZE,"DF,MF",25.0,6.5,1,1,0,5,11,0,19,12,7,0,0,0,50,3,2,60.0
ESP-La Liga,2122,Getafe,Jonathan Silva,ARG,"DF,MF",27.0,2.5,4,0,0,9,5,0,5,5,2,0,0,0,18,1,4,20.0
ESP-La Liga,2122,Getafe,Jorge Cuenca,ESP,DF,21.0,29.8,6,2,0,33,15,0,3,60,26,0,0,0,283,92,51,64.3
ESP-La Liga,2122,Getafe,José Juan Macías,MEX,"FW,MF",21.0,2.2,1,0,0,1,11,4,4,0,0,1,0,0,11,5,7,41.7
ESP-La Liga,2122,Getafe,Marc Cucurella,ESP,"FW,DF",23.0,0.3,0,0,0,0,1,0,1,2,1,0,0,0,4,0,0,
ESP-La Liga,2122,Getafe,Mathías Olivera,URU,DF,23.0,31.1,10,0,0,61,51,3,64,70,53,0,0,0,266,131,125,51.2
ESP-La Liga,2122,Getafe,Mauro Arambarri,URU,MF,25.0,29.6,13,0,0,70,52,0,25,47,37,0,1,0,284,31,36,46.3
ESP-La Liga,2122,Getafe,Nemanja Maksimović,SRB,MF,26.0,32.6,5,0,0,17,18,0,11,64,40,0,0,0,270,53,50,51.5
ESP-La Liga,2122,Getafe,Okay Yokuşlu,TUR,"DF,MF",27.0,5.2,1,0,0,5,5,0,0,6,7,0,0,0,57,16,7,69.6
ESP-La Liga,2122,Getafe,Opponent Total,,,27.8,38.0,110,4,2,565,605,109,466,397,353,3,4,1,3595,888,871,50.5
ESP-La Liga,2122,Getafe,Sandro Ramírez,ESP,FW,26.0,16.2,7,0,0,32,48,11,28,5,7,0,0,0,89,17,39,30.4
ESP-La Liga,2122,Getafe,Squad Total,,,26.6,38.0,121,8,1,631,535,53,361,606,388,1,4,1,3184,871,888,49.5
ESP-La Liga,2122,Getafe,Stefan Mitrović,SRB,DF,31.0,29.6,8,1,0,16,3,0,0,41,8,0,0,0,268,93,40,69.9
ESP-La Liga,2122,Getafe,Vitolo,ESP,"MF,FW",31.0,2.5,0,0,0,7,9,1,2,1,1,0,0,0,8,3,3,50.0
ESP-La Liga,2122,Getafe,Óscar Rodríguez Arnaiz,ESP,"MF,FW",23.0,10.5,2,0,0,10,13,1,19,23,12,0,0,0,76,11,13,45.8
ESP-La Liga,2122,Granada,Aarón Escandell,ESP,GK,25.0,3.2,1,1,0,0,1,0,0,0,0,0,0,0,24,0,0,
ESP-La Liga,2122,Granada,Adrián Butzke,ESP,FW,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
ESP-La Liga,2122,Granada,Alberto Soro,ESP,"MF,FW",22.0,6.4,0,0,0,7,8,2,7,7,12,0,0,0,36,12,25,32.4
ESP-La Liga,2122,Granada,Antonio Puertas,ESP,"MF,FW",29.0,25.1,4,0,0,51,34,8,36,11,21,0,1,0,146,55,82,40.1
ESP-La Liga,2122,Granada,Barcia,ESP,DF,20.0,0.8,0,0,0,0,0,0,0,2,0,0,0,0,11,1,2,33.3
ESP-La Liga,2122,Granada,Carlos Bacca,COL,FW,34.0,5.7,3,0,0,3,9,5,3,1,3,1,0,0,16,12,19,38.7
ESP-La Liga,2122,Granada,Carlos Neva,ESP,DF,25.0,23.4,1,0,0,9,23,0,58,51,22,0,0,0,159,20,36,35.7
ESP-La Liga,2122,Granada,Dani Raba,ESP,"MF,FW",25.0,0.3,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,
ESP-La Liga,2122,Granada,Darwin Machís,VEN,"MF,FW",28.0,15.3,2,0,0,24,35,6,50,23,16,0,0,0,109,13,23,36.1
ESP-La Liga,2122,Granada,Dimitri Foulquier,FRA,DF,28.0,2.0,0,0,0,1,4,0,5,2,2,0,0,0,14,4,3,57.1
ESP-La Liga,2122,Granada,Domingos Duarte,POR,DF,26.0,18.7,7,1,0,29,16,0,0,26,9,0,3,0,195,48,26,64.9
ESP-La Liga,2122,Granada,Germán Sánchez,ESP,DF,34.0,25.5,11,1,1,23,25,1,0,36,16,0,0,0,247,80,53,60.2
ESP-La Liga,2122,Granada,Isma Ruiz,ESP,MF,20.0,3.1,1,0,0,3,3,1,0,7,1,0,0,0,30,3,6,33.3
ESP-La Liga,2122,Granada,Jorge Molina,ESP,FW,39.0,21.8,2,0,0,24,44,12,10,6,6,0,0,0,80,108,125,46.4
ESP-La Liga,2122,Granada,Luis Abram,PER,DF,25.0,6.2,2,0,0,5,5,0,0,11,6,0,0,1,25,12,15,44.4
ESP-La Liga,2122,Granada,Luis Javier Suárez,COL,FW,23.0,31.6,6,0,0,45,40,5,50,14,18,0,0,0,128,62,142,30.4
ESP-La Liga,2122,Granada,Luis Milla,ESP,MF,26.0,30.8,4,0,0,39,68,1,36,40,31,0,0,0,302,37,53,41.1
ESP-La Liga,2122,Granada,Luís Maximiano,POR,GK,22.0,34.8,2,0,0,0,3,0,0,0,0,0,0,1,196,0,0,
ESP-La Liga,2122,Granada,Matias Arezo,URU,FW,18.0,1.8,1,0,0,3,1,0,3,1,2,0,0,0,13,8,6,57.1
ESP-La Liga,2122,Granada,Maxime Gonalons,FRA,MF,32.0,17.2,6,0,0,35,36,0,4,28,34,0,0,0,178,38,18,67.9
ESP-La Liga,2122,Granada,Monchu,ESP,MF,21.0,7.4,3,1,0,31,13,0,4,3,8,0,0,0,82,11,13,45.8
ESP-La Liga,2122,Granada,Myrto Uzuni,ALB,"MF,FW",26.0,9.5,4,0,0,16,13,8,10,15,9,0,1,0,74,7,23,23.3
ESP-La Liga,2122,Granada,Njegoš Petrović,SRB,MF,22.0,10.2,5,0,0,12,17,1,3,12,16,0,0,0,110,19,19,50.0
ESP-La Liga,2122,Granada,Opponent Total,,,27.6,38.0,101,9,6,548,526,69,574,440,392,7,5,1,3502,906,728,55.4
ESP-La Liga,2122,Granada,Quini,ESP,DF,31.0,25.6,11,0,0,46,14,1,46,54,54,0,0,0,206,30,36,45.5
ESP-La Liga,2122,Granada,Raúl Torrente,ESP,DF,19.0,14.2,5,0,0,24,12,1,2,19,21,1,2,0,141,27,30,47.4
ESP-La Liga,2122,Granada,Rubén Rochina,ESP,"MF,FW",30.0,8.3,3,0,0,13,19,1,18,12,12,0,0,0,65,10,14,41.7
ESP-La Liga,2122,Granada,Santiago Arias,COL,DF,29.0,4.9,1,0,0,6,6,2,13,4,6,0,0,0,54,8,16,33.3
ESP-La Liga,2122,Granada,Sergio Escudero,ESP,"DF,MF",31.0,15.9,6,0,0,16,22,5,35,33,23,0,1,0,164,39,35,52.7
ESP-La Liga,2122,Granada,Squad Total,,,28.1,38.0,105,4,1,549,523,62,430,490,403,2,8,2,3214,728,906,44.6
ESP-La Liga,2122,Granada,Víctor Díaz,ESP,DF,33.0,16.7,5,0,0,16,6,0,9,31,14,0,0,0,154,33,36,47.8
ESP-La Liga,2122,Granada,Yan Brice Eteki,CMR,MF,23.0,3.8,3,0,0,17,6,0,0,3,5,0,0,0,56,12,9,57.1
ESP-La Liga,2122,Granada,Álex Collado,ESP,"MF,FW",22.0,11.3,1,0,0,19,18,0,14,24,18,0,0,0,81,8,19,29.6
ESP-La Liga,2122,Granada,Ángel Montoro,ESP,MF,33.0,14.8,5,0,0,31,21,2,14,12,18,0,0,0,117,10,22,31.3
ESP-La Liga,2122,Levante,Aitor Fernández,ESP,GK,30.0,13.0,1,1,0,0,4,0,0,0,1,0,0,0,51,0,0,
ESP-La Liga,2122,Levante,Alejandro Primo,ESP,GK,17.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ESP-La Liga,2122,Levante,Carlos Clerc,ESP,DF,29.0,16.8,6,0,0,30,18,0,36,27,17,0,0,0,133,17,16,51.5
ESP-La Liga,2122,Levante,Coke,ESP,DF,34.0,1.3,1,0,0,4,2,0,0,2,3,0,0,0,15,5,4,55.6
ESP-La Liga,2122,Levante,Cárdenas,ESP,GK,24.0,24.0,3,0,0,0,4,0,0,0,0,0,0,0,102,0,0,
ESP-La Liga,2122,Levante,Dani Gómez,ESP,FW,23.0,11.8,1,0,0,19,24,11,8,4,7,1,0,0,47,7,46,13.2
