,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
ESP-La Liga,2122,Barcelona,Clément Lenglet,FRA,DF,26.0,21,826.0,39.0,24.2,9.2,7,87.0,5,14,16.0,14,1.81,13.0,12.0,1.0,0.11,-0.9,11.9,9.5,2.4,0.26,-0.56
ESP-La Liga,2122,Barcelona,Dani Alves,BRA,DF,38.0,14,1098.0,78.0,32.1,12.2,13,84.0,6,1,5.0,3,2.5,26.0,10.0,16.0,1.31,0.77,18.6,11.5,7.1,0.58,-0.16
ESP-La Liga,2122,Barcelona,Emerson,BRA,DF,22.0,3,91.0,30.0,2.7,1.0,1,62.0,0,2,15.0,0,2.33,3.0,3.0,0.0,0.0,-0.81,1.9,1.0,0.9,0.85,0.17
ESP-La Liga,2122,Barcelona,Eric García,ESP,DF,20.0,26,2039.0,78.0,59.6,22.7,23,82.0,16,3,48.0,7,2.0,46.0,20.0,26.0,1.15,0.89,41.3,22.2,19.1,0.84,0.39
ESP-La Liga,2122,Barcelona,Estanis,ESP,FW,17.0,1,11.0,11.0,0.3,0.1,0,,0,1,11.0,0,3.0,0.0,0.0,0.0,0.0,-0.79,0.0,0.6,-0.6,-4.74,-5.45
ESP-La Liga,2122,Barcelona,Ferrán Torres,ESP,FW,21.0,18,1412.0,78.0,41.3,15.7,17,80.0,10,1,45.0,0,2.28,31.0,11.0,20.0,1.27,0.83,25.3,14.9,10.4,0.66,-0.05
ESP-La Liga,2122,Barcelona,Frenkie de Jong,NED,MF,24.0,32,2476.0,77.0,72.4,27.5,30,81.0,17,2,28.0,1,2.0,49.0,30.0,19.0,0.69,-0.36,41.9,26.2,15.7,0.57,-0.41
ESP-La Liga,2122,Barcelona,Gavi Paez,ESP,"MF,FW",16.0,34,2316.0,68.0,67.7,25.7,28,78.0,11,6,23.0,2,1.85,44.0,27.0,17.0,0.66,-0.4,40.6,21.3,19.3,0.75,0.19
ESP-La Liga,2122,Barcelona,Gerard Piqué,ESP,DF,34.0,27,2092.0,77.0,61.2,23.2,25,83.0,19,2,13.0,1,1.96,44.0,19.0,25.0,1.08,0.74,44.2,21.3,22.9,0.99,0.77
ESP-La Liga,2122,Barcelona,Guillem Jaime,ESP,DF,22.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Ilias Akhomach,ESP,FW,17.0,2,124.0,62.0,3.6,1.4,2,62.0,0,0,,3,3.0,1.0,0.0,1.0,0.73,-0.07,1.7,0.4,1.4,0.99,0.31
ESP-La Liga,2122,Barcelona,Iñaki Peña,ESP,GK,22.0,0,,,,,0,,0,0,,18,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Jandro Orellana,ESP,MF,20.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Jordi Alba,ESP,DF,32.0,30,2644.0,88.0,77.3,29.4,30,88.0,26,0,,1,2.0,54.0,32.0,22.0,0.75,-0.18,49.7,29.1,20.6,0.7,0.06
ESP-La Liga,2122,Barcelona,Jutglà,ESP,FW,22.0,6,301.0,50.0,8.8,3.3,4,73.0,1,2,4.0,2,2.0,6.0,3.0,3.0,0.9,0.12,5.9,2.8,3.2,0.94,0.28
ESP-La Liga,2122,Barcelona,Lazar Carević,MNE,GK,22.0,0,,,,,0,,0,0,,7,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Lucas De Vega Lima,BRA,MF,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Luuk de Jong,NED,FW,30.0,21,654.0,31.0,19.1,7.3,6,78.0,2,15,12.0,13,1.48,12.0,3.0,9.0,1.24,0.56,12.4,4.0,8.5,1.17,0.6
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,0,1.89,61.0,34.0,27.0,0.77,-0.23,57.3,32.7,24.7,0.7,0.23
ESP-La Liga,2122,Barcelona,Martin Braithwaite,DEN,FW,30.0,4,235.0,59.0,6.9,2.6,3,75.0,1,1,11.0,15,2.5,6.0,4.0,2.0,0.77,-0.03,4.4,2.7,1.7,0.65,-0.04
ESP-La Liga,2122,Barcelona,Memphis Depay,NED,FW,27.0,28,1851.0,66.0,54.1,20.6,20,85.0,15,8,19.0,1,1.75,31.0,21.0,10.0,0.49,-0.66,31.8,21.8,10.0,0.49,-0.44
ESP-La Liga,2122,Barcelona,Mika Màrmol,ESP,DF,19.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,0.0,-0.69
ESP-La Liga,2122,Barcelona,Miralem Pjanić,BIH,MF,31.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32.0,3,270.0,90.0,7.9,3.0,3,90.0,3,0,,33,2.33,7.0,4.0,3.0,1.0,0.23,4.7,3.3,1.4,0.48,-0.23
ESP-La Liga,2122,Barcelona,Nicolás González,ESP,MF,19.0,27,1114.0,41.0,32.6,12.4,12,72.0,2,15,17.0,4,2.04,21.0,10.0,11.0,0.89,0.15,21.7,14.3,7.4,0.6,-0.14
ESP-La Liga,2122,Barcelona,Opponent Total,,,27.7,38,3420.0,90.0,100.0,38.0,418,81.0,244,175,22.0,249,1.92,38.0,68.0,-30.0,-0.79,,36.0,62.1,-26.1,-0.69,
ESP-La Liga,2122,Barcelona,Ousmane Dembélé,FRA,FW,24.0,21,1409.0,67.0,41.2,15.7,15,84.0,7,6,25.0,2,2.05,33.0,14.0,19.0,1.21,0.72,28.5,14.0,14.6,0.93,0.41
ESP-La Liga,2122,Barcelona,Pedri,ESP,MF,18.0,12,885.0,74.0,25.9,9.8,10,82.0,4,2,33.0,0,2.67,28.0,9.0,19.0,1.93,1.54,21.7,8.9,12.8,1.3,0.83
ESP-La Liga,2122,Barcelona,Philippe Coutinho,BRA,"MF,FW",29.0,12,503.0,42.0,14.7,5.6,5,62.0,0,7,27.0,4,1.33,7.0,7.0,0.0,0.0,-0.93,10.7,6.4,4.3,0.78,0.1
ESP-La Liga,2122,Barcelona,Pierre-Emerick Aubameyang,GAB,FW,32.0,17,1082.0,64.0,31.6,12.0,13,74.0,0,4,29.0,0,2.24,26.0,10.0,16.0,1.33,0.79,20.7,11.2,9.5,0.79,0.15
ESP-La Liga,2122,Barcelona,Rey Manaj,ALB,FW,24.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Riqui Puig,ESP,MF,21.0,15,487.0,32.0,14.2,5.4,2,90.0,2,13,24.0,23,1.73,7.0,4.0,3.0,0.55,-0.27,6.1,6.1,0.0,0.01,-0.79
ESP-La Liga,2122,Barcelona,Ronald Araújo,URU,DF,22.0,30,2272.0,76.0,66.4,25.2,25,86.0,22,5,25.0,1,2.13,48.0,29.0,19.0,0.75,-0.11,40.3,25.4,14.9,0.59,-0.29
ESP-La Liga,2122,Barcelona,Samuel Umtiti,FRA,DF,27.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,22,1.0,2.0,2.0,0.0,0.0,-0.81,1.0,0.3,0.7,0.66,-0.03
ESP-La Liga,2122,Barcelona,Sergi Roberto,ESP,"MF,DF",29.0,9,400.0,44.0,11.7,4.4,4,62.0,0,5,31.0,1,1.33,7.0,7.0,0.0,0.0,-0.89,6.2,4.9,1.3,0.3,-0.44
ESP-La Liga,2122,Barcelona,Sergio Agüero,ARG,FW,33.0,4,151.0,38.0,4.4,1.7,2,65.0,1,2,11.0,0,1.0,1.0,2.0,-1.0,-0.6,-1.45,3.6,1.7,1.9,1.15,0.49
ESP-La Liga,2122,Barcelona,Sergio Busquets,ESP,MF,33.0,36,3198.0,89.0,93.5,35.5,36,89.0,32,0,,0,1.86,60.0,36.0,24.0,0.68,-1.76,57.5,33.5,23.9,0.67,-0.2
ESP-La Liga,2122,Barcelona,Sergiño Dest,USA,"DF,FW",20.0,21,1512.0,72.0,44.2,16.8,17,84.0,9,4,20.0,4,1.67,23.0,15.0,8.0,0.48,-0.56,26.5,13.5,13.0,0.77,0.16
ESP-La Liga,2122,Barcelona,Squad Total,,,26.2,38,3420.0,90.0,100.0,38.0,418,82.0,254,159,20.0,264,1.92,68.0,38.0,30.0,0.79,,62.1,36.0,26.1,0.69,
ESP-La Liga,2122,Barcelona,Yusuf Demir,AUT,FW,18.0,6,192.0,32.0,5.6,2.1,2,60.0,0,4,18.0,10,1.5,2.0,1.0,1.0,0.47,-0.34,3.0,2.6,0.4,0.2,-0.52
ESP-La Liga,2122,Barcelona,Óscar Mingueza,ESP,DF,22.0,19,894.0,47.0,26.1,9.9,9,79.0,3,10,18.0,16,1.74,13.0,10.0,3.0,0.3,-0.66,14.5,8.7,5.8,0.58,-0.14
ESP-La Liga,2122,Betis,Aitor Ruibal,ESP,"FW,DF",25.0,19,856.0,45.0,25.0,9.5,9,68.0,1,10,24.0,17,1.53,7.0,11.0,-4.0,-0.42,-1.33,10.6,11.0,-0.4,-0.04,-0.44
ESP-La Liga,2122,Betis,Andrés Guardado,MEX,MF,34.0,28,1393.0,50.0,40.7,15.5,17,70.0,5,11,18.0,7,1.79,22.0,15.0,7.0,0.45,-0.21,21.2,19.3,1.9,0.12,-0.28
ESP-La Liga,2122,Betis,Borja Iglesias,ESP,FW,28.0,33,1573.0,48.0,46.0,17.5,18,72.0,2,15,18.0,4,1.61,30.0,18.0,12.0,0.69,0.2,25.4,20.0,5.3,0.31,0.03
ESP-La Liga,2122,Betis,Calderón,ESP,DF,21.0,1,65.0,65.0,1.9,0.7,0,,0,1,65.0,2,1.0,1.0,0.0,1.0,1.38,0.82,0.7,0.1,0.7,0.9,0.63
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38.0,17,1456.0,86.0,42.6,16.2,17,86.0,16,0,,11,1.65,30.0,19.0,11.0,0.68,0.18,25.2,19.2,6.0,0.37,0.15
ESP-La Liga,2122,Betis,Cristian Tello,ESP,"FW,MF",29.0,23,819.0,36.0,23.9,9.1,5,77.0,2,18,24.0,12,1.48,15.0,14.0,1.0,0.11,-0.62,14.2,14.3,-0.1,-0.01,-0.39
ESP-La Liga,2122,Betis,Diego Lainez,MEX,FW,21.0,7,140.0,20.0,4.1,1.6,1,45.0,0,6,16.0,20,2.0,1.0,2.0,-1.0,-0.64,-1.27,1.9,2.8,-0.9,-0.57,-0.89
ESP-La Liga,2122,Betis,Fran Delgado,ESP,DF,20.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Betis,Germán Pezzella,ARG,DF,30.0,23,1988.0,86.0,58.1,22.1,22,87.0,18,1,77.0,7,1.65,32.0,20.0,12.0,0.54,-0.09,29.0,25.9,3.1,0.14,-0.35
ESP-La Liga,2122,Betis,Guido Rodríguez,ARG,MF,27.0,32,2529.0,79.0,73.9,28.1,29,85.0,23,3,20.0,3,1.78,49.0,26.0,23.0,0.82,0.92,42.7,30.9,11.8,0.42,0.51
ESP-La Liga,2122,Betis,Héctor Bellerín,ESP,DF,26.0,23,1979.0,86.0,57.9,22.0,22,89.0,21,1,23.0,5,1.87,40.0,23.0,17.0,0.77,0.46,35.6,25.2,10.4,0.47,0.44
ESP-La Liga,2122,Betis,Joaquín,ESP,"FW,MF",40.0,21,471.0,22.0,13.8,5.2,2,72.0,0,19,17.0,12,1.57,12.0,5.0,7.0,1.34,0.88,10.0,5.8,4.2,0.81,0.6
ESP-La Liga,2122,Betis,Joel Robles,ESP,GK,31.0,0,,,,,0,,0,0,,21,,,,,,,,,,,
ESP-La Liga,2122,Betis,Juan Miranda,ESP,DF,21.0,13,783.0,60.0,22.9,8.7,9,83.0,6,4,9.0,17,1.54,10.0,6.0,4.0,0.46,-0.15,11.6,7.9,3.7,0.43,0.18
ESP-La Liga,2122,Betis,Juanmi,ESP,FW,28.0,33,2131.0,65.0,62.3,23.7,26,75.0,2,7,27.0,3,1.67,42.0,21.0,21.0,0.89,0.82,36.4,22.7,13.8,0.58,0.78
ESP-La Liga,2122,Betis,Kike Hermoso,ESP,DF,21.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,2,3.0,3.0,1.0,2.0,2.0,1.46,2.3,0.9,1.5,1.49,1.24
ESP-La Liga,2122,Betis,Loren Morón,ESP,FW,27.0,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,1,1.0,0.0,0.0,0.0,0.0,-0.58,0.1,0.1,0.0,-0.32,-0.61
ESP-La Liga,2122,Betis,Marc Bartra,ESP,DF,30.0,23,1993.0,87.0,58.3,22.1,23,87.0,22,0,,8,1.74,34.0,24.0,10.0,0.45,-0.31,31.4,24.3,7.1,0.32,0.08
ESP-La Liga,2122,Betis,Marchena,ESP,MF,19.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Betis,Martín Montoya,ESP,DF,30.0,6,518.0,86.0,15.1,5.8,6,86.0,5,0,,8,1.33,9.0,8.0,1.0,0.17,-0.48,8.0,7.6,0.4,0.06,-0.26
ESP-La Liga,2122,Betis,Nabil Fekir,FRA,MF,28.0,34,2794.0,82.0,81.7,31.0,33,84.0,15,1,33.0,1,1.71,51.0,32.0,19.0,0.61,0.18,43.7,35.0,8.7,0.28,-0.04
ESP-La Liga,2122,Betis,Opponent Total,,,27.4,38,3420.0,90.0,100.0,38.0,418,80.0,244,172,23.0,245,1.71,40.0,62.0,-22.0,-0.58,,44.3,55.2,-10.9,-0.29,
ESP-La Liga,2122,Betis,Paul Akouokou,CIV,MF,23.0,8,516.0,65.0,15.1,5.7,6,82.0,2,2,11.0,19,1.38,7.0,3.0,4.0,0.7,0.14,6.4,5.0,1.4,0.25,-0.05
ESP-La Liga,2122,Betis,Raúl,ESP,FW,20.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,1,3.0,0.0,0.0,0.0,0.0,-0.58,0.0,0.0,0.0,0.0,-0.29
ESP-La Liga,2122,Betis,Rebollo,ESP,GK,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Betis,Roberto González,ESP,"FW,MF",20.0,4,135.0,34.0,3.9,1.5,1,79.0,0,3,19.0,6,1.75,4.0,1.0,3.0,2.0,1.48,2.9,0.9,2.0,1.32,1.08
ESP-La Liga,2122,Betis,Rodrigo,ESP,FW,21.0,21,881.0,42.0,25.8,9.8,10,63.0,0,11,23.0,12,1.62,16.0,14.0,2.0,0.2,-0.5,15.3,14.4,0.9,0.09,-0.27
ESP-La Liga,2122,Betis,Rui Silva,POR,GK,27.0,22,1964.0,89.0,57.4,21.8,21,90.0,21,1,74.0,14,1.68,32.0,21.0,11.0,0.5,-0.18,29.9,25.0,4.9,0.22,-0.15
ESP-La Liga,2122,Betis,Sergio Canales,ESP,"FW,MF",30.0,34,2791.0,82.0,81.6,31.0,33,84.0,19,1,27.0,0,1.74,48.0,31.0,17.0,0.55,-0.17,39.9,33.1,6.9,0.22,-0.36
ESP-La Liga,2122,Betis,Sidnei,BRA,DF,31.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Betis,Squad Total,,,28.9,38,3420.0,90.0,100.0,38.0,418,82.0,251,161,21.0,266,1.71,62.0,40.0,22.0,0.58,,55.2,44.3,10.9,0.29,
ESP-La Liga,2122,Betis,Víctor Camarasa,ESP,"MF,FW",27.0,7,108.0,15.0,3.2,1.2,0,,0,7,15.0,2,1.86,1.0,2.0,-1.0,-0.83,-1.46,1.2,2.1,-0.9,-0.74,-1.06
ESP-La Liga,2122,Betis,Víctor Ruiz,ESP,DF,32.0,18,1424.0,79.0,41.6,15.8,17,83.0,15,1,7.0,13,1.72,28.0,17.0,11.0,0.7,0.2,25.2,17.9,7.3,0.46,0.3
ESP-La Liga,2122,Betis,William Carvalho,POR,MF,29.0,33,1805.0,55.0,52.8,20.1,20,79.0,8,13,18.0,2,1.82,36.0,25.0,11.0,0.55,-0.06,32.7,29.1,3.6,0.18,-0.22
ESP-La Liga,2122,Betis,Willian José,BRA,FW,29.0,32,1604.0,50.0,46.9,17.8,19,72.0,3,13,18.0,2,1.84,30.0,18.0,12.0,0.67,0.18,27.7,19.5,8.1,0.46,0.32
ESP-La Liga,2122,Betis,Yassin Fekir,FRA,FW,24.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Betis,Youssouf Sabaly,SEN,DF,28.0,10,788.0,79.0,23.0,8.8,9,87.0,8,1,1.0,7,1.7,10.0,8.0,2.0,0.23,-0.46,9.0,10.1,-1.1,-0.12,-0.53
ESP-La Liga,2122,Betis,Álex Moreno,ESP,DF,28.0,30,2404.0,80.0,70.3,26.7,28,84.0,22,2,22.0,2,1.8,49.0,30.0,19.0,0.71,0.45,41.1,32.8,8.3,0.31,0.08
ESP-La Liga,2122,Betis,Édgar González,ESP,DF,24.0,21,1464.0,70.0,42.8,16.3,14,90.0,14,7,29.0,16,2.05,32.0,21.0,11.0,0.68,0.17,24.9,22.1,2.8,0.17,-0.2
ESP-La Liga,2122,Celta Vigo,Alfon,ESP,FW,22.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Augusto Solari,ARG,"MF,DF",29.0,26,714.0,27.0,20.9,7.9,4,56.0,0,22,22.0,7,1.12,5.0,12.0,-7.0,-0.88,-1.12,11.1,12.9,-1.7,-0.22,-0.19
ESP-La Liga,2122,Celta Vigo,Brais Méndez,ESP,MF,24.0,37,3021.0,82.0,88.3,33.6,36,83.0,20,1,45.0,0,1.22,38.0,33.0,5.0,0.15,1.28,36.9,38.8,-1.9,-0.06,0.1
ESP-La Liga,2122,Celta Vigo,Carlos Dominguez,ESP,DF,20.0,8,344.0,43.0,10.1,3.8,3,86.0,2,5,17.0,24,2.25,6.0,2.0,4.0,1.05,1.16,6.1,5.4,0.8,0.2,0.3
ESP-La Liga,2122,Celta Vigo,Coke Carrillo,ESP,GK,19.0,0,,,,,0,,0,0,,18,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,César Fernández,ESP,GK,17.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Damián Rodríguez,ESP,MF,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Denis Suárez,ESP,MF,27.0,38,2819.0,74.0,82.4,31.3,33,79.0,13,5,40.0,0,1.21,39.0,38.0,1.0,0.03,0.18,34.3,41.9,-7.7,-0.24,-1.01
ESP-La Liga,2122,Celta Vigo,Fernando Medrano,ESP,DF,21.0,0,,,,,0,,0,0,,6,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Fran Beltrán,ESP,MF,22.0,37,2597.0,70.0,75.9,28.9,31,78.0,14,6,30.0,0,1.24,34.0,27.0,7.0,0.24,1.01,31.4,34.7,-3.3,-0.11,-0.19
ESP-La Liga,2122,Celta Vigo,Franco Cervi,ARG,MF,27.0,33,1801.0,55.0,52.7,20.0,21,70.0,3,12,28.0,2,1.24,31.0,22.0,9.0,0.45,0.95,22.7,22.6,0.1,0.0,0.15
ESP-La Liga,2122,Celta Vigo,Gabriel Veiga,ESP,MF,19.0,7,108.0,15.0,3.2,1.2,0,,0,7,15.0,4,1.86,0.0,3.0,-3.0,-2.5,-2.58,3.0,1.2,1.7,1.45,1.57
ESP-La Liga,2122,Celta Vigo,Gaizka Campos Bahillo,ESP,GK,24.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Hugo Mallo,ESP,DF,30.0,21,1826.0,87.0,53.4,20.3,21,87.0,17,0,,1,1.24,23.0,25.0,-2.0,-0.1,-0.21,22.7,24.0,-1.3,-0.07,0.0
ESP-La Liga,2122,Celta Vigo,Hugo Sotelo,ESP,MF,17.0,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,4,3.0,0.0,1.0,-1.0,-45.0,-45.03,0.0,0.1,-0.1,-2.39,-2.32
ESP-La Liga,2122,Celta Vigo,Hugo Álvarez,ESP,FW,18.0,1,11.0,11.0,0.3,0.1,0,,0,1,11.0,5,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,4.0,4.08
ESP-La Liga,2122,Celta Vigo,Iago Aspas,ESP,FW,33.0,37,3087.0,83.0,90.3,34.3,36,85.0,26,1,11.0,0,1.22,41.0,39.0,2.0,0.06,0.6,39.3,43.3,-4.0,-0.12,-0.52
ESP-La Liga,2122,Celta Vigo,Javi Galán,ESP,DF,26.0,37,3298.0,89.0,96.4,36.6,37,89.0,35,0,,0,1.22,43.0,43.0,0.0,0.0,0.0,42.7,45.0,-2.3,-0.06,0.14
ESP-La Liga,2122,Celta Vigo,Javier Castro,ESP,DF,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Jeison Murillo,COL,DF,29.0,19,1117.0,59.0,32.7,12.4,12,83.0,8,7,18.0,12,1.0,12.0,22.0,-10.0,-0.81,-1.2,14.6,17.3,-2.7,-0.22,-0.22
ESP-La Liga,2122,Celta Vigo,Joseph Aidoo,GHA,DF,25.0,32,2637.0,82.0,77.1,29.3,30,87.0,24,2,7.0,3,1.22,35.0,31.0,4.0,0.14,0.6,34.5,34.1,0.3,0.01,0.34
ESP-La Liga,2122,Celta Vigo,José Fontán,ESP,DF,21.0,9,276.0,31.0,8.1,3.1,3,75.0,2,6,9.0,25,1.0,1.0,4.0,-3.0,-0.98,-1.06,3.8,4.1,-0.4,-0.11,-0.05
ESP-La Liga,2122,Celta Vigo,Kevin Vázquez,ESP,DF,28.0,17,1334.0,78.0,39.0,14.8,16,81.0,10,1,45.0,18,1.06,16.0,15.0,1.0,0.07,0.11,15.3,18.6,-3.3,-0.22,-0.25
ESP-La Liga,2122,Celta Vigo,Matías Dituro,ARG,GK,34.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.21,43.0,43.0,0.0,0.0,,44.0,46.6,-2.6,-0.07,
ESP-La Liga,2122,Celta Vigo,Miguel Baeza,ESP,DF,21.0,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,-1.44,-1.37
ESP-La Liga,2122,Celta Vigo,Nolito,ESP,MF,34.0,32,1384.0,43.0,40.5,15.4,15,65.0,1,17,24.0,4,1.19,12.0,21.0,-9.0,-0.59,-0.98,17.0,22.7,-5.7,-0.37,-0.51
ESP-La Liga,2122,Celta Vigo,Néstor Araujo,MEX,DF,29.0,34,2617.0,77.0,76.5,29.1,29,87.0,24,5,19.0,3,1.26,32.0,30.0,2.0,0.07,0.29,31.1,33.0,-2.0,-0.07,0.0
ESP-La Liga,2122,Celta Vigo,Okay Yokuşlu,TUR,"DF,MF",27.0,8,140.0,18.0,4.1,1.6,1,90.0,1,7,7.0,9,2.13,3.0,0.0,3.0,1.93,2.01,3.1,2.1,0.9,0.61,0.71
ESP-La Liga,2122,Celta Vigo,Opponent Total,,,27.4,38,3420.0,90.0,100.0,38.0,418,81.0,239,178,20.0,241,1.21,43.0,43.0,0.0,0.0,,46.6,44.0,2.6,0.07,
ESP-La Liga,2122,Celta Vigo,Orbelín Pineda,MEX,"MF,FW",25.0,7,99.0,14.0,2.9,1.1,0,,0,7,14.0,11,0.71,1.0,1.0,0.0,0.0,0.0,3.0,0.8,2.2,2.04,2.17
ESP-La Liga,2122,Celta Vigo,Renato Tapia,PER,MF,26.0,29,1412.0,49.0,41.3,15.7,13,78.0,6,16,25.0,2,1.34,11.0,20.0,-9.0,-0.57,-0.98,19.2,15.3,4.0,0.25,0.55
ESP-La Liga,2122,Celta Vigo,Rubén Blanco,ESP,GK,26.0,0,,,,,0,,0,0,,36,,,,,,,,,,,
ESP-La Liga,2122,Celta Vigo,Santi Mina,ESP,FW,25.0,33,2367.0,72.0,69.2,26.3,30,76.0,14,3,25.0,0,1.18,28.0,25.0,3.0,0.11,0.37,25.8,32.3,-6.5,-0.25,-0.58
ESP-La Liga,2122,Celta Vigo,Squad Total,,,28.4,38,3420.0,90.0,100.0,38.0,418,82.0,261,155,21.0,222,1.21,43.0,43.0,0.0,0.0,,44.0,46.6,-2.6,-0.07,
ESP-La Liga,2122,Celta Vigo,Thiago Galhardo,BRA,"FW,MF",32.0,31,1148.0,37.0,33.6,12.8,9,76.0,3,22,21.0,2,1.06,18.0,17.0,1.0,0.08,0.12,20.6,14.1,6.5,0.51,0.87
ESP-La Liga,2122,Celta Vigo,Thomas Carrique,FRA,DF,22.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Cádiz,Alberto Perea,ESP,MF,30.0,18,777.0,43.0,22.7,8.6,8,72.0,3,10,20.0,12,0.61,7.0,16.0,-9.0,-1.04,-0.8,13.0,13.9,-1.0,-0.11,0.24
ESP-La Liga,2122,Cádiz,Alfonso Espino,URU,DF,29.0,37,3329.0,90.0,97.3,37.0,37,90.0,36,0,,0,1.03,35.0,51.0,-16.0,-0.43,-0.43,40.8,52.5,-11.7,-0.32,-0.67
ESP-La Liga,2122,Cádiz,Anthony Lozano,HON,"FW,MF",28.0,31,1672.0,54.0,48.9,18.6,21,71.0,4,10,18.0,2,1.1,21.0,25.0,-4.0,-0.22,0.4,21.6,23.9,-2.3,-0.13,0.34
ESP-La Liga,2122,Cádiz,Cala,ESP,DF,31.0,14,947.0,68.0,27.7,10.5,10,85.0,8,4,25.0,20,0.8,9.0,23.0,-14.0,-1.33,-1.26,8.3,19.2,-10.9,-1.03,-1.02
ESP-La Liga,2122,Cádiz,Carlos Akapo,EQG,DF,28.0,25,1844.0,74.0,53.9,20.5,21,84.0,14,4,21.0,5,1.08,15.0,27.0,-12.0,-0.59,-0.36,21.2,27.9,-6.7,-0.33,-0.06
ESP-La Liga,2122,Cádiz,Chapela,ESP,"MF,FW",22.0,9,398.0,44.0,11.6,4.4,4,64.0,0,5,29.0,11,0.78,4.0,9.0,-5.0,-1.13,-0.8,2.4,8.1,-5.7,-1.29,-1.13
ESP-La Liga,2122,Cádiz,David Gil,ESP,GK,27.0,0,,,,,0,,0,0,,38,,,,,,,,,,,
ESP-La Liga,2122,Cádiz,Fali,ESP,"DF,MF",27.0,28,1803.0,64.0,52.7,20.0,23,74.0,11,5,22.0,5,1.21,20.0,24.0,-4.0,-0.2,0.47,21.8,28.4,-6.6,-0.33,-0.06
ESP-La Liga,2122,Cádiz,Fede San Emeterio,ESP,MF,24.0,12,830.0,69.0,24.3,9.2,10,78.0,2,2,25.0,0,1.42,9.0,10.0,-1.0,-0.11,0.41,8.0,9.7,-1.8,-0.19,0.14
ESP-La Liga,2122,Cádiz,Florin Andone,ROU,FW,28.0,5,176.0,35.0,5.1,2.0,1,66.0,0,4,28.0,14,0.2,1.0,7.0,-6.0,-3.07,-2.79,1.0,5.1,-4.1,-2.11,-1.9
ESP-La Liga,2122,Cádiz,Isaac Carcelen,ESP,"DF,MF",28.0,25,1544.0,62.0,45.1,17.2,17,81.0,9,8,21.0,4,0.96,16.0,22.0,-6.0,-0.35,0.13,18.6,27.3,-8.7,-0.51,-0.38
ESP-La Liga,2122,Cádiz,Iván Alejo,ESP,"MF,FW",26.0,20,1065.0,53.0,31.1,11.8,11,73.0,2,9,29.0,7,1.2,14.0,9.0,5.0,0.42,1.23,12.7,13.6,-1.0,-0.08,0.32
