,,,,Nation,Pos,Age,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Granada,Luís Maximiano,POR,GK,22.0,34.8,55,5,0,8,2,58.3,0.31,5.3,0.15,265,775,34.2,837,145,61.6,47.2,336,77.1,55.7,375,26,6.9,41,1.18,15.9
ESP-La Liga,2122,Granada,Opponent Total,,,27.6,38.0,44,3,0,12,1,41.6,0.3,-1.4,-0.04,239,600,39.8,898,140,45.4,40.3,296,64.9,50.2,339,34,10.0,26,0.68,15.5
ESP-La Liga,2122,Granada,Squad Total,,,28.1,38.0,61,7,0,8,2,62.4,0.3,3.4,0.09,304,864,35.2,925,158,62.3,47.3,373,77.2,55.5,401,28,7.0,48,1.26,15.7
ESP-La Liga,2122,Levante,Aitor Fernández,ESP,GK,30.0,13.0,29,1,0,8,0,24.9,0.29,-4.1,-0.32,73,174,42.0,290,62,46.2,40.2,91,44.0,36.4,111,5,4.5,11,0.85,16.3
ESP-La Liga,2122,Levante,Alejandro Primo,ESP,GK,17.0,1.0,1,0,0,0,0,0.4,0.19,-0.6,-0.62,4,9,44.4,18,0,38.9,32.9,8,25.0,23.1,10,0,0.0,0,0.0,9.0
ESP-La Liga,2122,Levante,Cárdenas,ESP,GK,24.0,24.0,46,4,1,7,0,41.7,0.33,-4.3,-0.18,113,326,34.7,526,83,46.2,40.1,193,43.0,38.7,235,12,5.1,15,0.63,13.9
ESP-La Liga,2122,Levante,Opponent Total,,,27.4,38.0,51,8,0,4,0,53.5,0.31,2.5,0.06,256,654,39.1,955,167,48.2,40.8,288,67.4,50.7,309,33,10.7,37,0.97,15.1
ESP-La Liga,2122,Levante,Rúben Vezo,POR,DF,27.0,26.9,0,0,0,0,0,0.0,,0.0,0.0,2,4,50.0,3,0,100.0,61.7,1,100.0,64.0,2,0,0.0,0,0.0,
ESP-La Liga,2122,Levante,Squad Total,,,28.0,38.0,76,5,1,15,0,66.9,0.31,-9.1,-0.24,192,513,37.4,837,145,46.2,40.1,293,43.0,37.6,358,17,4.7,26,0.68,14.7
ESP-La Liga,2122,Mallorca,Dominik Greif,SVK,GK,24.0,1.0,3,0,1,0,0,1.1,0.19,-1.9,-1.87,2,13,15.4,21,6,42.9,37.8,10,40.0,37.4,8,0,0.0,1,1.0,13.0
ESP-La Liga,2122,Mallorca,Leonardo Román,ESP,GK,21.0,2.0,5,1,0,0,1,3.1,0.19,-0.9,-0.43,12,32,37.5,53,6,47.2,39.7,16,43.8,38.7,21,2,9.5,3,1.5,17.0
ESP-La Liga,2122,Mallorca,Manolo Reina,ESP,GK,36.0,21.0,26,2,0,2,1,24.6,0.3,-0.4,-0.02,145,381,38.1,457,69,58.2,46.1,183,62.8,47.7,219,15,6.8,11,0.52,14.4
ESP-La Liga,2122,Mallorca,Opponent Total,,,27.7,38.0,36,6,0,5,3,40.8,0.27,7.8,0.21,226,573,39.4,907,136,45.1,40.6,262,62.6,48.9,328,26,7.9,28,0.74,15.0
ESP-La Liga,2122,Mallorca,Sergio Rico,ESP,GK,27.0,14.0,29,3,0,4,2,22.4,0.37,-4.6,-0.33,104,213,48.8,268,46,56.3,44.6,91,68.1,51.4,127,6,4.7,4,0.29,12.2
ESP-La Liga,2122,Mallorca,Squad Total,,,27.9,38.0,63,6,1,6,4,51.3,0.31,-7.7,-0.2,263,639,41.2,799,127,56.4,44.9,300,62.7,48.0,375,23,6.1,19,0.5,13.7
ESP-La Liga,2122,Osasuna,Juan Pérez,ESP,GK,25.0,2.0,3,0,0,1,1,0.9,0.23,-1.1,-0.54,8,31,25.8,33,6,69.7,49.6,9,88.9,65.2,12,1,8.3,3,1.5,17.2
ESP-La Liga,2122,Osasuna,Opponent Total,,,27.6,38.0,37,6,1,5,0,35.8,0.26,-1.2,-0.03,235,676,34.8,1000,154,46.6,40.1,325,64.6,50.5,439,39,8.9,20,0.53,13.2
ESP-La Liga,2122,Osasuna,Sergio Herrera,ESP,GK,28.0,36.0,48,4,0,10,1,44.8,0.3,-2.2,-0.06,411,881,46.7,844,75,73.0,53.0,303,87.5,62.4,370,21,5.7,43,1.19,15.6
