,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
201,Gerard Gumbau,es  ESP,MF,Elche,28-023,1994,10.1,480,418,56,21,2,13,48,1,30,16,12,0,376,6,9
202,Gorka Guruzeta,es  ESP,"FW,MF",Athletic Club,26-120,1996,3.7,82,76,6,0,0,0,1,3,0,0,0,0,62,0,8
203,Raúl Guti,es  ESP,MF,Elche,26-011,1996,8.3,251,247,3,3,0,7,2,0,0,0,0,0,209,1,3
204,Miguel Gutiérrez,es  ESP,DF,Girona,21-167,2001,12.1,614,510,103,7,1,0,46,94,2,0,0,0,485,1,11
205,Munir El Haddadi,ma  MAR,"MF,FW",Getafe,27-131,1995,3.1,112,101,8,5,0,0,8,2,1,0,0,0,79,3,6
206,Eden Hazard,be  BEL,FW,Real Madrid,32-003,1991,1.1,69,67,2,0,0,0,0,0,0,0,0,0,62,0,0
207,Luiz Henrique,br  BRA,FW,Betis,22-008,2001,10.2,235,230,5,1,0,3,12,4,0,0,0,0,172,0,13
208,Mario Hermoso,es  ESP,DF,Atlético Madrid,27-206,1995,1.9,121,111,10,4,0,3,0,6,0,0,0,0,106,0,1
209,Aridane Hernández,gq  EQG,DF,Osasuna,33-293,1989,2.6,90,83,7,6,0,1,0,1,0,0,0,0,68,0,1
210,Luis Hernández,es  ESP,DF,Cádiz,33-271,1989,14.0,605,500,104,30,0,10,5,74,0,0,0,0,445,1,3
211,Ander Herrera,es  ESP,MF,Athletic Club,33-149,1989,2.6,141,138,1,1,3,0,1,0,0,0,0,0,126,2,1
212,Sergio Herrera,es  ESP,GK,Osasuna,29-219,1993,10.0,358,238,119,37,0,2,0,0,0,0,0,0,219,1,0
213,Yangel Herrera,ve  VEN,MF,Girona,25-003,1998,7.2,280,275,3,0,3,4,15,0,0,0,0,0,219,2,3
214,Omar El Hilali,ma  MAR,"DF,MF",Espanyol,19-120,2003,1.0,35,28,7,0,0,0,2,7,0,0,0,0,21,0,1
215,Pablo Ibáñez,es  ESP,MF,Osasuna,24-112,1998,0.4,22,22,0,0,0,0,0,0,0,0,0,0,16,0,0
216,Iglesias,es  ESP,DF,Getafe,24-191,1998,12.6,513,379,133,4,0,3,48,129,0,0,0,0,319,1,16
217,Borja Iglesias,es  ESP,FW,Betis,29-358,1993,12.1,234,213,21,0,2,1,0,1,0,0,0,0,170,0,12
218,Asier Illarramendi,es  ESP,MF,Real Sociedad,32-308,1990,2.7,146,140,6,4,0,2,1,2,0,0,0,0,125,0,2
219,Alexander Isak,se  SWE,FW,Real Sociedad,23-111,1999,1.7,30,25,4,0,0,0,2,0,0,0,0,0,17,1,2
220,Isco,es  ESP,"MF,FW",Sevilla,30-264,1992,8.9,417,371,42,25,3,5,18,2,11,2,7,0,346,4,4
221,Nicolas Jackson,sn  SEN,FW,Villarreal,21-204,2001,8.8,145,137,8,0,0,0,4,1,0,0,0,0,104,0,2
222,Adnan Januzaj,be  BEL,FW,Sevilla,27-339,1995,0.5,24,22,1,0,0,0,1,0,1,0,1,0,15,1,3
223,Javi,es  ESP,DF,Girona,24-253,1998,4.1,256,223,32,10,0,2,7,22,0,0,0,0,214,1,7
224,Luis Javier Suárez,co  COL,FW,Almería,25-039,1997,0.6,8,8,0,0,0,0,0,0,0,0,0,0,4,0,0
225,Joaquín,es  ESP,"MF,FW",Betis,41-173,1981,1.8,104,90,14,5,2,0,13,1,8,2,4,0,84,0,3
226,Frenkie de Jong,nl  NED,MF,Barcelona,25-243,1997,11.5,857,821,32,17,7,7,10,7,7,2,2,0,771,4,11
227,Joan Jordán,es  ESP,MF,Sevilla,28-188,1994,9.6,597,567,25,20,2,11,5,1,4,1,2,0,517,5,6
228,Josan,es  ESP,"DF,MF",Elche,33-038,1989,4.4,151,123,28,4,0,0,17,20,4,1,3,0,110,0,0
229,Willian José,br  BRA,FW,Betis,31-048,1991,3.5,131,126,5,0,0,1,3,0,0,0,0,0,105,0,6
230,Joselu,es  ESP,FW,Espanyol,32-289,1990,16.0,378,361,16,0,0,4,7,1,0,0,0,0,225,1,11
231,Juanmi,es  ESP,FW,Betis,29-235,1993,3.6,106,104,2,0,1,2,0,2,0,0,0,0,95,0,3
232,Juanpe,es  ESP,DF,Girona,31-255,1991,6.8,412,381,27,21,0,4,1,1,0,0,0,0,359,4,2
233,Lago Junior,ci  CIV,"FW,MF",Mallorca,32-010,1990,0.6,18,18,0,0,0,0,2,0,0,0,0,0,12,0,1
234,Vinicius Júnior,br  BRA,FW,Real Madrid,22-182,2000,15.6,541,516,23,5,1,4,25,12,4,0,0,0,421,2,28
235,Tino Kadewere,zw  ZIM,MF,Mallorca,27-005,1996,0.2,7,6,1,0,0,0,1,1,0,0,0,0,4,0,0
236,Kaiky,br  BRA,DF,Almería,18-363,2004,5.4,173,159,14,13,0,4,1,1,0,0,0,0,140,0,2
237,Lee Kangin,kr  KOR,"MF,FW",Mallorca,21-325,2001,13.4,432,347,83,27,4,8,84,1,43,15,22,0,306,2,13
238,Jon Karrikaburu,es  ESP,FW,Real Sociedad,20-113,2002,1.0,18,18,0,0,1,0,1,0,0,0,0,0,11,0,0
239,Kenedy,br  BRA,"FW,MF",Valladolid,26-336,1996,0.6,21,21,0,0,0,0,2,0,0,0,0,0,12,0,0
240,Franck Kessié,ci  CIV,MF,Barcelona,26-022,1996,2.8,118,115,2,1,1,2,0,1,0,0,0,0,104,1,2
241,Kike,es  ESP,FW,Osasuna,33-046,1989,5.4,102,97,4,0,0,0,1,1,0,0,0,0,71,1,3
242,Justin Kluivert,nl  NED,"FW,MF",Valencia,23-250,1999,6.4,176,150,23,3,0,1,26,3,17,3,6,0,124,3,5
243,Koke,es  ESP,MF,Atlético Madrid,31-002,1992,9.2,550,525,20,15,3,2,14,3,0,0,0,0,453,5,9
244,Luca Koleosho,ca  CAN,"FW,DF",Espanyol,18-117,2004,0.3,12,12,0,0,0,0,1,0,0,0,0,0,7,0,1
245,Geoffrey Kondogbia,cf  CTA,MF,Atlético Madrid,29-329,1993,9.3,517,504,13,12,0,8,0,1,0,0,0,0,468,0,1
246,Jules Koundé,fr  FRA,DF,Barcelona,24-059,1998,7.5,574,530,43,17,3,6,8,26,0,0,0,0,515,1,6
247,Toni Kroos,de  GER,MF,Real Madrid,33-006,1990,11.5,1144,1034,103,50,1,27,62,8,45,19,15,1,1039,7,5
248,Takefusa Kubo,jp  JPN,"FW,MF",Real Sociedad,21-220,2001,11.0,336,312,20,0,0,3,30,1,18,5,7,1,239,4,18
249,César de la Hoz,es  ESP,MF,Almería,30-286,1992,8.5,271,262,6,6,0,5,1,0,0,0,0,0,222,3,3
250,Luca de la Torre,us  USA,MF,Celta Vigo,24-232,1998,0.9,44,44,0,0,0,0,0,0,0,0,0,0,40,0,0
251,Érik Lamela,ar  ARG,"FW,MF",Sevilla,30-312,1992,11.9,453,430,17,1,1,0,16,4,9,4,2,0,347,6,16
252,Latasa,es  ESP,"FW,DF",Getafe,21-293,2001,0.8,25,24,0,0,0,1,0,0,0,0,0,0,16,1,1
253,Toni Lato,es  ESP,"DF,MF",Valencia,25-050,1997,3.1,208,182,25,5,0,2,15,13,7,2,4,0,175,1,2
254,Lázaro,br  BRA,"MF,FW",Almería,20-304,2002,2.6,85,80,5,0,0,1,5,1,1,1,0,0,68,0,1
255,Robin Le Normand,fr  FRA,DF,Real Sociedad,26-060,1996,11.1,597,568,29,24,0,1,0,2,0,0,0,0,543,0,0
256,Benjamin Lecomte,fr  FRA,GK,Espanyol,31-259,1991,10.0,275,149,123,43,0,2,0,0,0,0,0,0,179,3,0
257,Jeremías Ledesma,ar  ARG,GK,Cádiz,29-331,1993,16.0,516,317,196,64,0,1,0,0,0,0,0,0,277,3,0
258,Florian Lejeune,fr  FRA,DF,Rayo Vallecano,31-235,1991,12.5,620,590,28,27,0,21,1,1,0,0,0,0,503,2,5
259,Iñigo Lekue,es  ESP,DF,Athletic Club,29-251,1993,10.5,604,507,95,12,0,3,27,82,1,0,0,0,474,2,11
260,Thomas Lemar,fr  FRA,MF,Atlético Madrid,27-059,1995,4.8,292,273,18,6,2,4,22,1,10,4,5,0,247,1,5
261,Sergio León,es  ESP,FW,Valladolid,34-004,1989,7.8,97,80,15,0,0,4,4,0,0,0,0,0,62,2,2
262,Robert Lewandowski,pl  POL,FW,Barcelona,34-142,1988,12.8,314,306,3,0,4,3,9,0,0,0,0,0,243,5,10
263,Pol Lirola,es  ESP,DF,Elche,25-150,1997,6.1,286,233,53,4,0,3,29,49,0,0,0,0,206,0,10
264,Javier Llabrés,es  ESP,FW,Mallorca,20-121,2002,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
265,Marcos Llorente,es  ESP,"DF,MF",Atlético Madrid,27-345,1995,9.4,393,351,41,0,1,3,23,41,0,0,0,0,319,1,12
266,Giovani Lo Celso,ar  ARG,"MF,FW",Villarreal,26-276,1996,5.8,267,252,14,3,1,3,5,3,7,2,0,0,222,1,7
267,David López,es  ESP,"DF,MF",Girona,33-093,1989,9.7,566,539,24,18,0,4,0,2,0,0,0,0,508,3,3
268,Diego López,es  ESP,GK,Rayo Vallecano,41-068,1981,1.0,29,21,8,0,0,0,0,0,0,0,0,0,22,0,0
269,Unai López,es  ESP,MF,Rayo Vallecano,27-072,1995,7.2,486,439,43,19,0,11,27,4,16,6,5,1,399,4,6
270,Anthony Lozano,hn  HON,FW,Cádiz,29-260,1993,9.8,163,158,5,0,0,1,4,0,0,0,0,0,111,0,7
271,Pol Lozano,es  ESP,MF,Espanyol,23-096,1999,0.2,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0
272,José Luis Gayà,es  ESP,DF,Valencia,27-230,1995,11.6,784,600,180,36,1,10,99,113,31,5,22,0,602,4,14
273,José Luis Morales,es  ESP,FW,Villarreal,35-171,1987,5.0,89,80,8,0,0,0,2,2,0,0,0,0,57,1,8
274,Andriy Lunin,ua  UKR,GK,Real Madrid,23-333,1999,4.0,130,103,27,3,0,1,0,0,0,0,0,0,118,0,1
275,Awer Mabil,au  AUS,"MF,FW",Cádiz,27-117,1995,1.8,54,48,6,3,0,0,9,1,2,1,1,0,34,0,4
276,Pablo Maffeo,es  ESP,DF,Mallorca,25-182,1997,12.6,486,372,112,3,0,3,42,109,0,0,0,0,345,2,12
277,Jon Magunacelaya,es  ESP,"MF,FW",Real Sociedad,22-181,2000,0.7,16,15,1,1,0,0,2,0,0,0,0,0,8,0,1
278,Nemanja Maksimović,rs  SRB,MF,Getafe,27-349,1995,7.9,194,186,8,0,0,0,4,0,1,0,0,0,158,0,1
279,Hugo Mallo,es  ESP,DF,Celta Vigo,31-202,1991,11.6,650,540,106,12,0,2,37,94,0,0,0,0,497,4,16
280,Mickael Malsa,mq  MTQ,MF,Valladolid,27-090,1995,0.4,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1
281,Giorgi Mamardashvili,ge  GEO,GK,Valencia,22-103,2000,16.0,483,361,120,43,0,2,0,0,0,0,0,0,379,2,1
282,Reinildo Mandava,mz  MOZ,DF,Atlético Madrid,28-354,1994,14.7,786,705,80,21,0,2,11,59,0,0,0,0,674,1,10
283,Aïssa Mandi,dz  ALG,DF,Villarreal,31-080,1991,2.9,176,148,27,10,0,1,1,15,0,0,0,0,158,1,0
284,Maranhão,br  BRA,"FW,MF",Valencia,26-082,1996,4.1,45,39,6,0,1,1,0,0,0,0,0,0,30,0,1
285,Marcão,br  BRA,DF,Sevilla,26-219,1996,4.0,211,204,6,5,0,3,0,0,0,0,0,0,184,1,2
286,Agustín Marchesín,ar  ARG,GK,Celta Vigo,34-300,1988,16.0,526,364,159,43,0,1,0,0,0,0,0,0,368,3,0
287,Óscar de Marcos,es  ESP,DF,Athletic Club,33-271,1989,14.0,862,699,158,16,0,6,56,142,0,0,0,0,678,5,21
288,José Mari,es  ESP,MF,Cádiz,35-035,1987,3.6,152,145,6,6,0,5,1,0,0,0,0,0,125,1,2
289,José María Giménez,uy  URU,DF,Atlético Madrid,27-355,1995,10.2,493,466,27,24,0,11,0,2,0,0,0,0,429,0,4
290,Mariano,do  DOM,FW,Real Madrid,29-162,1993,0.3,7,7,0,0,0,1,0,0,0,0,0,0,4,0,0
291,Pablo Marín,es  ESP,"MF,FW",Real Sociedad,19-191,2003,1.4,78,77,0,0,0,0,2,0,0,0,0,0,61,1,1
292,Roger Martí,es  ESP,"FW,MF",Elche,32-007,1991,6.4,140,128,10,0,0,0,5,0,0,0,0,0,102,2,8
293,Ander Martin,es  ESP,"MF,FW",Real Sociedad,22-055,2000,0.2,7,6,1,1,0,0,1,0,0,0,0,0,4,0,0
294,Andrés Martín,es  ESP,MF,Rayo Vallecano,23-183,1999,0.0,10,8,2,0,0,0,5,0,2,2,0,0,3,0,0
295,Iván Martín,es  ESP,MF,Girona,23-330,1999,2.8,91,86,5,0,0,0,2,0,0,0,0,0,73,0,4
296,Arnau Martinez,es  ESP,DF,Girona,19-260,2003,11.0,592,477,113,10,0,1,27,103,0,0,0,0,479,2,14
297,Iñigo Martínez,es  ESP,DF,Athletic Club,31-238,1991,9.0,507,473,32,26,0,21,2,1,0,0,0,0,431,2,3
298,Roger Martínez,es  ESP,DF,Espanyol,18-280,2004,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
299,Omar Mascarell,es  ESP,MF,Elche,29-342,1993,13.3,607,573,33,23,0,9,10,2,5,0,3,0,516,1,7
300,Jordi Masip,es  ESP,GK,Valladolid,34-007,1989,11.0,408,275,133,30,0,0,0,0,0,0,0,0,282,0,0
301,Jaime Mata,es  ESP,FW,Getafe,34-078,1988,0.5,15,14,1,0,0,0,0,0,0,0,0,0,11,0,1
302,Borja Mayoral,es  ESP,FW,Getafe,25-280,1997,14.2,345,321,24,0,1,5,12,2,1,0,0,0,250,0,17
303,Mamadou Mbaye,sn  SEN,DF,Cádiz,24-196,1998,2.3,72,70,1,1,0,0,0,0,0,0,0,0,53,1,1
304,Gonzalo Melero,es  ESP,MF,Almería,29-008,1994,7.8,285,281,2,2,0,2,0,0,0,0,0,0,252,2,2
305,Memphis,nl  NED,FW,Barcelona,28-331,1994,1.3,66,60,6,1,1,0,4,0,4,0,2,0,53,0,1
306,Houboulang Mendes,fr  FRA,DF,Almería,24-251,1998,6.4,222,160,61,3,0,0,19,58,0,0,0,0,159,1,6
307,Brais Méndez,es  ESP,MF,Real Sociedad,26-003,1997,13.3,704,623,78,24,4,10,59,3,50,16,20,0,558,3,14
308,Diego Méndez,es  ESP,MF,Rayo Vallecano,19-134,2003,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
309,Ferland Mendy,fr  FRA,DF,Real Madrid,27-216,1995,11.5,663,589,73,13,0,2,6,60,0,0,0,0,610,1,3
310,Mikel Merino,es  ESP,MF,Real Sociedad,26-202,1996,13.3,708,686,17,15,6,7,11,1,1,0,0,0,537,5,17
311,Roque Mesa,es  ESP,MF,Valladolid,33-217,1989,10.9,551,524,24,24,3,15,9,0,0,0,0,0,457,3,7
312,Éder Militão,br  BRA,DF,Real Madrid,24-357,1998,11.1,613,568,45,17,0,15,5,12,0,0,0,0,532,0,8
313,Luis Milla,es  ESP,MF,Getafe,28-095,1994,9.2,488,426,60,36,1,7,37,0,23,6,15,0,390,2,6
314,Pere Milla,es  ESP,"FW,MF",Elche,30-109,1992,10.6,366,352,13,4,2,4,11,4,1,0,0,0,262,1,15
315,Marko Milovanović,rs  SRB,FW,Almería,19-159,2003,0.2,9,8,1,0,0,0,0,0,0,0,0,0,4,0,1
316,Óscar Mingueza,es  ESP,DF,Celta Vigo,23-242,1999,7.2,457,367,90,16,1,1,15,74,0,0,0,0,361,0,10
317,Rafa Mir,es  ESP,"FW,MF",Sevilla,25-206,1997,7.1,116,99,15,0,0,0,5,0,0,0,0,0,78,2,4
318,Juan Miranda,es  ESP,DF,Betis,22-356,2000,1.0,51,41,10,4,0,1,7,6,0,0,0,0,35,0,1
319,Stefan Mitrović,rs  SRB,DF,Getafe,32-233,1990,11.6,354,329,23,23,0,2,0,0,0,0,0,0,291,2,0
320,Luka Modrić,hr  CRO,MF,Real Madrid,37-123,1985,11.1,843,790,51,21,6,12,28,5,22,7,9,0,740,2,13
321,Nahuel Molina,ar  ARG,DF,Atlético Madrid,24-279,1998,11.3,670,543,126,5,1,0,52,116,5,3,2,0,478,1,15
322,Jon Moncayola,es  ESP,MF,Osasuna,24-242,1998,11.7,529,500,26,21,1,16,14,1,3,2,1,0,432,3,7
323,Monchu,es  ESP,MF,Valladolid,23-119,1999,9.2,443,369,68,41,3,8,39,0,27,6,15,0,347,6,3
324,César Montes,mx  MEX,MF,Espanyol,25-320,1997,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
325,Gonzalo Montiel,ar  ARG,DF,Sevilla,26-009,1997,6.5,349,303,46,3,2,2,22,43,0,0,0,0,271,0,8
326,Martín Montoya,es  ESP,DF,Betis,31-271,1991,2.0,112,90,22,4,0,2,6,18,0,0,0,0,84,0,2
327,Álvaro Morata,es  ESP,FW,Atlético Madrid,30-079,1992,10.7,209,203,5,0,2,4,3,0,0,0,0,0,132,1,2
328,Jon Morcillo,es  ESP,"FW,MF",Athletic Club,24-117,1998,0.6,40,39,0,0,0,0,6,0,0,0,0,0,30,1,0
329,Alberto Moreno,es  ESP,"DF,FW",Villarreal,30-189,1992,5.7,275,232,43,7,0,3,18,32,4,1,3,0,224,0,6
330,Álex Moreno,es  ESP,DF,Betis,29-216,1993,15.0,695,541,153,13,0,5,28,140,0,0,0,0,525,1,25
331,Diego Moreno,es  ESP,DF,Osasuna,21-203,2001,1.0,38,21,17,0,0,0,1,17,0,0,0,0,23,0,3
332,Gerard Moreno,es  ESP,FW,Villarreal,30-278,1992,6.2,196,188,5,0,2,1,4,1,0,0,0,0,137,3,10
333,Tete Morente,es  ESP,"MF,DF",Elche,26-037,1996,8.8,290,257,33,7,0,0,29,21,5,2,1,0,220,0,14
334,Ilaix Moriba,gn  GUI,MF,Valencia,19-356,2003,4.6,164,161,1,1,2,1,0,0,0,0,0,0,136,2,1
335,Manu Morlanes,es  ESP,MF,Villarreal,23-363,1999,1.6,42,38,3,3,0,0,0,0,0,0,0,0,32,1,2
336,Loren Morón,es  ESP,FW,Betis,29-011,1993,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
337,Cristhian Mosquera,co  COL,DF,Valencia,18-197,2004,0.6,17,16,1,0,0,0,0,0,0,0,0,0,16,0,0
338,Abdul Mumin,gh  GHA,DF,Rayo Vallecano,24-218,1998,2.1,110,107,3,3,0,0,0,0,0,0,0,0,89,0,0
339,Iker Muniain,es  ESP,"MF,FW",Athletic Club,30-022,1992,9.3,575,496,76,31,3,1,52,4,36,3,24,0,466,3,5
340,Aihen Muñoz,es  ESP,DF,Real Sociedad,25-147,1997,7.4,368,303,63,6,0,0,17,57,0,0,0,0,302,2,6
341,Pablo Muñoz,es  ESP,MF,Rayo Vallecano,19-128,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
342,Vedat Muriqi,xk  KVX,FW,Mallorca,28-261,1994,13.4,342,340,2,0,2,0,7,0,0,0,0,0,201,0,10
343,Yunus Musah,us  USA,MF,Valencia,20-042,2002,11.0,407,403,4,3,3,9,13,1,0,0,0,0,329,0,9
344,Nacho,es  ESP,DF,Real Madrid,32-357,1990,1.6,109,102,7,3,0,0,0,4,0,0,0,0,106,0,0
345,Juanjo Narváez,co  COL,"MF,FW",Valladolid,27-332,1995,1.6,36,35,0,0,0,0,1,0,0,0,0,0,25,1,2
346,Matija Nastasić,rs  SRB,DF,Mallorca,29-288,1993,3.4,96,90,5,4,0,1,0,1,0,0,0,0,76,1,2
347,Roberto Navarro,es  ESP,"MF,FW",Real Sociedad,20-273,2002,2.0,77,70,7,1,0,1,7,0,6,2,2,0,57,0,5
348,Jesús Navas,es  ESP,"DF,FW",Sevilla,37-050,1985,9.0,596,509,84,11,0,9,54,73,0,0,0,0,460,3,20
349,Álvaro Negredo,es  ESP,FW,Cádiz,37-143,1985,5.2,106,95,11,0,2,2,0,0,0,0,0,0,62,0,2
350,Tanguy Nianzou,fr  FRA,DF,Sevilla,20-217,2002,8.1,416,403,12,10,0,0,0,1,0,0,0,0,372,1,2
351,Saúl Ñíguez,es  ESP,"MF,DF",Atlético Madrid,28-050,1994,5.3,242,221,20,2,0,1,10,17,0,0,0,0,181,1,6
352,Diego Noguerol,es  ESP,"FW,DF",Valencia,20-242,2002,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
353,Randy Ntekja,fr  FRA,"FW,MF",Rayo Vallecano,25-035,1997,0.9,52,51,0,0,1,0,0,0,0,0,0,0,38,1,2
354,Unai Núñez,es  ESP,DF,Celta Vigo,25-345,1997,15.0,848,826,21,21,0,14,1,0,0,0,0,0,745,1,2
355,Jan Oblak,si  SVN,GK,Atlético Madrid,30-003,1993,13.7,364,233,129,34,0,0,0,0,0,0,0,0,237,2,0
356,Brian Ocampo,uy  URU,"MF,FW",Cádiz,23-199,1999,7.8,197,185,9,1,0,2,17,2,6,3,1,0,141,3,4
357,Lucas Ocampos,ar  ARG,"FW,MF",Sevilla,28-183,1994,1.5,51,48,3,0,0,0,0,3,0,0,0,0,43,0,1
358,Lucas Olaza,uy  URU,DF,Valladolid,28-173,1994,7.1,378,272,105,15,0,1,41,79,11,1,10,0,295,1,7
359,Brian Oliván,es  ESP,DF,Espanyol,28-284,1994,15.3,646,513,131,7,0,7,76,119,5,2,1,0,406,2,18
360,Lucas Oliveira Rosa,br  BRA,DF,Valladolid,22-282,2000,4.6,163,119,44,3,0,0,10,41,0,0,0,0,113,0,5
361,Aimar Oroz,es  ESP,"FW,MF",Osasuna,21-044,2001,9.5,313,296,14,3,0,2,4,0,0,0,0,0,239,3,9
362,Pedro Ortiz,es  ESP,MF,Sevilla,22-144,2000,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
363,Mikel Oyarzabal,es  ESP,FW,Real Sociedad,25-264,1997,0.3,15,15,0,0,0,1,0,0,0,0,0,0,12,0,0
364,Cenk Özkacar,tr  TUR,DF,Valencia,22-096,2000,2.7,192,188,2,2,0,6,0,0,0,0,0,0,167,2,1
365,Fernando Pacheco,es  ESP,GK,Almería,30-237,1992,1.0,31,22,8,4,0,0,0,0,0,0,0,0,20,1,0
366,Jon Pacheco,es  ESP,DF,Real Sociedad,22-002,2001,7.5,500,478,20,13,0,2,0,2,0,0,0,0,454,2,3
367,Gonçalo Paciência,pt  POR,"FW,MF",Celta Vigo,28-162,1994,4.2,78,75,2,0,1,1,2,1,0,0,0,0,44,1,6
368,Helibelton Palacios,co  COL,DF,Elche,29-213,1993,9.7,377,312,65,7,0,1,8,58,0,0,0,0,297,0,10
369,Isaac Palazón Camacho,es  ESP,"FW,MF",Rayo Vallecano,28-014,1994,12.9,564,478,79,28,3,7,71,5,46,22,14,0,421,7,7
370,Aitor Paredes,es  ESP,DF,Athletic Club,22-256,2000,0.3,15,14,1,1,0,2,0,0,0,0,0,0,14,0,0
371,Daniel Parejo,es  ESP,MF,Villarreal,33-269,1989,15.6,1028,892,131,60,5,11,74,4,67,24,24,1,869,5,11
372,Moises Parra Gutierrez,es  ESP,FW,Getafe,20-200,2002,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
373,Raúl Parra,es  ESP,DF,Cádiz,23-045,1999,0.3,5,4,1,0,0,0,0,1,0,0,0,0,2,0,0
374,Javier Pastore,ar  ARG,MF,Elche,33-204,1989,0.1,8,7,0,0,0,0,0,0,0,0,0,0,6,1,0
375,Gabriel Paulista,br  BRA,DF,Valencia,32-045,1990,6.4,384,350,33,15,0,7,0,1,0,0,0,0,338,1,2
376,Alfonso Pedraza,es  ESP,DF,Villarreal,26-276,1996,9.3,393,312,80,4,0,1,35,76,0,0,0,0,299,1,22
377,Pedri,es  ESP,"MF,FW",Barcelona,20-046,2002,13.4,874,834,37,13,15,21,7,8,4,0,3,0,784,3,10
378,Rubén Peña,es  ESP,"DF,MF",Osasuna,31-176,1991,7.3,291,246,44,1,0,1,28,43,0,0,0,0,204,1,9
379,Alberto Perea,es  ESP,MF,Cádiz,32-022,1990,0.5,12,12,0,0,0,0,1,0,0,0,0,0,10,0,0
380,Carles Pérez,es  ESP,"FW,MF",Celta Vigo,24-328,1998,6.9,186,182,4,1,0,1,8,0,2,2,0,0,160,0,2
381,Francisco Perez,es  ESP,"FW,DF",Valencia,20-123,2002,0.2,14,13,1,0,0,0,1,1,0,0,0,0,12,0,0
382,Kike Pérez,es  ESP,MF,Valladolid,25-330,1997,11.5,583,525,52,27,3,14,33,12,12,6,5,0,447,6,16
383,Lucas Pérez,es  ESP,FW,Cádiz,34-122,1988,7.0,236,184,49,10,0,2,40,1,23,15,6,0,169,3,4
384,Luis Pérez,es  ESP,DF,Valladolid,27-340,1995,4.7,183,147,34,1,1,0,11,33,0,0,0,0,144,2,7
385,Germán Pezzella,ar  ARG,DF,Betis,31-197,1991,11.1,532,512,18,18,1,2,2,0,0,0,0,0,462,2,3
386,Yeremi Pino,es  ESP,"MF,FW",Villarreal,20-082,2002,9.4,288,283,3,0,0,0,12,2,1,0,0,0,221,2,11
387,Gerard Piqué,es  ESP,DF,Barcelona,35-342,1987,4.3,385,372,11,6,0,6,0,0,0,0,0,0,353,2,2
388,Óscar Plano,es  ESP,"FW,MF",Valladolid,31-333,1991,11.1,300,293,5,2,3,0,11,1,0,0,0,0,226,2,7
389,Gonzalo Plata,ec  ECU,"FW,MF",Valladolid,22-070,2000,7.6,232,224,7,0,1,0,7,7,0,0,0,0,182,1,12
390,Ezequiel Ponce,ar  ARG,FW,Elche,25-287,1997,6.0,127,121,4,0,1,1,1,0,0,0,0,0,91,2,4
391,Francisco Portillo,es  ESP,"MF,FW",Almería,32-211,1990,2.5,161,151,9,3,2,0,4,3,3,0,1,0,131,1,3
392,Portu,es  ESP,"MF,DF",Getafe,30-234,1992,5.5,188,164,22,2,0,1,25,19,1,1,0,0,134,2,11
393,José Pozo,es  ESP,MF,Rayo Vallecano,26-301,1996,0.8,39,36,3,3,1,0,3,0,0,0,0,0,29,0,1
394,Alejandro Pozo Pozo,es  ESP,DF,Almería,23-322,1999,7.6,439,364,73,3,0,3,29,70,0,0,0,0,320,2,11
395,Abdón Prats,es  ESP,"FW,MF",Mallorca,30-034,1992,1.6,37,33,4,0,0,1,0,0,0,0,0,0,28,0,0
396,Javi Puado,es  ESP,"FW,MF",Espanyol,24-230,1998,9.2,194,192,2,0,0,1,7,0,0,0,0,0,155,0,4
397,Arnau Puigmal,es  ESP,"MF,DF",Almería,22-000,2001,2.7,115,91,23,2,1,0,7,16,5,0,2,0,84,1,2
398,Domingos Quina,pt  POR,MF,Elche,23-053,1999,3.1,147,137,9,4,2,0,6,4,1,0,0,0,122,1,3
399,Antonio Raillo,es  ESP,DF,Mallorca,31-094,1991,15.0,548,508,39,36,0,0,0,2,0,0,0,0,476,1,4
400,Predrag Rajković,rs  SRB,GK,Mallorca,27-071,1995,16.0,543,340,202,53,0,2,0,0,0,0,0,0,337,1,0
401,Ivan Rakitić,hr  CRO,MF,Sevilla,34-306,1988,6.6,460,430,29,18,1,11,12,8,3,0,3,0,378,1,8
402,Largie Ramazani,be  BEL,"FW,MF",Almería,21-317,2001,10.3,210,191,14,1,2,1,11,3,1,1,0,0,140,5,13
403,Raphinha,br  BRA,FW,Barcelona,26-027,1996,7.2,425,360,61,9,4,12,54,10,42,15,12,1,315,4,13
