,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Starts,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
100,Sergio Canales,es  ESP,"FW,MF",Betis,32-004,1991,19,1500,79,75.8,16.7,17,84,11,2,38,0,1.63,22,20,+2,+0.12,-0.63,22.4,23.1,-0.7,-0.04,-0.81
101,Lucas Cañizars,es  ESP,GK,Real Madrid,20-286,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
102,Ander Capa,es  ESP,"MF,FW",Athletic Club,31-012,1992,2,8,4,0.4,0.1,0,,0,2,4,17,3.00,0,0,0,0.00,-0.37,0.1,0.3,-0.1,-1.14,-1.61
103,Étienne Capoue,fr  FRA,MF,Villarreal,34-224,1988,17,1352,80,68.3,15.0,16,83,8,1,27,0,1.29,14,16,-2,-0.13,-0.71,20.3,18.4,+1.9,+0.12,+0.22
104,Isaac Carcelen,es  ESP,DF,Cádiz,29-303,1993,15,1147,76,57.9,12.7,13,80,8,2,52,2,1.20,10,11,-1,-0.08,+1.76,13.1,17.2,-4.0,-0.32,+1.03
105,Carlo,es  ESP,MF,Villarreal,22-008,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
106,Juan Carlos,es  ESP,GK,Girona,35-031,1988,10,900,90,45.5,10.0,10,90,10,0,,12,0.80,14,18,-4,-0.40,-0.73,13.3,12.9,+0.3,+0.03,-0.19
107,Yannick Carrasco,be  BEL,"MF,DF",Atlético Madrid,29-169,1993,20,1085,54,54.8,12.1,11,69,1,9,36,1,1.85,12,13,-1,-0.08,-1.59,17.2,15.8,+1.4,+0.12,-0.64
108,Coke Carrillo,es  ESP,GK,Celta Vigo,21-044,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
109,Dani Carvajal,es  ESP,DF,Real Madrid,31-040,1992,17,1158,68,58.5,12.9,13,82,4,4,24,1,2.41,30,11,+19,+1.48,+0.38,28.1,11.2,+17.0,+1.32,+0.23
110,William Carvalho,pt  POR,MF,Betis,30-319,1992,19,1436,76,72.5,16.0,18,79,10,1,21,0,1.79,21,9,+12,+0.75,+1.74,23.2,15.4,+7.8,+0.48,+1.25
111,Marc Casado,es  ESP,MF,Barcelona,19-159,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
112,Casemiro,br  BRA,MF,Real Madrid,30-362,1992,1,8,8,0.4,0.1,0,,0,1,8,0,3.00,0,0,0,0.00,-1.32,0.0,0.3,-0.3,-3.45,-4.69
113,Kiko Casilla,es  ESP,GK,Getafe,36-141,1986,0,,,,,0,,0,0,,20,,,,,,,,,,,
114,Valentín Castellanos,ar  ARG,FW,Girona,24-140,1998,21,1583,75,79.9,17.6,20,78,5,1,27,0,1.14,22,27,-5,-0.28,-1.42,21.1,20.8,+0.3,+0.01,-0.61
115,Samu Castillejo,es  ESP,FW,Valencia,28-033,1995,16,960,60,50.8,10.7,13,71,3,3,13,1,0.94,11,11,0,0.00,0.00,11.9,11.6,+0.3,+0.03,-0.11
116,Catena,es  ESP,DF,Rayo Vallecano,28-115,1994,21,1890,90,95.5,21.0,21,90,21,0,,0,1.57,27,22,+5,+0.24,+0.24,26.0,24.8,+1.1,+0.05,+1.35
117,Edinson Cavani,uy  URU,FW,Valencia,36-006,1987,14,945,68,50.0,10.5,14,68,3,0,,0,0.71,11,11,0,0.00,0.00,12.4,13.7,-1.2,-0.12,-0.41
118,Dani Ceballos,es  ESP,MF,Real Madrid,26-197,1996,15,698,47,35.3,7.8,9,71,1,6,10,3,2.53,10,3,+7,+0.90,-0.64,14.4,4.4,+10.0,+1.29,+0.10
119,Álex Centelles,es  ESP,DF,Almería,25-104,1997,1,11,11,0.6,0.1,0,,0,1,11,10,0.50,2,1,+1,+8.18,+8.82,0.7,0.1,+0.6,+5.00,+5.48
120,Franco Cervi,ar  ARG,MF,Celta Vigo,28-270,1994,21,1328,63,67.1,14.8,16,78,4,5,17,0,1.00,14,26,-12,-0.81,-0.95,16.7,16.2,+0.5,+0.04,+0.08
121,Pep Chavarría,es  ESP,"FW,DF",Rayo Vallecano,24-316,1998,8,103,13,5.2,1.1,0,,0,8,13,10,1.88,3,1,+2,+1.75,+1.60,2.8,1.3,+1.4,+1.25,+1.33
122,Pape Cheikh Diop,sn  SEN,MF,Elche,25-196,1997,1,33,33,1.7,0.4,0,,0,1,33,1,0.00,0,1,-1,-2.73,-1.39,0.1,1.1,-1.0,-2.69,-1.52
123,Andreas Christensen,dk  DEN,DF,Barcelona,26-316,1996,12,903,75,45.6,10.0,11,82,8,1,6,4,2.67,17,4,+13,+1.30,-0.79,15.7,9.6,+6.0,+0.60,-1.20
124,Samuel Chukwueze,ng  NGA,"FW,MF",Villarreal,23-274,1999,21,1129,54,57.0,12.5,12,75,4,9,26,1,1.48,15,16,-1,-0.08,-0.40,16.7,17.2,-0.5,-0.04,-0.23
125,Víctor Chust,es  ESP,DF,Cádiz,22-352,2000,11,851,77,43.0,9.5,9,83,8,2,53,1,0.91,7,19,-12,-1.27,-0.79,6.4,17.7,-11.3,-1.19,-0.78
126,Pathé Ciss,sn  SEN,"MF,DF",Rayo Vallecano,28-341,1994,20,944,47,47.7,10.5,9,82,6,11,19,2,1.65,8,15,-7,-0.67,-1.71,10.3,15.8,-5.5,-0.52,-0.98
127,Carlos Clerc,es  ESP,"DF,MF",Elche,30-364,1992,17,1352,80,68.3,15.0,16,83,11,1,22,5,0.47,11,31,-20,-1.33,+0.10,13.6,31.4,-17.8,-1.18,+0.03
128,Manu Cocca,ar  ARG,DF,Elche,20-104,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
129,Álex Collado,es  ESP,MF,Elche,23-304,1999,9,536,60,27.1,6.0,8,64,2,1,22,6,0.33,4,15,-11,-1.85,-0.66,4.2,11.4,-7.2,-1.21,-0.02
130,Diego Collado,es  ESP,FW,Villarreal,22-042,2001,2,6,3,0.3,0.1,0,,0,2,3,1,1.50,1,0,+1,+15.00,+14.95,1.6,0.1,+1.5,+22.48,+22.49
131,Eray Cömert,ch  SUI,DF,Valencia,25-016,1998,17,1337,79,70.7,14.9,15,87,13,2,17,2,1.12,20,16,+4,+0.27,+0.92,21.0,18.0,+3.0,+0.20,+0.40
132,Santi Comesaña,es  ESP,MF,Rayo Vallecano,26-138,1996,20,1271,64,64.2,14.1,14,75,1,6,36,0,1.50,23,11,+12,+0.85,+1.74,18.9,15.8,+3.1,+0.22,+0.62
133,Diego Conde,es  ESP,GK,Getafe,24-115,1998,0,,,,,0,,0,0,,21,,,,,,,,,,,
134,Martín Conde,es  ESP,DF,Celta Vigo,19-332,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
