,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,TO_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,TO_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
136,Youba Diarra,ml  MLI,MF,Cádiz,25-029,1998,0.6,3,5.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
137,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,29-118,1993,28.0,3,0.11,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
138,Malcom Abdulai Ares Djalo,es  ESP,FW,Athletic Club,21-192,2001,0.1,3,54.00,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
139,Djené,tg  TOG,DF,Getafe,31-112,1991,25.1,24,0.96,18,1,1,1,3,0,5,0.20,5,0,0,0,0,0
140,Marko Dmitrović,rs  SRB,GK,Sevilla,31-088,1992,6.1,1,0.16,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
141,Matt Doherty,ie  IRL,DF,Atlético Madrid,31-096,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
142,Kasper Dolberg,dk  DEN,FW,Sevilla,25-198,1997,2.2,1,0.45,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
143,Carlos Dominguez,es  ESP,DF,Celta Vigo,22-070,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
144,John Donald,es  ESP,"MF,DF",Elche,22-235,2000,3.6,3,0.83,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
145,Domingos Duarte,pt  POR,DF,Getafe,28-043,1995,26.4,11,0.42,9,0,0,2,0,0,3,0.11,2,0,0,1,0,0
146,Pablo Durán,es  ESP,"MF,DF",Celta Vigo,22-087,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
147,Hugo Duro,es  ESP,FW,Valencia,23-163,1999,12.3,18,1.46,14,0,2,0,2,0,1,0.08,1,0,0,0,0,0
148,Íñigo Eguaras,es  ESP,MF,Almería,31-046,1992,9.4,23,2.45,20,0,0,1,1,1,2,0.21,2,0,0,0,0,0
149,Aritz Elustondo,es  ESP,DF,Real Sociedad,29-025,1994,12.0,9,0.75,5,2,0,2,0,0,2,0.17,0,1,0,1,0,0
150,Rodrigo Ely,br  BRA,DF,Almería,29-170,1993,27.1,13,0.48,6,1,1,5,0,0,0,0.00,0,0,0,0,0,0
151,Youssef En-Nesyri,ma  MAR,FW,Sevilla,25-325,1997,14.5,26,1.79,15,1,2,6,2,0,4,0.28,2,0,1,1,0,0
