,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
190,Sergi Gómez,es  ESP,DF,Espanyol,30-320,1992,12.5,1,1,0,6,4,0,2,15,6,0,0,0,61,15,19,44.1
191,Diego González,es  ESP,DF,Elche,28-014,1995,8.1,3,0,0,14,5,0,1,5,6,0,0,0,34,15,5,75.0
192,Édgar González,es  ESP,DF,Betis,25-316,1997,11.7,4,1,1,13,8,0,0,14,11,0,0,0,53,32,16,66.7
193,Giovanni González,uy  URU,DF,Mallorca,28-144,1994,5.8,3,0,0,8,11,0,13,5,4,0,0,0,23,8,7,53.3
194,Nicolás González,es  ESP,MF,Valencia,21-039,2002,6.6,1,0,0,14,5,0,1,7,5,0,1,1,45,10,9,52.6
195,Roberto González,es  ESP,"FW,MF",Betis,22-036,2001,0.6,1,0,0,1,4,0,5,1,0,0,0,0,0,0,0,
196,Andoni Gorosabel,es  ESP,DF,Real Sociedad,26-191,1996,8.2,2,0,0,7,7,0,17,7,7,0,0,0,31,5,14,26.3
197,José Gragera,es  ESP,MF,Espanyol,22-073,2000,0.3,0,0,0,1,1,0,0,1,1,0,0,0,0,1,2,33.3
198,Ivo Grbić,hr  CRO,GK,Atlético Madrid,27-024,1996,2.3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
199,Clément Grenier,fr  FRA,MF,Mallorca,32-035,1991,6.6,7,0,0,19,13,0,25,6,8,0,0,0,36,3,7,30.0
200,Antoine Griezmann,fr  FRA,"FW,MF",Atlético Madrid,31-327,1991,14.1,0,0,0,12,21,5,82,11,16,0,0,0,79,13,16,44.8
201,Andrés Guardado,mx  MEX,"MF,FW",Betis,36-136,1986,6.7,3,0,0,9,5,0,7,9,10,0,0,0,50,6,13,31.6
202,Nemanja Gudelj,rs  SRB,"DF,MF",Sevilla,31-087,1991,16.8,4,0,0,11,14,0,0,13,17,0,0,0,53,24,10,70.6
203,Ander Guevara,es  ESP,MF,Real Sociedad,25-219,1997,1.5,1,0,0,2,3,0,0,1,0,0,0,0,5,2,2,50.0
204,Pape Gueye,sn  SEN,MF,Sevilla,24-018,1999,0.9,0,0,0,2,3,0,0,1,4,0,0,0,1,1,0,100.0
205,Hugo Guillamón,es  ESP,MF,Valencia,23-011,2000,12.7,5,0,0,25,28,0,25,12,5,0,1,1,70,13,12,52.0
206,Gerard Gumbau,es  ESP,MF,Elche,28-055,1994,14.0,6,0,0,28,9,0,65,12,14,0,0,0,77,10,12,45.5
207,Gorka Guruzeta,es  ESP,"FW,MF",Athletic Club,26-152,1996,5.7,1,0,0,11,4,12,1,3,6,0,0,0,14,10,15,40.0
208,Raúl Guti,es  ESP,MF,Elche,26-043,1996,8.5,1,0,0,7,16,0,4,7,8,0,0,0,44,3,3,50.0
209,Miguel Gutiérrez,es  ESP,DF,Girona,21-199,2001,16.0,4,0,0,13,12,0,61,11,10,0,0,0,87,4,8,33.3
210,Munir El Haddadi,ma  MAR,"MF,FW",Getafe,27-163,1995,3.5,3,0,0,9,17,1,8,1,2,0,0,0,14,7,4,63.6
211,Eden Hazard,be  BEL,FW,Real Madrid,32-035,1991,1.1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,
212,Luiz Henrique,br  BRA,FW,Betis,22-040,2001,12.8,4,0,0,11,24,2,14,10,22,0,0,0,72,16,28,36.4
213,Mario Hermoso,es  ESP,DF,Atlético Madrid,27-238,1995,5.9,5,2,2,8,3,1,0,4,1,0,0,0,37,14,8,63.6
214,Aridane Hernández,gq  EQG,DF,Osasuna,33-325,1989,5.6,0,0,0,4,5,0,0,10,2,0,0,0,28,7,5,58.3
215,Luis Hernández,es  ESP,DF,Cádiz,33-303,1989,18.0,4,1,1,9,4,2,6,13,9,0,0,0,82,19,12,61.3
216,Mario Hernández,es  ESP,FW,Rayo Vallecano,24-017,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
217,Ander Herrera,es  ESP,MF,Athletic Club,33-181,1989,3.4,3,1,0,11,4,0,1,5,4,0,0,0,20,2,1,66.7
218,Sergio Herrera,es  ESP,GK,Osasuna,29-251,1993,10.0,3,0,0,1,1,0,0,1,0,0,1,0,8,2,1,66.7
219,Yangel Herrera,ve  VEN,"MF,FW",Girona,25-035,1998,8.6,2,0,0,29,18,1,16,2,8,0,0,0,36,17,25,40.5
220,Omar El Hilali,ma  MAR,"DF,MF",Espanyol,19-152,2003,1.0,1,0,0,0,2,0,2,1,2,0,0,0,10,2,1,66.7
221,Martin Hongla,cm  CMR,DF,Valladolid,24-332,1998,0.9,1,0,0,2,0,0,1,0,0,0,0,0,3,1,1,50.0
222,Pablo Ibáñez,es  ESP,MF,Osasuna,24-144,1998,2.1,0,0,0,5,1,0,1,3,2,0,0,0,7,5,3,62.5
223,Iglesias,es  ESP,DF,Getafe,24-223,1998,15.0,3,0,0,29,13,1,58,12,21,0,0,0,80,8,7,53.3
224,Borja Iglesias,es  ESP,FW,Betis,30-025,1993,15.7,0,1,0,28,33,14,0,1,4,0,0,0,24,13,22,37.1
225,Asier Illarramendi,es  ESP,MF,Real Sociedad,32-340,1990,5.6,3,0,0,12,9,0,2,10,8,0,0,0,33,4,5,44.4
226,Alexander Isak,se  SWE,FW,Real Sociedad,23-143,1999,1.7,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,
227,Isco,es  ESP,"MF,FW",Sevilla,30-296,1992,8.9,5,0,0,11,34,6,18,10,9,0,0,0,48,5,14,26.3
228,Nicolas Jackson,sn  SEN,FW,Villarreal,21-236,2001,8.8,1,0,0,20,11,6,4,2,6,0,0,0,28,5,16,23.8
229,Adnan Januzaj,be  BEL,FW,Sevilla,28-006,1995,0.5,0,0,0,1,2,0,1,1,0,0,0,0,5,0,0,
230,Javi,es  ESP,DF,Girona,24-285,1998,4.1,1,0,0,2,8,0,7,2,3,0,0,0,22,4,1,80.0
231,Luis Javier Suárez,co  COL,FW,Almería,25-071,1997,2.6,0,0,0,8,2,1,1,0,2,0,0,0,12,7,9,43.8
232,Joaquín,es  ESP,"MF,FW",Betis,41-205,1981,2.4,2,0,0,0,6,0,19,2,1,0,0,0,10,0,2,0.0
233,Frenkie de Jong,nl  NED,MF,Barcelona,25-275,1997,14.5,0,0,0,13,15,1,11,20,14,0,0,0,100,9,8,52.9
234,Joan Jordán,es  ESP,MF,Sevilla,28-220,1994,12.9,4,0,0,19,11,0,5,11,14,0,0,0,87,7,7,50.0
235,Filip Jörgensen,dk  DEN,GK,Villarreal,20-301,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
236,Josan,es  ESP,"DF,MF",Elche,33-070,1989,4.7,3,0,0,6,6,3,17,0,5,0,1,0,18,3,3,50.0
237,Willian José,br  BRA,FW,Betis,31-080,1991,3.9,0,0,0,2,1,0,3,0,3,0,0,0,16,7,7,50.0
238,Joselu,es  ESP,FW,Espanyol,32-321,1990,19.0,1,0,0,12,48,7,9,4,1,2,0,0,45,111,66,62.7
239,Juanmi,es  ESP,FW,Betis,29-267,1993,5.1,3,0,0,7,13,9,0,2,5,0,0,0,22,5,11,31.3
240,Juanpe,es  ESP,DF,Girona,31-287,1991,7.8,3,0,0,6,1,0,1,5,4,0,1,0,26,11,5,68.8
241,Lago Junior,ci  CIV,"FW,MF",Mallorca,32-042,1990,0.6,0,0,0,3,1,0,2,0,0,0,0,0,7,4,1,80.0
242,Vinicius Júnior,br  BRA,FW,Real Madrid,22-214,2000,19.5,5,0,0,36,79,12,38,6,17,1,0,0,61,0,5,0.0
243,Tino Kadewere,zw  ZIM,"FW,MF",Mallorca,27-037,1996,1.2,0,0,0,2,1,0,1,0,0,0,0,0,6,8,3,72.7
244,Kaiky,br  BRA,DF,Almería,19-030,2004,5.4,5,0,0,7,3,0,1,11,5,0,1,0,19,5,7,41.7
245,Lee Kangin,kr  KOR,"MF,FW",Mallorca,21-357,2001,15.9,5,0,0,23,27,1,92,2,11,0,0,0,49,3,31,8.8
246,Jon Karrikaburu,es  ESP,FW,Real Sociedad,20-145,2002,1.0,1,0,0,3,4,3,1,0,0,0,0,0,5,4,4,50.0
247,Kenedy,br  BRA,"FW,MF",Valladolid,27-003,1996,0.9,1,0,0,3,0,0,2,0,0,0,0,0,4,1,0,100.0
248,Franck Kessié,ci  CIV,MF,Barcelona,26-054,1996,4.1,3,0,0,10,7,1,1,6,3,0,0,0,22,1,2,33.3
249,Kike,es  ESP,FW,Osasuna,33-078,1989,6.1,3,0,0,17,14,4,1,1,2,2,0,0,18,27,34,44.3
250,Justin Kluivert,nl  NED,"FW,MF",Valencia,23-282,1999,7.5,2,0,0,11,9,1,28,4,10,1,0,0,39,5,10,33.3
251,Koke,es  ESP,MF,Atlético Madrid,31-034,1992,12.5,3,0,0,12,19,0,15,7,18,0,0,0,77,8,8,50.0
252,Luca Koleosho,ca  CAN,"FW,DF",Espanyol,18-149,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
253,Geoffrey Kondogbia,cf  CTA,MF,Atlético Madrid,29-361,1993,10.7,4,0,0,15,18,2,0,25,20,0,0,0,99,12,9,57.1
254,Jules Koundé,fr  FRA,DF,Barcelona,24-091,1998,11.5,0,0,0,11,5,1,12,9,10,0,0,1,71,15,9,62.5
255,Toni Kroos,de  GER,MF,Real Madrid,33-038,1990,13.5,2,1,1,15,20,0,78,14,18,0,0,0,90,5,4,55.6
256,Takefusa Kubo,jp  JPN,"FW,MF",Real Sociedad,21-252,2001,13.9,2,0,0,20,21,15,31,2,13,1,0,0,51,11,14,44.0
257,César de la Hoz,es  ESP,MF,Almería,30-318,1992,9.5,4,0,0,15,5,0,1,6,12,0,1,0,45,10,13,43.5
258,Luca de la Torre,us  USA,MF,Celta Vigo,24-264,1998,3.9,1,0,0,9,3,1,4,1,6,0,0,0,28,0,10,0.0
259,Érik Lamela,ar  ARG,"FW,MF",Sevilla,30-344,1992,13.5,7,1,1,48,15,7,21,2,13,0,0,0,58,8,21,27.6
260,Cyle Larin,ca  CAN,FW,Valladolid,27-300,1995,0.5,1,0,0,1,2,2,0,0,0,0,0,0,3,2,2,50.0
261,Latasa,es  ESP,"FW,DF",Getafe,21-325,2001,1.2,0,0,0,3,4,0,0,1,1,0,0,0,3,15,13,53.6
262,Toni Lato,es  ESP,"MF,DF",Valencia,25-082,1997,5.8,0,0,0,3,5,2,19,3,4,0,0,0,25,2,9,18.2
263,Lázaro,br  BRA,"MF,FW",Almería,20-336,2002,2.6,0,0,0,1,5,1,5,2,0,0,0,0,10,0,3,0.0
264,Robin Le Normand,fr  FRA,DF,Real Sociedad,26-092,1996,15.1,4,0,0,18,16,1,0,15,11,0,0,0,62,42,16,72.4
265,Benjamin Lecomte,fr  FRA,GK,Espanyol,31-291,1991,10.0,1,1,0,1,0,0,0,0,0,0,0,1,16,0,0,
266,Jeremías Ledesma,ar  ARG,GK,Cádiz,29-363,1993,20.0,0,0,0,1,3,0,0,2,1,0,1,0,20,4,0,100.0
267,Florian Lejeune,fr  FRA,DF,Rayo Vallecano,31-267,1991,16.5,4,1,1,11,6,3,1,10,10,0,1,0,73,35,19,64.8
268,Iñigo Lekue,es  ESP,DF,Athletic Club,29-283,1993,11.8,1,0,0,12,4,1,32,13,12,0,0,0,97,13,7,65.0
269,Thomas Lemar,fr  FRA,MF,Atlético Madrid,27-091,1995,7.4,0,0,0,4,7,1,29,4,7,0,0,0,49,2,4,33.3
270,Sergio León,es  ESP,FW,Valladolid,34-036,1989,10.1,0,1,0,5,15,14,5,0,3,0,0,0,25,14,26,35.0
271,Robert Lewandowski,pl  POL,FW,Barcelona,34-174,1988,14.8,2,1,1,23,21,8,10,1,5,0,0,0,27,22,21,51.2
272,Pol Lirola,es  ESP,DF,Elche,25-182,1997,6.1,1,0,0,3,3,0,29,6,6,0,0,0,40,8,6,57.1
273,Javier Llabrés,es  ESP,FW,Mallorca,20-153,2002,0.2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0.0
274,Marcos Llorente,es  ESP,"MF,DF",Atlético Madrid,28-012,1995,11.3,1,0,0,16,9,1,30,12,11,0,0,0,56,8,12,40.0
275,Giovani Lo Celso,ar  ARG,"MF,FW",Villarreal,26-308,1996,5.8,1,0,0,7,14,3,5,5,17,0,0,0,26,1,2,33.3
276,David López,es  ESP,DF,Girona,33-125,1989,10.4,3,0,0,9,9,3,0,5,10,0,0,0,54,20,15,57.1
277,Diego López,es  ESP,GK,Rayo Vallecano,41-100,1981,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
278,Unai López,es  ESP,MF,Rayo Vallecano,27-104,1995,8.8,1,0,0,13,12,0,32,12,12,0,0,0,64,3,8,27.3
279,Anthony Lozano,hn  HON,FW,Cádiz,29-292,1993,12.5,2,0,0,31,27,6,5,3,2,0,0,0,35,47,61,43.5
280,Pol Lozano,es  ESP,MF,Espanyol,23-128,1999,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0
281,José Luis Gayà,es  ESP,DF,Valencia,27-262,1995,15.5,3,0,0,8,10,6,122,13,22,1,0,0,79,14,7,66.7
282,José Luis Morales,es  ESP,"FW,MF",Villarreal,35-203,1987,6.6,1,0,0,3,4,2,4,2,2,0,0,0,16,6,8,42.9
283,Andriy Lunin,ua  UKR,GK,Real Madrid,24-000,1999,5.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
284,Awer Mabil,au  AUS,"MF,FW",Cádiz,27-149,1995,1.8,0,0,0,0,3,0,9,0,0,0,0,0,6,1,5,16.7
285,Darwin Machís,ve  VEN,FW,Valladolid,30-004,1993,2.0,0,0,0,3,3,1,13,1,2,0,0,0,8,0,3,0.0
286,Pablo Maffeo,es  ESP,DF,Mallorca,25-214,1997,16.3,4,1,0,17,29,2,56,12,21,0,0,0,72,19,18,51.4
287,Lisandro Magallán,ar  ARG,DF,Elche,29-137,1993,1.4,0,0,0,3,0,0,0,0,1,0,0,0,5,1,0,100.0
288,Jon Magunacelaya,es  ESP,"MF,FW",Real Sociedad,22-213,2000,0.7,0,0,0,1,1,0,2,0,0,0,0,0,4,0,2,0.0
289,Nemanja Maksimović,rs  SRB,MF,Getafe,28-016,1995,7.9,0,0,0,5,5,0,4,10,4,0,0,0,29,8,6,57.1
290,Hugo Mallo,es  ESP,DF,Celta Vigo,31-234,1991,13.4,3,0,0,30,13,4,40,9,13,0,1,0,59,27,16,62.8
291,Mickael Malsa,mq  MTQ,MF,Valladolid,27-122,1995,0.8,0,0,0,2,0,0,0,2,2,0,0,0,5,1,1,50.0
292,Giorgi Mamardashvili,ge  GEO,GK,Valencia,22-135,2000,20.0,1,0,0,1,2,0,0,1,0,0,1,0,35,3,1,75.0
293,Reinildo Mandava,mz  MOZ,DF,Atlético Madrid,29-021,1994,18.4,3,0,0,32,26,0,14,24,37,0,0,0,112,26,19,57.8
294,Aïssa Mandi,dz  ALG,DF,Villarreal,31-112,1991,4.9,0,0,0,10,5,2,1,10,5,0,0,0,19,4,4,50.0
295,Maranhão,br  BRA,"FW,MF",Valencia,26-114,1996,4.8,2,1,0,9,12,0,0,0,1,0,0,0,9,10,13,43.5
296,Marcão,br  BRA,DF,Sevilla,26-251,1996,4.0,2,0,0,5,6,0,0,5,2,0,0,0,14,6,4,60.0
297,Agustín Marchesín,ar  ARG,GK,Celta Vigo,34-332,1988,19.0,2,0,0,0,4,0,0,0,0,0,0,0,22,3,0,100.0
298,Óscar de Marcos,es  ESP,DF,Athletic Club,33-303,1989,17.0,2,0,0,26,9,2,66,13,15,0,0,0,102,13,7,65.0
299,José Mari,es  ESP,MF,Cádiz,35-067,1987,3.6,2,0,0,4,7,0,1,5,7,0,0,0,31,3,5,37.5
300,José María Giménez,uy  URU,DF,Atlético Madrid,28-022,1995,11.2,5,0,0,9,4,0,0,16,10,0,1,0,70,24,13,64.9
301,Mariano,do  DOM,FW,Real Madrid,29-194,1993,0.5,1,0,0,2,0,1,0,0,0,0,0,0,3,1,1,50.0
302,Pablo Marín,es  ESP,"MF,FW",Real Sociedad,19-223,2003,3.6,1,0,0,10,2,0,3,4,5,0,0,0,17,4,5,44.4
303,Ander Martin,es  ESP,"MF,FW",Real Sociedad,22-087,2000,0.5,0,0,0,2,0,0,4,0,2,0,0,0,5,1,3,25.0
304,Andrés Martín,es  ESP,FW,Rayo Vallecano,23-215,1999,1.5,1,0,0,4,1,0,11,0,2,0,0,0,8,2,0,100.0
305,Iván Martín,es  ESP,"MF,FW",Girona,23-362,1999,5.2,0,0,0,7,2,1,3,1,2,1,0,0,17,3,3,50.0
306,Arnau Martinez,es  ESP,DF,Girona,19-292,2003,14.0,5,0,0,14,33,5,32,13,17,0,0,0,80,14,11,56.0
307,Iñigo Martínez,es  ESP,DF,Athletic Club,31-270,1991,9.0,1,0,0,8,9,2,2,14,3,0,0,0,57,16,8,66.7
308,Roger Martínez,es  ESP,DF,Espanyol,18-312,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
309,Omar Mascarell,es  ESP,MF,Elche,30-009,1993,17.2,5,0,0,15,11,0,13,22,14,0,0,0,96,16,8,66.7
310,Jordi Masip,es  ESP,GK,Valladolid,34-039,1989,15.0,2,0,0,0,1,0,0,0,0,0,0,0,16,6,0,100.0
311,Jaime Mata,es  ESP,FW,Getafe,34-110,1988,0.5,2,0,0,5,1,0,0,0,0,0,0,0,2,1,0,100.0
312,Borja Mayoral,es  ESP,FW,Getafe,25-312,1997,18.0,3,0,0,13,29,5,22,1,3,1,0,0,56,18,42,30.0
313,Mamadou Mbaye,sn  SEN,DF,Cádiz,24-228,1998,6.0,0,0,0,3,1,2,0,3,3,0,0,0,23,18,14,56.3
314,Gonzalo Melero,es  ESP,MF,Almería,29-040,1994,11.4,3,0,0,13,21,2,0,3,9,0,0,0,57,8,9,47.1
315,Houboulang Mendes,fr  FRA,DF,Almería,24-283,1998,7.2,1,0,0,8,3,0,20,4,8,0,1,0,28,1,1,50.0
316,Brais Méndez,es  ESP,MF,Real Sociedad,26-035,1997,16.1,5,0,0,38,29,1,66,8,23,0,0,0,78,13,13,50.0
317,Diego Méndez,es  ESP,MF,Rayo Vallecano,19-166,2003,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
318,Ferland Mendy,fr  FRA,DF,Real Madrid,27-248,1995,12.5,2,0,0,4,17,0,6,13,9,0,0,0,64,7,6,53.8
319,Mikel Merino,es  ESP,MF,Real Sociedad,26-234,1996,14.3,4,0,0,39,22,2,12,14,25,0,0,0,115,50,24,67.6
320,Roque Mesa,es  ESP,MF,Valladolid,33-249,1989,11.9,5,0,0,28,23,0,9,8,8,0,1,0,95,6,12,33.3
321,Éder Militão,br  BRA,DF,Real Madrid,25-024,1998,13.5,1,0,0,16,20,0,5,17,15,0,1,0,70,33,21,61.1
322,Luis Milla,es  ESP,MF,Getafe,28-127,1994,12.9,3,1,1,17,9,1,60,18,20,0,1,0,99,11,9,55.0
323,Pere Milla,es  ESP,"FW,MF",Elche,30-141,1992,13.4,4,0,0,13,33,7,13,7,13,1,0,0,74,17,19,47.2
324,Marko Milovanović,rs  SRB,FW,Almería,19-191,2003,0.2,1,0,0,2,0,0,0,0,0,0,0,0,0,5,3,62.5
325,Óscar Mingueza,es  ESP,DF,Celta Vigo,23-274,1999,10.7,2,0,0,15,5,1,21,8,15,0,2,0,69,4,6,40.0
326,Rafa Mir,es  ESP,FW,Sevilla,25-238,1997,8.5,1,0,0,9,8,10,5,2,1,0,0,0,25,13,18,41.9
327,Juan Miranda,es  ESP,DF,Betis,23-023,2000,3.0,0,0,0,4,2,0,11,3,5,0,0,0,13,2,2,50.0
328,Stefan Mitrović,rs  SRB,DF,Getafe,32-265,1990,11.6,3,0,0,7,3,0,0,10,3,0,0,0,39,24,8,75.0
329,Luka Modrić,hr  CRO,MF,Real Madrid,37-155,1985,12.5,4,0,0,14,7,1,39,5,5,0,0,0,47,7,6,53.8
330,Nahuel Molina,ar  ARG,DF,Atlético Madrid,24-311,1998,15.3,3,1,0,10,7,1,65,7,21,0,0,0,74,15,19,44.1
331,Jon Moncayola,es  ESP,"MF,FW",Osasuna,24-274,1998,13.6,3,0,0,20,6,2,22,5,15,1,0,0,86,8,8,50.0
332,Monchu,es  ESP,MF,Valladolid,23-151,1999,11.1,5,0,0,24,13,0,43,8,16,0,1,0,54,7,12,36.8
333,César Montes,mx  MEX,DF,Espanyol,25-352,1997,3.5,2,0,0,4,3,0,0,4,2,0,0,0,15,8,10,44.4
334,Gonzalo Montiel,ar  ARG,DF,Sevilla,26-041,1997,8.5,3,1,0,10,5,7,27,12,5,0,0,0,46,9,8,52.9
335,Martín Montoya,es  ESP,DF,Betis,31-303,1991,2.0,0,0,0,1,2,0,6,2,5,0,0,0,8,2,0,100.0
336,Álvaro Morata,es  ESP,FW,Atlético Madrid,30-111,1992,12.9,3,0,0,22,36,18,3,0,8,0,0,0,39,32,21,60.4
337,Jon Morcillo,es  ESP,"FW,MF",Athletic Club,24-149,1998,0.7,0,0,0,1,1,0,6,1,0,0,0,0,7,0,1,0.0
338,Alberto Moreno,es  ESP,"DF,FW",Villarreal,30-221,1992,6.7,4,0,0,12,5,1,20,12,2,0,0,0,28,7,6,53.8
339,Álex Moreno,es  ESP,DF,Betis,29-248,1993,15.0,1,0,0,17,19,1,28,17,22,0,1,0,78,9,18,33.3
340,Diego Moreno,es  ESP,DF,Osasuna,21-235,2001,4.6,0,0,0,2,4,1,16,1,4,0,0,0,28,4,7,36.4
341,Gerard Moreno,es  ESP,FW,Villarreal,30-310,1992,10.2,2,0,0,7,7,10,6,3,5,0,0,0,19,12,10,54.5
342,Tete Morente,es  ESP,"MF,DF",Elche,26-069,1996,8.9,3,0,0,17,12,5,30,5,6,0,0,0,32,8,5,61.5
343,Ilaix Moriba,gn  GUI,MF,Valencia,20-023,2003,5.3,4,1,1,17,16,0,0,3,7,0,0,0,31,9,4,69.2
344,Manu Morlanes,es  ESP,MF,Villarreal,24-030,1999,1.8,0,1,0,1,1,0,0,1,2,0,0,0,5,1,2,33.3
345,Loren Morón,es  ESP,FW,Betis,29-043,1993,0.2,1,0,0,2,0,0,0,0,2,0,0,0,1,0,2,0.0
346,Cristhian Mosquera,co  COL,DF,Valencia,18-229,2004,1.6,0,0,0,0,1,0,1,1,2,0,0,0,8,3,2,60.0
347,Abdul Mumin,gh  GHA,DF,Rayo Vallecano,24-250,1998,2.1,0,0,0,1,3,0,0,1,0,0,0,0,11,1,3,25.0
348,Iker Muniain,es  ESP,MF,Athletic Club,30-054,1992,11.4,1,0,0,7,44,0,63,3,7,0,0,0,44,2,10,16.7
349,Aihen Muñoz,es  ESP,DF,Real Sociedad,25-179,1997,8.4,0,0,0,14,4,0,22,3,9,0,0,0,30,12,9,57.1
350,Pablo Muñoz,es  ESP,MF,Rayo Vallecano,19-160,2003,0.1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,
351,Vedat Muriqi,xk  KVX,FW,Mallorca,28-293,1994,17.4,4,1,0,33,21,17,8,3,4,0,0,0,55,96,84,53.3
352,Yunus Musah,us  USA,MF,Valencia,20-074,2002,14.7,7,0,0,25,24,2,20,10,23,0,0,0,62,12,20,37.5
353,Nacho,es  ESP,DF,Real Madrid,33-024,1990,5.6,2,0,0,7,4,2,4,6,4,0,0,1,30,12,10,54.5
354,Juanjo Narváez,co  COL,"MF,FW",Valladolid,27-364,1995,1.6,0,0,0,1,9,1,1,0,1,0,0,0,5,3,6,33.3
355,Matija Nastasić,rs  SRB,DF,Mallorca,29-320,1993,5.3,1,0,0,7,0,1,0,12,3,0,0,0,11,5,3,62.5
356,Roberto Navarro,es  ESP,"MF,FW",Real Sociedad,20-305,2002,3.5,2,0,0,7,6,4,13,2,3,0,0,0,21,5,4,55.6
357,Jesús Navas,es  ESP,"DF,FW",Sevilla,37-082,1985,11.3,3,0,0,4,20,5,72,5,7,0,0,1,63,5,9,35.7
358,Álvaro Negredo,es  ESP,FW,Cádiz,37-175,1985,6.2,0,0,0,3,7,3,0,0,4,0,0,0,7,26,19,57.8
359,Tanguy Nianzou,fr  FRA,DF,Sevilla,20-249,2002,9.1,1,1,0,5,7,0,0,9,9,0,0,0,43,17,6,73.9
360,Saúl Ñíguez,es  ESP,"MF,DF",Atlético Madrid,28-082,1994,6.0,7,0,0,24,2,1,10,9,15,0,1,0,29,25,10,71.4
361,Fernando Niño,es  ESP,MF,Villarreal,22-110,2000,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
362,Diego Noguerol,es  ESP,"FW,DF",Valencia,20-274,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
363,Unai Núñez,es  ESP,DF,Celta Vigo,26-012,1997,19.0,5,0,0,17,17,1,1,40,16,0,0,1,112,35,33,51.5
364,Jan Oblak,si  SVN,GK,Atlético Madrid,30-035,1993,17.7,1,0,0,0,3,0,0,0,0,0,0,0,19,1,0,100.0
365,Brian Ocampo,uy  URU,"MF,FW",Cádiz,23-231,1999,10.8,2,0,0,29,21,1,30,2,12,0,0,0,80,6,12,33.3
366,Lucas Ocampos,ar  ARG,"FW,MF",Sevilla,28-215,1994,2.9,2,0,0,4,7,1,1,1,1,0,0,0,16,4,3,57.1
367,Olasagasti,es  ESP,"MF,DF",Real Sociedad,22-179,2000,0.7,0,0,0,1,4,0,0,0,4,0,0,0,6,2,0,100.0
368,Lucas Olaza,uy  URU,DF,Valladolid,28-205,1994,9.7,3,0,0,9,12,2,52,10,12,0,0,0,44,17,22,43.6
369,Brian Oliván,es  ESP,DF,Espanyol,28-316,1994,18.3,5,0,0,24,12,3,93,15,20,0,0,0,106,13,24,35.1
370,Lucas Oliveira Rosa,br  BRA,DF,Valladolid,22-314,2000,6.4,1,0,0,10,8,1,14,14,9,0,0,0,34,8,7,53.3
371,Aimar Oroz,es  ESP,"MF,FW",Osasuna,21-076,2001,10.8,3,0,0,19,33,2,4,12,6,0,0,0,48,9,18,33.3
372,Pedro Ortiz,es  ESP,MF,Sevilla,22-176,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
373,Mikel Oyarzabal,es  ESP,"FW,MF",Real Sociedad,25-296,1997,1.9,0,0,0,2,3,4,0,0,1,0,0,0,10,2,7,22.2
374,Cenk Özkacar,tr  TUR,DF,Valencia,22-128,2000,5.7,1,0,0,3,5,0,0,3,7,0,0,0,49,22,17,56.4
375,Fernando Pacheco,es  ESP,GK,Almería,30-269,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
376,Jon Pacheco,es  ESP,DF,Real Sociedad,22-034,2001,7.5,2,0,0,9,5,0,0,6,7,0,1,0,31,13,17,43.3
377,Gonçalo Paciência,pt  POR,FW,Celta Vigo,28-194,1994,4.4,2,1,0,10,12,0,2,0,3,0,0,0,13,17,15,53.1
378,Helibelton Palacios,co  COL,DF,Elche,29-245,1993,12.9,4,0,0,21,8,0,11,12,12,0,0,0,71,10,8,55.6
379,Isaac Palazón Camacho,es  ESP,"FW,MF",Rayo Vallecano,28-046,1994,16.7,3,0,0,20,54,7,87,8,20,0,0,0,95,14,42,25.0
380,Aitor Paredes,es  ESP,DF,Athletic Club,22-288,2000,1.5,0,0,0,1,1,0,0,4,1,0,0,0,10,0,1,0.0
381,Daniel Parejo,es  ESP,MF,Villarreal,33-301,1989,19.5,2,0,0,14,38,0,92,14,19,0,0,0,125,7,9,43.8
