,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G+A_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
71,Dominic Calvert-Lewin,eng  ENG,FW,Everton,25-332,1997,11,9,731,8.1,1,0,1,1,0,0,1,0,2.9,2.9,0.3,3.3,11,8,30,0.12,0.00,0.12,0.12,0.12,0.36,0.04,0.40,0.36,0.40
72,Chem Campbell,wls  WAL,"FW,MF",Wolves,20-043,2002,5,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,10,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
73,João Cancelo,pt  POR,DF,Manchester City,28-260,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,1.7,71,106,125,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12
74,Thomas Cannon,ie  IRL,FW,Everton,20-045,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,1,0,2,0.00,0.00,0.00,0.00,0.00,0.32,1.95,2.27,0.32,2.27
75,Sergi Canós,es  ESP,"FW,DF",Brentford,26-009,1997,5,0,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,7,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11
76,Diego Carlos,br  BRA,DF,Aston Villa,29-333,1993,2,2,179,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,10,0,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18
77,Fabio Carvalho,pt  POR,"MF,FW",Liverpool,20-165,2002,11,4,337,3.7,2,0,2,2,0,0,0,0,1.1,1.1,0.1,1.2,7,11,24,0.53,0.00,0.53,0.53,0.53,0.30,0.03,0.32,0.30,0.32
78,Casemiro,br  BRA,MF,Manchester Utd,30-353,1992,17,13,1230,13.7,2,3,5,2,0,0,5,1,2.1,2.1,2.0,4.0,8,82,23,0.15,0.22,0.37,0.15,0.37,0.15,0.14,0.29,0.15,0.29
79,Matty Cash,pl  POL,DF,Aston Villa,25-188,1997,17,13,1185,13.2,0,0,0,0,0,0,3,0,0.2,0.2,0.7,0.9,34,64,49,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
80,Timothy Castagne,be  BEL,DF,Leicester City,27-068,1995,20,19,1731,19.2,1,2,3,1,0,0,2,0,1.6,1.6,1.3,2.9,24,55,98,0.05,0.10,0.16,0.05,0.16,0.09,0.07,0.15,0.09,0.15
81,Jonny Castro,es  ESP,DF,Wolves,28-345,1994,14,11,1013,11.3,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.7,22,61,37,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
82,Julio César Enciso,py  PAR,"FW,MF",Brighton,19-019,2004,5,0,131,1.5,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,6,3,8,0.00,0.00,0.00,0.00,0.00,0.36,0.05,0.40,0.36,0.40
83,Nathaniel Chalobah,eng  ENG,MF,Fulham,28-061,1994,4,1,12,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.71,0.71,0.71
84,Trevoh Chalobah,eng  ENG,DF,Chelsea,23-221,1999,12,11,971,10.8,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,8,32,8,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04
85,Calum Chambers,eng  ENG,"DF,MF",Aston Villa,28-022,1995,4,1,110,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
86,Ben Chilwell,eng  ENG,"DF,MF",Chelsea,26-052,1996,10,4,426,4.7,1,1,2,1,0,0,1,0,0.3,0.3,0.2,0.6,13,11,37,0.21,0.21,0.42,0.21,0.42,0.07,0.05,0.12,0.07,0.12
87,Ryan Christie,sct  SCO,"MF,FW",Bournemouth,27-354,1995,19,12,1036,11.5,1,0,1,1,0,0,1,0,1.6,1.6,1.0,2.6,21,46,37,0.09,0.00,0.09,0.09,0.09,0.14,0.09,0.22,0.14,0.22
88,Carney Chukwuemeka,eng  ENG,"MF,FW",Chelsea,19-114,2003,8,1,202,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,13,10,13,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.18,0.13,0.18
