,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Starts,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
141,Tom Davies,eng  ENG,MF,Everton,24-226,1998,10,413,41,21.9,4.6,4,66,1,6,25,10,1.10,2,7,-5,-1.09,-0.66,4.6,8.9,-4.3,-0.93,-0.45
142,Kevin De Bruyne,be  BEL,MF,Manchester City,31-228,1991,20,1599,80,84.6,17.8,18,86,12,2,27,1,2.10,44,16,+28,+1.58,+0.34,36.2,12.9,+23.3,+1.31,+0.58
143,Liam Delap,eng  ENG,FW,Manchester City,20-003,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
144,Siriki Dembélé,ci  CIV,"FW,MF",Bournemouth,26-157,1996,6,110,18,5.8,1.2,0,,0,6,18,9,0.17,0,2,-2,-1.64,-0.52,1.4,2.4,-1.0,-0.82,+0.09
145,Sepp van den Berg,nl  NED,"DF,MF",Liverpool,21-053,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
146,Emmanuel Dennis,ng  NGA,FW,Nott'ham Forest,25-088,1997,10,373,37,19.7,4.1,3,72,0,7,22,6,0.20,2,12,-10,-2.41,-1.94,3.8,7.9,-4.2,-1.00,-0.78
147,Will Dennis,eng  ENG,GK,Bournemouth,22-216,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
148,Halil Dervişoğlu,tr  TUR,MF,Brentford,23-065,1999,1,8,8,0.4,0.1,0,,0,1,8,1,1.00,1,0,+1,+11.25,+10.96,0.1,0.1,0.0,-0.25,-0.40
149,Kiernan Dewsbury-Hall,eng  ENG,MF,Leicester City,24-158,1998,19,1448,76,76.6,16.1,18,79,10,1,19,0,1.11,25,25,0,0.00,+1.02,17.9,25.0,-7.1,-0.44,-0.16
150,Ibrahima Diallo,fr  FRA,MF,Southampton,23-340,1999,13,714,55,37.8,7.9,10,68,4,3,12,8,0.85,5,15,-10,-1.26,-0.42,5.6,11.8,-6.2,-0.78,-0.65
151,Rúben Dias,pt  POR,DF,Manchester City,25-273,1997,13,874,67,46.2,9.7,9,87,8,4,23,4,2.46,28,8,+20,+2.06,+1.00,19.1,6.9,+12.2,+1.25,+0.06
152,Luis Díaz,co  COL,FW,Liverpool,26-029,1997,8,613,77,34.1,6.8,7,81,5,1,45,0,1.25,17,8,+9,+1.32,+1.55,12.4,7.8,+4.6,+0.67,+0.55
153,Eric Dier,eng  ENG,DF,Tottenham,29-027,1994,21,1825,87,92.2,20.3,20,90,19,1,34,1,1.86,40,27,+13,+0.64,+2.38,30.6,25.3,+5.4,+0.27,+0.40
154,Lucas Digne,fr  FRA,DF,Aston Villa,29-206,1993,15,1111,74,58.8,12.3,14,78,9,1,22,0,1.33,17,19,-2,-0.16,+0.30,12.0,17.7,-5.6,-0.46,-0.78
155,Issa Diop,fr  FRA,DF,Fulham,26-033,1997,14,1056,75,53.3,11.7,11,90,10,3,22,7,1.29,16,13,+3,+0.26,+0.35,17.2,17.4,-0.2,-0.02,+0.71
156,Moussa Djenepo,ml  MLI,"DF,FW",Southampton,24-241,1998,12,578,48,30.6,6.4,6,79,2,6,18,6,0.83,5,11,-6,-0.93,+0.09,5.6,7.1,-1.5,-0.24,+0.20
157,Ben Doak,sct  SCO,FW,Liverpool,17-092,2005,2,26,13,1.4,0.3,0,,0,2,13,2,1.50,0,1,-1,-3.46,-3.82,0.1,0.8,-0.6,-2.17,-2.52
158,Matt Doherty,ie  IRL,"DF,MF",Tottenham,31-026,1992,12,667,56,33.7,7.4,7,82,2,5,18,9,1.33,12,9,+3,+0.40,-0.08,9.0,8.6,+0.4,+0.06,-0.26
159,Gabriel Dos Santos,br  BRA,DF,Arsenal,25-054,1997,20,1800,90,100.0,20.0,20,90,20,0,,0,2.50,45,17,+28,+1.40,,38.2,18.6,+19.6,+0.98,
160,Abdoulaye Doucouré,ml  MLI,MF,Everton,30-041,1993,11,318,29,16.8,3.5,3,71,2,8,13,4,1.18,2,4,-2,-0.57,+0.01,4.5,5.5,-0.9,-0.26,+0.39
161,Cheick Doucouré,ml  MLI,MF,Crystal Palace,23-034,2000,19,1557,82,82.4,17.3,19,82,9,0,,0,1.11,15,24,-9,-0.52,-0.25,15.7,24.6,-9.0,-0.52,-0.23
162,Flynn Downes,eng  ENG,MF,West Ham,24-022,1999,9,286,32,15.1,3.2,3,79,0,6,8,12,1.22,1,3,-2,-0.63,-0.29,3.1,3.3,-0.1,-0.05,-0.24
163,Cody Drameh,eng  ENG,DF,Leeds United,21-065,2001,1,69,69,3.7,0.8,1,69,0,0,,5,0.00,1,3,-2,-2.61,-2.31,0.5,1.3,-0.8,-1.05,-0.84
164,Amario Duberry,eng  ENG,FW,Arsenal,17-258,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
165,Shane Duffy,ie  IRL,"FW,DF",Fulham,31-041,1992,4,6,2,0.3,0.1,0,,0,4,2,13,1.75,0,2,-2,-30.00,-30.18,0.0,0.6,-0.6,-8.37,-8.05
166,Paul Dummett,wls  WAL,DF,Newcastle Utd,31-138,1991,0,,,,,0,,0,0,,5,,,,,,,,,,,
167,Lewis Dunk,eng  ENG,DF,Brighton,31-082,1991,20,1799,90,99.9,20.0,20,90,19,0,,0,1.70,38,27,+11,+0.55,+0.55,31.3,25.0,+6.2,+0.31,+0.87
168,Jhon Durán,co  COL,FW,Aston Villa,19-060,2003,1,9,9,0.5,0.1,0,,0,1,9,0,0.00,0,0,0,0.00,+0.29,0.2,0.1,+0.2,+1.68,+1.83
169,Malcolm Ebiowei,eng  ENG,"MF,FW",Crystal Palace,19-160,2003,3,34,11,1.8,0.4,0,,0,3,11,14,0.00,0,1,-1,-2.65,-2.21,0.3,0.2,+0.1,+0.39,+0.88
170,Ederson,br  BRA,GK,Manchester City,29-178,1993,21,1890,90,100.0,21.0,21,90,21,0,,0,2.14,53,21,+32,+1.52,,42.7,17.0,+25.7,+1.22,
171,Odsonne Édouard,fr  FRA,"FW,MF",Crystal Palace,25-026,1998,19,1073,56,56.8,11.9,12,76,2,7,22,1,1.11,12,14,-2,-0.17,+0.71,12.0,15.8,-3.8,-0.32,+0.37
172,Samuel Edozie,eng  ENG,"FW,MF",Southampton,20-014,2003,14,530,38,28.0,5.9,5,69,0,9,21,1,0.36,4,8,-4,-0.68,+0.45,6.2,6.5,-0.3,-0.06,+0.44
173,Anthony Elanga,se  SWE,FW,Manchester Utd,20-290,2002,13,397,31,20.1,4.4,5,59,0,8,13,8,2.15,8,1,+7,+1.59,+1.53,8.2,4.2,+4.0,+0.91,+0.67
174,Harvey Elliott,eng  ENG,"MF,FW",Liverpool,19-313,2003,20,1131,57,62.8,12.6,13,73,3,7,25,0,1.45,21,14,+7,+0.56,+0.69,21.6,18.2,+3.4,+0.27,-0.11
175,Mohamed Elneny,eg  EGY,MF,Arsenal,30-215,1992,5,113,23,6.3,1.3,1,90,1,4,6,4,3.00,2,2,0,0.00,-1.49,2.6,1.3,+1.4,+1.09,+0.12
176,Mohamed Elyounoussi,no  NOR,"MF,FW",Southampton,28-191,1994,20,1400,70,74.1,15.6,17,79,8,3,19,1,0.75,13,27,-14,-0.90,+0.39,15.6,19.5,-3.9,-0.25,+0.49
177,Emerson,br  BRA,DF,Tottenham,24-028,1999,17,1180,69,59.6,13.1,14,80,7,3,20,2,1.88,23,18,+5,+0.38,-0.18,19.7,15.6,+4.1,+0.31,+0.20
178,Christian Eriksen,dk  DEN,MF,Manchester Utd,30-362,1992,19,1489,78,75.2,16.5,18,83,7,1,4,0,2.00,24,23,+1,+0.06,-1.22,23.2,19.5,+3.7,+0.22,-0.61
179,Pervis Estupiñán,ec  ECU,DF,Brighton,25-021,1998,17,1171,69,65.1,13.0,14,80,7,3,18,1,1.71,28,21,+7,+0.54,-0.03,20.2,18.1,+2.1,+0.16,-0.43
180,Jonny Evans,nir  NIR,DF,Leicester City,35-039,1988,9,810,90,42.9,9.0,9,90,9,0,,1,0.44,15,24,-9,-1.00,-1.33,10.1,14.8,-4.6,-0.52,-0.19
181,Eberechi Eze,eng  ENG,"MF,FW",Crystal Palace,24-227,1998,21,1529,73,80.9,17.0,19,78,5,2,27,0,1.14,19,22,-3,-0.18,+1.57,15.9,20.2,-4.3,-0.25,+1.18
182,Łukasz Fabiański,pl  POL,GK,West Ham,37-299,1985,21,1783,85,94.3,19.8,21,85,19,0,,0,0.90,18,24,-6,-0.30,+1.38,25.5,21.0,+4.5,+0.23,+1.25
183,Fabinho,br  BRA,MF,Liverpool,29-111,1993,18,1253,70,69.6,13.9,14,83,10,4,24,0,1.44,26,17,+9,+0.65,+1.14,23.9,18.5,+5.4,+0.39,+0.27
184,Wout Faes,be  BEL,DF,Leicester City,24-314,1998,15,1350,90,71.4,15.0,15,90,15,0,,0,1.33,24,21,+3,+0.20,+1.53,19.2,23.5,-4.2,-0.28,+0.43
185,Felipe,br  BRA,DF,Nott'ham Forest,33-271,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,
186,João Félix,pt  POR,FW,Chelsea,23-093,1999,1,57,57,3.0,0.6,1,57,0,0,,0,0.00,1,1,0,0.00,-0.05,1.9,0.5,+1.5,+2.30,+2.47
187,Evan Ferguson,ie  IRL,FW,Brighton,18-115,2004,5,199,40,11.1,2.2,2,68,0,3,21,2,2.00,9,1,+8,+3.62,+3.45,4.3,1.8,+2.6,+1.16,+0.95
188,Bruno Fernandes,pt  POR,"MF,FW",Manchester Utd,28-156,1994,21,1888,90,95.4,21.0,21,90,19,0,,0,2.05,35,25,+10,+0.48,+2.43,33.2,24.7,+8.5,+0.41,+0.68
189,Enzo Fernández,ar  ARG,MF,Chelsea,22-025,2001,1,90,90,4.8,1.0,1,90,1,0,,0,1.00,0,0,0,0.00,-0.05,1.3,0.6,+0.7,+0.69,+0.82
190,Mateo Fernández,es  ESP,"FW,MF",Leeds United,19-115,2003,2,3,2,0.2,0.0,0,,0,2,2,2,0.50,0,0,0,0.00,+0.38,0.0,0.3,-0.3,-7.59,-7.37
191,Ryan Finnigan,eng  ENG,MF,Southampton,19-141,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
192,Roberto Firmino,br  BRA,"FW,MF",Liverpool,31-132,1991,13,929,71,51.6,10.3,11,76,3,2,47,0,1.62,21,13,+8,+0.78,+0.98,16.7,14.4,+2.3,+0.22,-0.18
193,Junior Firpo,es  ESP,DF,Leeds United,26-173,1996,5,209,42,11.1,2.3,1,81,0,4,32,9,0.40,1,4,-3,-1.29,-1.02,1.7,3.6,-1.9,-0.83,-0.67
194,Phil Foden,eng  ENG,"FW,DF",Manchester City,22-259,2000,18,1045,58,55.3,11.6,13,73,5,5,18,1,2.17,32,11,+21,+1.81,+0.64,23.8,9.1,+14.7,+1.27,+0.10
195,Datro Fofana,ci  CIV,"FW,MF",Chelsea,20-051,2002,1,16,16,0.8,0.2,0,,0,1,16,3,1.00,0,0,0,0.00,-0.05,0.4,0.1,+0.3,+1.69,+1.80
196,Pablo Fornals,es  ESP,"FW,MF",West Ham,26-354,1996,18,960,53,50.8,10.7,11,76,1,7,17,3,0.83,10,14,-4,-0.37,+0.01,13.3,12.0,+1.3,+0.12,-0.07
197,Adam Forshaw,eng  ENG,MF,Leeds United,31-126,1991,5,159,32,8.4,1.8,2,55,0,3,17,2,1.00,1,3,-2,-1.13,-0.82,1.7,5.0,-3.3,-1.86,-1.77
198,Fraser Forster,eng  ENG,GK,Tottenham,34-331,1988,1,90,90,4.5,1.0,1,90,1,0,,21,1.00,2,2,0,0.00,-0.48,1.1,2.0,-0.9,-0.90,-1.18
199,Tyrese Francois,au  AUS,FW,Fulham,22-210,2000,1,1,1,0.1,0.0,0,,0,1,1,4,1.00,0,0,0,0.00,-0.09,0.0,0.0,0.0,0.00,+0.35
200,Nathan Fraser,ie  IRL,FW,Wolves,17-354,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
201,Ryan Fraser,sct  SCO,FW,Newcastle Utd,28-352,1994,8,313,39,16.6,3.5,3,67,0,5,22,7,1.63,3,3,0,0.00,-1.26,5.8,3.3,+2.5,+0.71,-0.01
202,Fred,br  BRA,MF,Manchester Utd,29-343,1993,19,763,40,38.5,8.5,7,78,5,12,18,3,1.95,15,15,0,0.00,-0.59,14.5,11.7,+2.8,+0.33,-0.07
203,Ryan Fredericks,eng  ENG,DF,Bournemouth,30-124,1992,8,451,56,23.9,5.0,5,74,1,3,27,1,1.00,10,9,+1,+0.20,+1.76,5.6,8.5,-2.9,-0.57,+0.43
204,Remo Freuler,ch  SUI,MF,Nott'ham Forest,30-302,1992,17,1371,81,72.5,15.2,15,87,12,2,31,2,1.18,11,25,-14,-0.92,-0.23,16.9,22.3,-5.5,-0.36,+0.06
205,Leo Fuhr Hjelde,no  NOR,DF,Leeds United,19-169,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,
206,James Furlong,ie  IRL,DF,Brighton,20-249,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
207,Cody Gakpo,nl  NED,FW,Liverpool,23-280,1999,3,255,85,14.2,2.8,3,85,1,0,,0,0.33,0,6,-6,-2.12,-2.82,4.1,5.0,-0.9,-0.33,-0.75
208,Conor Gallagher,eng  ENG,"MF,FW",Chelsea,23-005,2000,19,829,44,43.9,9.2,10,69,4,9,16,1,1.53,6,7,-1,-0.11,-0.28,10.3,10.1,+0.2,+0.02,+0.20
209,Idrissa Gana Gueye,sn  SEN,MF,Everton,33-138,1989,16,1221,76,64.6,13.6,15,79,6,1,29,0,0.94,11,19,-8,-0.59,-0.05,12.7,22.3,-9.6,-0.70,-0.34
210,Alejandro Garnacho,es  ESP,FW,Manchester Utd,18-225,2004,11,328,30,16.6,3.6,3,56,0,8,20,8,1.82,8,7,+1,+0.27,-0.11,8.2,3.3,+4.9,+1.34,+1.15
211,Jean-Philippe Gbamin,ci  CIV,"DF,MF",Everton,27-139,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,
212,David de Gea,es  ESP,GK,Manchester Utd,32-096,1990,22,1980,90,100.0,22.0,22,90,22,0,,0,1.95,36,28,+8,+0.36,,33.7,25.4,+8.3,+0.38,
213,Joe Gelhardt,eng  ENG,FW,Leeds United,20-283,2002,15,212,14,11.2,2.4,1,58,0,14,11,2,0.80,6,3,+3,+1.27,+1.86,3.7,2.7,+1.0,+0.43,+0.76
214,Saman Ghoddos,ir  IRN,"MF,FW",Brentford,29-158,1993,9,90,10,4.8,1.0,0,,0,9,10,11,1.44,1,4,-3,-3.00,-3.50,1.6,2.6,-1.0,-1.04,-1.26
215,Degnand Gnonto,it  ITA,"FW,MF",Leeds United,19-098,2003,10,716,72,37.9,8.0,8,82,4,2,32,3,1.00,12,12,0,0.00,+0.61,8.8,13.4,-4.6,-0.58,-0.55
216,Ben Godfrey,eng  ENG,DF,Everton,25-027,1998,4,211,53,11.2,2.3,3,65,1,1,15,2,0.25,2,4,-2,-0.85,-0.32,2.1,2.9,-0.8,-0.32,+0.30
217,Martial Godo,eng  ENG,MF,Fulham,19-334,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
218,André Gomes,pt  POR,MF,Everton,29-196,1993,0,,,,,0,,0,0,,1,,,,,,,,,,,
219,Claudio Gomes,fr  FRA,MF,Manchester City,22-203,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
220,Toti Gomes,pt  POR,DF,Wolves,24-026,1999,7,310,44,16.4,3.4,3,86,2,4,13,8,1.43,2,6,-4,-1.16,-0.53,3.5,7.9,-4.4,-1.27,-0.97
221,Joe Gomez,eng  ENG,DF,Liverpool,25-264,1997,17,1106,65,61.4,12.3,11,90,11,6,19,3,1.59,20,12,+8,+0.65,+0.91,21.9,18.3,+3.6,+0.30,-0.03
222,Sergio Gómez,es  ESP,"DF,MF",Manchester City,22-160,2000,5,111,22,5.9,1.2,0,,0,5,22,12,3.00,4,3,+1,+0.81,-0.76,2.9,2.0,+0.9,+0.70,-0.55
223,Charlie Goode,eng  ENG,DF,Brentford,27-192,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,
224,Owen Goodman,eng  ENG,GK,Crystal Palace,19-076,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
225,John-Kymani Gordon,eng  ENG,FW,Crystal Palace,19-363,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,
226,Archie Gray,eng  ENG,MF,Leeds United,16-336,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
227,Demarai Gray,eng  ENG,"FW,MF",Everton,26-228,1996,20,1679,84,88.8,18.7,19,87,13,1,35,1,0.75,12,26,-14,-0.75,-1.60,18.5,29.9,-11.4,-0.61,-0.24
228,Jack Grealish,eng  ENG,FW,Manchester City,27-154,1995,15,1040,69,55.0,11.6,11,82,5,4,36,3,2.47,31,9,+22,+1.90,+0.85,23.8,7.7,+16.1,+1.39,+0.38
229,Ben Greenwood,ie  IRL,DF,Bournemouth,19-356,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
230,Sam Greenwood,eng  ENG,"MF,FW",Leeds United,21-016,2002,12,318,27,16.8,3.5,2,83,1,10,15,9,1.00,8,9,-1,-0.28,+0.12,5.3,7.8,-2.6,-0.72,-0.59
231,Harvey Griffiths,eng  ENG,MF,Wolves,19-142,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
232,Pascal Groß,de  GER,"MF,DF",Brighton,31-241,1991,20,1731,87,96.2,19.2,20,87,14,0,,0,1.70,37,27,+10,+0.52,-0.78,30.2,24.8,+5.4,+0.28,-0.83
233,Vicente Guaita,es  ESP,GK,Crystal Palace,36-032,1987,21,1890,90,100.0,21.0,21,90,21,0,,0,1.14,19,29,-10,-0.48,,19.6,29.6,-10.0,-0.48,
234,Gonçalo Guedes,pt  POR,"FW,MF",Wolves,26-074,1996,13,707,54,37.4,7.9,8,71,1,5,27,4,0.77,4,12,-8,-1.02,-0.49,5.7,11.7,-6.0,-0.76,-0.47
235,Marc Guéhi,eng  ENG,DF,Crystal Palace,22-213,2000,20,1800,90,95.2,20.0,20,90,20,0,,0,1.20,19,26,-7,-0.35,+2.65,19.2,27.1,-7.9,-0.39,+1.75
236,Bruno Guimarães,br  BRA,MF,Newcastle Utd,25-087,1997,17,1397,82,73.9,15.5,17,82,9,0,,0,2.18,28,7,+21,+1.35,+1.17,25.0,12.6,+12.4,+0.80,+0.29
237,İlkay Gündoğan,de  GER,MF,Manchester City,32-110,1990,18,1252,70,66.2,13.9,14,85,8,4,15,3,2.17,38,12,+26,+1.87,+1.02,32.9,10.4,+22.6,+1.62,+1.18
238,Darko Gyabi,eng  ENG,FW,Leeds United,18-358,2004,1,8,8,0.4,0.1,0,,0,1,8,6,0.00,0,0,0,0.00,+0.38,0.1,0.3,-0.2,-2.30,-2.08
239,Erling Haaland,no  NOR,FW,Manchester City,22-205,2000,20,1636,82,86.6,18.2,19,85,12,1,27,0,2.10,49,20,+29,+1.60,+0.53,38.9,14.4,+24.5,+1.35,+0.94
240,Lewis Hall,eng  ENG,"DF,MF",Chelsea,18-156,2004,5,304,61,16.1,3.4,4,70,0,1,23,3,0.80,2,3,-1,-0.30,-0.41,4.2,3.9,+0.3,+0.10,+0.22
241,Oliver Hammond,wls  WAL,MF,Nott'ham Forest,20-090,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
242,Luke Harris,wls  WAL,"MF,FW",Fulham,17-314,2005,3,13,4,0.7,0.1,0,,0,3,4,14,2.00,0,1,-1,-6.92,-7.06,0.3,1.2,-0.8,-5.88,-5.56
243,Jack Harrison,eng  ENG,"FW,MF",Leeds United,26-083,1996,19,1328,70,70.3,14.8,17,75,5,2,27,1,1.00,17,20,-3,-0.20,+0.60,19.2,20.3,-1.2,-0.08,+0.53
244,Kai Havertz,de  GER,"FW,MF",Chelsea,23-245,1999,20,1501,75,79.4,16.7,18,81,8,2,19,1,1.45,18,17,+1,+0.06,+0.06,21.9,22.5,-0.6,-0.04,+0.24
245,Tom Heaton,eng  ENG,GK,Manchester Utd,36-302,1986,0,,,,,0,,0,0,,19,,,,,,,,,,,
246,Jan Paul van Hecke,nl  NED,DF,Brighton,22-248,2000,2,80,40,4.4,0.9,1,77,0,1,3,12,2.00,1,2,-1,-1.13,-1.75,1.5,0.9,+0.7,+0.75,+0.46
247,Hwang Hee-chan,kr  KOR,FW,Wolves,27-016,1996,17,690,41,36.5,7.7,9,64,1,8,15,2,1.06,8,9,-1,-0.13,+0.92,7.2,8.6,-1.4,-0.18,+0.45
248,Krisztián Hegyi,hu  HUN,GK,West Ham,20-140,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
249,Dean Henderson,eng  ENG,GK,Nott'ham Forest,25-336,1997,18,1620,90,85.7,18.0,18,90,18,0,,0,1.11,15,31,-16,-0.89,-0.22,20.5,26.6,-6.1,-0.34,+0.24
250,Jordan Henderson,eng  ENG,MF,Liverpool,32-239,1990,17,919,54,51.1,10.2,10,76,4,7,23,0,1.47,20,16,+4,+0.39,+0.19,19.3,15.6,+3.7,+0.36,+0.11
251,Wayne Hennessey,wls  WAL,GK,Nott'ham Forest,36-018,1987,2,180,90,9.5,2.0,2,90,2,0,,19,0.50,1,4,-3,-1.50,-0.71,2.6,3.8,-1.2,-0.62,-0.28
252,Rico Henry,eng  ENG,DF,Brentford,25-218,1997,20,1795,90,95.0,19.9,20,90,18,0,,0,1.50,33,28,+5,+0.25,-1.64,28.1,25.5,+2.6,+0.13,-0.45
253,Son Heung-min,kr  KOR,"MF,FW",Tottenham,30-218,1992,20,1638,82,82.7,18.2,19,85,11,1,32,0,1.80,31,24,+7,+0.38,-0.40,26.2,21.9,+4.3,+0.24,+0.03
254,Aaron Hickey,sct  SCO,DF,Brentford,20-246,2002,10,739,74,39.1,8.2,9,79,3,1,30,1,1.30,15,15,0,0.00,-0.55,11.4,9.8,+1.6,+0.20,+0.07
255,James Hill,eng  ENG,DF,Bournemouth,21-032,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,
256,Jack Hinshelwood,eng  ENG,MF,Brighton,17-306,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
257,Joseph Hodge,ie  IRL,MF,Wolves,20-150,2002,5,169,34,8.9,1.9,1,58,0,4,28,8,1.40,1,5,-4,-2.13,-1.55,2.0,4.2,-2.2,-1.16,-0.76
258,Rob Holding,eng  ENG,DF,Arsenal,27-144,1995,6,19,3,1.1,0.2,0,,0,6,3,14,3.00,0,0,0,0.00,-1.41,0.1,0.3,-0.1,-0.60,-1.59
259,Mason Holgate,eng  ENG,DF,Everton,26-112,1996,4,320,80,16.9,3.6,3,82,2,1,73,9,0.50,3,4,-1,-0.28,+0.35,4.5,5.8,-1.3,-0.36,+0.28
260,Callum Hudson-Odoi,eng  ENG,"FW,MF",Chelsea,22-096,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
261,Will Hughes,eng  ENG,MF,Crystal Palace,27-300,1995,15,321,21,17.0,3.6,2,77,0,13,13,3,1.00,0,6,-6,-1.68,-1.45,3.2,6.9,-3.8,-1.06,-0.70
262,Bashir Humphreys,eng  ENG,DF,Chelsea,19-333,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
263,Omari Hutchinson,eng  ENG,FW,Chelsea,19-104,2003,1,23,23,1.2,0.3,0,,0,1,23,4,0.00,0,0,0,0.00,-0.05,0.1,0.6,-0.5,-1.98,-1.91
264,Pierre Højbjerg,dk  DEN,MF,Tottenham,27-190,1995,21,1871,89,94.5,20.8,21,89,19,0,,0,1.86,40,29,+11,+0.53,+1.35,30.3,25.3,+5.0,+0.24,+0.13
265,Kelechi Iheanacho,ng  NGA,"FW,MF",Leicester City,26-131,1996,15,367,24,19.4,4.1,2,69,0,13,18,6,0.47,7,12,-5,-1.23,-1.23,7.6,8.9,-1.3,-0.32,+0.10
266,Zidane Iqbal,iq  IRQ,MF,Manchester Utd,19-290,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,
267,Tim Iroegbunam,eng  ENG,MF,Aston Villa,19-226,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
268,Alexander Isak,se  SWE,FW,Newcastle Utd,23-143,1999,5,284,57,15.0,3.2,3,81,1,2,21,0,1.20,3,2,+1,+0.32,-0.86,6.7,2.8,+3.9,+1.23,+0.60
269,Daniel Iversen,dk  DEN,GK,Leicester City,25-207,1997,0,,,,,0,,0,0,,21,,,,,,,,,,,
270,Alex Iwobi,ng  NGA,MF,Everton,26-284,1996,21,1872,89,99.0,20.8,21,89,20,0,,0,0.86,16,28,-12,-0.58,-0.58,22.1,33.8,-11.7,-0.56,+2.31
271,Karl Jakob Hein,ee  EST,GK,Arsenal,20-304,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
272,Eldin Jakupović,ch  SUI,GK,Everton,38-132,1984,0,,,,,0,,0,0,,1,,,,,,,,,,,
273,Reece James,eng  ENG,"DF,MF",Chelsea,23-065,1999,9,670,74,35.4,7.4,8,81,6,1,19,0,2.22,12,8,+4,+0.54,+0.76,9.7,8.2,+1.5,+0.20,+0.45
274,Vitaly Janelt,de  GER,"MF,DF",Brentford,24-277,1998,21,1349,64,71.4,15.0,14,81,8,7,31,0,1.57,22,21,+1,+0.07,-0.93,21.2,18.4,+2.7,+0.18,+0.10
275,Pontus Jansson,se  SWE,DF,Brentford,31-363,1991,7,515,74,27.2,5.7,6,86,5,1,1,1,1.57,13,10,+3,+0.52,+0.26,7.4,7.5,-0.1,-0.02,-0.23
276,Mathias Jensen,dk  DEN,MF,Brentford,27-041,1996,21,1585,75,83.9,17.6,21,75,6,0,,0,1.57,28,24,+4,+0.23,-0.66,22.7,21.2,+1.5,+0.08,-0.43
277,Gabriel Jesus,br  BRA,FW,Arsenal,25-314,1997,14,1219,87,67.7,13.5,14,87,7,0,,0,2.64,32,11,+21,+1.55,+0.47,25.3,11.4,+14.0,+1.03,+0.17
278,Raúl Jiménez,mx  MEX,FW,Wolves,31-282,1991,7,325,46,17.2,3.6,3,75,2,4,25,2,1.14,2,3,-1,-0.28,+0.53,4.1,5.7,-1.5,-0.42,+0.05
279,Joelinton,br  BRA,"MF,FW",Newcastle Utd,26-181,1996,19,1600,84,84.7,17.8,18,88,17,1,25,1,1.79,23,9,+14,+0.79,-1.70,28.0,15.6,+12.4,+0.70,-0.14
280,Ben Johnson,eng  ENG,DF,West Ham,23-018,2000,9,543,60,28.7,6.0,6,79,5,3,24,7,1.22,3,5,-2,-0.33,+0.07,8.7,6.8,+1.9,+0.32,+0.23
281,Brennan Johnson,wls  WAL,FW,Nott'ham Forest,21-264,2001,21,1706,81,90.3,19.0,19,87,12,2,31,0,1.14,16,29,-13,-0.69,+1.76,20.4,26.7,-6.2,-0.33,+0.46
282,Sam Johnstone,eng  ENG,GK,Crystal Palace,29-323,1993,0,,,,,0,,0,0,,19,,,,,,,,,,,
283,Curtis Jones,eng  ENG,"MF,FW",Liverpool,22-012,2001,6,189,32,10.5,2.1,1,90,1,5,20,4,1.17,0,3,-3,-1.43,-1.93,3.9,3.7,+0.2,+0.11,-0.23
284,Diogo Jota,pt  POR,"FW,MF",Liverpool,26-069,1996,4,196,49,10.9,2.2,2,85,0,2,14,0,1.25,3,4,-1,-0.46,-0.85,4.1,4.1,0.0,+0.01,-0.33
285,Hamed Junior Traorè,ci  CIV,FW,Bournemouth,22-360,2000,1,60,60,3.2,0.7,1,60,0,0,,0,0.00,0,0,0,0.00,+1.18,0.4,1.9,-1.5,-2.18,-1.32
