,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
197,Kai Havertz,de  GER,"FW,MF",Chelsea,23-245,1999,16.7,491,470,20,2,0,2,5,5,0,0,0,0,393,1,14
198,Jan Paul van Hecke,nl  NED,DF,Brighton,22-248,2000,0.9,97,96,1,0,0,0,0,1,0,0,0,0,93,0,1
199,Hwang Hee-chan,kr  KOR,FW,Wolves,27-016,1996,7.7,167,160,6,0,0,0,7,3,0,0,0,0,127,1,4
200,Dean Henderson,eng  ENG,GK,Nott'ham Forest,25-336,1997,18.0,671,455,214,58,0,0,0,0,0,0,0,0,425,2,0
201,Jordan Henderson,eng  ENG,MF,Liverpool,32-239,1990,10.2,759,736,20,7,6,7,9,6,0,0,0,0,619,3,13
202,Wayne Hennessey,wls  WAL,GK,Nott'ham Forest,36-018,1987,2.0,56,38,18,3,0,0,0,0,0,0,0,0,45,0,0
203,Rico Henry,eng  ENG,DF,Brentford,25-218,1997,19.9,629,552,74,0,4,2,47,74,0,0,0,0,450,3,11
204,Son Heung-min,kr  KOR,"MF,FW",Tottenham,30-218,1992,18.2,546,450,92,16,1,0,83,4,69,30,22,0,391,4,19
205,Aaron Hickey,sct  SCO,DF,Brentford,20-246,2002,8.2,316,282,34,6,0,1,13,28,0,0,0,0,256,0,7
206,Joseph Hodge,ie  IRL,MF,Wolves,20-150,2002,1.9,87,83,2,0,0,0,1,2,0,0,0,0,69,2,3
207,Rob Holding,eng  ENG,DF,Arsenal,27-144,1995,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
208,Mason Holgate,eng  ENG,DF,Everton,26-112,1996,3.6,148,139,8,5,1,5,1,3,0,0,0,0,107,1,1
209,Will Hughes,eng  ENG,MF,Crystal Palace,27-300,1995,3.6,158,146,10,3,0,0,10,2,3,1,2,0,115,2,7
210,Omari Hutchinson,eng  ENG,FW,Chelsea,19-104,2003,0.3,12,12,0,0,0,0,2,0,0,0,0,0,8,0,1
211,Pierre Højbjerg,dk  DEN,MF,Tottenham,27-190,1995,20.8,1379,1330,46,31,5,22,11,10,1,0,0,0,1217,3,20
212,Kelechi Iheanacho,ng  NGA,"FW,MF",Leicester City,26-131,1996,4.1,116,108,7,0,0,0,2,2,2,0,0,0,91,1,4
213,Alexander Isak,se  SWE,FW,Newcastle Utd,23-143,1999,3.2,44,42,2,0,0,0,0,0,0,0,0,0,30,0,1
214,Alex Iwobi,ng  NGA,MF,Everton,26-284,1996,20.8,914,883,25,2,9,10,46,14,5,4,0,0,721,6,21
215,Reece James,eng  ENG,"DF,MF",Chelsea,23-065,1999,7.4,555,466,88,15,0,3,43,60,13,9,1,0,472,1,9
216,Vitaly Janelt,de  GER,"MF,DF",Brentford,24-277,1998,15.0,617,587,26,11,3,10,13,14,1,1,0,0,485,4,9
217,Pontus Jansson,se  SWE,DF,Brentford,31-363,1991,5.7,241,236,5,5,1,0,0,0,0,0,0,0,196,0,1
218,Mathias Jensen,dk  DEN,MF,Brentford,27-041,1996,17.6,884,665,216,45,2,16,93,87,54,25,15,5,601,3,17
219,Gabriel Jesus,br  BRA,FW,Arsenal,25-314,1997,13.5,402,369,32,1,1,3,7,7,0,0,0,0,325,1,11
220,Raúl Jiménez,mx  MEX,FW,Wolves,31-282,1991,3.6,63,60,3,0,0,0,1,1,0,0,0,0,44,0,2
221,Joelinton,br  BRA,"MF,FW",Newcastle Utd,26-181,1996,17.8,734,708,23,3,2,3,13,15,4,0,0,0,596,3,27
222,Ben Johnson,eng  ENG,DF,West Ham,23-018,2000,6.0,337,293,43,6,0,6,11,35,0,0,0,0,246,1,9
223,Brennan Johnson,wls  WAL,FW,Nott'ham Forest,21-264,2001,19.0,300,295,4,0,0,1,38,2,1,1,0,0,165,1,17
224,Curtis Jones,eng  ENG,"MF,FW",Liverpool,22-012,2001,2.1,138,135,3,0,1,1,3,2,0,0,0,0,118,0,2
225,Diogo Jota,pt  POR,"FW,MF",Liverpool,26-069,1996,2.2,64,63,1,0,1,1,3,0,0,0,0,0,38,0,4
226,Hamed Junior Traorè,ci  CIV,FW,Bournemouth,22-360,2000,0.7,20,19,1,0,0,0,3,0,1,1,0,0,12,0,0
227,James Justin,eng  ENG,DF,Leicester City,24-353,1998,13.9,819,687,130,16,0,4,21,114,0,0,0,0,667,2,19
228,Mathias Jørgensen,dk  DEN,DF,Brentford,32-294,1990,8.3,339,301,37,5,0,0,1,28,0,0,0,0,272,1,0
229,Sasa Kalajdzic,at  AUT,FW,Wolves,25-219,1997,0.5,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
230,Boubacar Kamara,fr  FRA,MF,Aston Villa,23-080,1999,13.3,717,692,25,23,0,7,0,0,0,0,0,0,603,0,19
231,Harry Kane,eng  ENG,FW,Tottenham,29-198,1993,21.8,518,467,46,10,8,11,24,19,0,0,0,0,360,5,25
232,N'Golo Kanté,fr  FRA,MF,Chelsea,31-319,1991,1.9,129,128,0,0,0,0,3,0,0,0,0,0,107,1,4
233,Michael Keane,eng  ENG,DF,Everton,30-031,1993,0.3,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
234,Neeskens Kebano,cd  COD,FW,Fulham,30-338,1992,7.9,188,186,2,0,0,1,20,0,2,0,0,0,139,0,15
235,Thilo Kehrer,de  GER,DF,West Ham,26-143,1996,15.5,753,676,75,16,0,4,16,58,0,0,0,0,625,2,13
236,Naby Keïta,gn  GUI,MF,Liverpool,28-001,1995,2.7,145,139,5,0,0,0,2,1,0,0,0,0,111,1,5
237,Lloyd Kelly,eng  ENG,DF,Bournemouth,24-128,1998,10.0,490,434,53,20,0,7,6,32,0,0,0,0,388,3,4
238,Max Kilman,eng  ENG,DF,Wolves,25-264,1997,21.0,1216,1194,17,17,0,13,0,0,0,0,0,0,1008,5,10
239,Mateusz Klich,pl  POL,"MF,FW",Leeds United,32-243,1990,3.1,148,139,9,2,0,0,8,4,3,1,1,0,108,0,7
240,Robin Koch,de  GER,DF,Leeds United,26-209,1996,19.5,922,892,28,28,2,4,1,0,0,0,0,0,702,2,18
241,Ibrahima Konaté,fr  FRA,DF,Liverpool,23-262,1999,4.2,269,263,6,5,0,0,0,1,0,0,0,0,231,0,3
242,Ezri Konsa,eng  ENG,DF,Aston Villa,25-111,1997,19.9,1023,977,42,27,1,3,4,14,0,0,0,0,881,4,10
243,Kalidou Koulibaly,sn  SEN,DF,Chelsea,31-236,1991,12.4,958,917,40,28,0,13,3,12,0,0,0,0,820,1,8
244,Cheikhou Kouyaté,sn  SEN,"MF,DF",Nott'ham Forest,33-052,1989,7.8,206,201,4,4,0,1,0,0,0,0,0,0,159,1,5
245,Mateo Kovačić,hr  CRO,MF,Chelsea,28-281,1994,9.3,641,628,13,11,6,7,2,2,0,0,0,0,537,0,11
246,Emil Krafth,se  SWE,DF,Newcastle Utd,28-193,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Dejan Kulusevski,se  SWE,"MF,FW",Tottenham,22-292,2000,11.7,393,369,24,0,2,2,25,4,9,0,0,0,300,0,14
248,Layvin Kurzawa,fr  FRA,DF,Fulham,30-160,1992,1.5,41,29,12,0,0,0,2,12,0,0,0,0,28,0,2
249,Adam Lallana,eng  ENG,"MF,FW",Brighton,34-277,1988,8.0,317,304,11,2,0,0,3,2,1,0,0,0,262,2,5
250,Tariq Lamptey,gh  GHA,DF,Brighton,22-134,2000,4.4,254,219,35,4,1,0,28,31,0,0,0,0,200,0,5
251,Manuel Lanzini,ar  ARG,"MF,FW",West Ham,29-361,1993,1.4,83,81,2,0,0,0,1,0,0,0,0,0,68,0,2
252,Aymeric Laporte,es  ESP,DF,Manchester City,28-260,1994,4.2,314,307,7,2,1,1,2,5,0,0,0,0,288,0,0
253,Juan Larios,es  ESP,DF,Southampton,19-030,2004,1.7,82,59,23,0,0,0,4,23,0,0,0,0,63,0,2
254,Jamaal Lascelles,eng  ENG,DF,Newcastle Utd,29-092,1993,1.2,26,26,0,0,0,0,0,0,0,0,0,0,21,0,0
255,Roméo Lavia,be  BEL,MF,Southampton,19-036,2004,8.9,348,346,2,1,2,5,1,0,1,0,0,1,302,0,4
256,Dexter Lembikisa,jm  JAM,DF,Wolves,19-099,2003,0.3,13,12,1,0,0,0,1,1,0,0,0,0,10,0,2
257,Mario Lemina,ga  GAB,MF,Wolves,29-163,1993,1.8,72,71,1,1,0,1,1,0,0,0,0,0,62,0,1
258,Clément Lenglet,fr  FRA,DF,Tottenham,27-239,1995,10.4,720,711,9,6,0,8,11,3,0,0,0,0,632,0,6
259,Bernd Leno,de  GER,GK,Fulham,30-344,1992,20.0,733,526,205,66,0,2,0,0,0,0,0,0,568,2,0
260,Jefferson Lerma,co  COL,"MF,DF",Bournemouth,28-109,1994,20.9,909,875,34,25,3,2,4,7,0,0,0,0,743,0,13
261,Jamal Lewis,nir  NIR,DF,Newcastle Utd,25-017,1998,0.1,12,12,0,0,0,0,0,0,0,0,0,0,10,0,1
262,Rico Lewis,eng  ENG,"DF,MF",Manchester City,18-082,2004,5.0,346,322,23,2,0,0,4,21,0,0,0,0,318,1,5
263,Keane Lewis-Potter,eng  ENG,"FW,MF",Brentford,21-354,2001,3.4,70,68,2,0,1,1,6,1,0,0,0,0,40,0,3
264,Victor Lindelöf,se  SWE,DF,Manchester Utd,28-209,1994,5.0,316,311,5,4,0,0,0,0,0,0,0,0,292,0,0
265,Jesse Lingard,eng  ENG,"FW,MF",Nott'ham Forest,30-058,1992,9.6,266,243,21,7,1,3,4,8,0,0,0,0,211,2,5
266,Diego Llorente,es  ESP,DF,Leeds United,29-179,1993,7.2,429,417,11,10,0,4,1,0,0,0,0,0,356,1,2
267,Hugo Lloris,fr  FRA,GK,Tottenham,36-047,1986,21.0,625,443,179,16,0,0,0,0,0,0,0,0,493,3,1
268,Renan Lodi,br  BRA,DF,Nott'ham Forest,24-309,1998,11.2,467,354,112,24,0,2,42,81,7,4,2,0,327,1,11
269,Ruben Loftus-Cheek,eng  ENG,"MF,DF",Chelsea,27-019,1996,10.6,546,518,24,7,1,5,10,17,0,0,0,0,461,4,12
270,Sean Longstaff,eng  ENG,MF,Newcastle Utd,25-104,1997,17.7,749,727,18,1,6,5,21,1,2,0,0,0,590,4,20
271,Jamal Lowe,jm  JAM,"MF,FW",Bournemouth,28-205,1994,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
272,Douglas Luiz,br  BRA,MF,Aston Villa,24-278,1998,15.9,937,827,108,62,3,7,55,4,41,21,12,1,774,2,7
273,Lyanco,br  BRA,DF,Southampton,26-010,1997,7.6,330,295,34,8,1,1,2,26,0,0,0,0,237,1,4
274,Alexis Mac Allister,ar  ARG,MF,Brighton,24-049,1998,16.2,954,927,26,16,3,6,15,3,7,5,2,0,842,1,23
275,James Maddison,eng  ENG,"MF,FW",Leicester City,26-080,1996,13.2,605,536,67,29,3,4,55,1,35,19,11,2,465,2,12
276,Noni Madueke,eng  ENG,FW,Chelsea,20-338,2002,0.5,30,29,1,0,0,0,3,0,1,1,0,0,21,0,0
277,Harry Maguire,eng  ENG,DF,Manchester Utd,29-343,1993,4.3,245,242,3,3,0,3,0,0,0,0,0,0,215,0,1
278,Riyad Mahrez,dz  ALG,"FW,MF",Manchester City,31-355,1991,10.0,568,501,67,18,5,6,44,22,27,15,6,0,479,0,10
279,Ainsley Maitland-Niles,eng  ENG,"MF,DF",Southampton,25-166,1997,6.0,258,241,17,2,1,2,6,15,0,0,0,0,215,0,4
280,Tyrell Malacia,nl  NED,DF,Manchester Utd,23-178,1999,9.4,447,366,80,5,0,2,13,73,2,2,0,0,371,1,12
281,Orel Mangala,be  BEL,MF,Nott'ham Forest,24-330,1998,7.1,253,249,2,2,1,1,5,0,0,0,0,0,203,2,7
282,Javier Manquillo,es  ESP,DF,Newcastle Utd,28-282,1994,0.1,7,6,1,0,0,0,0,1,0,0,0,0,4,0,0
283,Sekou Mara,fr  FRA,"FW,MF",Southampton,20-196,2002,3.6,56,54,2,0,1,0,0,0,0,0,0,0,40,0,1
284,Solly March,eng  ENG,"FW,DF",Brighton,28-206,1994,19.1,796,704,91,10,0,17,87,43,35,20,8,0,577,1,17
285,Emiliano Marcondes,dk  DEN,MF,Bournemouth,27-339,1995,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
286,Marquinhos,br  BRA,MF,Arsenal,19-310,2003,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
287,Anthony Martial,fr  FRA,FW,Manchester Utd,27-068,1995,5.1,133,122,9,2,2,0,3,2,0,0,0,0,107,2,6
288,Martinelli,br  BRA,FW,Arsenal,21-238,2001,18.5,664,591,68,9,4,2,86,9,50,35,0,0,481,5,28
289,Emiliano Martínez,ar  ARG,GK,Aston Villa,30-162,1992,18.4,649,482,164,52,1,2,0,0,0,0,0,0,482,3,1
290,Lisandro Martínez,ar  ARG,DF,Manchester Utd,25-024,1998,17.4,1131,1049,78,17,6,9,0,3,0,0,0,0,981,4,3
291,Pape Matar Sarr,sn  SEN,MF,Tottenham,20-150,2002,1.2,79,77,2,2,0,1,0,0,0,0,0,0,73,0,0
292,Jean-Philippe Mateta,fr  FRA,FW,Crystal Palace,25-228,1997,4.9,94,89,5,0,0,0,1,0,0,0,0,0,68,0,5
293,Joël Matip,cm  CMR,DF,Liverpool,31-187,1991,7.1,481,473,7,6,0,2,1,1,0,0,0,0,407,1,3
294,Neal Maupay,fr  FRA,FW,Everton,26-181,1996,7.9,154,137,16,1,0,0,1,2,0,0,0,0,115,1,7
295,Kevin Mbabu,ch  SUI,"DF,FW",Fulham,27-298,1995,1.6,94,71,23,0,0,1,7,23,0,0,0,0,68,0,2
296,Bryan Mbeumo,cm  CMR,FW,Brentford,23-188,1999,17.6,476,417,57,14,3,1,68,10,32,15,5,4,318,2,17
297,John McGinn,sct  SCO,MF,Aston Villa,28-116,1994,13.6,527,503,19,8,2,9,27,1,9,7,0,0,397,5,13
298,Scott McKenna,sct  SCO,DF,Nott'ham Forest,26-091,1996,16.2,691,657,31,10,0,3,2,21,0,0,0,0,550,3,2
299,Weston McKennie,us  USA,MF,Leeds United,24-167,1998,1.4,61,59,2,1,0,0,0,1,0,0,0,0,42,0,2
300,Dwight McNeil,eng  ENG,"FW,DF",Everton,23-081,1999,10.9,400,352,47,12,2,3,69,8,27,24,1,0,289,1,19
301,Scott McTominay,sct  SCO,MF,Manchester Utd,26-065,1996,8.4,267,262,4,3,1,3,2,1,0,0,0,0,216,1,1
302,Ben Mee,eng  ENG,DF,Brentford,33-143,1989,19.4,981,896,80,23,0,6,5,56,0,0,0,0,739,5,12
303,Edouard Mendy,sn  SEN,GK,Chelsea,30-347,1992,8.5,268,206,62,6,0,1,0,0,0,0,0,0,213,0,0
304,Nampalys Mendy,sn  SEN,MF,Leicester City,30-233,1992,3.9,187,184,3,3,0,2,1,0,0,0,0,0,161,0,5
305,Chris Mepham,wls  WAL,DF,Bournemouth,25-098,1997,16.9,696,672,22,15,0,2,0,7,0,0,0,0,575,2,5
306,Illan Meslier,fr  FRA,GK,Leeds United,22-346,2000,21.0,636,420,215,49,0,0,0,0,0,0,0,0,382,1,1
307,Alexander Mighten,eng  ENG,FW,Nott'ham Forest,20-306,2002,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
308,Luka Milivojević,rs  SRB,MF,Crystal Palace,31-310,1991,3.3,162,154,7,6,0,2,3,1,0,0,0,0,132,1,0
309,James Milner,eng  ENG,"DF,MF",Liverpool,37-038,1986,6.1,420,350,68,14,1,2,41,43,11,2,9,0,311,2,14
310,Yerry Mina,co  COL,DF,Everton,28-141,1994,2.6,174,163,11,10,0,1,0,1,0,0,0,0,156,0,0
311,Tyrone Mings,eng  ENG,DF,Aston Villa,29-335,1993,19.0,949,914,33,27,1,9,2,6,0,0,0,0,797,2,4
312,Tyrick Mitchell,eng  ENG,DF,Crystal Palace,23-163,1999,15.2,780,611,167,21,0,0,27,146,0,0,0,0,555,2,32
313,Kaoru Mitoma,jp  JPN,"FW,DF",Brighton,25-267,1997,9.3,402,389,11,0,1,2,19,10,1,0,0,0,319,2,14
314,Aleksandar Mitrović,rs  SRB,FW,Fulham,28-148,1994,17.2,376,370,6,0,4,5,3,3,0,0,0,0,226,0,17
315,Kieffer Moore,wls  WAL,FW,Bournemouth,30-187,1992,12.4,317,295,22,1,0,1,6,0,0,0,0,0,186,0,12
316,Andrew Moran,ie  IRL,FW,Brighton,19-119,2003,0.1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0
317,Álex Moreno,es  ESP,DF,Aston Villa,29-248,1993,2.4,166,142,23,5,0,0,11,18,0,0,0,0,116,1,7
318,Mason Mount,eng  ENG,"MF,FW",Chelsea,24-032,1999,16.8,730,658,68,17,5,8,63,5,34,11,19,1,550,4,20
319,Lucas Moura,br  BRA,"MF,DF",Tottenham,30-182,1992,1.1,54,50,4,0,0,0,6,3,1,0,0,0,38,0,3
320,João Moutinho,pt  POR,MF,Wolves,36-156,1986,15.0,815,725,86,40,4,6,38,3,19,7,8,0,667,4,12
321,Divin Mubama,eng  ENG,FW,West Ham,18-109,2004,0.0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
322,Mykhailo Mudryk,ua  UKR,FW,Chelsea,22-037,2001,0.9,31,31,0,0,1,0,1,0,0,0,0,0,24,0,0
323,Jacob Murphy,eng  ENG,FW,Newcastle Utd,27-352,1995,6.1,184,176,7,0,4,0,21,3,3,1,0,0,114,1,15
324,Enock Mwepu,zm  ZAM,"FW,MF",Brighton,25-041,1998,2.4,78,76,2,0,0,1,3,0,0,0,0,0,61,0,3
325,Vitaliy Mykolenko,ua  UKR,"DF,MF",Everton,23-258,1999,19.8,905,738,160,8,1,1,35,150,2,1,1,0,689,7,19
326,Keylor Navas,cr  CRC,GK,Nott'ham Forest,36-058,1986,1.0,36,14,22,10,0,0,0,0,0,0,0,0,15,0,0
327,Wilfred Ndidi,ng  NGA,"MF,DF",Leicester City,26-057,1996,9.7,573,555,18,12,0,4,1,3,0,0,0,0,500,0,8
328,Reiss Nelson,eng  ENG,FW,Arsenal,23-063,1999,0.7,39,39,0,0,0,0,1,0,0,0,0,0,35,0,0
329,Neto,br  BRA,GK,Bournemouth,33-207,1989,10.5,314,199,115,29,0,1,0,0,0,0,0,0,204,0,0
330,Pedro Neto,pt  POR,"FW,MF",Wolves,22-339,2000,6.7,240,211,29,8,0,3,45,1,20,9,6,0,177,0,7
331,Rúben Neves,pt  POR,MF,Wolves,25-335,1997,20.0,1220,1145,72,60,3,16,20,3,3,2,1,0,1008,3,22
332,Moussa Niakhate,fr  FRA,DF,Nott'ham Forest,26-340,1996,1.8,50,47,3,3,0,0,0,0,0,0,0,0,38,0,1
333,Rasmus Nissen,dk  DEN,DF,Leeds United,25-215,1997,12.6,675,522,151,7,0,0,27,144,0,0,0,0,474,2,23
334,Eddie Nketiah,eng  ENG,FW,Arsenal,23-257,1999,7.7,166,153,13,0,0,1,0,0,0,0,0,0,138,0,4
335,Matheus Nunes,pt  POR,MF,Wolves,24-168,1998,14.9,550,532,17,8,3,21,21,2,7,3,3,0,438,1,13
336,Darwin Núñez,uy  URU,FW,Liverpool,23-232,1999,11.0,210,203,4,0,1,1,12,2,1,0,0,0,135,3,9
337,Ethan Nwaneri,eng  ENG,FW,Arsenal,15-327,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,Christian Nørgaard,dk  DEN,MF,Brentford,28-338,1994,9.7,425,413,8,3,2,5,3,2,0,0,0,0,310,4,2
339,Lewis O'Brien,eng  ENG,MF,Nott'ham Forest,24-120,1998,6.5,214,207,7,4,0,0,4,3,0,0,0,0,166,0,4
340,Angelo Ogbonna,it  ITA,DF,West Ham,34-264,1988,4.3,139,137,2,2,0,0,0,0,0,0,0,0,116,0,0
341,Michael Olise,fr  FRA,"MF,FW",Crystal Palace,21-061,2001,14.4,709,607,101,31,1,9,105,9,50,24,18,3,500,1,29
342,Robin Olsen,se  SWE,GK,Aston Villa,33-034,1990,2.6,111,79,32,8,0,1,0,0,0,0,0,0,65,0,0
343,Amadou Onana,be  BEL,MF,Everton,21-179,2001,16.5,629,622,5,3,3,6,3,1,0,0,0,0,530,2,3
344,Josh Onomah,eng  ENG,MF,Fulham,25-290,1997,0.2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1
345,Paul Onuachu,ng  NGA,FW,Southampton,28-259,1994,0.5,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0
346,Frank Onyeka,ng  NGA,MF,Brentford,25-041,1998,4.9,129,128,1,0,0,0,1,1,0,0,0,0,97,0,2
347,Mislav Oršić,hr  CRO,MF,Southampton,30-044,1992,0.1,3,2,1,0,0,0,0,1,0,0,0,0,2,0,0
348,Dango Ouattara,bf  BFA,MF,Bournemouth,21-000,2002,2.0,50,49,1,0,0,2,7,1,0,0,0,0,33,0,2
349,Alex Oxlade-Chamberlain,eng  ENG,"FW,MF",Liverpool,29-180,1993,3.5,99,95,2,0,2,3,2,2,0,0,0,0,73,2,3
350,David Ozoh,,FW,Crystal Palace,17-256,2005,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
351,João Palhinha,pt  POR,MF,Fulham,27-217,1995,20.7,729,706,21,15,0,21,2,0,0,0,0,0,592,2,11
352,Cole Palmer,eng  ENG,"FW,MF",Manchester City,20-281,2002,1.3,72,71,1,0,0,1,4,0,1,0,0,0,62,0,0
353,Emerson Palmieri,it  ITA,"DF,MF",West Ham,28-192,1994,5.1,253,231,22,1,0,0,13,21,0,0,0,0,202,0,10
354,Lucas Paquetá,br  BRA,MF,West Ham,25-168,1997,11.9,570,533,32,11,7,5,13,1,0,0,0,0,449,5,11
355,Thomas Partey,gh  GHA,MF,Arsenal,29-243,1993,16.1,1133,1098,32,16,4,8,2,16,0,0,0,0,974,3,10
356,Nathan Patterson,sct  SCO,"DF,MF",Everton,21-118,2001,11.0,517,399,117,5,1,0,29,112,0,0,0,0,396,1,9
357,Ben Pearson,eng  ENG,MF,Bournemouth,28-038,1995,3.2,134,130,4,3,0,1,0,0,0,0,0,0,108,0,1
358,Facundo Pellistri,uy  URU,FW,Manchester Utd,21-053,2001,0.4,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
359,Andreas Pereira,br  BRA,MF,Fulham,27-041,1996,20.2,722,556,158,56,0,10,140,5,79,33,35,0,464,8,33
360,Ayoze Pérez,es  ESP,"MF,FW",Leicester City,29-197,1993,4.2,171,156,14,1,5,0,17,1,11,6,5,0,118,1,11
361,Ivan Perišić,hr  CRO,"DF,MF",Tottenham,34-009,1989,15.0,727,579,145,9,0,10,122,90,46,42,1,0,474,3,26
362,Romain Perraud,fr  FRA,DF,Southampton,25-142,1997,12.3,528,429,95,5,1,0,45,89,1,0,0,0,372,4,22
363,Kalvin Phillips,eng  ENG,MF,Manchester City,27-071,1995,0.2,20,20,0,0,0,0,0,0,0,0,0,0,16,0,0
364,Nathaniel Phillips,eng  ENG,DF,Liverpool,25-327,1997,0.7,82,80,2,2,0,2,0,0,0,0,0,0,71,0,0
365,Jordan Pickford,eng  ENG,GK,Everton,28-341,1994,20.0,736,483,250,72,1,2,0,0,0,0,0,0,455,3,1
366,Ethan Pinnock,jm  JAM,DF,Brentford,29-258,1993,13.0,486,448,35,8,0,1,3,27,0,0,0,0,353,3,2
367,Daniel Podence,pt  POR,"FW,MF",Wolves,27-113,1995,14.6,498,459,36,3,7,7,31,9,18,5,6,0,339,3,13
368,Nick Pope,eng  ENG,GK,Newcastle Utd,30-298,1992,21.0,536,374,162,47,0,1,0,0,0,0,0,0,359,0,0
369,Dennis Praet,be  BEL,MF,Leicester City,28-273,1994,4.0,129,123,6,0,1,0,10,2,1,0,0,0,97,0,7
370,Isaac Price,nir  NIR,MF,Everton,19-138,2003,0.4,14,14,0,0,0,0,1,0,0,0,0,0,12,0,0
371,Christian Pulisic,us  USA,"FW,DF",Chelsea,24-146,1998,6.8,229,225,2,0,0,0,7,2,0,0,0,0,185,2,6
372,Aaron Ramsdale,eng  ENG,GK,Arsenal,24-273,1998,20.0,575,450,123,45,0,5,0,0,0,0,0,0,382,2,2
373,Jacob Ramsey,eng  ENG,MF,Aston Villa,21-259,2001,13.7,502,496,2,2,0,0,8,0,0,0,0,0,415,4,11
374,Marcus Rashford,eng  ENG,FW,Manchester Utd,25-103,1997,19.9,514,503,7,0,2,3,16,5,0,0,0,0,387,4,22
375,David Raya,es  ESP,GK,Brentford,27-149,1995,21.0,893,634,257,97,0,11,0,0,0,0,0,0,568,2,1
376,Tim Ream,us  USA,DF,Fulham,35-129,1987,22.0,1247,1211,34,21,0,17,4,8,0,0,0,0,1073,2,2
377,Nathan Redmond,eng  ENG,DF,Southampton,28-342,1994,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
378,Harrison Reed,eng  ENG,MF,Fulham,28-015,1995,19.2,726,692,32,8,0,2,30,3,2,1,1,0,550,2,24
379,Bobby Reid,jm  JAM,"FW,DF",Fulham,30-009,1993,19.3,687,613,70,6,0,2,42,64,0,0,0,0,477,4,28
380,Declan Rice,eng  ENG,MF,West Ham,24-028,1999,21.0,1297,1265,31,27,2,41,22,1,3,3,0,0,1140,1,14
381,Chris Richards,us  USA,DF,Crystal Palace,22-320,2000,3.9,137,133,4,3,0,0,0,1,0,0,0,0,113,0,0
382,Richarlison,br  BRA,"MF,FW",Tottenham,25-277,1997,5.4,150,145,5,0,3,1,8,0,0,0,0,0,111,0,5
383,Jaïro Riedewald,nl  NED,"DF,FW",Crystal Palace,26-155,1996,0.5,35,28,7,2,0,0,0,4,1,0,0,0,26,0,1
384,Matt Ritchie,sct  SCO,FW,Newcastle Utd,33-154,1989,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
385,Andrew Robertson,sct  SCO,DF,Liverpool,28-337,1994,14.7,1110,912,197,26,0,5,110,122,49,14,31,0,875,1,25
386,Antonee Robinson,us  USA,DF,Fulham,25-187,1997,18.3,989,807,182,13,0,3,60,169,0,0,0,0,729,0,29
387,Marc Roca,es  ESP,MF,Leeds United,26-077,1996,16.2,862,815,44,26,0,7,37,3,14,8,5,0,662,3,13
388,Marek Rodák,sk  SVK,GK,Fulham,26-060,1996,2.0,61,38,23,8,0,0,0,0,0,0,0,0,29,0,0
389,Rodri,es  ESP,MF,Manchester City,26-234,1996,19.3,1870,1834,35,30,1,18,3,2,0,0,0,0,1707,1,9
390,Rodrigo,es  ESP,"FW,MF",Leeds United,31-342,1991,14.4,390,351,36,0,4,7,13,4,1,0,0,0,274,3,7
391,Mads Roerslev,dk  DEN,DF,Brentford,23-232,1999,9.4,237,220,17,1,2,0,17,16,0,0,0,0,151,0,17
392,Cristian Romero,ar  ARG,DF,Tottenham,24-290,1998,13.3,783,739,43,31,1,13,0,12,0,0,0,0,681,1,14
393,Oriol Romeu,es  ESP,MF,Southampton,31-140,1991,0.8,30,30,0,0,0,0,1,0,0,0,0,0,28,0,0
394,Cristiano Ronaldo,pt  POR,FW,Manchester Utd,38-006,1985,5.8,162,157,5,0,2,1,3,1,0,0,0,0,121,0,10
395,Connor Ronan,ie  IRL,MF,Wolves,24-342,1998,0.0,4,3,1,1,0,0,1,0,0,0,0,0,3,0,0
396,Salomón Rondón,ve  VEN,FW,Everton,33-148,1989,1.2,29,28,1,0,0,0,0,1,0,0,0,0,22,0,0
397,Joe Rothwell,eng  ENG,"MF,DF",Bournemouth,28-031,1995,1.7,70,64,6,0,1,0,4,1,4,0,3,1,60,0,0
