,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
135,Jhon Durán,co  COL,FW,Aston Villa,19-060,2003,0.1,3,5,60.0,48,7,1,2,50.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
136,Malcolm Ebiowei,eng  ENG,"MF,FW",Crystal Palace,19-160,2003,0.4,5,10,50.0,98,16,2,4,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2
137,Ederson,br  BRA,GK,Manchester City,29-178,1993,21.0,665,765,86.9,15663,10112,150,152,98.7,356,359,99.2,158,253,62.5,1,0.2,0.2,+0.8,1,5,0,0,0
138,Odsonne Édouard,fr  FRA,"FW,MF",Crystal Palace,25-026,1998,11.9,193,269,71.7,2219,429,138,171,80.7,38,61,62.3,3,6,50.0,2,0.9,0.6,+1.1,12,7,9,0,27
139,Samuel Edozie,eng  ENG,"FW,MF",Southampton,20-014,2003,5.9,101,149,67.8,1176,324,70,86,81.4,18,30,60.0,4,9,44.4,0,0.3,0.4,-0.3,6,4,6,1,10
140,Anthony Elanga,se  SWE,FW,Manchester Utd,20-290,2002,4.4,90,122,73.8,1135,292,62,82,75.6,21,29,72.4,3,3,100.0,1,0.8,1.0,+0.2,5,3,2,0,6
141,Harvey Elliott,eng  ENG,"MF,FW",Liverpool,19-313,2003,12.6,546,686,79.6,8030,1998,312,349,89.4,187,236,79.2,26,52,50.0,1,2.3,2.8,-1.3,16,51,28,5,88
142,Mohamed Elneny,eg  EGY,MF,Arsenal,30-215,1992,1.3,57,60,95.0,1031,224,23,23,100.0,27,29,93.1,6,6,100.0,0,0.0,0.0,0.0,0,3,2,0,2
143,Mohamed Elyounoussi,no  NOR,"MF,FW",Southampton,28-191,1994,15.6,281,422,66.6,4094,1185,177,226,78.3,71,108,65.7,22,45,48.9,1,1.9,1.4,-0.9,14,20,14,6,32
144,Emerson,br  BRA,DF,Tottenham,24-028,1999,13.1,558,709,78.7,8777,2599,293,330,88.8,209,248,84.3,36,66,54.5,1,0.6,0.7,+0.4,6,35,13,3,58
145,Christian Eriksen,dk  DEN,MF,Manchester Utd,30-362,1992,16.5,813,1031,78.9,13451,3987,423,480,88.1,289,345,83.8,74,146,50.7,7,3.0,2.5,+4.0,25,89,17,2,104
146,Pervis Estupiñán,ec  ECU,DF,Brighton,25-021,1998,13.0,694,859,80.8,10081,3309,396,444,89.2,242,294,82.3,29,53,54.7,2,2.0,1.6,0.0,18,48,21,7,74
147,Jonny Evans,nir  NIR,DF,Leicester City,35-039,1988,9.0,600,672,89.3,12037,4584,171,185,92.4,359,379,94.7,64,91,70.3,0,0.0,0.1,0.0,1,40,1,0,31
148,Eberechi Eze,eng  ENG,"MF,FW",Crystal Palace,24-227,1998,17.0,548,694,79.0,8445,2354,317,359,88.3,167,206,81.1,45,94,47.9,3,2.8,2.0,+0.2,34,50,17,1,67
149,Łukasz Fabiański,pl  POL,GK,West Ham,37-299,1985,19.8,357,543,65.7,10981,8583,77,77,100.0,132,133,99.2,146,328,44.5,0,0.0,0.0,0.0,0,7,0,0,0
150,Fabinho,br  BRA,MF,Liverpool,29-111,1993,13.9,790,897,88.1,12874,3093,396,424,93.4,305,332,91.9,66,96,68.8,0,0.6,0.5,-0.6,6,58,7,0,78
151,Wout Faes,be  BEL,DF,Leicester City,24-314,1998,15.0,903,1049,86.1,17046,5916,312,351,88.9,510,545,93.6,73,132,55.3,0,0.3,0.4,-0.3,3,42,5,0,47
152,João Félix,pt  POR,FW,Chelsea,23-093,1999,0.6,16,24,66.7,255,75,10,13,76.9,5,5,100.0,1,2,50.0,0,0.2,0.2,-0.2,1,2,0,0,3
153,Evan Ferguson,ie  IRL,FW,Brighton,18-115,2004,2.2,35,45,77.8,420,55,26,30,86.7,7,9,77.8,1,1,100.0,2,0.3,0.3,+1.7,3,1,2,0,3
154,Bruno Fernandes,pt  POR,"MF,FW",Manchester Utd,28-156,1994,21.0,800,1079,74.1,13103,4344,433,506,85.6,244,316,77.2,90,166,54.2,4,7.1,5.3,-3.1,57,70,46,5,141
155,Enzo Fernández,ar  ARG,MF,Chelsea,22-025,2001,1.0,64,75,85.3,1241,374,22,29,75.9,31,33,93.9,10,11,90.9,0,0.1,0.0,-0.1,1,7,0,0,7
156,Mateo Fernández,es  ESP,"FW,MF",Leeds United,19-115,2003,0.0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
157,Roberto Firmino,br  BRA,"FW,MF",Liverpool,31-132,1991,10.3,342,439,77.9,4657,1482,208,242,86.0,98,124,79.0,16,24,66.7,3,1.8,1.8,+1.2,17,38,14,0,60
158,Junior Firpo,es  ESP,DF,Leeds United,26-173,1996,2.3,79,108,73.1,1253,403,39,47,83.0,36,43,83.7,3,10,30.0,0,0.1,0.0,-0.1,2,7,0,0,6
159,Phil Foden,eng  ENG,"FW,DF",Manchester City,22-259,2000,11.6,511,637,80.2,7731,1360,304,334,91.0,153,184,83.2,32,66,48.5,4,2.0,2.1,+2.0,22,24,22,8,47
160,Datro Fofana,ci  CIV,"FW,MF",Chelsea,20-051,2002,0.2,1,2,50.0,9,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
161,Pablo Fornals,es  ESP,"FW,MF",West Ham,26-354,1996,10.7,351,489,71.8,6019,1793,166,190,87.4,131,172,76.2,42,86,48.8,0,1.1,1.1,-1.1,11,40,6,2,48
162,Adam Forshaw,eng  ENG,MF,Leeds United,31-126,1991,1.8,54,65,83.1,719,290,34,36,94.4,10,11,90.9,4,11,36.4,0,0.5,0.2,-0.5,2,8,0,0,8
163,Fraser Forster,eng  ENG,GK,Tottenham,34-331,1988,1.0,18,22,81.8,450,290,2,2,100.0,12,12,100.0,4,7,57.1,0,0.0,0.0,0.0,0,0,0,0,0
164,Tyrese Francois,au  AUS,FW,Fulham,22-210,2000,0.0,2,2,100.0,12,2,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
165,Ryan Fraser,sct  SCO,FW,Newcastle Utd,28-352,1994,3.5,85,122,69.7,1228,289,50,59,84.7,28,41,68.3,3,8,37.5,0,0.4,0.3,-0.4,5,4,4,1,9
166,Fred,br  BRA,MF,Manchester Utd,29-343,1993,8.5,373,470,79.4,5627,1565,203,236,86.0,115,135,85.2,30,47,63.8,0,1.1,0.7,-1.1,16,29,5,1,41
167,Ryan Fredericks,eng  ENG,DF,Bournemouth,30-124,1992,5.0,138,202,68.3,2000,681,79,90,87.8,50,79,63.3,4,14,28.6,0,0.1,0.3,-0.1,1,4,6,1,14
168,Remo Freuler,ch  SUI,MF,Nott'ham Forest,30-302,1992,15.2,458,573,79.9,6991,2323,245,281,87.2,167,200,83.5,26,51,51.0,0,0.6,0.5,-0.6,9,34,4,3,36
169,Cody Gakpo,nl  NED,FW,Liverpool,23-280,1999,2.8,27,44,61.4,362,104,15,22,68.2,9,16,56.3,1,2,50.0,0,0.1,0.1,-0.1,2,2,1,0,6
170,Conor Gallagher,eng  ENG,"MF,FW",Chelsea,23-005,2000,9.2,382,484,78.9,5892,1430,206,236,87.3,140,166,84.3,21,42,50.0,1,2.1,1.3,-1.1,17,39,12,5,53
171,Idrissa Gana Gueye,sn  SEN,MF,Everton,33-138,1989,13.6,568,664,85.5,9275,2328,281,306,91.8,245,271,90.4,33,54,61.1,1,0.7,0.5,+0.3,5,52,3,0,49
172,Alejandro Garnacho,es  ESP,FW,Manchester Utd,18-225,2004,3.6,88,112,78.6,1015,125,67,79,84.8,16,17,94.1,1,1,100.0,2,1.0,0.8,+1.0,2,1,1,0,5
173,James Garner,eng  ENG,MF,Everton,21-335,2001,1.6,59,79,74.7,970,173,27,30,90.0,31,34,91.2,1,10,10.0,0,0.0,0.0,0.0,0,6,0,0,5
174,David de Gea,es  ESP,GK,Manchester Utd,32-096,1990,22.0,483,673,71.8,12009,8389,126,126,100.0,221,224,98.7,132,314,42.0,0,0.1,0.0,-0.1,1,2,1,0,0
175,Joe Gelhardt,eng  ENG,FW,Leeds United,20-283,2002,2.4,43,67,64.2,518,118,23,30,76.7,11,17,64.7,2,2,100.0,2,0.5,0.4,+1.5,2,3,1,0,6
176,Saman Ghoddos,ir  IRN,"MF,FW",Brentford,29-158,1993,1.0,35,48,72.9,517,176,20,22,90.9,13,17,76.5,2,8,25.0,0,0.2,0.1,-0.2,1,2,0,0,5
177,Billy Gilmour,sct  SCO,MF,Brighton,21-245,2001,1.8,142,154,92.2,2460,520,63,67,94.0,64,67,95.5,13,16,81.3,0,0.1,0.4,-0.1,1,10,4,0,17
178,Degnand Gnonto,it  ITA,"FW,MF",Leeds United,19-098,2003,8.0,181,266,68.0,2161,597,116,142,81.7,43,59,72.9,4,8,50.0,1,1.2,1.4,-0.2,14,4,11,2,15
179,Ben Godfrey,eng  ENG,DF,Everton,25-027,1998,2.3,69,87,79.3,1244,342,27,29,93.1,37,45,82.2,5,10,50.0,0,0.1,0.0,-0.1,1,7,0,0,5
180,Toti Gomes,pt  POR,DF,Wolves,24-026,1999,3.4,147,173,85.0,2671,966,62,64,96.9,74,83,89.2,11,25,44.0,0,0.1,0.0,-0.1,1,10,1,0,7
181,Joe Gomez,eng  ENG,DF,Liverpool,25-264,1997,12.3,869,1029,84.5,17498,5673,248,284,87.3,513,560,91.6,95,154,61.7,0,0.2,0.2,-0.2,1,97,2,0,83
182,Sergio Gómez,es  ESP,"DF,MF",Manchester City,22-160,2000,1.2,72,88,81.8,1166,315,33,38,86.8,30,35,85.7,5,6,83.3,1,0.4,0.2,+0.6,2,8,2,0,7
183,Demarai Gray,eng  ENG,"FW,MF",Everton,26-228,1996,18.7,432,632,68.4,7490,1659,210,234,89.7,158,210,75.2,51,139,36.7,1,2.7,3.1,-1.7,26,25,17,6,38
184,Jack Grealish,eng  ENG,FW,Manchester City,27-154,1995,11.6,465,556,83.6,6746,1210,294,318,92.5,139,160,86.9,23,40,57.5,3,3.6,3.5,-0.6,26,15,17,0,41
185,Sam Greenwood,eng  ENG,"MF,FW",Leeds United,21-016,2002,3.5,88,143,61.5,1540,654,48,56,85.7,24,42,57.1,14,40,35.0,2,0.8,0.8,+1.2,10,11,1,0,11
186,Pascal Groß,de  GER,"MF,DF",Brighton,31-241,1991,19.2,874,1147,76.2,14330,4203,445,499,89.2,334,408,81.9,69,172,40.1,3,5.1,3.8,-2.1,41,78,30,3,133
187,Vicente Guaita,es  ESP,GK,Crystal Palace,36-032,1987,21.0,491,672,73.1,12345,8073,136,138,98.6,200,205,97.6,144,314,45.9,0,0.0,0.0,0.0,0,3,0,0,1
188,Gonçalo Guedes,pt  POR,"FW,MF",Wolves,26-074,1996,7.9,138,201,68.7,2297,526,82,97,84.5,40,56,71.4,13,26,50.0,1,0.5,0.5,+0.5,9,11,8,2,16
189,Marc Guéhi,eng  ENG,DF,Crystal Palace,22-213,2000,20.0,1021,1172,87.1,20447,7820,326,358,91.1,584,619,94.3,106,182,58.2,0,0.2,0.2,-0.2,3,69,0,0,64
190,Bruno Guimarães,br  BRA,MF,Newcastle Utd,25-087,1997,15.5,692,848,81.6,11974,3362,333,376,88.6,259,302,85.8,77,114,67.5,3,1.8,1.5,+1.2,18,72,29,1,110
191,İlkay Gündoğan,de  GER,MF,Manchester City,32-110,1990,13.9,696,797,87.3,10663,2506,382,415,92.0,240,265,90.6,50,64,78.1,2,2.5,2.1,-0.5,28,81,22,0,101
192,Darko Gyabi,eng  ENG,FW,Leeds United,18-358,2004,0.1,4,4,100.0,72,17,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2
193,Erling Haaland,no  NOR,FW,Manchester City,22-205,2000,18.2,213,289,73.7,2684,525,123,154,79.9,65,85,76.5,5,6,83.3,3,3.0,2.4,0.0,17,9,14,0,34
194,Lewis Hall,eng  ENG,"DF,MF",Chelsea,18-156,2004,3.4,147,195,75.4,2592,748,79,92,85.9,52,68,76.5,16,26,61.5,0,0.3,0.2,-0.3,4,10,3,1,9
195,Luke Harris,wls  WAL,"MF,FW",Fulham,17-314,2005,0.1,13,14,92.9,172,25,9,9,100.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
196,Jack Harrison,eng  ENG,"FW,MF",Leeds United,26-083,1996,14.8,381,599,63.6,5391,2004,229,279,82.1,103,170,60.6,24,79,30.4,4,2.7,2.8,+1.3,30,36,24,8,57
197,Kai Havertz,de  GER,"FW,MF",Chelsea,23-245,1999,16.7,393,491,80.0,4834,1025,253,307,82.4,106,121,87.6,7,10,70.0,1,1.4,1.3,-0.4,18,26,13,1,49
198,Jan Paul van Hecke,nl  NED,DF,Brighton,22-248,2000,0.9,93,97,95.9,1886,436,20,20,100.0,68,70,97.1,5,6,83.3,0,0.0,0.0,0.0,0,12,0,0,9
199,Hwang Hee-chan,kr  KOR,FW,Wolves,27-016,1996,7.7,127,167,76.0,1824,418,75,94,79.8,39,48,81.3,7,9,77.8,1,1.0,0.4,0.0,8,7,6,1,19
200,Dean Henderson,eng  ENG,GK,Nott'ham Forest,25-336,1997,18.0,425,671,63.3,12543,8838,80,80,100.0,186,188,98.9,159,400,39.8,0,0.0,0.0,0.0,0,11,1,0,0
201,Jordan Henderson,eng  ENG,MF,Liverpool,32-239,1990,10.2,619,759,81.6,10582,2830,305,336,90.8,233,279,83.5,61,100,61.0,0,1.1,1.5,-1.1,13,77,20,3,83
202,Wayne Hennessey,wls  WAL,GK,Nott'ham Forest,36-018,1987,2.0,45,56,80.4,1510,1133,3,3,100.0,22,22,100.0,20,31,64.5,0,0.0,0.0,0.0,0,2,0,0,0
203,Rico Henry,eng  ENG,DF,Brentford,25-218,1997,19.9,450,629,71.5,6883,2311,256,298,85.9,148,210,70.5,32,83,38.6,2,1.5,1.7,+0.5,13,36,20,9,59
204,Son Heung-min,kr  KOR,"MF,FW",Tottenham,30-218,1992,18.2,391,546,71.6,5110,1490,246,284,86.6,98,141,69.5,17,57,29.8,3,3.4,2.3,-0.4,33,19,19,3,42
205,Aaron Hickey,sct  SCO,DF,Brentford,20-246,2002,8.2,256,316,81.0,3714,1101,157,174,90.2,83,101,82.2,10,25,40.0,0,0.0,0.1,0.0,1,25,5,1,32
206,Joseph Hodge,ie  IRL,MF,Wolves,20-150,2002,1.9,69,87,79.3,1067,354,41,45,91.1,19,22,86.4,5,7,71.4,0,0.1,0.0,-0.1,1,7,1,0,7
207,Rob Holding,eng  ENG,DF,Arsenal,27-144,1995,0.2,5,6,83.3,103,21,1,1,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
208,Mason Holgate,eng  ENG,DF,Everton,26-112,1996,3.6,107,148,72.3,2196,526,34,41,82.9,56,63,88.9,16,40,40.0,0,0.3,0.1,-0.3,3,9,1,0,9
209,Will Hughes,eng  ENG,MF,Crystal Palace,27-300,1995,3.6,115,158,72.8,1726,564,66,76,86.8,39,55,70.9,7,16,43.8,0,0.0,0.1,0.0,1,10,3,0,13
210,Omari Hutchinson,eng  ENG,FW,Chelsea,19-104,2003,0.3,8,12,66.7,109,4,6,7,85.7,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
211,Pierre Højbjerg,dk  DEN,MF,Tottenham,27-190,1995,20.8,1217,1379,88.3,21792,5774,528,579,91.2,494,539,91.7,147,185,79.5,3,2.2,2.0,+0.8,20,118,24,5,135
212,Kelechi Iheanacho,ng  NGA,"FW,MF",Leicester City,26-131,1996,4.1,91,116,78.4,1171,218,60,70,85.7,21,26,80.8,4,7,57.1,3,1.9,0.6,+1.1,11,5,4,0,8
213,Alexander Isak,se  SWE,FW,Newcastle Utd,23-143,1999,3.2,30,44,68.2,414,105,16,27,59.3,10,12,83.3,2,2,100.0,0,0.5,0.1,-0.5,5,3,2,0,5
214,Alex Iwobi,ng  NGA,MF,Everton,26-284,1996,20.8,721,914,78.9,12707,3419,331,381,86.9,292,356,82.0,79,120,65.8,5,3.0,2.2,+2.0,33,77,24,7,101
215,Reece James,eng  ENG,"DF,MF",Chelsea,23-065,1999,7.4,472,555,85.0,7635,2006,244,261,93.5,175,204,85.8,40,59,67.8,1,1.6,1.2,-0.6,9,27,9,2,43
216,Vitaly Janelt,de  GER,"MF,DF",Brentford,24-277,1998,15.0,485,617,78.6,8376,2381,246,282,87.2,174,213,81.7,55,87,63.2,1,0.8,0.7,+0.2,8,43,10,4,44
217,Pontus Jansson,se  SWE,DF,Brentford,31-363,1991,5.7,196,241,81.3,3815,1212,54,65,83.1,124,139,89.2,18,31,58.1,0,0.0,0.1,0.0,0,9,0,0,13
218,Mathias Jensen,dk  DEN,MF,Brentford,27-041,1996,17.6,601,884,68.0,11785,4374,267,327,81.7,216,305,70.8,102,205,49.8,4,2.1,2.1,+1.9,23,69,17,6,72
219,Gabriel Jesus,br  BRA,FW,Arsenal,25-314,1997,13.5,325,402,80.8,4807,1068,176,207,85.0,113,128,88.3,17,25,68.0,5,2.8,1.7,+2.2,22,23,12,1,38
220,Raúl Jiménez,mx  MEX,FW,Wolves,31-282,1991,3.6,44,63,69.8,534,114,31,37,83.8,10,16,62.5,1,4,25.0,0,0.5,0.3,-0.5,3,3,2,0,6
221,Joelinton,br  BRA,"MF,FW",Newcastle Utd,26-181,1996,17.8,596,734,81.2,8723,2347,338,389,86.9,201,223,90.1,32,43,74.4,1,1.8,1.6,-0.8,19,45,16,3,78
222,Ben Johnson,eng  ENG,DF,West Ham,23-018,2000,6.0,246,337,73.0,4590,1607,100,115,87.0,116,136,85.3,26,65,40.0,0,0.2,0.3,-0.2,3,18,5,3,23
223,Brennan Johnson,wls  WAL,FW,Nott'ham Forest,21-264,2001,19.0,165,300,55.0,2311,524,87,129,67.4,56,100,56.0,9,24,37.5,2,2.6,1.2,-0.6,17,8,11,2,23
224,Curtis Jones,eng  ENG,"MF,FW",Liverpool,22-012,2001,2.1,118,138,85.5,1781,441,63,71,88.7,46,49,93.9,5,8,62.5,0,0.2,0.3,-0.2,2,9,3,0,17
225,Diogo Jota,pt  POR,"FW,MF",Liverpool,26-069,1996,2.2,38,64,59.4,540,216,21,33,63.6,10,16,62.5,3,6,50.0,1,0.8,0.3,+0.2,7,4,2,1,9
226,Hamed Junior Traorè,ci  CIV,FW,Bournemouth,22-360,2000,0.7,12,20,60.0,215,99,6,6,100.0,3,7,42.9,2,2,100.0,0,0.0,0.2,0.0,1,1,2,1,3
227,James Justin,eng  ENG,DF,Leicester City,24-353,1998,13.9,667,819,81.4,10404,3063,371,408,90.9,239,282,84.8,39,81,48.1,0,0.3,0.5,-0.3,7,48,12,7,47
228,Mathias Jørgensen,dk  DEN,DF,Brentford,32-294,1990,8.3,272,339,80.2,4632,1970,118,133,88.7,138,170,81.2,12,29,41.4,0,0.1,0.1,-0.1,1,23,0,0,22
229,Sasa Kalajdzic,at  AUT,FW,Wolves,25-219,1997,0.5,2,4,50.0,26,0,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
230,Boubacar Kamara,fr  FRA,MF,Aston Villa,23-080,1999,13.3,603,717,84.1,9971,2945,296,333,88.9,227,250,90.8,55,75,73.3,1,0.3,0.3,+0.7,5,50,4,0,68
231,Harry Kane,eng  ENG,FW,Tottenham,29-198,1993,21.8,360,518,69.5,6673,2407,167,213,78.4,126,162,77.8,54,86,62.8,1,3.4,1.9,-2.4,37,51,30,4,105
232,N'Golo Kanté,fr  FRA,MF,Chelsea,31-319,1991,1.9,107,129,82.9,1516,296,70,73,95.9,31,39,79.5,3,7,42.9,0,0.3,0.3,-0.3,3,9,3,1,9
233,Michael Keane,eng  ENG,DF,Everton,30-031,1993,0.3,2,4,50.0,21,8,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
234,Neeskens Kebano,cd  COD,FW,Fulham,30-338,1992,7.9,139,188,73.9,1850,476,83,94,88.3,40,53,75.5,4,9,44.4,3,1.4,0.8,+1.6,11,2,9,3,21
235,Thilo Kehrer,de  GER,DF,West Ham,26-143,1996,15.5,625,753,83.0,11007,3853,259,297,87.2,318,352,90.3,40,73,54.8,0,0.2,0.2,-0.2,2,37,1,0,34
236,Naby Keïta,gn  GUI,MF,Liverpool,28-001,1995,2.7,111,145,76.6,1575,494,64,75,85.3,37,48,77.1,6,8,75.0,0,0.6,0.2,-0.6,7,15,2,0,15
237,Lloyd Kelly,eng  ENG,DF,Bournemouth,24-128,1998,10.0,388,490,79.2,7746,3403,112,128,87.5,214,236,90.7,51,104,49.0,2,0.1,0.4,+1.9,3,29,3,2,15
238,Max Kilman,eng  ENG,DF,Wolves,25-264,1997,21.0,1008,1216,82.9,19529,7262,354,380,93.2,545,593,91.9,98,217,45.2,0,0.0,0.2,0.0,1,79,4,0,76
239,Mateusz Klich,pl  POL,"MF,FW",Leeds United,32-243,1990,3.1,108,148,73.0,1411,387,61,69,88.4,28,34,82.4,5,17,29.4,0,0.2,0.2,-0.2,5,6,5,0,16
240,Robin Koch,de  GER,DF,Leeds United,26-209,1996,19.5,702,922,76.1,13583,6314,230,273,84.2,385,452,85.2,77,161,47.8,0,0.1,0.2,-0.1,1,69,3,0,63
241,Ibrahima Konaté,fr  FRA,DF,Liverpool,23-262,1999,4.2,231,269,85.9,4039,1693,91,103,88.3,124,139,89.2,13,21,61.9,0,0.0,0.2,0.0,0,10,1,0,12
242,Ezri Konsa,eng  ENG,DF,Aston Villa,25-111,1997,19.9,881,1023,86.1,16183,5516,324,355,91.3,480,520,92.3,69,124,55.6,0,0.5,0.4,-0.5,4,38,4,2,25
243,Kalidou Koulibaly,sn  SEN,DF,Chelsea,31-236,1991,12.4,820,958,85.6,14335,5530,368,391,94.1,375,418,89.7,63,120,52.5,0,0.4,0.3,-0.4,5,57,5,0,54
244,Cheikhou Kouyaté,sn  SEN,"MF,DF",Nott'ham Forest,33-052,1989,7.8,159,206,77.2,2545,705,79,101,78.2,51,60,85.0,17,23,73.9,0,0.6,0.3,-0.6,5,11,2,0,16
245,Mateo Kovačić,hr  CRO,MF,Chelsea,28-281,1994,9.3,537,641,83.8,8853,2709,264,300,88.0,219,244,89.8,36,63,57.1,1,1.1,1.1,-0.1,10,78,12,1,76
246,Emil Krafth,se  SWE,DF,Newcastle Utd,28-193,1994,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
247,Dejan Kulusevski,se  SWE,"MF,FW",Tottenham,22-292,2000,11.7,300,393,76.3,4127,1120,169,203,83.3,99,126,78.6,12,24,50.0,5,2.7,3.4,+2.3,25,8,21,6,37
248,Layvin Kurzawa,fr  FRA,DF,Fulham,30-160,1992,1.5,28,41,68.3,408,135,12,13,92.3,14,19,73.7,0,3,0.0,0,0.0,0.0,0.0,0,1,1,1,2
249,Adam Lallana,eng  ENG,"MF,FW",Brighton,34-277,1988,8.0,262,317,82.6,3033,656,173,194,89.2,57,74,77.0,6,9,66.7,1,1.0,1.2,0.0,14,23,9,1,33
250,Tariq Lamptey,gh  GHA,DF,Brighton,22-134,2000,4.4,200,254,78.7,2923,734,108,126,85.7,81,95,85.3,4,20,20.0,0,0.1,0.6,-0.1,3,12,8,5,23
251,Manuel Lanzini,ar  ARG,"MF,FW",West Ham,29-361,1993,1.4,68,83,81.9,1099,257,31,38,81.6,29,32,90.6,5,8,62.5,0,0.0,0.1,0.0,0,6,2,0,12
252,Aymeric Laporte,es  ESP,DF,Manchester City,28-260,1994,4.2,288,314,91.7,4901,1416,133,140,95.0,131,141,92.9,20,26,76.9,0,0.1,0.2,-0.1,3,32,5,0,28
253,Juan Larios,es  ESP,DF,Southampton,19-030,2004,1.7,63,82,76.8,881,326,40,46,87.0,21,27,77.8,2,4,50.0,0,0.0,0.0,0.0,0,5,0,0,4
254,Jamaal Lascelles,eng  ENG,DF,Newcastle Utd,29-092,1993,1.2,21,26,80.8,433,190,4,6,66.7,14,16,87.5,3,3,100.0,0,0.0,0.0,0.0,0,1,0,0,1
255,Roméo Lavia,be  BEL,MF,Southampton,19-036,2004,8.9,302,348,86.8,5485,1457,128,145,88.3,140,151,92.7,31,38,81.6,0,0.2,0.3,-0.2,4,39,5,0,33
256,Dexter Lembikisa,jm  JAM,DF,Wolves,19-099,2003,0.3,10,13,76.9,180,73,5,5,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,3
257,Mario Lemina,ga  GAB,MF,Wolves,29-163,1993,1.8,62,72,86.1,1085,284,30,34,88.2,28,30,93.3,4,6,66.7,0,0.1,0.3,-0.1,1,3,3,1,6
258,Clément Lenglet,fr  FRA,DF,Tottenham,27-239,1995,10.4,632,720,87.8,11887,4556,229,232,98.7,334,368,90.8,59,100,59.0,2,0.6,0.6,+1.4,5,41,4,3,41
259,Bernd Leno,de  GER,GK,Fulham,30-344,1992,20.0,568,733,77.5,14179,8934,145,145,100.0,288,290,99.3,135,296,45.6,0,0.0,0.0,0.0,1,8,0,0,0
260,Jefferson Lerma,co  COL,"MF,DF",Bournemouth,28-109,1994,20.9,743,909,81.7,11655,4132,361,416,86.8,308,346,89.0,43,90,47.8,0,0.5,1.2,-0.5,8,63,13,1,67
261,Jamal Lewis,nir  NIR,DF,Newcastle Utd,25-017,1998,0.1,10,12,83.3,163,71,2,2,100.0,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
262,Rico Lewis,eng  ENG,"DF,MF",Manchester City,18-082,2004,5.0,318,346,91.9,4603,674,195,202,96.5,107,114,93.9,9,13,69.2,0,0.8,0.8,-0.8,6,16,6,3,21
263,Keane Lewis-Potter,eng  ENG,"FW,MF",Brentford,21-354,2001,3.4,40,70,57.1,489,91,26,40,65.0,10,13,76.9,1,8,12.5,1,1.2,0.3,-0.2,5,0,2,1,4
264,Victor Lindelöf,se  SWE,DF,Manchester Utd,28-209,1994,5.0,292,316,92.4,5149,1695,104,111,93.7,166,172,96.5,19,30,63.3,0,0.0,0.0,0.0,0,17,0,0,15
265,Jesse Lingard,eng  ENG,"FW,MF",Nott'ham Forest,30-058,1992,9.6,211,266,79.3,3160,862,108,122,88.5,80,95,84.2,11,24,45.8,0,0.7,0.5,-0.7,10,26,7,1,32
266,Diego Llorente,es  ESP,DF,Leeds United,29-179,1993,7.2,356,429,83.0,6969,2284,118,130,90.8,203,228,89.0,33,59,55.9,0,0.0,0.0,0.0,0,17,0,0,27
267,Hugo Lloris,fr  FRA,GK,Tottenham,36-047,1986,21.0,493,625,78.9,11886,7412,151,153,98.7,211,212,99.5,131,256,51.2,0,0.0,0.0,0.0,0,12,0,0,0
268,Renan Lodi,br  BRA,DF,Nott'ham Forest,24-309,1998,11.2,327,467,70.0,5695,1834,153,176,86.9,135,184,73.4,31,82,37.8,0,0.5,0.5,-0.5,5,13,8,4,18
269,Ruben Loftus-Cheek,eng  ENG,"MF,DF",Chelsea,27-019,1996,10.6,461,546,84.4,6917,1888,272,308,88.3,157,176,89.2,23,29,79.3,0,0.9,1.2,-0.9,7,50,10,0,64
270,Sean Longstaff,eng  ENG,MF,Newcastle Utd,25-104,1997,17.7,590,749,78.8,9857,2855,285,333,85.6,230,269,85.5,55,94,58.5,3,2.8,2.1,+0.2,18,54,13,4,77
271,Jamal Lowe,jm  JAM,"MF,FW",Bournemouth,28-205,1994,0.1,2,4,50.0,18,3,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,1
