,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
71,Alberto Brignoli,it  ITA,GK,Sampdoria,23,1991,1.0,0,,0,,,0.00,,,,0,0
72,Davide Brivio,it  ITA,"DF,MF",Atalanta,27,1988,11.2,0,,1,,,0.09,,0.00,,0,0
73,Željko Brkić,rs  SRB,GK,Carpi,29,1986,3.7,0,,0,,,0.00,,,,0,0
74,Marcelo Brozović,hr  CRO,MF,Inter,22,1992,26.6,4,,12,,,0.45,,0.33,,0,0
75,Gastón Brugman,uy  URU,"MF,FW",Palermo,22,1992,10.8,0,,2,,,0.19,,0.00,,0,0
76,Igor Bubnjić,hr  CRO,DF,Carpi,23,1992,8.0,0,,1,,,0.12,,0.00,,0,0
77,Marcel Büchel,li  LIE,MF,Empoli,24,1991,17.5,2,,9,,,0.51,,0.22,,0,0
78,Gianluigi Buffon,it  ITA,GK,Juventus,37,1978,35.0,0,,0,,,0.00,,,,0,0
79,Nicolás Burdisso,ar  ARG,DF,Genoa,34,1981,27.2,0,,3,,,0.11,,0.00,,0,0
80,Jakub Błaszczykowski,pl  POL,"MF,FW",Fiorentina,29,1985,8.5,2,,4,,,0.47,,0.50,,0,0
81,Fabrizio Cacciatore,it  ITA,DF,Chievo,28,1986,25.7,1,,3,,,0.12,,0.33,,0,0
82,Martín Cáceres,uy  URU,DF,Juventus,28,1987,5.0,0,,0,,,0.00,,,,0,0
83,Davide Calabria,it  ITA,DF,Milan,18,1996,4.1,0,,0,,,0.00,,,,0,0
84,José Callejón,es  ESP,FW,Napoli,28,1987,31.3,7,,24,,,0.77,,0.29,,0,0
85,Michele Camporese,it  ITA,DF,Empoli,23,1992,1.8,0,,0,,,0.00,,,,0,0
86,Antonio Candreva,it  ITA,"FW,MF",Lazio,28,1987,24.3,10,,24,,,0.99,,0.17,,6,8
87,Paolo Cannavaro,it  ITA,DF,Sassuolo,34,1981,29.4,0,,0,,,0.00,,,,0,0
88,Diego Capel,es  ESP,"FW,MF",Genoa,27,1988,8.0,0,,4,,,0.50,,0.00,,0,0
89,Carlos Carbonero,co  COL,"FW,MF",Sampdoria,25,1990,11.5,0,,1,,,0.09,,0.00,,0,0
90,Massimiliano Carlini,it  ITA,"MF,FW",Frosinone,28,1986,4.3,0,,0,,,0.00,,,,0,0
91,Carlos Carmona,cl  CHI,MF,Atalanta,28,1987,5.2,0,,0,,,0.00,,,,0,0
92,Mattia Cassani,it  ITA,DF,Sampdoria,31,1983,22.6,0,,0,,,0.00,,,,0,0
93,Antonio Cassano,it  ITA,"FW,MF",Sampdoria,33,1982,13.5,2,,6,,,0.45,,0.33,,0,0
94,Leandro Castán,br  BRA,DF,Roma,28,1986,4.2,0,,0,,,0.00,,,,0,0
95,Nicolás Castillo,cl  CHI,FW,Frosinone,22,1993,3.4,0,,2,,,0.58,,0.00,,0,0
96,Lucas Castro,ar  ARG,MF,Chievo,26,1989,30.9,3,,11,,,0.36,,0.27,,0,0
97,Danilo Cataldi,it  ITA,MF,Lazio,20,1994,15.0,1,,6,,,0.40,,0.17,,0,0
98,Boštjan Cesar,si  SVN,DF,Chievo,33,1982,30.2,1,,4,,,0.13,,0.25,,0,0
99,Nathaniel Chalobah,eng  ENG,"DF,MF",Napoli,20,1994,0.4,0,,0,,,0.00,,,,0,0
100,Luca Checchin,it  ITA,MF,Hellas Verona,18,1997,1.1,0,,0,,,0.00,,,,0,0
101,Nicolò Cherubin,it  ITA,DF,Atalanta,28,1986,11.5,1,,2,,,0.17,,0.50,,0,0
102,Raman Chibsah,gh  GHA,MF,Frosinone,22,1993,12.9,0,,0,,,0.00,,,,0,0
103,Giorgio Chiellini,it  ITA,DF,Juventus,30,1984,19.9,1,,2,,,0.10,,0.50,,0,0
104,Vlad Chiricheș,ro  ROU,DF,Napoli,25,1989,7.7,1,,2,,,0.26,,0.50,,0,0
105,Ivaylo Chochev,bg  BUL,MF,Palermo,22,1993,19.4,0,,9,,,0.46,,0.00,,0,0
106,Lazaros Christodoulopoulos,gr  GRE,"MF,FW",Sampdoria,28,1986,3.9,1,,2,,,0.51,,0.50,,0,0
107,Luca Cigarini,it  ITA,MF,Atalanta,29,1986,20.2,2,,12,,,0.59,,0.08,,1,1
108,Daniel Ciofani,it  ITA,FW,Frosinone,30,1985,32.3,9,,26,,,0.80,,0.27,,2,2
109,Matteo Ciofani,it  ITA,DF,Frosinone,27,1988,14.2,0,,2,,,0.14,,0.00,,0,0
110,Thiago Cionek,pl  POL,DF,Palermo,29,1986,5.0,0,,0,,,0.00,,,,0,0
111,Issa Cissokho,sn  SEN,MF,Genoa,30,1985,7.2,0,,0,,,0.00,,,,0,0
112,Andrea Coda,it  ITA,DF,Sampdoria,30,1985,1.4,0,,0,,,0.00,,,,0,0
113,Isaac Cofie,gh  GHA,MF,Carpi,23,1991,23.9,0,,4,,,0.17,,0.00,,0,0
114,Kingsley Coman,fr  FRA,FW,Juventus,19,1996,0.7,0,,1,,,1.43,,0.00,,0,0
115,Andrea Consigli,it  ITA,GK,Sassuolo,28,1987,36.3,0,,0,,,0.00,,,,0,0
116,Kévin Constant,gn  GUI,DF,Bologna,28,1987,3.1,0,,0,,,0.00,,,,0,0
117,Andrea Conti,it  ITA,"MF,DF",Atalanta,21,1994,9.0,2,,2,,,0.22,,1.00,,0,0
118,Ferdinando Coppola,it  ITA,GK,Hellas Verona,37,1978,1.0,0,,0,,,0.00,,,,0,0
119,Joaquín Correa,ar  ARG,"MF,FW",Sampdoria,20,1994,14.6,3,,15,,,1.03,,0.20,,0,0
120,Uroš Ćosić,rs  SRB,DF,Empoli,22,1992,9.0,0,,0,,,0.00,,,,0,0
121,Angelo da Costa Júnior,br  BRA,GK,Bologna,31,1983,5.0,0,,0,,,0.00,,,,0,0
122,Andrea Costa,it  ITA,DF,Empoli,29,1986,23.1,1,,2,,,0.09,,0.50,,0,0
123,Filippo Costa,it  ITA,"DF,MF",Chievo,20,1995,1.5,0,,0,,,0.00,,,,0,0
124,Lorenzo Crisetig,it  ITA,MF,Bologna,22,1993,3.9,0,,0,,,0.00,,,,0,0
125,Bryan Cristante,it  ITA,MF,Palermo,20,1995,1.0,0,,0,,,0.00,,,,0,0
126,Roberto Crivello,it  ITA,DF,Frosinone,23,1991,16.0,0,,0,,,0.00,,,,0,0
127,Daniele Croce,it  ITA,MF,Empoli,32,1982,19.9,0,,2,,,0.10,,0.00,,0,0
