,Player,Varified,Weekly Gross,Annual Gross,Gross Bonus,Expiration,Length,Total Gross,Release Clause,Status,Pos. group,Pos.,Age,Country,Club
167,Anuar,,"€ 28,846","€ 1,500,000",,"Jun 30, 2023",1-yr,"€ 1,500,000",,Reserve,M,CM,27,Morocco,Valladolid
168,Oier Zarraga,,"€ 28,846","€ 1,500,000",,"Jun 30, 2023",1-yr,"€ 1,500,000",,Reserve,M,CM,23,Spain,Athletic Club
169,Chimy Ávila,,"€ 28,846","€ 1,500,000",,"Jun 30, 2026",4-yrs,"€ 6,000,000",,Starter,F,CF,28,Argentina,Osasuna
170,Giorgi Mamardashvili,,"€ 28,846","€ 1,500,000",,"Jun 30, 2027",5-yrs,"€ 7,500,000","€ 100,000,000",Starter,K,GK,21,Georgia,Valencia
171,Leandro Cabrera,,"€ 28,462","€ 1,480,000",,"Jun 30, 2024",2-yrs,"€ 2,960,000",,Starter,D,CB,31,Uruguay,Espanyol
172,Cristian Rivero,,"€ 27,885","€ 1,450,000",,"Jun 30, 2024",2-yrs,"€ 2,900,000",,Reserve,K,GK,24,Spain,Valencia
173,Joaquín,,"€ 27,692","€ 1,440,000",,"Jun 30, 2023",1-yr,"€ 1,440,000",,Reserve,F,RW,41,Spain,Real Betis
174,Florian Lejeune,,"€ 27,500","€ 1,430,000",,"Jun 30, 2023",1-yr,"€ 1,430,000",,Starter,D,CB,31,France,Rayo Vallecano
175,Gonzalo Montiel,,"€ 27,115","€ 1,410,000",,"Jun 30, 2026",4-yrs,"€ 5,640,000",,Reserve,D,RB,25,Argentina,Sevilla
176,Oihan Sancet,,"€ 26,923","€ 1,400,000",,"Jun 30, 2024",2-yrs,"€ 2,800,000",,Starter,F,AM,22,Spain,Athletic Club
177,Sergio Canales,,"€ 26,346","€ 1,370,000",,"Jun 30, 2026",4-yrs,"€ 5,480,000",,Starter,F,AM,31,Spain,Real Betis
178,Rubén García,,"€ 25,962","€ 1,350,000",,"Jun 30, 2024",2-yrs,"€ 2,700,000",,Starter,F,LW,29,Spain,Osasuna
179,Augusto Solari,,"€ 25,962","€ 1,350,000",,"Jun 30, 2023",1-yr,"€ 1,350,000",,Reserve,F,RW,30,Argentina,Celta Vigo
180,Manu Morlanes,,"€ 25,192","€ 1,310,000",,"Jun 30, 2026",4-yrs,"€ 5,240,000",,Reserve,M,CM,23,Spain,Villarreal
181,Karim Rekik,,"€ 25,192","€ 1,310,000",,"Jun 30, 2025",3-yrs,"€ 3,930,000",,Reserve,D,CB,27,Netherlands,Sevilla
182,Borja Iglesias,,"€ 24,808","€ 1,290,000",,"Jun 30, 2026",4-yrs,"€ 5,160,000",,Starter,F,CF,29,Spain,Real Betis
183,Álvaro Negredo,,"€ 24,808","€ 1,290,000",,"Jun 30, 2023",1-yr,"€ 1,290,000",,Reserve,F,CF,37,Spain,Cadiz
184,Jeremías Ledesma,,"€ 24,615","€ 1,280,000",,"Jun 30, 2025",3-yrs,"€ 3,840,000",,Starter,K,GK,29,Argentina,Cadiz
185,Rafa Mir,,"€ 24,231","€ 1,260,000",,"Jun 30, 2027",5-yrs,"€ 6,300,000",,Reserve,F,CF,25,Spain,Sevilla
186,Falcao,,"€ 23,077","€ 1,200,000",,"Jun 30, 2023",1-yr,"€ 1,200,000",,Reserve,F,CF,36,Colombia,Rayo Vallecano
187,Omar Alderete,,"€ 23,077","€ 1,200,000",,"Jun 30, 2023",1-yr,"€ 1,200,000",,Reserve,D,CB,25,Paraguay,Getafe
188,Dani Vivian,,"€ 22,692","€ 1,180,000",,"Jun 30, 2026",4-yrs,"€ 4,720,000",,Reserve,D,CB,23,Spain,Athletic Club
189,Robin Le Normand,,"€ 21,346","€ 1,110,000",,"Jun 30, 2026",4-yrs,"€ 4,440,000",,Reserve,D,CB,25,France,Real Sociedad
190,Juan Cala,,"€ 21,154","€ 1,100,000",,"Jun 30, 2024",2-yrs,"€ 2,200,000",,Reserve,D,CB,32,Spain,Cadiz
191,Eray Cömert,,"€ 21,154","€ 1,100,000",,"Jun 30, 2026",4-yrs,"€ 4,400,000",,Starter,D,CB,24,Switzerland,Valencia
192,Tino Kadewere,,"€ 20,769","€ 1,080,000",,"Jun 30, 2023",1-yr,"€ 1,080,000",,Reserve,F,CF,26,Zimbabwe,Mallorca
193,Iván Sánchez,,"€ 20,769","€ 1,080,000",,"Jun 30, 2024",2-yrs,"€ 2,160,000",,Reserve,F,RW,29,Spain,Valladolid
194,Lucas Pérez,,"€ 20,769","€ 1,080,000",,"Jun 30, 2023",1-yr,"€ 1,080,000",,Starter,F,CF,33,Spain,Cadiz
195,Dyego Sousa,,"€ 20,000","€ 1,040,000",,"Jun 30, 2024",2-yrs,"€ 2,080,000",,Reserve,F,CF,32,Portugal,Almeria
196,Carlos Fernández,,"€ 20,000","€ 1,040,000",,"Jun 30, 2026",4-yrs,"€ 4,160,000",,Reserve,F,CF,26,Spain,Real Sociedad
197,Iván Martín,,"€ 20,000","€ 1,040,000",,"Jun 30, 2023",1-yr,"€ 1,040,000",,Reserve,F,AM,23,Spain,Girona
198,Luis Hernández,,"€ 19,615","€ 1,020,000",,"Jun 30, 2025",3-yrs,"€ 3,060,000",,Starter,D,CB,33,Spain,Cadiz
199,Jordan Amavi,,"€ 19,615","€ 1,020,000",,"Jun 30, 2023",1-yr,"€ 1,020,000",,Reserve,D,LB,28,France,Getafe
200,Nacho Vidal,,"€ 19,423","€ 1,010,000",,"Jun 30, 2025",3-yrs,"€ 3,030,000",,Starter,D,RB,27,Spain,Osasuna
201,Sergio León,,"€ 19,231","€ 1,000,000",,"Jun 30, 2024",2-yrs,"€ 2,000,000",,Reserve,F,CF,33,Spain,Valladolid
202,Pol Lirola,,"€ 19,231","€ 1,000,000",,"Jun 30, 2023",1-yr,"€ 1,000,000",,Reserve,D,RB,25,Spain,Elche
203,Lucas Olaza,,"€ 19,231","€ 1,000,000",,"Jun 30, 2025",3-yrs,"€ 3,000,000",,Starter,D,LB,28,Uruguay,Valladolid
204,Iván Villar,,"€ 19,038","€ 990,000",,"Jun 30, 2023",1-yr,"€ 990,000",,Reserve,K,GK,25,Spain,Celta Vigo
205,Fernando Calero,,"€ 19,038","€ 990,000",,"Jun 30, 2024",2-yrs,"€ 1,980,000",,Starter,D,CB,26,Spain,Espanyol
206,Aihen Muñoz,,"€ 19,038","€ 990,000",,"Jun 30, 2024",2-yrs,"€ 1,980,000",,Starter,D,LB,25,Spain,Real Sociedad
207,Pablo Maffeo,,"€ 18,846","€ 980,000",,"Jun 30, 2026",4-yrs,"€ 3,920,000",,Starter,D,RB,25,Spain,Mallorca
208,Chumi,,"€ 18,654","€ 970,000",,"Jun 30, 2025",3-yrs,"€ 2,910,000",,Starter,D,CB,23,Spain,Almeria
209,Kevin Vázquez,,"€ 18,462","€ 960,000",,"Jun 30, 2023",1-yr,"€ 960,000",,Reserve,D,RB,29,Spain,Celta Vigo
210,Adrià Pedrosa,,"€ 18,462","€ 960,000",,"Jun 30, 2023",1-yr,"€ 960,000",,Reserve,D,LB,24,Spain,Espanyol
211,Sergio Herrera,,"€ 18,269","€ 950,000",,"Jun 30, 2023",1-yr,"€ 950,000",,Starter,K,GK,29,Spain,Osasuna
212,Lucas Robertone,,"€ 18,269","€ 950,000",,"Jun 30, 2025",3-yrs,"€ 2,850,000",,Starter,M,CM,25,Argentina,Almeria
213,Marko Dmitrovic,,"€ 18,269","€ 950,000",,"Jun 30, 2025",3-yrs,"€ 2,850,000",,Reserve,K,GK,30,Serbia,Sevilla
214,Víctor Ruiz,,"€ 17,885","€ 930,000",,"Jun 30, 2023",1-yr,"€ 930,000",,Reserve,D,CB,33,Spain,Real Betis
215,Valentín Castellanos,,"€ 17,500","€ 910,000",,"Jun 30, 2023",1-yr,"€ 910,000",,Starter,F,CF,23,Argentina,Girona
216,Juanmi,,"€ 17,500","€ 910,000",,"Jun 30, 2024",2-yrs,"€ 1,820,000",,Reserve,F,LW,29,Spain,Real Betis
217,Fran Beltrán,,"€ 17,308","€ 900,000",,"Jun 30, 2026",4-yrs,"€ 3,600,000",,Starter,M,CM,23,Spain,Celta Vigo
218,Víctor Camarasa,,"€ 17,115","€ 890,000",,"Jun 30, 2023",1-yr,"€ 890,000",,Reserve,M,CM,28,Spain,Real Betis
219,Ander Guevara,,"€ 16,731","€ 870,000",,"Jun 30, 2024",2-yrs,"€ 1,740,000",,Reserve,M,CM,25,Spain,Real Sociedad
220,Ivo Grbic,,"€ 16,538","€ 860,000",,"Jun 30, 2024",2-yrs,"€ 1,720,000",,Reserve,K,GK,26,Croatia,Atletico Madrid
221,Enes Ünal,,"€ 16,538","€ 860,000",,"Jun 30, 2025",3-yrs,"€ 2,580,000",,Starter,F,CF,25,Turkey,Getafe
222,Diego Rico,,"€ 16,346","€ 850,000",,"Jun 30, 2023",1-yr,"€ 850,000",,Reserve,D,LB,29,Spain,Real Sociedad
223,Francisco Portillo,,"€ 16,346","€ 850,000",,"Jun 30, 2023",1-yr,"€ 850,000",,Reserve,F,RW,32,Spain,Almeria
224,Predrag Rajkovic,,"€ 16,154","€ 840,000",,"Jun 30, 2026",4-yrs,"€ 3,360,000",,Starter,K,GK,26,Serbia,Mallorca
225,Tomás Alarcón,,"€ 15,962","€ 830,000",,"Jun 30, 2025",3-yrs,"€ 2,490,000",,Reserve,M,DM,23,Chile,Cadiz
226,Omar Mascarell,,"€ 15,769","€ 820,000",,"Jun 30, 2025",3-yrs,"€ 2,460,000",,Reserve,M,DM,29,Spain,Elche
227,Iddrisu Baba,,"€ 15,769","€ 820,000",,"Jun 30, 2024",2-yrs,"€ 1,640,000",,Reserve,M,CM,26,Ghana,Mallorca
228,Paulo Gazzaniga,,"€ 15,577","€ 810,000",,"Jun 30, 2023",1-yr,"€ 810,000",,Reserve,K,GK,30,Argentina,Girona
229,Loren Morón,,"€ 15,577","€ 810,000",,"Jun 30, 2024",2-yrs,"€ 1,620,000",,Reserve,F,CF,28,Spain,Real Betis
230,Mouctar Diakhaby,,"€ 15,385","€ 800,000",,"Jun 30, 2023",1-yr,"€ 800,000",,Starter,D,CB,25,Guinea,Valencia
231,Álex Centelles,,"€ 15,385","€ 800,000",,"Jun 30, 2026",4-yrs,"€ 3,200,000",,Reserve,D,LB,23,Spain,Almeria
232,Giovanni González,,"€ 15,385","€ 800,000",,"Jun 30, 2024",2-yrs,"€ 1,600,000",,Reserve,D,RB,27,Uruguay,Mallorca
233,Álvaro García,,"€ 15,385","€ 800,000",,"Jun 30, 2026",4-yrs,"€ 3,200,000",,Starter,F,LW,29,Spain,Rayo Vallecano
234,Reinildo Mandava,,"€ 15,385","€ 800,000",,"Jun 30, 2025",3-yrs,"€ 2,400,000",,Starter,D,LB,28,Mozambique,Atletico Madrid
235,Antonio Raíllo,,"€ 15,000","€ 780,000",,"Jun 30, 2024",2-yrs,"€ 1,560,000",,Starter,D,CB,30,Spain,Mallorca
236,Rubén Alcaraz,,"€ 14,808","€ 770,000",,"Jun 30, 2024",2-yrs,"€ 1,540,000",,Reserve,M,CM,31,Spain,Cadiz
237,Darko Brasanac,,"€ 14,808","€ 770,000",,"Jun 30, 2023",1-yr,"€ 770,000",,Starter,M,CM,30,Serbia,Osasuna
238,Youssouf Sabaly,,"€ 14,423","€ 750,000",,"Jun 30, 2026",4-yrs,"€ 3,000,000",,Reserve,D,RB,29,Senegal,Real Betis
239,Alejandro Pozo,,"€ 13,846","€ 720,000",,"Jun 30, 2027",5-yrs,"€ 3,600,000",,Starter,D,RB,23,Spain,Almeria
240,Roberto Torres,,"€ 13,654","€ 710,000",,"Jun 30, 2023",1-yr,"€ 710,000",,Reserve,F,AM,33,Spain,Osasuna
241,Stole Dimitrievski,,"€ 13,462","€ 700,000",,"Jun 30, 2024",2-yrs,"€ 1,400,000",,Starter,K,GK,28,North Macedonia,Rayo Vallecano
242,Andoni Gorosabel,,"€ 13,462","€ 700,000",,"Jun 30, 2024",2-yrs,"€ 1,400,000",,Starter,D,RB,26,Spain,Real Sociedad
243,Martin Valjent,,"€ 13,462","€ 700,000",,"Jun 30, 2025",3-yrs,"€ 2,100,000",,Starter,D,CB,26,Slovakia,Mallorca
244,Keidi Bare,,"€ 13,462","€ 700,000",,"Jun 30, 2024",2-yrs,"€ 1,400,000",,Reserve,M,CM,25,Albania,Espanyol
245,Rubén Sobrino,,"€ 13,462","€ 700,000",,"Jun 30, 2024",2-yrs,"€ 1,400,000",,Starter,F,CF,30,Spain,Cadiz
246,Álex Moreno,,"€ 13,077","€ 680,000",,"Jun 30, 2025",3-yrs,"€ 2,040,000",,Starter,D,LB,29,Spain,Real Betis
247,Unai García,,"€ 13,077","€ 680,000",,"Jun 30, 2023",1-yr,"€ 680,000",,Starter,D,CB,30,Spain,Osasuna
248,Jawad El Yamiq,,"€ 12,885","€ 670,000",,"Jun 30, 2024",2-yrs,"€ 1,340,000",,Reserve,D,CB,30,Morocco,Valladolid
249,Javi Sánchez,,"€ 12,692","€ 660,000",,"Jun 30, 2026",4-yrs,"€ 2,640,000",,Starter,D,CB,25,Spain,Valladolid
250,Iñigo Ruiz de Galarreta,,"€ 12,692","€ 660,000",,"Jun 30, 2023",1-yr,"€ 660,000",,Starter,M,CM,29,Spain,Mallorca
251,Édgar Badía,,"€ 12,500","€ 650,000",,"Jun 30, 2025",3-yrs,"€ 1,950,000",,Starter,K,GK,30,Spain,Elche
252,Franco Russo,,"€ 12,500","€ 650,000",,"Jun 30, 2024",2-yrs,"€ 1,300,000",,Reserve,D,CB,27,Argentina,Mallorca
253,Sergi Gómez,,"€ 12,500","€ 650,000",,"Jun 30, 2024",2-yrs,"€ 1,300,000",,Starter,D,CB,30,Spain,Espanyol
254,Juan Pérez,,"€ 12,500","€ 650,000",,"Jun 30, 2024",2-yrs,"€ 1,300,000",,Reserve,K,GK,26,Spain,Osasuna
255,Dani Gómez,,"€ 12,500","€ 650,000",,"Jun 30, 2023",1-yr,"€ 650,000",,Reserve,F,CF,24,Spain,Espanyol
256,Kike García,,"€ 12,308","€ 640,000",,"Jun 30, 2024",2-yrs,"€ 1,280,000",,Reserve,F,CF,32,Spain,Osasuna
257,Ante Budimir,,"€ 12,115","€ 630,000",,"Jun 30, 2025",3-yrs,"€ 1,890,000",,Starter,F,CF,31,Croatia,Osasuna
258,Carles Aleñá,,"€ 12,115","€ 630,000",,"Jun 30, 2026",4-yrs,"€ 2,520,000",,Starter,M,CM,24,Spain,Getafe
259,David García,,"€ 11,923","€ 620,000",,"Jun 30, 2026",4-yrs,"€ 2,480,000",,Starter,D,CB,28,Spain,Osasuna
260,Esteban Saveljich,,"€ 11,923","€ 620,000",,"Jun 30, 2023",1-yr,"€ 620,000",,Reserve,D,CB,31,Montenegro,Rayo Vallecano
261,Óscar Trejo,,"€ 11,923","€ 620,000",,"Jun 30, 2024",2-yrs,"€ 1,240,000",,Starter,F,AM,34,Argentina,Rayo Vallecano
262,Iñigo Eguaras,,"€ 11,923","€ 620,000",,"Jun 30, 2024",2-yrs,"€ 1,240,000",,Reserve,M,DM,30,Spain,Almeria
263,Fidel,,"€ 11,923","€ 620,000",,"Jun 30, 2024",2-yrs,"€ 1,240,000",,Starter,F,LW,32,Spain,Elche
264,Choco Lozano,,"€ 11,923","€ 620,000",,"Jun 30, 2023",1-yr,"€ 620,000",,Reserve,F,CF,29,Honduras,Cadiz
265,Damián Suárez,,"€ 11,923","€ 620,000",,"Jun 30, 2023",1-yr,"€ 620,000",,Starter,D,RB,34,Uruguay,Getafe
266,Juan Cruz,,"€ 11,923","€ 620,000",,"Jun 30, 2024",2-yrs,"€ 1,240,000",,Starter,D,LB,30,Spain,Osasuna
267,Aridane Hernández,,"€ 11,731","€ 610,000",,"Jun 30, 2023",1-yr,"€ 610,000",,Reserve,D,CB,33,Spain,Osasuna
268,Nico González,,"€ 11,538","€ 600,000",,"Jun 30, 2023",1-yr,"€ 600,000",,Reserve,M,CM,20,Spain,Valencia
269,Mikel Vesga,,"€ 11,538","€ 600,000",,"Jun 30, 2024",2-yrs,"€ 1,200,000",,Reserve,M,DM,29,Spain,Athletic Club
270,Unai López,,"€ 11,346","€ 590,000",,"Jun 30, 2024",2-yrs,"€ 1,180,000",,Reserve,M,CM,26,Spain,Rayo Vallecano
271,Cenk Özkacar,,"€ 11,346","€ 590,000",,"Jun 30, 2023",1-yr,"€ 590,000",,Reserve,D,CB,21,Turkey,Valencia
272,Julen Agirrezabala,,"€ 11,154","€ 580,000",,"Jun 30, 2025",3-yrs,"€ 1,740,000",,Reserve,K,GK,21,Spain,Athletic Club
273,Mario Suárez,,"€ 10,962","€ 570,000",,"Jun 30, 2023",1-yr,"€ 570,000",,Reserve,D,CB,35,Spain,Rayo Vallecano
274,Óscar Gil,,"€ 10,000","€ 520,000",,"Jun 30, 2024",2-yrs,"€ 1,040,000",,Reserve,D,RB,24,Spain,Espanyol
275,Domingos Quina,,"€ 10,000","€ 520,000",,"Jun 30, 2023",1-yr,"€ 520,000",,Reserve,M,CM,22,Portugal,Elche
276,Luis Pérez,,"€ 10,000","€ 520,000",,"Jun 30, 2025",3-yrs,"€ 1,560,000",,Reserve,D,RB,27,Spain,Valladolid
277,Santi Comesaña,,"€ 10,000","€ 520,000",,"Jun 30, 2023",1-yr,"€ 520,000",,Starter,M,CM,25,Spain,Rayo Vallecano
278,Paul Akouokou,,"€ 9,808","€ 510,000",,"Jun 30, 2024",2-yrs,"€ 1,020,000",,Reserve,M,DM,24,Cote d'Ivoire,Real Betis
279,Fali,,"€ 9,615","€ 500,000",,"Jun 30, 2024",2-yrs,"€ 1,000,000",,Reserve,D,CB,29,Spain,Cadiz
280,Juanjo Nieto,,"€ 9,615","€ 500,000",,"Jun 30, 2023",1-yr,"€ 500,000",,Reserve,D,RB,27,Spain,Almeria
281,Braian Cufré,,"€ 9,615","€ 500,000",,"Jun 30, 2024",2-yrs,"€ 1,000,000",,Reserve,D,LB,25,Argentina,Mallorca
282,Álex Baena,,"€ 9,615","€ 500,000",,"Jun 30, 2025",3-yrs,"€ 1,500,000",,Reserve,F,LW,21,Spain,Villarreal
283,Alfonso Espino,,"€ 9,615","€ 500,000",,"Jun 30, 2023",1-yr,"€ 500,000",,Starter,D,LB,30,Uruguay,Cadiz
284,Martín Merquelanz,,"€ 9,615","€ 500,000",,"Jun 30, 2025",3-yrs,"€ 1,500,000",,Reserve,F,LW,27,Spain,Real Sociedad
285,Javi Puado,,"€ 9,615","€ 500,000",,"Jun 30, 2025",3-yrs,"€ 1,500,000",,Starter,F,LW,24,Spain,Espanyol
286,Jon Moncayola,,"€ 9,615","€ 500,000",,"Jun 30, 2031",9-yrs,"€ 4,500,000",,Reserve,M,CM,24,Spain,Osasuna
287,Óscar Plano,,"€ 9,423","€ 490,000",,"Jun 30, 2023",1-yr,"€ 490,000",,Starter,F,RW,31,Spain,Valladolid
288,Álex Fernández,,"€ 9,423","€ 490,000",,"Jun 30, 2025",3-yrs,"€ 1,470,000",,Starter,F,AM,29,Spain,Cadiz
289,Iza Carcelén,,"€ 9,231","€ 480,000",,"Jun 30, 2023",1-yr,"€ 480,000",,Starter,D,RB,29,Spain,Cadiz
290,Jordi Masip,,"€ 9,231","€ 480,000",,"Jun 30, 2024",2-yrs,"€ 960,000",,Reserve,K,GK,33,Spain,Valladolid
291,Raúl Guti,,"€ 9,038","€ 470,000",,"Jun 30, 2025",3-yrs,"€ 1,410,000",,Starter,M,CM,25,Spain,Elche
292,Iván Alejo,,"€ 9,038","€ 470,000",,"Jun 30, 2025",3-yrs,"€ 1,410,000",,Starter,F,RW,27,Spain,Cadiz
293,Nico Melamed,,"€ 8,846","€ 460,000",,"Jun 30, 2024",2-yrs,"€ 920,000",,Reserve,F,LW,21,Spain,Espanyol
294,Kike Barja,,"€ 8,846","€ 460,000",,"Jun 30, 2026",4-yrs,"€ 1,840,000",,Reserve,F,RW,25,Spain,Osasuna
295,Lucas Torró,,"€ 8,654","€ 450,000",,"Jun 30, 2027",5-yrs,"€ 2,250,000",,Starter,M,DM,28,Spain,Osasuna
296,Lago Júnior,,"€ 8,654","€ 450,000",,"Jun 30, 2023",1-yr,"€ 450,000",,Reserve,F,LW,31,Cote d'Ivoire,Mallorca
297,Dani Rodríguez,,"€ 8,462","€ 440,000",,"Jun 30, 2024",2-yrs,"€ 880,000",,Reserve,F,AM,34,Spain,Mallorca
298,Alejandro Catena,,"€ 8,462","€ 440,000",,"Jun 30, 2023",1-yr,"€ 440,000",,Starter,D,CB,27,Spain,Rayo Vallecano
299,Aitor Ruibal,,"€ 8,462","€ 440,000",,"Jun 30, 2025",3-yrs,"€ 1,320,000",,Reserve,F,RW,26,Spain,Real Betis
300,Jon Pacheco,,"€ 8,269","€ 430,000",,"Jun 30, 2027",5-yrs,"€ 2,150,000",,Starter,D,CB,21,Spain,Real Sociedad
301,Amath Ndiaye,,"€ 8,077","€ 420,000",,"Jun 30, 2025",3-yrs,"€ 1,260,000",,Reserve,F,LW,26,Senegal,Mallorca
302,Álvaro Giménez,,"€ 8,077","€ 420,000",,"Jun 30, 2023",1-yr,"€ 420,000",,Reserve,F,CF,31,Spain,Cadiz
303,Kike Pérez,,"€ 8,077","€ 420,000",,"Jun 30, 2025",3-yrs,"€ 1,260,000",,Starter,M,CM,25,Spain,Valladolid
304,José Mari,,"€ 7,885","€ 410,000",,"Jun 30, 2024",2-yrs,"€ 820,000",,Reserve,M,DM,34,Spain,Cadiz
305,Martin Braithwaite,,"€ 7,692","€ 400,000",,"Jun 30, 2023",1-yr,"€ 400,000",,Reserve,F,CF,31,Denmark,Barcelona
306,Rodri,,"€ 7,692","€ 400,000",,"Jun 30, 2026",4-yrs,"€ 1,600,000",,Starter,F,AM,22,Spain,Real Betis
307,Jon Ander Garrido,,"€ 7,500","€ 390,000",,"Jun 30, 2023",1-yr,"€ 390,000",,Reserve,M,DM,32,Spain,Cadiz
308,Sergi Guardiola,,"€ 7,500","€ 390,000",,"Jun 30, 2023",1-yr,"€ 390,000",,Reserve,F,CF,31,Spain,Valladolid
309,Antonio Sánchez,,"€ 7,500","€ 390,000",,"Jun 30, 2024",2-yrs,"€ 780,000",,Starter,M,CM,25,Spain,Mallorca
310,Iván Martos,,"€ 7,500","€ 390,000",,"Jun 30, 2024",2-yrs,"€ 780,000",,Reserve,D,CB,25,Spain,Almeria
311,Álvaro Fernández,,"€ 7,500","€ 390,000",,"Jun 30, 2023",1-yr,"€ 390,000",,Starter,K,GK,24,Spain,Espanyol
312,César de la Hoz,,"€ 7,308","€ 380,000",,"Jun 30, 2023",1-yr,"€ 380,000",,Reserve,M,CM,30,Spain,Almeria
313,Juan Carlos,,"€ 7,115","€ 370,000",,"Jun 30, 2023",1-yr,"€ 370,000",,Starter,K,GK,34,Spain,Girona
314,Juan Miranda,,"€ 6,923","€ 360,000",,"Jun 30, 2024",2-yrs,"€ 720,000",,Reserve,D,LB,22,Spain,Real Betis
315,Dani Martín,,"€ 6,731","€ 350,000",,"Jun 30, 2024",2-yrs,"€ 700,000",,Reserve,K,GK,24,Spain,Real Betis
316,Pere Milla,,"€ 6,538","€ 340,000",,"Jun 30, 2025",3-yrs,"€ 1,020,000",,Reserve,F,LW,29,Spain,Elche
317,Pathé Ciss,,"€ 6,538","€ 340,000",,"Jun 30, 2025",3-yrs,"€ 1,020,000",,Reserve,M,CM,28,Senegal,Rayo Vallecano
318,Ángel Rodríguez,,"€ 6,538","€ 340,000",,"Jun 30, 2023",1-yr,"€ 340,000",,Reserve,F,CF,35,Spain,Mallorca
319,Jaume Costa,,"€ 6,346","€ 330,000",,"Jun 30, 2023",1-yr,"€ 330,000",,Starter,D,LB,34,Spain,Mallorca
320,David Gil,,"€ 6,346","€ 330,000",,"Jun 30, 2025",3-yrs,"€ 990,000",,Reserve,K,GK,28,Spain,Cadiz
321,Iván Balliu,,"€ 6,346","€ 330,000",,"Jun 30, 2025",3-yrs,"€ 990,000",,Starter,D,RB,30,Albania,Rayo Vallecano
322,Lucas Boyé,,"€ 6,154","€ 320,000",,"Jun 30, 2024",2-yrs,"€ 640,000",,Starter,F,CF,26,Argentina,Elche
323,Beñat Turrientes,,"€ 5,962","€ 310,000",,"Jun 30, 2027",5-yrs,"€ 1,550,000",,Reserve,M,CM,20,Spain,Real Sociedad
324,Joaquín Fernández,,"€ 5,962","€ 310,000",,"Jun 30, 2023",1-yr,"€ 310,000",,Starter,D,CB,26,Spain,Valladolid
325,Ander Barrenetxea,,"€ 5,962","€ 310,000",,"Jun 30, 2027",5-yrs,"€ 1,550,000",,Reserve,F,LW,20,Spain,Real Sociedad
326,Borja García,,"€ 5,962","€ 310,000",,"Jun 30, 2023",1-yr,"€ 310,000",,Reserve,F,AM,31,Spain,Girona
327,Carlos Domínguez,,"€ 5,769","€ 300,000",,"Jun 30, 2026",4-yrs,"€ 1,200,000",,Reserve,D,CB,21,Spain,Celta Vigo
328,Monchu,,"€ 5,769","€ 300,000",,"Jun 30, 2026",4-yrs,"€ 1,200,000",,Starter,M,CM,22,Spain,Valladolid
329,Dominik Greif,,"€ 5,769","€ 300,000",,"Jun 30, 2026",4-yrs,"€ 1,200,000",,Reserve,K,GK,25,Slovakia,Mallorca
330,Juanpe,,"€ 5,577","€ 290,000",,"Jun 30, 2023",1-yr,"€ 290,000",,Starter,D,CB,31,Spain,Girona
331,Tete Morente,,"€ 5,577","€ 290,000",,"Jun 30, 2024",2-yrs,"€ 580,000",,Starter,F,LW,25,Spain,Elche
332,Cristhian Stuani,,"€ 5,577","€ 290,000",,"Jun 30, 2026",4-yrs,"€ 1,160,000",,Reserve,F,CF,35,Uruguay,Girona
333,Shon Weissman,,"€ 5,577","€ 290,000",,"Jun 30, 2024",2-yrs,"€ 580,000",,Starter,F,CF,26,Israel,Valladolid
334,Bebé,,"€ 5,385","€ 280,000",,"Jun 30, 2025",3-yrs,"€ 840,000",,Reserve,F,LW,32,Cape Verde,Rayo Vallecano
335,Leo Román,,"€ 5,192","€ 270,000",,"Jun 30, 2026",4-yrs,"€ 1,080,000",,Reserve,K,GK,22,Spain,Mallorca
336,Renato Tapia,,"€ 5,000","€ 260,000",,"Jun 30, 2024",2-yrs,"€ 520,000",,Starter,M,DM,27,Peru,Celta Vigo
337,Stefan Mitrovic,,"€ 4,808","€ 250,000",,"Jun 30, 2024",2-yrs,"€ 500,000",,Starter,D,CB,32,Serbia,Getafe
338,Edgar González,,"€ 4,808","€ 250,000",,"Jun 30, 2025",3-yrs,"€ 750,000",,Reserve,D,CB,25,Spain,Real Betis
339,Bernardo Espinosa,,"€ 4,808","€ 250,000",,"Jun 30, 2023",1-yr,"€ 250,000",,Starter,D,CB,33,Colombia,Girona
340,Kang-in Lee,,"€ 4,808","€ 250,000",,"Jun 30, 2025",3-yrs,"€ 750,000",,Starter,F,AM,21,South Korea,Mallorca
341,Unai Vencedor,,"€ 4,615","€ 240,000",,"Jun 30, 2027",5-yrs,"€ 1,200,000",,Reserve,M,CM,21,Spain,Athletic Club
342,Fernando Martínez,,"€ 4,615","€ 240,000",,"Jun 30, 2023",1-yr,"€ 240,000",,Starter,K,GK,32,Spain,Almeria
343,Óscar Valentín,,"€ 4,423","€ 230,000",,"Jun 30, 2025",3-yrs,"€ 690,000",,Starter,M,CM,28,Spain,Rayo Vallecano
344,Randy Nteka,,"€ 4,423","€ 230,000",,"Jun 30, 2026",4-yrs,"€ 920,000",,Reserve,F,AM,24,France,Rayo Vallecano
345,Abdón Prats,,"€ 4,423","€ 230,000",,"Jun 30, 2024",2-yrs,"€ 460,000",,Reserve,F,CF,29,Spain,Mallorca
346,Aleix Vidal,,"€ 4,231","€ 220,000",,"Jun 30, 2023",1-yr,"€ 220,000",,Reserve,D,RB,33,Spain,Espanyol
