,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
172,Andrés Guardado,"€ 36,731","€ 1,910,000","€ 1,910,000",M,34,Mexico,Real Betis
173,Moi Gómez,"€ 36,154","€ 1,880,000","€ 1,880,000",F,26,Spain,Villarreal
174,Óscar de Marcos,"€ 35,577","€ 1,850,000","€ 1,850,000",D,31,Spain,Athletic Club
175,José Luis Morales,"€ 35,385","€ 1,840,000","€ 1,840,000",F,33,Spain,Levante
176,Néstor Araújo,"€ 35,385","€ 1,840,000","€ 1,840,000",D,29,Mexico,Celta Vigo
177,Thierry Correia,"€ 35,385","€ 1,840,000","€ 1,840,000",D,21,Portugal,Valencia
178,Jesús Vallejo,"€ 35,000","€ 1,820,000","€ 1,820,000",D,23,Spain,Granada
179,Jota Peleteiro,"€ 34,808","€ 1,810,000","€ 1,810,000",F,29,Spain,Alaves
180,Fabián Orellana,"€ 34,808","€ 1,810,000","€ 1,810,000",F,34,Chile,Valladolid
181,Joseba Zaldua,"€ 34,808","€ 1,810,000","€ 1,810,000",D,28,Spain,Real Sociedad
182,Sergio Escudero,"€ 34,615","€ 1,800,000","€ 1,800,000",D,31,Spain,Sevilla
183,Jony,"€ 34,423","€ 1,790,000","€ 1,790,000",F,29,Spain,Osasuna
184,Raúl Navas,"€ 34,423","€ 1,790,000","€ 1,790,000",D,32,Spain,Osasuna
185,Iván Marcone,"€ 34,231","€ 1,780,000","€ 1,780,000",M,30,Argentina,Elche
186,Okay Yokuslu,"€ 34,231","€ 1,780,000","€ 1,780,000",M,26,Turkey,Celta Vigo
187,Asier Villalibre,"€ 34,038","€ 1,770,000","€ 1,770,000",F,23,Spain,Athletic Club
188,Toni Lato,"€ 33,846","€ 1,760,000","€ 1,760,000",D,22,Spain,Valencia
189,Martín Zubimendi,"€ 33,077","€ 1,720,000","€ 1,720,000",M,21,Spain,Real Sociedad
190,Sergio Álvarez,"€ 33,077","€ 1,720,000","€ 1,720,000",K,34,Spain,Celta Vigo
191,Santi Mina,"€ 32,885","€ 1,710,000","€ 1,710,000",F,24,Spain,Celta Vigo
192,Rubén Rochina,"€ 32,692","€ 1,700,000","€ 1,700,000",F,29,Spain,Levante
193,Álex Blanco,"€ 32,308","€ 1,680,000","€ 1,680,000",F,21,Spain,Valencia
194,Cristiano Piccini,"€ 32,115","€ 1,670,000","€ 1,670,000",D,28,Italy,Valencia
195,Yeremi Pino,"€ 32,115","€ 1,670,000","€ 1,670,000",F,18,Spain,Villarreal
196,Bono,"€ 31,923","€ 1,660,000","€ 1,660,000",K,29,Morocco,Sevilla
197,Mikel Balenziaga,"€ 31,731","€ 1,650,000","€ 1,650,000",D,32,Spain,Athletic Club
198,Joris Gnagnon,"€ 31,346","€ 1,630,000","€ 1,630,000",D,23,France,Sevilla
199,Hugo Guillamón,"€ 31,154","€ 1,620,000","€ 1,620,000",D,20,Spain,Valencia
200,Lucas Ocampos,"€ 30,769","€ 1,600,000","€ 1,600,000",F,26,Argentina,Sevilla
201,Claudio Bravo,"€ 30,769","€ 1,600,000","€ 1,600,000",K,37,Chile,Real Betis
202,José Campaña,"€ 30,769","€ 1,600,000","€ 1,600,000",M,27,Spain,Levante
203,Jokin Ezkieta,"€ 30,000","€ 1,560,000","€ 1,560,000",K,24,Spain,Athletic Club
204,Iñigo Lekue,"€ 29,808","€ 1,550,000","€ 1,550,000",D,27,Spain,Athletic Club
205,Luis Suárez,"€ 29,615","€ 1,540,000","€ 1,540,000",F,22,Colombia,Granada
206,Jorge Molina,"€ 29,615","€ 1,540,000","€ 1,540,000",F,38,Spain,Granada
207,Mauro Arambarri,"€ 29,423","€ 1,530,000","€ 1,530,000",M,25,Uruguay,Getafe
208,Pedro Mosquera,"€ 29,231","€ 1,520,000","€ 1,520,000",M,32,Spain,Huesca
209,David Soria,"€ 29,038","€ 1,510,000","€ 1,510,000",K,27,Spain,Getafe
210,Maxi Gómez,"€ 28,846","€ 1,500,000","€ 1,500,000",F,24,Uruguay,Valencia
211,Yunus Musah,"€ 28,846","€ 1,500,000","€ 1,500,000",M,18,England,Valencia
212,Sergi Guardiola,"€ 28,846","€ 1,500,000","€ 1,500,000",F,29,Spain,Valladolid
213,Chimy Ávila,"€ 28,846","€ 1,500,000","€ 1,500,000",F,26,Argentina,Osasuna
214,Oier Zarraga,"€ 28,846","€ 1,500,000","€ 1,500,000",M,22,Spain,Athletic Club
215,Florian Lejeune,"€ 28,846","€ 1,500,000","€ 1,500,000",D,29,France,Alaves
216,Sandro Ramírez,"€ 28,654","€ 1,490,000","€ 1,490,000",F,25,Spain,Huesca
217,Abdoulay Diaby,"€ 28,462","€ 1,480,000","€ 1,480,000",F,29,Mali,Getafe
