,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
43,Kike Barja,es  ESP,"MF,FW",Osasuna,23,1997,15.9,511,496,15,3,0,139,26,53,3,1,0,0,318,99,94,128,343,14,7,1,353,3,21,9,37
44,Marc Baró,es  ESP,DF,Cádiz,20,1999,1.0,19,9,10,2,0,2,2,2,2,0,1,1,4,6,9,10,1,2,6,0,10,0,1,1,2
45,Antonio Barragán,es  ESP,DF,Elche,33,1987,24.8,1321,1113,208,46,1,126,37,35,1,1,0,0,847,200,274,153,945,43,161,2,1095,4,19,30,25
46,Ander Barrenetxea,es  ESP,"MF,FW",Real Sociedad,18,2001,14.5,411,399,12,3,1,79,6,28,1,0,0,0,292,55,64,66,316,17,8,1,294,1,12,16,25
47,Marc Bartra,es  ESP,DF,Betis,29,1991,18.8,963,913,50,43,0,88,29,4,0,0,0,0,672,74,217,62,822,44,7,5,782,5,15,7,6
48,Álvaro Bastida,es  ESP,MF,Cádiz,16,2004,0.4,10,10,0,0,0,2,0,0,0,0,0,0,3,1,6,1,7,1,0,0,5,0,0,1,1
49,Rodrigo Battaglia,ar  ARG,MF,Alavés,29,1991,27.7,1035,985,50,46,0,189,27,6,2,1,1,0,733,127,175,175,749,76,0,3,871,2,17,22,23
50,Jon Bautista,es  ESP,"FW,MF",Real Sociedad,25,1995,4.1,89,82,7,0,0,31,2,3,3,2,0,1,49,18,22,17,46,10,0,1,55,0,2,2,2
51,Fran Beltrán,es  ESP,MF,Celta Vigo,21,1999,15.5,780,758,22,15,0,113,18,4,3,0,2,0,620,88,72,77,661,29,2,4,708,0,10,12,8
52,Sergio Benito,es  ESP,FW,Valladolid,21,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Karim Benzema,fr  FRA,FW,Real Madrid,32,1987,32.2,1248,1190,58,2,8,212,20,26,2,0,0,0,1007,157,84,218,979,20,1,16,1043,5,23,37,41
54,Yuri Berchiche,es  ESP,DF,Athletic Club,30,1990,18.7,1124,892,232,32,1,102,40,64,0,0,0,0,651,318,155,813,62,36,200,1,922,3,11,23,50
55,Álex Berenguer,es  ESP,"MF,FW",Athletic Club,25,1995,25.3,917,800,117,24,4,146,35,63,82,32,21,5,565,145,207,97,754,29,11,8,620,5,29,26,59
56,Pedro Bigas,es  ESP,DF,Eibar,29,1990,17.0,640,574,66,28,0,82,40,6,0,0,0,0,303,83,254,275,201,84,38,4,461,5,21,6,9
57,Blanco,es  ESP,"MF,DF",Real Madrid,20,2000,2.4,175,173,2,2,0,11,8,3,0,0,0,0,152,10,13,24,143,7,0,1,161,1,1,1,2
58,Alejandro Blanco,es  ESP,MF,Valencia,21,1998,6.4,144,142,2,0,0,22,2,6,0,0,0,0,109,18,17,114,15,11,2,1,105,0,1,3,14
59,Rubén Blanco,es  ESP,GK,Celta Vigo,25,1995,18.2,664,468,196,52,0,45,16,0,0,0,0,0,348,22,294,162,412,0,0,82,470,3,14,1,0
60,Alejandro Blesa,es  ESP,MF,Levante,18,2002,0.1,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0,11,1,0,0,0,12,0,0,0,0
61,Yann Bodiger,fr  FRA,MF,Cádiz,25,1995,2.8,96,94,2,1,0,20,3,1,1,0,0,1,62,18,16,59,18,10,0,0,67,1,3,1,4
62,Yassine Bounou,ma  MAR,GK,Sevilla,29,1991,33.0,1096,831,265,66,0,81,52,0,0,0,0,0,630,45,421,695,199,0,0,141,865,1,33,5,4
63,Lucas Boyé,ar  ARG,FW,Elche,24,1996,29.9,660,611,49,1,1,188,20,11,0,0,0,0,492,109,59,110,502,19,0,11,521,3,6,23,27
64,Martin Braithwaite,dk  DEN,FW,Barcelona,29,1991,13.1,283,274,9,0,2,67,4,8,0,0,0,0,227,37,19,41,217,9,0,4,230,0,1,9,7
65,Darko Brašanac,rs  SRB,MF,Osasuna,28,1992,10.1,315,302,13,3,0,78,2,11,0,0,0,0,211,54,50,61,206,21,1,1,229,1,11,12,19
66,Álvaro Bravo,es  ESP,MF,Granada,22,1998,0.2,11,11,0,0,0,4,0,0,0,0,0,0,5,6,0,0,8,1,0,0,8,0,1,1,0
67,Claudio Bravo,cl  CHI,GK,Betis,37,1983,20.0,649,442,207,77,0,54,25,0,0,0,0,0,275,19,355,34,509,1,0,81,422,1,16,2,3
68,Yan Brice Eteki,cm  CMR,MF,Granada,22,1997,14.7,357,348,9,7,0,80,4,1,0,0,0,0,250,58,49,22,296,20,1,1,278,1,8,11,9
69,Juan Brunet,ar  ARG,MF,Granada,22,1998,0.3,8,8,0,0,0,2,0,0,0,0,0,0,4,3,1,0,5,2,0,0,7,0,0,0,0
70,Ante Budimir,hr  CRO,FW,Osasuna,29,1991,18.1,400,377,23,1,0,169,3,5,0,0,0,0,196,102,102,202,37,40,3,18,251,3,11,22,14
71,Esteban Burgos,ar  ARG,DF,Eibar,28,1992,12.3,547,524,23,23,0,51,43,0,0,0,0,0,312,62,173,56,402,66,0,3,417,3,13,3,5
72,Burgui,es  ESP,MF,Alavés,26,1993,0.2,9,9,0,0,0,1,0,0,0,0,0,0,7,0,2,2,6,0,0,0,8,1,0,0,0
73,Sergio Busquets,es  ESP,MF,Barcelona,32,1988,28.0,2715,2604,111,108,15,307,45,3,0,0,0,0,2239,208,268,411,2202,57,3,11,2484,7,22,58,18
74,Erick Cabaco,uy  URU,DF,Getafe,25,1995,14.7,440,387,53,37,0,55,54,3,0,0,0,0,188,54,198,53,307,37,16,0,297,3,24,5,9
75,Cala,es  ESP,DF,Cádiz,30,1989,25.2,688,642,46,45,0,74,63,0,0,0,0,0,355,68,265,80,513,64,1,4,508,1,21,9,7
76,Jonathan Calleri,ar  ARG,FW,Osasuna,26,1993,17.2,355,325,30,0,1,121,8,14,0,0,0,0,186,85,84,22,225,34,0,8,218,0,9,12,18
77,Dani Calvo,es  ESP,DF,Elche,26,1994,19.8,743,712,31,28,0,73,28,1,0,0,0,0,549,56,138,133,549,43,3,2,640,1,16,2,9
78,José Campaña,es  ESP,MF,Levante,27,1993,8.3,504,451,53,20,3,60,18,16,30,11,4,3,352,57,95,66,410,18,3,2,387,5,16,8,18
79,Sergio Canales,es  ESP,"MF,FW",Betis,29,1991,27.8,1745,1619,126,64,7,282,104,46,42,9,20,3,1275,158,312,1551,153,21,13,1,1478,4,36,32,41
80,Álex Cantero,es  ESP,FW,Levante,20,2000,2.6,,,,,,,,1,,,,,,,,,,,,,,,,,
81,Ander Capa,es  ESP,DF,Athletic Club,28,1992,23.7,1201,897,304,24,1,119,20,54,0,0,0,0,615,313,273,80,775,50,280,1,915,4,30,24,53
82,Étienne Capoue,fr  FRA,MF,Villarreal,32,1988,13.2,748,729,19,18,2,107,18,0,0,0,0,0,617,61,70,128,579,24,1,0,680,1,7,9,8
83,Isaac Carcelen,es  ESP,DF,Cádiz,27,1993,28.7,1098,796,302,45,1,156,33,36,18,6,9,2,489,268,341,89,669,75,239,8,782,7,28,32,42
84,Cárdenas,es  ESP,GK,Levante,23,1997,8.0,264,184,80,23,0,27,21,0,0,0,0,0,147,14,103,24,186,0,0,42,197,2,6,2,2
85,Marc Cardona,es  ESP,"FW,MF",Osasuna,25,1995,0.6,28,27,1,0,0,5,0,1,0,0,0,0,12,9,7,7,16,4,1,0,17,1,1,0,2
86,Diego Carlos,br  BRA,DF,Sevilla,27,1993,31.0,1919,1872,47,42,1,142,99,3,0,0,0,0,1549,90,280,263,1582,42,2,7,1742,5,32,14,5
87,Juan Carlos,es  ESP,"MF,FW",Huesca,29,1991,3.2,97,96,1,1,0,25,0,2,0,0,0,0,77,12,8,7,82,3,0,1,73,2,1,0,4
88,Yannick Carrasco,be  BEL,"DF,MF",Atlético Madrid,26,1993,24.2,1048,895,153,46,6,153,34,69,58,31,13,0,753,143,152,119,856,16,49,5,779,6,22,31,42
89,Sergio Carreira,es  ESP,DF,Celta Vigo,19,2000,2.9,118,94,24,0,0,16,2,4,0,0,0,0,66,25,27,7,81,4,24,1,91,0,2,2,7
90,Guido Carrillo,ar  ARG,FW,Elche,29,1991,11.1,317,309,8,1,0,122,6,2,0,0,0,0,156,73,88,18,181,39,0,14,226,1,6,2,8
91,Dani Carvajal,es  ESP,DF,Real Madrid,28,1992,10.6,822,700,122,15,1,62,23,22,0,0,0,0,505,191,126,46,628,26,107,9,700,3,7,14,29
92,William Carvalho,pt  POR,MF,Betis,28,1992,13.6,954,931,23,23,2,140,31,2,0,0,0,0,727,96,131,152,757,24,0,1,814,2,10,16,12
93,Casemiro,br  BRA,MF,Real Madrid,28,1992,32.2,1949,1899,50,46,2,295,89,13,0,0,0,0,1371,249,329,225,1550,96,3,19,1632,9,35,30,41
94,Chema,es  ESP,"DF,MF",Getafe,28,1992,6.2,157,147,10,9,0,13,13,0,0,0,0,0,63,24,70,107,20,24,1,0,94,2,9,4,3
