,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
364,Paulino,es  ESP,MF,Alavés,22,1997,0.8,45,0,5,25,17,0,42,1,4,25.0,2,0,30,139,86,6,0,0,4,3,49,35,71.4,7
365,Gabriel Paulista,br  BRA,DF,Valencia,28,1990,31.1,2028,397,1246,869,34,16,1961,6,7,85.7,6,0,1288,7846,4125,63,3,0,4,1,1344,1327,98.7,12
366,Alfonso Pedraza,es  ESP,DF,Betis,23,1996,15.0,971,57,310,467,253,43,843,20,34,58.8,23,3,602,3126,1800,74,23,13,23,14,660,592,89.7,38
367,Marc Pedraza,es  ESP,MF,Mallorca,32,1987,1.4,41,3,13,28,3,1,41,1,1,100.0,1,0,19,42,11,0,0,0,1,1,26,23,88.5,1
368,Pedrosa,es  ESP,"DF,MF",Espanyol,21,1998,12.1,674,31,182,350,195,21,571,21,41,51.2,24,0,389,1967,1219,55,18,6,25,19,439,363,82.7,43
369,Rubén Peña,es  ESP,DF,Villarreal,28,1991,21.2,1579,67,493,805,390,23,1360,22,50,44.0,26,1,949,4676,2733,107,37,6,23,24,1034,953,92.2,50
370,Luis Perea,es  ESP,"FW,MF",Osasuna,21,1997,0.2,9,0,2,4,3,2,9,0,0,,0,0,7,18,5,0,0,0,2,0,11,7,63.6,2
371,Victor Perea,es  ESP,DF,Espanyol,19,2000,14.1,828,36,226,395,257,12,674,4,10,40.0,5,1,466,2773,1622,87,22,4,9,9,519,446,85.9,39
372,Carles Pérez,es  ESP,FW,Barcelona,21,1998,5.3,360,2,27,127,233,36,348,10,22,45.5,11,0,288,1488,814,51,13,11,14,11,349,294,84.2,42
373,Iñigo Pérez,es  ESP,MF,Osasuna,31,1988,12.0,697,7,109,417,200,7,628,8,10,80.0,9,2,396,1482,726,38,11,1,13,10,494,437,88.5,23
374,Juan Pérez,es  ESP,GK,Osasuna,23,1996,2.0,72,61,72,0,0,0,46,0,0,,0,0,27,222,123,0,0,0,0,0,23,23,100.0,0
375,Kike Pérez,es  ESP,"MF,FW",Valladolid,22,1997,2.4,136,6,27,92,26,3,134,6,13,46.2,6,0,99,569,290,13,3,3,2,0,99,87,87.9,4
376,Lucas Pérez,es  ESP,FW,Alavés,30,1988,27.7,938,2,41,400,551,91,766,21,46,45.7,22,2,570,2945,1445,88,31,20,55,51,1123,594,52.9,214
377,Rubén Pérez,es  ESP,MF,Leganés,30,1989,24.4,1379,51,351,906,177,5,1338,9,18,50.0,11,2,809,3341,1360,36,8,1,12,10,791,748,94.6,13
378,Samu Pérez,es  ESP,GK,Valladolid,22,1997,0.3,7,7,7,0,0,0,2,0,0,,0,0,2,0,0,0,0,0,0,0,2,2,100.0,0
379,Pablo Piatti,ar  ARG,"DF,MF",Espanyol,30,1989,0.6,43,0,3,21,23,5,38,0,0,,0,0,27,182,107,5,1,1,4,0,38,25,65.8,5
380,Cristiano Piccini,it  ITA,DF,Valencia,26,1992,0.8,63,6,21,31,19,1,58,3,4,75.0,3,0,39,292,176,5,5,0,1,1,38,37,97.4,1
381,Tomás Pina Isla,es  ESP,MF,Alavés,31,1987,14.9,671,42,179,437,77,4,662,9,10,90.0,10,0,376,1500,529,18,5,0,4,9,401,361,90.0,9
382,Pipa,es  ESP,DF,Espanyol,21,1998,5.3,283,16,97,116,91,5,235,4,9,44.4,5,0,141,1033,648,30,10,5,8,3,152,132,86.8,14
