club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season
Hull City,Dan Beck,21,England,Central Midfield,CM,-,Bognor Regis,England,free transfer,out,summer,championship,2005
Hull City,Paul Watson,30,England,Right-Back,RB,-,Coventry,England,free transfer,out,summer,championship,2005
Hull City,Nathan Jones,32,Wales,Left-Back,LB,-,Yeovil Town,England,free transfer,out,summer,championship,2005
Hull City,Ben Roberts,30,England,Goalkeeper,GK,-,Derry City,Ireland,free transfer,out,summer,championship,2005
Hull City,Chris May,19,England,Goalkeeper,GK,-,Hastings Utd,England,free transfer,out,summer,championship,2005
Hull City,Rami Shaaban,30,Sweden,Goalkeeper,GK,-,Fredrikstad,Norway,free transfer,out,summer,championship,2005
Hull City,Maheta Molango,23,Congo,Centre-Forward,CF,-,Lincoln City,England,loan transfer,out,summer,championship,2005
Hull City,Dean Cox,17,England,Left Winger,LW,€300Th.,Eastbourne,England,loan transfer,out,summer,championship,2005
Hull City,Chris McPhee,22,England,Centre-Forward,CF,-,Aldershot,England,loan transfer,out,summer,championship,2005
Hull City,John Piercy,25,England,midfield,midfield,-,,,-,out,summer,championship,2005
Hull City,Florent Chaigneau,22,France,Goalkeeper,GK,-,Stade Rennais,France,"End of loanMay 31, 2006",out,summer,championship,2005
Hull City,Paul McShane,20,Ireland,Centre-Back,CB,€400Th.,Man Utd Res.,England,"End of loanMay 1, 2006",out,summer,championship,2005
Hull City,Gifton Noel-Williams,25,England,Centre-Forward,CF,-,Burnley,England,"End of loanMay 31, 2005",out,summer,championship,2005
Hull City,Gifton Noel-Williams,25,England,Centre-Forward,CF,-,Burnley,England,loan transfer,in,winter,championship,2005
Hull City,Leon Knight,23,England,Centre-Forward,CF,-,Swansea,England,€215Th.,out,winter,championship,2005
Hull City,Gary Elphick,20,England,Centre-Back,CB,-,St Albans City,England,free transfer,out,winter,championship,2005
Hull City,Roger Merlin Pandong,22,France,midfield,midfield,-,PAS Giannina,Greece,free transfer,out,winter,championship,2005
Hull City,Tommy Elphick,18,England,Centre-Back,CB,-,Bognor Regis,England,loan transfer,out,winter,championship,2005
Hull City,Gary Elphick,20,England,Centre-Back,CB,-,Aldershot,England,loan transfer,out,winter,championship,2005
Hull City,Albert Jarrett,21,Sierra Leone,Left Midfield,LM,-,Swindon Town,England,loan transfer,out,winter,championship,2005
Hull City,Maheta Molango,23,Congo,Centre-Forward,CF,-,UB Conquense,Spain,loan transfer,out,winter,championship,2005
Hull City,Michel Kuipers,31,Netherlands,Goalkeeper,GK,-,Boston Utd,England,loan transfer,out,winter,championship,2005
Hull City,Mark McCammon,27,Barbados,Centre-Forward,CF,-,Bristol City,England,loan transfer,out,winter,championship,2005
Hull City,Chris McPhee,22,England,Centre-Forward,CF,-,Swindon Town,England,loan transfer,out,winter,championship,2005
Hull City,Michel Kuipers,31,Netherlands,Goalkeeper,GK,-,Boston Utd,England,loan transfer,out,winter,championship,2005
Hull City,Dean Cox,18,England,Left Winger,LW,€300Th.,Bognor Regis,England,loan transfer,out,winter,championship,2005
Hull City,Chris Breach,19,England,Centre-Back,CB,-,Bognor Regis,England,loan transfer,out,winter,championship,2005
Hull City,Richard Martin,18,England,Goalkeeper,GK,-,Kingstonian FC,England,loan transfer,out,winter,championship,2005
Hull City,Alan Blayney,24,Northern Ireland,Goalkeeper,GK,-,Southampton,England,"End of loanDec 1, 2005",out,winter,championship,2005
Ipswich Town,Pavol Suhaj,24,Slovakia,Centre-Forward,CF,-,AS Trencin,Slovakia,€150Th.,in,summer,championship,2005
Ipswich Town,Patrick Noubissie,22,France,Central Midfield,CM,-,US Roye,France,free transfer,in,summer,championship,2005
Ipswich Town,Luke Rodgers,23,England,Centre-Forward,CF,-,Shrewsbury,England,free transfer,in,summer,championship,2005
Ipswich Town,Juan Ugarte,24,Spain,Centre-Forward,CF,-,Wrexham,England,free transfer,in,summer,championship,2005
Ipswich Town,Ross Turnbull,20,England,Goalkeeper,GK,-,Middlesbrough,England,loan transfer,in,summer,championship,2005
Ipswich Town,Eddie Johnson,20,England,Centre-Forward,CF,-,Man Utd,England,loan transfer,in,summer,championship,2005
Ipswich Town,Mat Bailey,19,England,Centre-Back,CB,-,Stockport,England,€15Th.,in,summer,championship,2005
Ipswich Town,Colin Murdock,29,Northern Ireland,Centre-Back,CB,-,Rotherham,England,free transfer,out,summer,championship,2005
Ipswich Town,Andy White,23,England,Centre-Forward,CF,-,Notts County,England,free transfer,out,summer,championship,2005
Ipswich Town,Neil Sorvel,32,England,Defensive Midfield,DM,-,Shrewsbury,England,free transfer,out,summer,championship,2005
Ipswich Town,Clayton Ince,32,Trinidad and Tobago,Goalkeeper,GK,-,Coventry,England,free transfer,out,summer,championship,2005
Ipswich Town,Lee Bell,22,England,Central Midfield,CM,-,Burton Albion,England,loan transfer,out,summer,championship,2005
Ipswich Town,Ben Rix,21,England,midfield,midfield,-,Scarborough Athletic,England,loan transfer,out,summer,championship,2005
Ipswich Town,Tom Pope,19,England,Centre-Forward,CF,€200Th.,Lancaster City,England,loan transfer,out,summer,championship,2005
Ipswich Town,Mat Bailey,19,England,Centre-Back,CB,-,Hereford Utd.,England,loan transfer,out,summer,championship,2005
Ipswich Town,Kyle Wilson,19,England,Centre-Forward,CF,-,Altrincham,England,loan transfer,out,summer,championship,2005
Ipswich Town,Steve Hoult,24,Wales,midfield,midfield,-,Prestatyn,Wales,?,out,summer,championship,2005
Ipswich Town,Eddie Johnson,21,England,Centre-Forward,CF,-,Man Utd,England,"End of loanMay 1, 2006",out,summer,championship,2005
Ipswich Town,Tony Grant,31,England,Defensive Midfield,DM,-,Bristol City,England,free transfer,in,winter,championship,2005
Ipswich Town,Rodney Jack,33,St. Vincent & Grenadinen,attack,attack,-,Waterford Utd,Ireland,free transfer,in,winter,championship,2005
Ipswich Town,Jon Otsemobor,22,England,Right-Back,RB,-,Rotherham,England,free transfer,in,winter,championship,2005
Ipswich Town,Madjid Bougherra,23,Algeria,Centre-Back,CB,-,FC Gueugnon,France,loan transfer,in,winter,championship,2005
Ipswich Town,Gareth Taylor,32,Wales,Centre-Forward,CF,-,Nottm Forest,England,loan transfer,in,winter,championship,2005
Ipswich Town,Mark Rivers,30,England,Centre-Forward,CF,-,Carlisle United,England,free transfer,out,winter,championship,2005
Ipswich Town,Mark Roberts,22,England,Centre-Back,CB,-,Southport,England,loan transfer,out,winter,championship,2005
Ipswich Town,Ben Rix,22,England,midfield,midfield,-,Bournemouth,England,loan transfer,out,winter,championship,2005
Ipswich Town,Justin Cochrane,24,Antigua and Barbuda,Centre-Back,CB,-,Gillingham FC,England,loan transfer,out,winter,championship,2005
Ipswich Town,Juan Ugarte,24,Spain,Centre-Forward,CF,-,Wrexham,England,loan transfer,out,winter,championship,2005
Ipswich Town,Mark Roberts,22,England,Centre-Back,CB,-,Chester City,England,loan transfer,out,winter,championship,2005
Ipswich Town,Tom Pope,20,England,Centre-Forward,CF,€200Th.,Stafford Rangers,England,loan transfer,out,winter,championship,2005
Ipswich Town,Mat Bailey,19,England,Centre-Back,CB,-,Lancaster City,England,loan transfer,out,winter,championship,2005
Ipswich Town,Mat Bailey,19,England,Centre-Back,CB,-,Southport,England,loan transfer,out,winter,championship,2005
Ipswich Town,Andy Bond,19,England,Central Midfield,CM,-,Lancaster City,England,loan transfer,out,winter,championship,2005
Ipswich Town,Mark Roberts,22,England,Centre-Back,CB,-,Southport,England,loan transfer,out,winter,championship,2005
Ipswich Town,Gareth Taylor,33,Wales,Centre-Forward,CF,-,Nottm Forest,England,"End of loanApr 1, 2006",out,winter,championship,2005
Ipswich Town,Ross Turnbull,21,England,Goalkeeper,GK,-,Middlesbrough,England,"End of loanApr 23, 2006",out,winter,championship,2005
Leeds United,Paul Thirlwell,26,England,Defensive Midfield,DM,-,Sheff Utd,England,€200Th.,in,summer,championship,2005
Leeds United,Kevin Poole,41,England,Goalkeeper,GK,-,Bolton,England,free transfer,in,summer,championship,2005
Leeds United,Dean Holdsworth,36,England,Centre-Forward,CF,-,Havant & Water.,England,free transfer,in,summer,championship,2005
Leeds United,Marc Edworthy,32,England,Right-Back,RB,-,Norwich,England,free transfer,in,summer,championship,2005
Leeds United,Seth Johnson,26,England,Central Midfield,CM,-,Leeds,England,free transfer,in,summer,championship,2005
Leeds United,Johnnie Jackson,23,England,Central Midfield,CM,-,Spurs,England,loan transfer,in,summer,championship,2005
Leeds United,Andrew Davies,20,England,Centre-Back,CB,-,Middlesbrough,England,loan transfer,in,summer,championship,2005
Leeds United,Émerson Thome,33,Brazil,Centre-Back,CB,-,Wigan,England,loan transfer,in,summer,championship,2005
Leeds United,Mounir El Hamdaoui,21,Morocco,Centre-Forward,CF,-,Spurs,England,loan transfer,in,summer,championship,2005
Leeds United,Peter Whittingham,21,England,Central Midfield,CM,-,Aston Villa,England,loan transfer,in,summer,championship,2005
Leeds United,Khalilou Fadiga,30,Senegal,Left Winger,LW,-,Bolton,England,loan transfer,in,summer,championship,2005
Leeds United,Stern John,28,Trinidad and Tobago,Centre-Forward,CF,-,Coventry,England,loan transfer,in,summer,championship,2005
Leeds United,Dexter Blackstock,19,Antigua and Barbuda,Centre-Forward,CF,-,Southampton,England,loan transfer,in,summer,championship,2005
Leeds United,Tom Huddlestone,18,England,Defensive Midfield,DM,€350Th.,Spurs,England,€4.70m,out,summer,championship,2005
Leeds United,Grzegorz Rasiak,26,Poland,Centre-Forward,CF,-,Spurs,England,€3.50m,out,summer,championship,2005
Leeds United,Júnior,29,Brazil,Centre-Forward,CF,-,Watford,England,free transfer,out,summer,championship,2005
Leeds United,Daniel Martin,18,Wales,Left-Back,LB,-,Notts County,England,free transfer,out,summer,championship,2005
Leeds United,Gary Twigg,21,Scotland,Centre-Forward,CF,-,Airdrie United,Scotland,free transfer,out,summer,championship,2005
Leeds United,Jamie Vincent,30,England,Left-Back,LB,-,Millwall,England,free transfer,out,summer,championship,2005
Leeds United,Marco Reich,27,Germany,Left Midfield,LM,-,Red Star,Serbia,free transfer,out,summer,championship,2005
Leeds United,Jason Talbot,19,England,Left-Back,LB,-,Mansfield Town,England,free transfer,out,summer,championship,2005
Leeds United,Ian Taylor,37,England,Defensive Midfield,DM,-,Northampton,England,free transfer,out,summer,championship,2005
Leeds United,Pablo Mills,21,England,Centre-Back,CB,-,MK Dons,England,loan transfer,out,summer,championship,2005
Leeds United,Kristoffer Weckström,22,Finland,Right Midfield,RM,-,IFK Mariehamn,Finland,?,out,summer,championship,2005
Leeds United,Muhamed Konjic,35,Bosnia-Herzegovina,Centre-Back,CB,-,,,-,out,summer,championship,2005
Leeds United,Mounir El Hamdaoui,21,Morocco,Centre-Forward,CF,-,Spurs,England,"End of loanMay 1, 2006",out,summer,championship,2005
Leeds United,Khalilou Fadiga,30,Senegal,Left Winger,LW,-,Bolton,England,"End of loanOct 1, 2005",out,summer,championship,2005
Leeds United,Blessing Kaku,27,Nigeria,Attacking Midfield,AM,-,Bolton,England,"End of loanJun 30, 2005",out,summer,championship,2005
Leeds United,Michael McIndoe,26,Scotland,Left Winger,LW,-,Doncaster,England,"End of loanMay 1, 2006",out,summer,championship,2005
Leeds United,Alan Wright,34,England,Left-Back,LB,-,Sheff Utd,England,"End of loanMay 1, 2006",out,summer,championship,2005
Leeds United,Darren Moore,31,Jamaica,Centre-Back,CB,-,West Brom,England,€400Th.,in,winter,championship,2005
Leeds United,Tomasz Hajto,33,Poland,Centre-Back,CB,-,Southampton,England,free transfer,in,winter,championship,2005
Leeds United,Kevin Lisbie,27,Jamaica,Centre-Forward,CF,-,Charlton,England,loan transfer,in,winter,championship,2005
Leeds United,Alan Wright,34,England,Left-Back,LB,-,Sheff Utd,England,loan transfer,in,winter,championship,2005
Leeds United,Michael McIndoe,26,Scotland,Left Winger,LW,-,Doncaster,England,loan transfer,in,winter,championship,2005
Leeds United,Danny Graham,20,England,Centre-Forward,CF,-,Middlesbrough,England,loan transfer,in,winter,championship,2005
Leeds United,Marcus Tudgay,22,England,Centre-Forward,CF,-,Sheff Wed,England,€800Th.,out,winter,championship,2005
Leeds United,Chris Turner,18,Northern Ireland,Left Midfield,LM,-,Sligo Rovers,Ireland,free transfer,out,winter,championship,2005
Leeds United,Dean Holdsworth,37,England,Centre-Forward,CF,-,Weymouth FC,England,free transfer,out,winter,championship,2005
Leeds United,Lee Grant,22,England,Goalkeeper,GK,€250Th.,Burnley,England,loan transfer,out,winter,championship,2005
Leeds United,Nathan Doyle,19,England,Defensive Midfield,DM,-,Notts County,England,loan transfer,out,winter,championship,2005
Leeds United,Lee Grant,23,England,Goalkeeper,GK,€250Th.,Oldham Athletic,England,loan transfer,out,winter,championship,2005
Leeds United,Pablo Mills,21,England,Centre-Back,CB,-,Walsall,England,loan transfer,out,winter,championship,2005
Leeds United,Dexter Blackstock,19,Antigua and Barbuda,Centre-Forward,CF,-,Southampton,England,"End of loanDec 1, 2005",out,winter,championship,2005
Leeds United,Andrew Davies,21,England,Centre-Back,CB,-,Middlesbrough,England,"End of loanDec 31, 2005",out,winter,championship,2005
Leeds United,Stern John,29,Trinidad and Tobago,Centre-Forward,CF,-,Coventry,England,"End of loanDec 31, 2005",out,winter,championship,2005
Leeds United,Kevin Lisbie,27,Jamaica,Centre-Forward,CF,-,Charlton,England,"End of loanApr 28, 2006",out,winter,championship,2005
Leeds United,Émerson Thome,33,Brazil,Centre-Back,CB,-,Wigan,England,"End of loanNov 19, 2005",out,winter,championship,2005
Leeds United,Danny Graham,20,England,Centre-Forward,CF,-,Middlesbrough,England,"End of loanFeb 1, 2006",out,winter,championship,2005
Leeds United,Peter Whittingham,21,England,Central Midfield,CM,-,Aston Villa,England,"End of loanNov 19, 2005",out,winter,championship,2005
Leeds United,Johnnie Jackson,23,England,Central Midfield,CM,-,Spurs,England,"End of loanDec 4, 2005",out,winter,championship,2005
Leicester City,Richard Cresswell,27,England,Centre-Forward,CF,-,Preston,England,€1.73m,in,summer,championship,2005
Leicester City,Rob Hulse,25,England,Centre-Forward,CF,-,West Brom,England,€1.65m,in,summer,championship,2005
Leicester City,Dan Harding,21,England,Left-Back,LB,-,Brighton,England,€1.25m,in,summer,championship,2005
Leicester City,Robbie Blake,29,England,Second Striker,SS,-,Birmingham,England,€1.20m,in,summer,championship,2005
Leicester City,Rui Marques,27,Angola,Centre-Back,CB,-,Marítimo,Portugal,free transfer,in,summer,championship,2005
Leicester City,Ian Bennett,33,England,Goalkeeper,GK,-,Birmingham,England,free transfer,in,summer,championship,2005
Leicester City,Eddie Lewis,31,United States,Left Midfield,LM,-,Preston,England,free transfer,in,summer,championship,2005
Leicester City,Steve Stone,33,England,Right Midfield,RM,-,Portsmouth,England,free transfer,in,summer,championship,2005
Leicester City,Jonathan Douglas,23,Ireland,Central Midfield,CM,-,Blackburn,England,loan transfer,in,summer,championship,2005
Leicester City,Aaron Lennon,18,England,Right Winger,RW,€1.10m,Spurs,England,€1.20m,out,summer,championship,2005
Leicester City,Matthew Spring,25,England,Central Midfield,CM,-,Watford,England,€225Th.,out,summer,championship,2005
Leicester City,Clarke Carlisle,25,England,Centre-Back,CB,-,Watford,England,€150Th.,out,summer,championship,2005
Leicester City,Jamie McMaster,22,Australia,Central Midfield,CM,-,Aarhus GF,Denmark,free transfer,out,summer,championship,2005
Leicester City,Simon Johnson,22,England,Centre-Forward,CF,-,Darlington,England,free transfer,out,summer,championship,2005
Leicester City,Paul Keegan,20,Ireland,Central Midfield,CM,-,Drogheda United,Ireland,free transfer,out,summer,championship,2005
Leicester City,Barry Corr,20,Ireland,Centre-Forward,CF,-,Sheff Wed,England,free transfer,out,summer,championship,2005
Leicester City,Brian Deane,37,England,Centre-Forward,CF,-,Perth Glory,Australia,free transfer,out,summer,championship,2005
Leicester City,Martin Woods,19,Scotland,Central Midfield,CM,-,Sunderland,England,free transfer,out,summer,championship,2005
Leicester City,Julian Joachim,30,England,Centre-Forward,CF,-,Boston Utd,England,free transfer,out,summer,championship,2005
Leicester City,Seth Johnson,26,England,Central Midfield,CM,-,Derby,England,free transfer,out,summer,championship,2005
Leicester City,Eirik Bakke,27,Norway,Central Midfield,CM,-,Aston Villa,England,loan transfer,out,summer,championship,2005
Leicester City,Michael Ricketts,26,England,Centre-Forward,CF,-,Cardiff,England,loan transfer,out,summer,championship,2005
Leicester City,Ian Morris,18,Ireland,Left Midfield,LM,-,Blackpool,England,loan transfer,out,summer,championship,2005
Leicester City,Lucas Radebe,36,South Africa,Centre-Back,CB,-,,,-,out,summer,championship,2005
Leicester City,Marlon King,25,Jamaica,Centre-Forward,CF,-,Nottm Forest,England,"End of loanJun 30, 2005",out,summer,championship,2005
Leicester City,Liam Miller,25,Ireland,Central Midfield,CM,-,Man Utd,England,"End of loanMay 1, 2006",out,summer,championship,2005
Leicester City,Danny Graham,20,England,Centre-Forward,CF,-,Middlesbrough,England,"End of loanMay 1, 2006",out,summer,championship,2005
Leicester City,Nathan Blake,33,Wales,Centre-Forward,CF,-,Leicester,England,"End of loanJun 30, 2005",out,summer,championship,2005
Leicester City,Jonathan Douglas,24,Ireland,Central Midfield,CM,-,Blackburn,England,"End of loanMay 31, 2006",out,summer,championship,2005
Leicester City,Joel Griffiths,26,Australia,Right Winger,RW,-,Xamax,Switzerland,€50Th.,in,winter,championship,2005
Leicester City,Jermaine Beckford,22,Jamaica,Centre-Forward,CF,-,Wealdstone,England,free transfer,in,winter,championship,2005
Leicester City,Liam Miller,24,Ireland,Central Midfield,CM,-,Man Utd,England,loan transfer,in,winter,championship,2005
Leicester City,Danny Graham,20,England,Centre-Forward,CF,-,Middlesbrough,England,loan transfer,in,winter,championship,2005
Leicester City,Sasa Ilic,33,Serbia,Goalkeeper,GK,-,,,free transfer,out,winter,championship,2005
Leicester City,Jermaine Wright,30,England,Central Midfield,CM,-,Southampton,England,free transfer,out,winter,championship,2005
Leicester City,Kevin Smith,18,Scotland,Centre-Forward,CF,-,Sunderland,England,free transfer,out,winter,championship,2005
Leicester City,Michael Ricketts,27,England,Centre-Forward,CF,-,Burnley,England,loan transfer,out,winter,championship,2005
Leicester City,Rui Marques,28,Angola,Centre-Back,CB,-,Hull City,England,loan transfer,out,winter,championship,2005
Luton Town,Leroy Lita,20,England,Centre-Forward,CF,-,Bristol City,England,€1.50m,in,summer,championship,2005
Luton Town,Brynjar Gunnarsson,29,Iceland,Defensive Midfield,DM,-,Watford,England,€350Th.,in,summer,championship,2005
Luton Town,Kevin Doyle,21,Ireland,Centre-Forward,CF,-,Cork City,Ireland,€117Th.,in,summer,championship,2005
Luton Town,Shane Long,18,Ireland,Centre-Forward,CF,€1.20m,Cork City,Ireland,€75Th.,in,summer,championship,2005
Luton Town,Stephen Hunt,23,Ireland,Left Midfield,LM,-,Brentford,England,free transfer,in,summer,championship,2005
Luton Town,Adam Federici,20,Australia,Goalkeeper,GK,-,A.I.S.,Australia,free transfer,in,summer,championship,2005
Luton Town,Chris Makin,32,England,Left-Back,LB,-,Leicester,England,free transfer,in,summer,championship,2005
Luton Town,John Oster,26,Wales,Central Midfield,CM,-,Burnley,England,free transfer,in,summer,championship,2005
Luton Town,Eric Obinna,24,Nigeria,Centre-Forward,CF,-,K'lautern II,Germany,free transfer,in,summer,championship,2005
Luton Town,Sekou Baradji,21,France,Defensive Midfield,DM,-,West Ham,England,loan transfer,in,summer,championship,2005
Luton Town,Graham Stack,23,Ireland,Goalkeeper,GK,-,Arsenal,England,loan transfer,in,summer,championship,2005
Luton Town,Andy Hughes,27,England,Central Midfield,CM,-,Norwich,England,€625Th.,out,summer,championship,2005
Luton Town,Louie Soares,20,Barbados,Central Midfield,CM,-,Bristol Rovers,England,free transfer,out,summer,championship,2005
Luton Town,Les Ferdinand,38,England,Centre-Forward,CF,-,Watford,England,free transfer,out,summer,championship,2005
Luton Town,Nicky Forster,31,England,Centre-Forward,CF,-,Ipswich,England,free transfer,out,summer,championship,2005
Luton Town,Shaun Goater,35,Bermuda,Centre-Forward,CF,-,Southend United,England,free transfer,out,summer,championship,2005
Luton Town,Dean Morgan,21,Montserrat,Centre-Forward,CF,-,Luton,England,free transfer,out,summer,championship,2005
Luton Town,Lloyd Owusu,28,Ghana,Centre-Forward,CF,-,Brentford,England,free transfer,out,summer,championship,2005
Luton Town,Paul Brooker,28,England,Attacking Midfield,AM,-,Brentford,England,free transfer,out,summer,championship,2005
Luton Town,Ricky Newman,34,England,Central Midfield,CM,-,Brentford,England,free transfer,out,summer,championship,2005
Luton Town,Peter Castle,18,England,Centre-Back,CB,-,St Albans City,England,loan transfer,out,summer,championship,2005
Luton Town,Johnny Mullins,19,England,Centre-Back,CB,-,Kidderminster,England,loan transfer,out,summer,championship,2005
Luton Town,Darren Campbell,19,Scotland,midfield,midfield,-,Tamworth,England,loan transfer,out,summer,championship,2005
Luton Town,Jamie Young,19,England,Goalkeeper,GK,€350Th.,Rush. & Diamon.,England,loan transfer,out,summer,championship,2005
Luton Town,Ahmet Rifat,19,England,Defensive Midfield,DM,-,Wingate FC,England,?,out,summer,championship,2005
Luton Town,Michael Dobson,25,England,Centre-Back,CB,-,Brentford,England,"End of loanMay 1, 2006",out,summer,championship,2005
Luton Town,Graham Stack,24,Ireland,Goalkeeper,GK,-,Arsenal,England,"End of loanMay 1, 2006",out,summer,championship,2005
Luton Town,John Halls,23,England,Defensive Midfield,DM,-,Stoke City,England,€375Th.,in,winter,championship,2005
Luton Town,Aaron Brown,22,England,Centre-Back,CB,-,Tamworth,England,€150Th.,in,winter,championship,2005
Luton Town,Scott Golbourne,17,England,Left-Back,LB,-,Bristol City,England,€100Th.,in,winter,championship,2005
Luton Town,Conor Sinnott,19,Ireland,Central Midfield,CM,-,Bray Academy,Ireland,free transfer,in,winter,championship,2005
Luton Town,Michael Dobson,24,England,Centre-Back,CB,-,Brentford,England,loan transfer,in,winter,championship,2005
Luton Town,Aaron Brown,21,England,Centre-Back,CB,-,Tamworth,England,loan transfer,in,winter,championship,2005
Luton Town,Eric Obinna,24,Nigeria,Centre-Forward,CF,-,Stevenage,England,free transfer,out,winter,championship,2005
Luton Town,Peter Castle,18,England,Centre-Back,CB,-,Rush. & Diamon.,England,free transfer,out,winter,championship,2005
Luton Town,Bas Savage,23,England,Centre-Forward,CF,-,Bristol City,England,free transfer,out,winter,championship,2005
Luton Town,Aaron Brown,22,England,Centre-Back,CB,-,Bournemouth,England,loan transfer,out,winter,championship,2005
Luton Town,Jonny Hayes,18,Ireland,Right Midfield,RM,€600Th.,Forest Green,England,loan transfer,out,winter,championship,2005
Luton Town,Sekou Baradji,21,France,Defensive Midfield,DM,-,West Ham,England,"End of loanNov 1, 2005",out,winter,championship,2005
Luton Town,Aaron Brown,22,England,Centre-Back,CB,-,Tamworth,England,"End of loanJan 4, 2006",out,winter,championship,2005
Millwall FC,Carlos Edwards,26,Trinidad and Tobago,Right-Back,RB,-,Wrexham,England,€200Th.,in,summer,championship,2005
Millwall FC,Dean Morgan,21,Montserrat,Centre-Forward,CF,-,Reading,England,free transfer,in,summer,championship,2005
Millwall FC,Markus Heikkinen,26,Finland,Centre-Back,CB,-,Aberdeen FC,Scotland,free transfer,in,summer,championship,2005
Millwall FC,Curtis Davies,20,England,Centre-Back,CB,€200Th.,West Brom,England,€4.50m,out,summer,championship,2005
Millwall FC,Lee Mansell,22,England,Central Midfield,CM,-,Oxford United,England,free transfer,out,summer,championship,2005
Millwall FC,David Bayliss,29,England,Centre-Back,CB,-,Wrexham,England,free transfer,out,summer,championship,2005
Millwall FC,Alan Neilson,33,Wales,Centre-Back,CB,-,Tamworth,England,free transfer,out,summer,championship,2005
Millwall FC,Parys Okai,20,England,midfield,midfield,-,Cambridge Utd.,England,free transfer,out,summer,championship,2005
Millwall FC,Calvin Andrew,18,England,Centre-Forward,CF,€200Th.,Grimsby Town,England,loan transfer,out,summer,championship,2005
Millwall FC,Michael Leary,22,England,Central Midfield,CM,-,Bristol Rovers,England,loan transfer,out,summer,championship,2005
Millwall FC,Steven O'Leary,20,Ireland,Central Midfield,CM,-,Tranmere Rovers,England,loan transfer,out,summer,championship,2005
Millwall FC,Dino Seremet,25,Slovenia,Goalkeeper,GK,-,Doncaster,England,loan transfer,out,summer,championship,2005
Millwall FC,David Bell,21,Ireland,Right Midfield,RM,-,Rush. & Diamon.,England,free transfer,in,winter,championship,2005
Millwall FC,Rob Beckwith,21,England,Goalkeeper,GK,-,Chesterfield FC,England,free transfer,out,winter,championship,2005
Millwall FC,Michael Leary,22,England,Central Midfield,CM,-,Walsall,England,loan transfer,out,winter,championship,2005
Millwall FC,Calvin Andrew,19,England,Centre-Forward,CF,€200Th.,Bristol City,England,loan transfer,out,winter,championship,2005
Millwall FC,Dino Seremet,25,Slovenia,Goalkeeper,GK,-,Tranmere Rovers,England,loan transfer,out,winter,championship,2005
Norwich City,Geoff Horsfield,31,England,Centre-Forward,CF,-,West Brom,England,€1.80m,in,summer,championship,2005
Norwich City,Paul Ifill,25,Barbados,Right Winger,RW,-,Millwall,England,€1.20m,in,summer,championship,2005
Norwich City,Danny Webber,23,England,Centre-Forward,CF,-,Watford,England,€750Th.,in,summer,championship,2005
Norwich City,David Unsworth,31,England,Left-Back,LB,-,Portsmouth,England,free transfer,in,summer,championship,2005
Norwich City,Stephen Quinn,19,Ireland,Central Midfield,CM,€600Th.,Pat's Academy,Ireland,free transfer,in,summer,championship,2005
Norwich City,Colin Marrison,19,England,Centre-Forward,CF,-,Leigh Genesis FC,England,free transfer,in,summer,championship,2005
Norwich City,Craig Short,37,England,Centre-Back,CB,-,Blackburn,England,free transfer,in,summer,championship,2005
Norwich City,Neil Shipperley,30,England,Centre-Forward,CF,-,Crystal Palace,England,free transfer,in,summer,championship,2005
Norwich City,Gary Mulligan,20,Ireland,Centre-Back,CB,-,Wolves,England,free transfer,in,summer,championship,2005
Norwich City,Keith Gillespie,30,Northern Ireland,Right Midfield,RM,-,Leicester,England,free transfer,in,summer,championship,2005
Norwich City,Kyle Nix,19,England,Left Midfield,LM,-,Aston Villa U18,England,free transfer,in,summer,championship,2005
Norwich City,Lilian Nalis,33,France,Central Midfield,CM,-,Leicester,England,free transfer,in,summer,championship,2005
Norwich City,Vincent Péricard,22,France,Centre-Forward,CF,-,Portsmouth,England,loan transfer,in,summer,championship,2005
Norwich City,Andy Gray,27,Scotland,Centre-Forward,CF,-,Sunderland,England,€1.20m,out,summer,championship,2005
Norwich City,Danny Cullip,28,England,Centre-Back,CB,-,Nottm Forest,England,€225Th.,out,summer,championship,2005
Norwich City,Jon Harley,25,England,Left-Back,LB,-,Burnley,England,€200Th.,out,summer,championship,2005
Norwich City,Paul Thirlwell,26,England,Defensive Midfield,DM,-,Derby,England,€200Th.,out,summer,championship,2005
Norwich City,Billy Sharp,19,England,Centre-Forward,CF,€500Th.,Scunthorpe Utd.,England,€150Th.,out,summer,championship,2005
Norwich City,Jake Speight,19,England,Centre-Forward,CF,-,Scarborough,England,free transfer,out,summer,championship,2005
Norwich City,Danny Wood,21,England,midfield,midfield,-,Gainsborough,England,free transfer,out,summer,championship,2005
Norwich City,Danny Reet,18,England,Centre-Forward,CF,-,Sheff Wed,England,free transfer,out,summer,championship,2005
Norwich City,Danny Cadamarteri,25,England,Right Winger,RW,-,Bradford,England,free transfer,out,summer,championship,2005
Norwich City,Tommy Johnson,34,England,Centre-Forward,CF,-,Scunthorpe Utd.,England,free transfer,out,summer,championship,2005
Norwich City,Andy Liddell,32,Scotland,attack,attack,-,Oldham Athletic,England,free transfer,out,summer,championship,2005
Norwich City,Luke Beckett,28,England,Centre-Forward,CF,-,Oldham Athletic,England,loan transfer,out,summer,championship,2005
Norwich City,Chris Armstrong,23,Scotland,Left-Back,LB,-,Blackpool,England,loan transfer,out,summer,championship,2005
