,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
292,Malcom,br  BRA,"FW,MF",Bordeaux,20,1997,31.7,1897,5,149,837,1131,108,1731,69,118,58.5,75,4,1490,11155,6313,319,118,32,72,54,1770,1448,81.8,283
293,Kévin Malcuit,ma  MAR,DF,Lille,26,1991,20.2,1426,51,474,678,429,35,1310,39,69,56.5,42,0,1033,6820,4406,163,60,8,42,40,992,906,91.3,52
294,Vincent Manceau,fr  FRA,DF,Angers,28,1989,33.0,2009,93,718,910,505,25,1633,12,18,66.7,12,0,1079,6079,3408,122,42,5,25,15,1083,1005,92.8,48
295,Steve Mandanda,fr  FRA,GK,Marseille,32,1985,29.8,841,776,839,3,0,0,695,0,0,,0,0,467,2384,1241,0,0,0,0,0,418,418,100.0,0
296,Georges Mandjeck,cm  CMR,"MF,DF",Metz,28,1988,10.7,538,17,138,369,75,7,535,3,11,27.3,6,0,291,1512,780,25,9,0,5,6,312,300,96.2,13
297,Kader Mangane,sn  SEN,DF,Strasbourg,34,1983,19.1,897,125,624,279,49,31,884,3,4,75.0,4,0,460,3266,1734,27,6,0,3,1,469,452,96.4,24
298,Thomas Mangani,fr  FRA,MF,Angers,30,1987,33.6,2450,65,516,1401,695,36,2206,13,35,37.1,16,2,1555,7706,3083,139,50,2,35,43,1698,1575,92.8,86
299,Harrison Manzala,cd  COD,"FW,MF",Amiens,23,1994,20.7,912,23,189,471,358,63,898,36,69,52.2,41,0,679,4234,2521,122,39,23,43,30,799,637,79.7,115
300,Myziane Maolida,fr  FRA,FW,Lyon,18,1999,3.7,195,0,16,80,117,21,190,10,17,58.8,14,0,160,967,472,33,7,8,14,8,182,152,83.5,39
301,Faitout Maouassa,fr  FRA,"MF,FW",Rennes,19,1998,10.7,391,6,45,185,205,12,376,9,31,29.0,11,1,271,1880,1160,54,20,7,18,27,361,278,77.0,61
302,Fernando Marçal,br  BRA,DF,Lyon,28,1989,14.4,1154,54,398,597,237,11,1034,6,10,60.0,6,0,714,4146,2601,101,25,4,11,11,774,716,92.5,33
303,Vincent Marcel,fr  FRA,FW,Nice,20,1997,0.5,26,0,3,12,15,2,26,0,1,0.0,0,0,23,81,69,3,2,0,3,2,24,21,87.5,5
304,Marcelo,br  BRA,DF,Lyon,30,1987,34.5,2532,282,1465,1201,62,34,2483,0,0,,0,0,1694,11037,5910,114,8,0,7,4,1662,1639,98.6,29
305,Mariano,do  DOM,FW,Lyon,23,1993,27.9,763,24,52,296,475,122,728,30,58,51.7,34,3,527,2544,1499,92,33,15,60,38,943,567,60.1,199
306,Jordan Marié,fr  FRA,MF,Dijon,25,1991,20.9,1146,35,285,694,225,17,1138,12,18,66.7,12,0,729,2933,1426,50,13,2,14,21,800,712,89.0,51
307,Marlon,br  BRA,DF,Nice,21,1995,21.4,1523,184,919,680,53,13,1501,6,7,85.7,6,0,1100,6117,3610,76,9,1,6,2,1141,1127,98.8,13
308,Marquinhos,br  BRA,DF,Paris S-G,23,1994,25.1,1787,202,961,906,46,24,1771,2,2,100.0,2,0,1256,7497,4354,101,9,0,4,1,1299,1281,98.6,17
309,Jonas Martin,fr  FRA,"MF,FW",Strasbourg,27,1990,33.6,2031,62,419,1210,541,45,1943,27,37,73.0,28,1,1427,7653,3570,167,39,6,38,42,1542,1391,90.2,131
310,Pablo Martinez,fr  FRA,DF,Strasbourg,28,1989,23.5,1226,109,694,538,86,21,1166,3,5,60.0,3,0,729,4053,2194,43,9,0,6,8,694,674,97.1,25
311,Jonathan Martins Pereira,fr  FRA,DF,Guingamp,31,1986,12.6,827,52,277,365,222,10,716,7,10,70.0,8,0,481,2473,1309,50,12,3,9,9,485,462,95.3,24
312,Christopher Martins,lu  LUX,MF,Lyon,20,1997,0.8,45,1,11,33,5,0,45,1,1,100.0,1,0,30,128,43,3,0,0,3,1,35,32,91.4,3
313,Eden Massouema,cg  CGO,MF,Dijon,20,1997,2.1,86,5,24,44,24,2,86,1,2,50.0,2,0,59,274,110,6,2,0,2,1,66,59,89.4,7
314,Blaise Matuidi,fr  FRA,MF,Paris S-G,30,1987,0.3,22,0,3,13,6,1,22,0,1,0.0,0,0,15,93,14,0,0,0,0,1,21,19,90.5,3
315,Adama Mbengue,sn  SEN,DF,Caen,23,1993,17.7,1064,48,369,422,365,17,883,29,51,56.9,33,7,608,4152,2796,99,41,9,27,24,540,489,90.6,45
316,Isaac Mbenza,be  BEL,"FW,MF",Montpellier,21,1996,23.3,874,7,86,351,527,77,793,29,53,54.7,33,1,627,3727,2287,104,51,18,44,35,858,624,72.7,180
317,Bryan Mbeumo,fr  FRA,"FW,MF",Troyes,17,1999,0.7,42,2,9,16,19,4,41,1,2,50.0,1,0,27,164,101,5,0,1,3,3,40,27,67.5,9
318,Jordi Mboula,es  ESP,"MF,FW",Monaco,18,1999,0.3,21,1,5,5,14,2,21,2,3,66.7,2,0,15,173,133,5,2,1,0,0,14,12,85.7,1
319,Pedro Mendes,pt  POR,DF,Montpellier,26,1990,31.7,1713,160,1007,698,117,28,1666,15,20,75.0,16,0,1014,5602,2622,63,18,1,8,6,978,959,98.1,28
320,Thiago Mendes,br  BRA,MF,Lille,25,1992,25.5,1671,33,285,903,634,52,1608,34,53,64.2,36,1,1319,7533,3862,165,66,10,50,44,1410,1245,88.3,183
321,Stiven Mendoza,co  COL,"FW,MF",Amiens,25,1992,11.5,483,7,92,198,234,30,451,22,35,62.9,24,0,368,2120,1111,53,17,7,16,22,440,309,70.2,88
322,Alexandre Mendy,gw  GNB,"FW,MF",Bordeaux,23,1994,8.9,254,2,17,91,151,64,246,8,11,72.7,9,0,156,490,181,13,1,5,24,9,375,189,50.4,109
323,Ferland Mendy,fr  FRA,DF,Lyon,22,1995,23.6,1757,60,466,887,550,40,1590,33,59,55.9,35,1,1245,7895,4829,194,71,10,32,22,1204,1142,94.9,58
324,Nampalys Mendy,sn  SEN,MF,Nice,25,1992,10.7,810,25,205,568,91,0,809,2,5,40.0,2,0,625,3164,1502,67,13,0,4,7,676,651,96.3,12
325,Hamza Mendyl,ma  MAR,"DF,MF",Lille,19,1997,9.5,486,18,169,213,148,8,419,8,17,47.1,9,1,314,1781,966,48,11,4,14,11,314,282,89.8,19
326,Thomas Meunier,be  BEL,DF,Paris S-G,25,1991,17.5,1265,55,306,626,453,48,1152,16,22,72.7,18,0,846,5676,3430,178,70,11,8,13,916,831,90.7,66
327,Mexer,mz  MOZ,DF,Rennes,28,1988,13.3,628,95,417,232,14,6,615,0,1,0.0,0,0,357,2197,901,9,0,0,0,1,322,313,97.2,2
328,Mathieu Michel,fr  FRA,GK,Angers,25,1991,6.6,157,132,156,1,0,0,109,0,0,,0,0,80,564,298,0,0,0,0,0,51,51,100.0,0
329,Clément Michelin,fr  FRA,"DF,FW",Toulouse,20,1997,3.1,150,11,49,79,34,0,132,0,3,0.0,0,0,74,426,220,5,5,0,1,0,80,75,93.8,2
330,Danijel Milićević,ba  BIH,"MF,FW",Metz,31,1986,7.9,380,2,34,157,218,29,328,0,3,0.0,0,0,235,1614,766,40,13,6,15,10,346,260,75.1,70
331,Kostas Mitroglou,gr  GRE,FW,Marseille,29,1988,9.8,214,3,13,68,143,71,211,0,1,0.0,0,0,124,352,151,11,1,3,18,5,299,172,57.5,51
332,Florent Mollet,fr  FRA,"MF,FW",Metz,25,1991,15.7,910,16,115,461,400,40,841,16,27,59.3,17,1,654,3558,1547,80,29,8,36,26,762,631,82.8,105
333,Thomas Monconduit,fr  FRA,MF,Amiens,26,1991,32.8,1806,107,497,1131,305,18,1775,27,35,77.1,29,0,1127,6139,3112,115,43,3,29,30,1168,1076,92.1,58
334,Kévin Monnet-Paquet,fr  FRA,"FW,MF",Saint-Étienne,28,1988,19.6,889,22,167,357,431,66,881,17,33,51.5,21,0,629,4073,2136,104,30,13,31,48,861,637,74.0,169
335,Jérémy Morel,mg  MAD,DF,Lyon,33,1984,32.4,2155,206,1229,1028,32,0,2115,4,5,80.0,4,0,1476,9060,4427,69,7,0,6,4,1481,1468,99.1,0
336,Lebo Mothiba,za  RSA,FW,Lille,21,1996,13.1,421,10,25,161,251,50,399,4,7,57.1,4,0,282,924,232,10,4,4,34,15,552,320,58.0,159
337,Thiago Motta,it  ITA,MF,Paris S-G,34,1982,12.8,1413,38,330,1003,162,8,1399,5,7,71.4,5,0,1037,4646,2545,82,15,0,5,6,1157,1127,97.4,29
338,François Moubandje,ch  SUI,DF,Toulouse,27,1990,18.9,1035,71,389,482,226,8,873,21,33,63.6,24,3,539,3011,1574,60,23,4,12,8,509,482,94.7,19
339,Jessy Moulin,fr  FRA,GK,Saint-Étienne,31,1986,3.4,134,124,134,1,1,0,96,0,0,,0,0,47,411,214,0,1,0,0,0,39,39,100.0,0
340,Lucas Moura,br  BRA,FW,Paris S-G,24,1992,0.8,55,0,4,22,38,7,50,4,6,66.7,5,0,40,262,159,8,4,1,2,0,63,45,71.4,11
