,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance
131,Juan Domínguez,es  ESP,MF,La Coruña,24,1990,14.0,3,0,,22,,,,,,,,
132,Giovani dos Santos,mx  MEX,"FW,MF",Villarreal,25,1989,15.4,5,0,,25,,,,,,,,
133,Jonathan dos Santos,mx  MEX,MF,Villarreal,24,1990,18.2,5,0,,14,,,,,,,,
134,Mauro dos Santos,ar  ARG,DF,Almería,25,1989,25.5,7,2,,36,,,,,,,,
135,Douglas,br  BRA,DF,Barcelona,23,1990,1.1,1,0,,2,,,,,,,,
136,Rubén Duarte,es  ESP,DF,Espanyol,18,1995,11.0,4,0,,18,,,,,,,,
137,Sebastián Dubarbier,ar  ARG,"DF,FW",Almería,28,1986,30.7,14,2,,57,,,,,,,,
138,Duda,pt  POR,"DF,FW",Málaga,34,1980,9.8,4,1,,8,,,,,,,,
139,Patrick Ekeng,cm  CMR,MF,Córdoba,24,1990,8.4,3,1,,21,,,,,,,,
140,Borja Ekiza,es  ESP,DF,Eibar,26,1988,10.3,5,0,,11,,,,,,,,
141,Aritz Elustondo,es  ESP,DF,Real Sociedad,20,1994,3.5,2,0,,3,,,,,,,,
142,Gorka Elustondo,es  ESP,"DF,MF",Real Sociedad,27,1987,12.9,1,0,,13,,,,,,,,
143,Adri Embarba,es  ESP,"FW,MF",Rayo Vallecano,22,1992,9.3,1,0,,13,,,,,,,,
144,Jon Errasti,es  ESP,MF,Eibar,26,1988,19.2,3,0,,36,,,,,,,,
145,Sergio Escudero,es  ESP,"DF,MF",Getafe,24,1989,24.5,8,1,,32,,,,,,,,
146,Beñat Etxebarria,es  ESP,MF,Athletic Club,27,1987,19.0,4,0,,34,,,,,,,,
147,Xabier Etxeita,es  ESP,DF,Athletic Club,26,1987,21.9,5,1,,22,,,,,,,,
148,Fabricio,es  ESP,GK,La Coruña,26,1987,31.0,2,0,,0,,,,,,,,
149,Fayçal Fajr,ma  MAR,MF,Elche,25,1988,28.5,2,1,,40,,,,,,,,
150,Luis Fariña,ar  ARG,"FW,MF",La Coruña,23,1991,13.2,1,1,,18,,,,,,,,
151,Mohammed Fatau,gh  GHA,MF,Rayo Vallecano,21,1992,7.8,4,0,,20,,,,,,,,
152,Sofiane Feghouli,dz  ALG,"FW,MF",Valencia,24,1989,21.4,5,0,,27,,,,,,,,
153,Alex Felip,es  ESP,MF,Getafe,22,1992,1.1,0,0,,2,,,,,,,,
154,Álex Fernández,es  ESP,"DF,MF",Espanyol,21,1992,1.9,0,0,,3,,,,,,,,
155,Augusto Fernández,ar  ARG,MF,Celta Vigo,28,1986,23.5,10,0,,51,,,,,,,,
156,Carlos Fernández,es  ESP,FW,Sevilla,18,1996,0.1,0,0,,0,,,,,,,,
157,Fidel,es  ESP,MF,Córdoba,24,1989,15.8,1,0,,15,,,,,,,,
158,Diogo Figueiras,pt  POR,"DF,MF",Sevilla,23,1991,20.4,7,0,,35,,,,,,,,
159,Alfreð Finnbogason,is  ISL,FW,Real Sociedad,25,1989,9.1,3,0,,27,,,,,,,,
160,Andreu Fontàs,es  ESP,DF,Celta Vigo,24,1989,33.2,8,1,,23,,,,,,,,
161,Dimitri Foulquier,fr  FRA,"DF,MF",Granada,21,1993,18.9,6,0,,31,,,,,,,,
162,Edimar Fraga,br  BRA,"DF,MF",Córdoba,28,1986,16.6,1,0,,13,,,,,,,,
163,Franco Fragapane,ar  ARG,"FW,MF",Elche,21,1993,0.3,0,0,,0,,,,,,,,
164,Javi Fuego,es  ESP,MF,Valencia,30,1984,33.3,9,1,,57,,,,,,,,
165,Gabi,es  ESP,MF,Atlético Madrid,31,1983,28.8,14,1,,57,,,,,,,,
166,Rafa Gálvez,es  ESP,"DF,MF",Elche,21,1993,1.4,0,0,,5,,,,,,,,
167,Kévin Gameiro,fr  FRA,FW,Sevilla,27,1987,10.7,0,0,,6,,,,,,,,
168,Jesús Gámez,es  ESP,DF,Atlético Madrid,29,1985,12.0,3,0,,12,,,,,,,,
169,Borja García,es  ESP,"FW,MF",Córdoba,23,1990,21.9,2,1,,19,,,,,,,,
170,Dani García,es  ESP,MF,Eibar,24,1990,32.8,11,1,,58,,,,,,,,
171,Raúl García,es  ESP,"FW,MF",Atlético Madrid,28,1986,19.0,8,0,,44,,,,,,,,
172,Rubén García,es  ESP,"FW,MF",Levante,21,1993,15.2,2,0,,23,,,,,,,,
173,Samu García,es  ESP,"FW,MF",Málaga,24,1990,24.8,8,1,,39,,,,,,,,
174,Sergio García,es  ESP,"FW,MF",Espanyol,31,1983,33.5,9,0,,39,,,,,,,,
175,Mario Gaspar,es  ESP,DF,Villarreal,23,1990,31.6,5,0,,24,,,,,,,,
176,Jaime Gavilán,es  ESP,MF,Levante,29,1985,0.8,1,0,,3,,,,,,,,
177,Jon Gaztañaga,es  ESP,"DF,MF",Real Sociedad,23,1991,1.7,1,0,,2,,,,,,,,
178,Nabil Ghilas,dz  ALG,"FW,MF",Córdoba,24,1990,23.3,1,0,,28,,,,,,,,
179,Carles Gil,es  ESP,"FW,MF",Valencia,21,1992,3.1,0,0,,3,,,,,,,,
180,Álvaro Giménez,es  ESP,"FW,MF",Elche,23,1991,4.3,2,0,,11,,,,,,,,
181,Diego Godín,uy  URU,DF,Atlético Madrid,28,1986,34.0,11,0,,22,,,,,,,,
182,André Gomes,pt  POR,MF,Valencia,21,1993,28.2,9,1,,72,,,,,,,,
183,Abel Gómez Moreno,es  ESP,MF,Córdoba,32,1982,13.9,2,0,,4,,,,,,,,
184,Ibai Gómez,es  ESP,"FW,MF",Athletic Club,24,1989,11.2,2,0,,10,,,,,,,,
185,Moi Gómez,es  ESP,"FW,MF",Villarreal,20,1994,18.0,6,0,,25,,,,,,,,
186,Sergi Gómez,es  ESP,DF,Celta Vigo,22,1992,14.3,5,0,,17,,,,,,,,
187,Abraham González,es  ESP,MF,Espanyol,29,1985,14.0,2,0,,20,,,,,,,,
188,Adrián González,es  ESP,MF,Elche,26,1988,21.2,8,0,,32,,,,,,,,
189,Álvaro González,es  ESP,DF,Espanyol,24,1990,34.9,13,0,,33,,,,,,,,
190,Mikel González,es  ESP,DF,Real Sociedad,28,1985,13.8,5,1,,14,,,,,,,,
191,Esteban Granero,es  ESP,MF,Real Sociedad,27,1987,27.7,10,0,,50,,,,,,,,
192,Antoine Griezmann,fr  FRA,"FW,MF",Atlético Madrid,23,1991,27.2,6,0,,38,,,,,,,,
193,Vicente Guaita,es  ESP,GK,Getafe,27,1987,29.0,1,0,,0,,,,,,,,
194,Javi Guerra,es  ESP,FW,Málaga,32,1982,7.7,0,0,,10,,,,,,,,
195,Guillermo,es  ESP,FW,Athletic Club,21,1993,6.3,2,0,,11,,,,,,,,
196,Adrián Gunino,uy  URU,DF,Córdoba,25,1989,21.6,4,0,,32,,,,,,,,
197,Carlos Gurpegui,es  ESP,"DF,MF",Athletic Club,33,1980,16.1,7,0,,15,,,,,,,,
198,Munir El Haddadi,ma  MAR,"FW,MF",Barcelona,18,1995,5.1,0,0,,5,,,,,,,,
199,Mike Havenaar,jp  JPN,FW,Córdoba,27,1987,3.2,1,0,,16,,,,,,,,
200,Héctor,es  ESP,"DF,FW",Atlético Madrid,18,1995,0.2,0,0,,0,,,,,,,,
201,Tomer Hemed,il  ISR,FW,Almería,27,1987,25.8,4,1,,47,,,,,,,,
202,Uche Henry Agbo,ng  NGA,MF,Granada,18,1995,0.1,0,0,,0,,,,,,,,
203,Iker Hernández,es  ESP,FW,Real Sociedad,20,1994,0.1,0,0,,0,,,,,,,,
204,Javier Hernández,mx  MEX,FW,Real Madrid,26,1988,9.7,2,0,,9,,,,,,,,
205,Lucas Hernández,fr  FRA,DF,Atlético Madrid,18,1996,0.0,0,0,,0,,,,,,,,
206,Pablo Hernández,cl  CHI,"FW,MF",Celta Vigo,27,1986,15.0,5,0,,48,,,,,,,,
207,Cristian Herrera,es  ESP,"FW,MF",Elche,23,1991,9.8,1,0,,9,,,,,,,,
208,Manu Herrera,es  ESP,GK,Elche,32,1981,6.2,0,0,,0,,,,,,,,
209,Iago Herrerín,es  ESP,GK,Athletic Club,26,1988,4.0,0,0,,0,,,,,,,,
210,Pablo Hervías,es  ESP,MF,Real Sociedad,21,1993,4.3,0,0,,4,,,,,,,,
211,Fredy Hinestroza,co  COL,MF,Getafe,24,1990,20.8,6,0,,38,,,,,,,,
212,Ricardo Horta,pt  POR,"FW,MF",Málaga,19,1994,16.9,3,0,,17,,,,,,,,
213,Vicente Iborra,es  ESP,MF,Sevilla,26,1988,22.4,7,0,,43,,,,,,,,
214,Borja Iglesias,es  ESP,FW,Celta Vigo,21,1993,0.1,0,0,,0,,,,,,,,
