,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
470,Jannik Vestergaard,dk  DEN,DF,Southampton,26,1992,16.6,1040,120,491,561,48,15,995,3,5,60.0,3,0,534,2798,1530,44,14,1,3,4,580,568,97.9,8
471,Rúben Vinagre,pt  POR,DF,Wolves,20,1999,7.2,470,15,138,216,146,16,399,18,41,43.9,21,2,316,1711,1115,52,7,8,10,20,306,260,85.0,15
472,Jake Vokins,eng  ENG,DF,Southampton,19,2000,1.0,82,1,11,44,33,5,70,0,0,,0,0,56,289,149,6,4,0,1,2,63,58,92.1,6
473,Mario Vrančić,ba  BIH,MF,Norwich City,30,1989,7.1,526,12,125,308,121,12,514,3,5,60.0,3,1,332,1796,1082,50,10,4,4,11,394,362,91.9,21
474,Matěj Vydra,cz  CZE,FW,Burnley,27,1992,9.1,238,10,19,93,138,36,235,7,17,41.2,9,1,116,515,292,17,5,6,21,9,412,164,39.8,71
475,Theo Walcott,eng  ENG,"MF,FW",Everton,30,1989,14.3,575,8,76,220,312,77,564,21,36,58.3,24,2,416,1854,1098,66,17,12,28,29,566,397,70.1,120
476,Kyle Walker,eng  ENG,DF,Manchester City,29,1990,26.6,2337,65,469,1454,596,36,2117,25,32,78.1,27,2,1620,9320,5180,228,74,13,14,18,1769,1692,95.6,74
477,Aaron Wan-Bissaka,eng  ENG,DF,Manchester Utd,21,1997,34.1,2560,104,741,1186,775,46,2182,59,91,64.8,60,3,1548,7401,4453,235,76,16,26,43,1570,1456,92.7,71
478,Victor Wanyama,ke  KEN,MF,Tottenham,28,1991,0.3,21,0,5,19,1,0,19,1,1,100.0,1,0,12,108,74,0,1,0,0,0,12,12,100.0,0
479,Joel Ward,eng  ENG,DF,Crystal Palace,29,1989,26.5,1544,119,522,762,334,11,1268,13,19,68.4,14,2,754,3422,1886,81,26,0,12,20,799,744,93.1,25
480,James Ward-Prowse,eng  ENG,"MF,DF",Southampton,24,1994,38.0,2399,124,454,1254,773,55,2022,16,22,72.7,17,1,1115,3982,1585,76,30,1,24,16,1362,1196,87.8,78
481,Kelland Watts,eng  ENG,DF,Newcastle Utd,19,1999,0.2,5,2,5,0,0,0,5,0,0,,0,0,3,17,5,0,0,0,0,0,3,3,100.0,0
482,Adam Webster,eng  ENG,DF,Brighton,24,1995,29.6,2175,349,1281,938,131,30,2099,12,14,85.7,12,0,1348,9138,5706,101,28,3,8,14,1425,1400,98.2,18
483,Danny Welbeck,eng  ENG,"FW,MF",Watford,28,1990,9.1,282,5,33,110,158,48,274,9,19,47.4,9,0,195,1011,465,22,10,5,22,19,354,198,55.9,70
484,Ashley Westwood,eng  ENG,MF,Burnley,29,1990,35.0,2081,63,323,1286,544,19,1883,10,23,43.5,11,1,1202,4475,1977,82,26,0,17,16,1379,1266,91.8,50
485,Connor Wickham,eng  ENG,"FW,MF",Crystal Palace,26,1993,1.1,62,0,5,28,31,7,60,2,3,66.7,2,0,29,111,42,3,1,2,4,4,79,46,58.2,20
486,Georginio Wijnaldum,nl  NED,MF,Liverpool,28,1990,32.6,1919,41,289,1191,563,82,1892,49,78,62.8,50,5,1504,7346,3246,160,56,6,36,41,1635,1441,88.1,131
487,Jetro Willems,nl  NED,DF,Newcastle Utd,25,1994,16.6,755,61,263,302,222,22,627,30,39,76.9,30,0,408,1741,1111,45,9,7,9,7,407,346,85.0,26
488,Brandon Williams,eng  ENG,DF,Manchester Utd,18,2000,11.2,764,38,235,365,226,29,683,14,20,70.0,15,0,507,2964,1874,73,23,8,14,10,538,500,92.9,24
489,Neco Williams,wls  WAL,DF,Liverpool,18,2001,2.6,245,3,59,110,90,10,210,6,13,46.2,7,0,151,712,332,23,3,4,3,0,168,147,87.5,9
490,Willian,br  BRA,FW,Chelsea,30,1988,28.9,1927,20,209,793,1091,139,1787,62,86,72.1,65,3,1453,10973,6001,350,82,58,51,40,1730,1438,83.1,213
491,Joe Willock,eng  ENG,"MF,FW",Arsenal,19,1999,9.5,515,28,109,279,177,37,505,22,33,66.7,23,3,384,2341,1346,70,18,11,27,19,415,333,80.2,54
492,Jack Wilshere,eng  ENG,MF,West Ham,27,1992,2.4,108,1,13,68,31,4,106,5,10,50.0,6,1,80,322,177,10,1,1,3,13,94,76,80.9,9
493,Callum Wilson,eng  ENG,FW,Bournemouth,27,1992,32.3,881,21,68,345,517,176,854,24,48,50.0,25,0,603,2485,1340,74,21,15,105,55,1390,642,46.2,280
494,Harry Wilson,wls  WAL,"MF,FW",Bournemouth,22,1997,18.3,857,26,126,380,401,59,795,20,38,52.6,23,0,565,3184,1503,78,19,5,30,20,665,539,81.1,98
